,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.640384197235107,1676682200.140999,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,2,8.568116903305054,1676682202.0687318,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
2,3,8.834696531295776,1676682202.3353114,1500,0.0,200.0,0.94271719455719,,,,,,,,,hard
3,4,8.936903715133667,1676682202.4375186,1900,,,0.92739337682724,737.0,237.5,16.75,,,,,,hard
4,5,9.108508348464966,1676682202.6091232,2000,0.0,200.0,0.9236102104187012,,,,,,,,,hard
5,6,9.422860860824583,1676682202.9234755,2500,0.0,200.0,0.9045032262802124,,,,,,,,,hard
6,7,9.528233766555786,1676682203.0288486,2900,,,0.8891794085502625,915.0,241.6666717529297,17.875,,,,,,hard
7,8,9.711697101593018,1676682203.212312,3000,0.0,200.0,0.8853962421417236,,,,,,,,,hard
8,9,9.991319179534912,1676682203.491934,3500,0.0,200.0,0.8662891983985901,,,,,,,,,hard
9,10,10.100969076156616,1676682203.601584,3900,,,0.8509653806686401,1042.0,243.75,17.6875,,,,,,hard
10,11,10.279958724975586,1676682203.7805736,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
11,12,10.562360286712646,1676682204.0629752,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
12,13,10.673941135406494,1676682204.174556,4900,,,0.8127514123916626,1136.0,245.0,21.399999618530273,,,,,,hard
13,14,10.847872734069824,1676682204.3484876,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
14,15,12.762960195541382,1676682206.263575,5500,97.0,200.0,0.7898612022399902,,,,0.0609796978533268,0.0,0.0014570000348612666,-5.2161760330200195,2649.573974609375,hard
15,18,18.07968521118164,1676682211.5803,6500,97.0,200.0,0.7516472339630127,,,,0.027778126299381256,0.0,0.0014570000348612666,-2.4018373489379883,8779.1083984375,hard
16,20,19.92764973640442,1676682213.4282646,7000,97.0,200.0,0.7325402498245239,,,,0.029495246708393097,0.0,0.0014570000348612666,-1.6899194717407229,12417.64453125,hard
17,21,21.823965311050415,1676682215.3245802,7500,97.0,200.0,0.7134332060813904,,,,0.004698180127888918,0.0,0.0014570000348612666,-0.239349365234375,16539.94921875,hard
18,22,23.18471336364746,1676682216.6853282,7900,,,0.6981093883514404,469.0,246.875,37.328125,0.002650342183187604,0.0,0.0014570000348612666,-0.34821033477783203,20099.197265625,hard
19,23,23.688109874725345,1676682217.1887248,8000,97.0,200.0,0.6943262219429016,,,,0.0016605538548901675,0.0,0.0014570000348612666,-0.3550748825073242,21032.400390625,hard
