,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.6110889911651611,1676689807.560786,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,1,2.2340188026428223,1676689808.1837158,900,,,0.9656074047088624,1263.0,225.0,11.625,,,,,,hard
2,3,2.392279863357544,1676689808.341977,1500,0.0,200.0,0.94271719455719,,,,,,,,,hard
3,4,2.409564256668091,1676689808.3592613,1900,,,0.92739337682724,2139.0,237.5,11.5,,,,,,hard
4,5,2.47702956199646,1676689808.4267266,2000,0.0,200.0,0.9236102104187012,,,,,,,,,hard
5,6,2.56160306930542,1676689808.5113,2500,0.0,200.0,0.9045032262802124,,,,,,,,,hard
6,7,2.578766345977783,1676689808.5284634,2900,,,0.8891794085502625,2742.0,241.6666717529297,12.416666984558104,,,,,,hard
7,8,2.646785020828247,1676689808.596482,3000,0.0,200.0,0.8853962421417236,,,,,,,,,hard
8,9,2.7218267917633057,1676689808.6715238,3500,0.0,200.0,0.8662891983985901,,,,,,,,,hard
9,10,2.739084243774414,1676689808.6887813,3900,,,0.8509653806686401,3202.0,243.75,12.375,,,,,,hard
10,11,2.8068790435791016,1676689808.756576,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
11,12,2.891831874847412,1676689808.841529,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
12,13,2.9089338779449463,1676689808.858631,4900,,,0.8127514123916626,3531.0,245.0,13.100000381469728,,,,,,hard
13,14,2.976883888244629,1676689808.926581,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
14,15,3.667867422103882,1676689809.6175644,5500,96.0,200.0,0.7898612022399902,,,,0.07665413618087769,0.0,0.0014570000348612666,-5.40902853012085,1579.0482177734375,hard
15,16,4.619205474853516,1676689810.5689025,5900,,,0.7745373845100403,1904.0,245.8333282470703,14.0625,0.05549950897693634,0.0,0.0014570000348612666,-1.868191719055176,2890.56005859375,hard
16,17,4.771092176437378,1676689810.7207892,6000,97.0,200.0,0.7707542181015015,,,,0.04375764727592468,0.0,0.0014570000348612666,-1.8336381912231443,3242.12255859375,hard
17,18,5.876770734786987,1676689811.8264678,6500,97.0,200.0,0.7516472339630127,,,,0.03806744143366814,0.0,0.0014570000348612666,-0.8504219055175781,5199.09375,hard
18,19,6.399696350097656,1676689812.3493934,6900,,,0.7363234162330627,1414.0,246.42857360839844,22.73214340209961,0.03341783210635185,0.0,0.0014570000348612666,-0.479799747467041,7182.7119140625,hard
19,20,6.564932584762573,1676689812.5146296,7000,97.0,200.0,0.7325402498245239,,,,0.01350458525121212,0.0,0.0014570000348612666,-0.4924659729003906,7751.015625,hard
20,21,7.261228561401367,1676689813.2109256,7500,97.0,200.0,0.7134332060813904,,,,0.011049951426684856,0.0,0.0014570000348612666,-0.3307228088378906,10853.0390625,hard
21,22,7.7931969165802,1676689813.742894,7900,,,0.6981093883514404,1259.0,246.875,31.140625,0.01517083402723074,0.0,0.0014570000348612666,-0.35370635986328125,13697.58203125,hard
22,23,7.958141803741455,1676689813.9078388,8000,97.0,200.0,0.6943262219429016,,,,0.010801220312714577,0.0,0.0014570000348612666,-0.07364368438720703,14476.09765625,hard
23,24,8.654539823532104,1676689814.6042368,8500,97.0,200.0,0.6752192378044128,,,,0.0037860048469156023,0.0,0.0014570000348612666,-0.4212818145751953,18623.05859375,hard
24,25,9.182687044143677,1676689815.132384,8900,,,0.6598954200744629,1161.0,247.22222900390625,37.66666793823242,0.0014445867855101824,0.0,0.0014570000348612666,-0.5538511276245117,22236.3359375,hard
25,27,10.044517755508425,1676689815.9942148,9500,97.0,200.0,0.6370052099227905,,,,0.0006459348951466382,0.0,0.0014570000348612666,-0.6827182769775391,28016.482421875,hard
26,28,10.57648777961731,1676689816.5261848,9900,,,0.6216813921928406,1093.0,247.5,41.912498474121094,0.00027193405549041927,0.0,0.0014570000348612666,-0.7560997009277344,32076.587890625,hard
27,29,10.74251627922058,1676689816.6922133,10000,97.0,200.0,0.6178982257843018,,,,0.00012507205246947706,0.0,0.0014570000348612666,-0.8927373886108398,33124.3984375,hard
28,30,11.435956001281738,1676689817.385653,10500,97.0,200.0,0.598791241645813,,,,0.00014064759307075292,0.0,0.0014570000348612666,-0.3538856506347656,38470.46875,hard
29,31,11.96628189086914,1676689817.915979,10900,,,0.583467423915863,1043.0,247.7272796630859,45.96590805053711,0.00011451207683421671,0.0,0.0014570000348612666,-0.4427900314331054,42919.625,hard
