,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.6438682079315186,1676685212.0189805,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,2,2.213951587677002,1676685212.5890636,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
2,3,2.301823377609253,1676685212.6769354,1500,0.0,200.0,0.94271719455719,,,,,,,,,hard
3,4,2.3189327716827393,1676685212.6940448,1900,,,0.92739337682724,2484.0,237.5,14.125,,,,,,hard
4,5,2.3890926837921143,1676685212.7642047,2000,0.0,200.0,0.9236102104187012,,,,,,,,,hard
5,6,2.473371744155884,1676685212.8484838,2500,0.0,200.0,0.9045032262802124,,,,,,,,,hard
6,8,2.5564138889312744,1676685212.931526,3000,0.0,200.0,0.8853962421417236,,,,,,,,,hard
7,9,2.6391754150390625,1676685213.0142877,3500,0.0,200.0,0.8662891983985901,,,,,,,,,hard
8,11,2.7229394912719727,1676685213.0980515,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
9,12,2.806997299194336,1676685213.1821094,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
10,13,2.8240716457366943,1676685213.1991837,4900,,,0.8127514123916626,3858.0,245.0,13.475000381469728,,,,,,hard
11,14,2.891479730606079,1676685213.2665918,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
12,15,3.561248540878296,1676685213.9363606,5500,97.0,200.0,0.7898612022399902,,,,0.06870730966329575,0.0,0.0014570000348612666,-6.499989032745361,1875.2100830078125,hard
13,16,4.533719539642334,1676685214.9088316,5900,,,0.7745373845100403,1980.0,245.8333282470703,20.625,0.05883725732564926,0.0,0.0014570000348612666,-2.783328056335449,3696.850341796875,hard
14,17,4.684478759765625,1676685215.0595908,6000,97.0,200.0,0.7707542181015015,,,,0.05504707992076874,0.0,0.0014570000348612666,-3.305469036102295,4212.4755859375,hard
15,18,5.359951972961426,1676685215.735064,6500,96.5,200.0,0.7516472339630127,,,,0.03223790228366852,0.0,0.0014570000348612666,-1.549297332763672,6999.1484375,hard
16,19,5.890382766723633,1676685216.2654948,6900,,,0.7363234162330627,1591.0,246.42857360839844,26.089284896850582,0.014643887989223003,0.0,0.0014570000348612666,-4.529655933380127,9419.6611328125,hard
17,20,6.042405605316162,1676685216.4175177,7000,97.0,200.0,0.7325402498245239,,,,0.03798741474747658,0.0,0.0014570000348612666,-0.2431302070617676,10071.8935546875,hard
18,21,6.720263481140137,1676685217.0953755,7500,97.0,200.0,0.7134332060813904,,,,0.011742177419364452,0.0,0.0014570000348612666,-0.2632112503051758,13592.2197265625,hard
