,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,7.899904489517212,412.0,1676681343.5513566,900,225.0,11.625,0.9656074047088624,,,,,,,,hard
1,2,8.073503732681274,,1676681343.7249558,1000,,,0.9618242383003236,0.0,200.0,,,,,,hard
2,3,8.335818529129028,,1676681343.9872706,1500,,,0.94271719455719,0.0,200.0,,,,,,hard
3,4,8.437915802001953,698.0,1676681344.089368,1900,237.5,11.125,0.92739337682724,,,,,,,,hard
4,5,8.605146169662476,,1676681344.2565982,2000,,,0.9236102104187012,0.0,200.0,,,,,,hard
5,7,8.972644329071045,890.0,1676681344.6240964,2900,241.6666717529297,10.958333015441896,0.8891794085502625,,,,,,,,hard
6,8,9.138197660446169,,1676681344.7896495,3000,,,0.8853962421417236,0.0,200.0,,,,,,hard
7,9,9.399182081222534,,1676681345.050634,3500,,,0.8662891983985901,0.0,200.0,,,,,,hard
8,10,9.501296758651732,1030.0,1676681345.1527488,3900,243.75,10.09375,0.8509653806686401,,,,,,,,hard
9,11,9.688181161880491,,1676681345.3396332,4000,,,0.8471822142601013,0.0,200.0,,,,,,hard
10,12,9.939635992050173,,1676681345.591088,4500,,,0.8280752301216125,0.0,200.0,,,,,,hard
11,13,10.038268327713013,1133.0,1676681345.6897204,4900,245.0,11.375,0.8127514123916626,,,,,,,,hard
12,14,10.195410013198853,,1676681345.846862,5000,,,0.8089682459831238,0.0,200.0,,,,,,hard
13,15,12.187559843063354,,1676681347.839012,5500,,,0.7898612022399902,97.0,200.0,0.07686302810907364,0.0,0.0014570000348612666,-4.805149555206299,1478.2083740234375,hard
14,16,15.164172410964966,624.0,1676681350.8156245,5900,245.8333282470703,17.6875,0.7745373845100403,,,0.04150208830833435,0.0,0.0014570000348612666,-1.8784384727478027,2989.077880859375,hard
15,17,15.674641847610474,,1676681351.326094,6000,,,0.7707542181015015,97.0,200.0,0.0322725884616375,0.0,0.0014570000348612666,-1.1507368087768557,3431.265380859375,hard
16,18,17.52727460861206,,1676681353.178727,6500,,,0.7516472339630127,97.0,200.0,0.021780243143439293,0.0,0.0014570000348612666,-0.5107550621032715,5969.4482421875,hard
17,19,18.8884117603302,523.0,1676681354.5398638,6900,246.42857360839844,28.535715103149418,0.7363234162330627,,,0.020477475598454475,0.0,0.0014570000348612666,-0.043476104736328125,8440.1748046875,hard
18,21,21.16432237625122,,1676681356.8157744,7500,,,0.7134332060813904,97.0,200.0,0.005602588877081871,0.0,0.0014570000348612666,-0.21892833709716797,12936.40234375,hard
19,23,23.070767164230347,,1676681358.7222192,8000,,,0.6943262219429016,97.0,200.0,0.0034374205861240625,0.0,0.0014570000348612666,-0.6578273773193359,17196.001953125,hard
20,24,25.026917457580566,,1676681360.6783695,8500,,,0.6752192378044128,97.0,200.0,0.005105653777718544,0.0,0.0014570000348612666,-0.22676753997802737,21880.900390625,hard
21,25,26.44789147377014,429.0,1676681362.0993435,8900,247.22222900390625,40.97222137451172,0.6598954200744629,,,5.342187432688661e-05,0.0,0.0014570000348612666,-0.4553956985473633,25858.841796875,hard
22,26,26.997493743896484,,1676681362.6489458,9000,,,0.6561122536659241,97.0,200.0,0.00034322839928790927,0.0,0.0014570000348612666,-0.4746589660644531,26883.1484375,hard
23,27,28.935927152633667,,1676681364.5873792,9500,,,0.6370052099227905,97.0,200.0,0.00016367612988688052,0.0,0.0014570000348612666,-0.4604034423828125,32157.84375,hard
24,28,30.38695979118347,401.0,1676681366.038412,9900,247.5,44.8125,0.6216813921928406,,,0.012904932722449304,0.0,0.0014570000348612666,-0.32328033447265625,36550.65625,hard
25,29,30.941760063171387,,1676681366.593212,10000,,,0.6178982257843018,97.0,200.0,0.00010692208888940512,0.0,0.0014570000348612666,-0.0821533203125,37670.96875,hard
26,30,32.89365530014038,,1676681368.5451074,10500,,,0.598791241645813,97.0,200.0,0.00014590357022825629,0.0,0.0014570000348612666,-0.7052831649780273,43381.01171875,hard
27,32,34.91419863700867,,1676681370.5656507,11000,,,0.5796842575073242,97.0,200.0,0.00019060132035519928,0.0,0.0014570000348612666,-0.7221002578735352,49306.6015625,hard
28,33,36.88648819923401,,1676681372.5379405,11500,,,0.5605772137641907,97.0,200.0,8.925167639972642e-05,0.0,0.0014570000348612666,-0.528132438659668,55426.65234375,hard
29,35,38.8792142868042,,1676681374.5306664,12000,,,0.5414702296257019,97.0,200.0,0.00021309951262082905,0.0,0.0014570000348612666,-0.35651493072509766,61706.2109375,hard
30,36,40.86772298812866,,1676681376.519175,12500,,,0.5223632454872131,97.0,200.0,0.000226868040044792,0.0,0.0014570000348612666,-0.6452417373657227,68151.609375,hard
31,37,42.32187914848328,352.0,1676681377.9733312,12900,248.0769195556641,54.144229888916016,0.5070394277572632,,,3.469405783107504e-05,0.0,0.0014570000348612666,-0.5146827697753906,73456.875,hard
32,38,42.87540650367737,,1676681378.5268586,13000,,,0.5032562613487244,97.0,200.0,0.0001068843630491756,0.0,0.0014570000348612666,-0.5978822708129883,74810.484375,hard
33,39,44.8532555103302,,1676681380.5047076,13500,,,0.4841492474079132,97.0,200.0,0.0002056060038739815,0.0,0.0014570000348612666,-0.7082996368408203,81663.421875,hard
34,40,46.32282328605652,342.0,1676681381.9742754,13900,248.2142791748047,57.45535659790039,0.46882542967796326,,,0.0003185461100656539,0.0,0.0014570000348612666,-0.3972291946411133,87284.390625,hard
35,41,46.875571966171265,,1676681382.527024,14000,,,0.4650422334671021,97.0,200.0,0.0003062478208448738,0.0,0.0014570000348612666,-0.2713460922241211,88720.7734375,hard
36,43,50.36110877990723,333.0,1676681386.0125608,14900,248.3333282470703,60.43333435058594,0.4306114315986634,,,5.370880535338074e-05,0.0,0.0014570000348612666,-0.9164304733276368,101951.0625,hard
37,44,50.911168575286865,,1676681386.5626206,15000,,,0.4268282353878021,97.0,200.0,0.0002717994502745569,0.0,0.0014570000348612666,-0.4199399948120117,103461.890625,hard
38,45,52.92437720298767,,1676681388.5758293,15500,,,0.40772125124931335,97.0,200.0,0.0009071837412193418,0.0,0.0014570000348612666,-0.23447322845458984,111112.65625,hard
39,46,54.41531991958618,326.0,1676681390.066772,15900,248.4375,63.4921875,0.3923974335193634,,,0.001033172942698002,0.0,0.0014570000348612666,-0.8155479431152344,117367.4296875,hard
40,47,54.97312951087952,,1676681390.6245816,16000,,,0.3886142373085022,97.0,200.0,0.0003830633359029889,0.0,0.0014570000348612666,-0.8120203018188477,118954.734375,hard
41,49,58.52811932563782,320.0,1676681394.1795714,16900,248.5294189453125,66.05146789550781,0.3541834354400635,,,0.0002863108238670975,0.0,0.0014570000348612666,-0.2634754180908203,133507.5,hard
42,51,61.16061758995056,,1676681396.8120697,17500,,,0.3312932550907135,97.0,200.0,0.00010838605521712452,0.0,0.0014570000348612666,-0.47268009185791016,143496.953125,hard
43,52,62.67092490196228,314.0,1676681398.322377,17900,248.61111450195312,68.34722137451172,0.31596943736076355,,,0.0001560401142342016,0.0,0.0014570000348612666,-0.7331266403198242,150268.265625,hard
44,53,63.22625756263733,,1676681398.8777096,18000,,,0.31218624114990234,97.0,200.0,0.01329056266695261,0.0,0.0014570000348612666,-0.8297891616821289,151976.953125,hard
45,54,65.28261184692383,,1676681400.934064,18500,,,0.2930792570114136,97.0,200.0,0.00025257174274884164,0.0,0.0014570000348612666,-0.5260868072509766,160595.34375,hard
46,55,66.79952836036682,309.0,1676681402.4509804,18900,248.6842041015625,70.53947448730469,0.2777554392814636,,,0.013543635606765749,0.0,0.0014570000348612666,-0.06548881530761719,167586.34375,hard
47,57,69.4662344455719,,1676681405.1176865,19500,,,0.25486525893211365,97.0,200.0,0.00017254088015761226,0.0,0.0014570000348612666,-0.969463348388672,178231.96875,hard
48,59,71.59848475456238,,1676681407.2499368,20000,,,0.2357582449913025,97.0,200.0,0.00023432770103681833,0.0,0.0014570000348612666,-0.8678474426269531,187246.21875,hard
49,60,73.67451119422913,,1676681409.3259633,20500,,,0.21665124595165253,97.0,200.0,0.00024604235659353435,0.0,0.0014570000348612666,-0.6181802749633789,196387.9375,hard
50,62,75.76176261901855,,1676681411.4132147,21000,,,0.19754424691200256,97.0,200.0,0.0002663252525962889,0.0,0.0014570000348612666,-0.6520280838012695,205647.3125,hard
51,63,77.87123227119446,,1676681413.5226843,21500,,,0.1784372478723526,97.0,200.0,0.00010486105747986584,0.0,0.0014570000348612666,-0.5903949737548828,215029.390625,hard
52,64,79.39837217330933,297.0,1676681415.0498242,21900,248.86363220214844,76.42613983154297,0.16311343014240265,,,0.0006174413720145822,0.0,0.0014570000348612666,-0.4876642227172851,222617.90625,hard
53,65,79.97512149810791,,1676681415.6265736,22000,,,0.15933024883270264,97.0,200.0,0.0073816366493701935,0.0,0.0014570000348612666,-0.2695894241333008,224528.5625,hard
54,66,82.0974280834198,,1676681417.74888,22500,,,0.14022324979305267,97.0,200.0,0.0001141231186920777,0.0,0.0014570000348612666,-0.6129236221313477,234136.171875,hard
55,67,83.65322017669678,293.0,1676681419.3046722,22900,248.9130401611328,78.15217590332031,0.12489943951368332,,,0.00029446723056025803,0.0,0.0014570000348612666,-0.658869743347168,241900.609375,hard
56,68,84.22689652442932,,1676681419.8783486,23000,,,0.12111625075340272,97.0,200.0,0.0001923194358823821,0.0,0.0014570000348612666,-0.3494853973388672,243854.421875,hard
57,69,86.35609483718872,,1676681422.007547,23500,,,0.10200925171375276,97.0,200.0,0.0011952737113460898,0.0,0.0014570000348612666,-0.24504756927490232,253675.609375,hard
58,70,87.97322273254395,290.0,1676681423.6246748,23900,248.9583282470703,79.796875,0.08668544143438339,,,0.01678895205259323,0.0,0.0014570000348612666,-0.5750198364257812,261604.546875,hard
59,73,92.40102124214172,287.0,1676681428.0524733,24900,249.0,81.3499984741211,0.05000000074505806,,,0.00013300316641107202,0.0,0.0014570000348612666,-0.6388731002807617,281714.8125,hard
60,74,92.9939272403717,,1676681428.6453793,25000,,,0.05000000074505806,97.0,200.0,0.00023775537556502968,0.0,0.0014570000348612666,-1.2226858139038086,283748.5625,hard
61,75,95.18900918960573,,1676681430.8404613,25500,,,0.05000000074505806,97.0,200.0,0.0004986133426427841,0.0,0.0014570000348612666,-0.365300178527832,294038.8125,hard
62,76,96.80612540245056,284.0,1676681432.4575777,25900,250.0,85.66000366210938,0.05000000074505806,,,0.0006002624286338687,0.0,0.0014570000348612666,-0.20830631256103516,302454.0625,hard
63,77,97.42394065856934,,1676681433.0753927,26000,,,0.05000000074505806,97.0,200.0,0.0005095443339087069,0.0,0.0014570000348612666,-0.38798999786376953,304595.5625,hard
64,81,103.9901704788208,,1676681439.6416223,27500,,,0.05000000074505806,97.0,200.0,0.014554371125996113,0.0,0.0014570000348612666,-0.662938117980957,337892.4375,hard
65,82,105.55483150482178,279.0,1676681441.2062836,27900,250.0,94.375,0.05000000074505806,,,0.03021939843893051,0.0,0.0014570000348612666,-0.6540327072143555,347191.4375,hard
66,83,106.12806057929993,,1676681441.7795126,28000,,,0.05000000074505806,97.0,200.0,0.027252638712525368,0.0,0.0014570000348612666,-0.6290264129638672,349550.8125,hard
67,84,108.27784991264345,,1676681443.929302,28500,,,0.05000000074505806,97.0,200.0,0.0003674051840789616,0.0,0.0014570000348612666,-0.34539222717285156,361466.6875,hard
68,85,109.85261416435242,277.0,1676681445.5040662,28900,250.0,98.84500122070312,0.05000000074505806,,,0.014042089693248272,0.0,0.0014570000348612666,-0.16948699951171875,371192.4375,hard
69,86,110.41990208625792,,1676681446.0713542,29000,,,0.05000000074505806,97.0,200.0,0.0004750084481202066,0.0,0.0014570000348612666,-0.2968864440917969,373663.5625,hard
70,87,112.54308104515076,,1676681448.194533,29500,,,0.05000000074505806,97.0,200.0,0.0003961643669754267,0.0,0.0014570000348612666,-0.3490629196166992,386137.6875,hard
71,88,114.11801958084106,275.0,1676681449.7694716,29900,250.0,102.9000015258789,0.05000000074505806,,,8.218422590289265e-05,0.0,0.0014570000348612666,-0.4550580978393554,396285.6875,hard
72,89,114.6953947544098,,1676681450.3468468,30000,,,0.05000000074505806,97.0,200.0,0.013563142158091068,0.0,0.0014570000348612666,-0.9508895874023438,398858.1875,hard
73,90,116.842369556427,,1676681452.4938216,30500,,,0.05000000074505806,97.0,200.0,0.0002365608816035092,0.0,0.0014570000348612666,-0.35372447967529297,411826.4375,hard
74,91,118.42779231071472,274.0,1676681454.0792444,30900,250.0,105.70500183105467,0.05000000074505806,,,0.00034266465809196234,0.0,0.0014570000348612666,-0.24260902404785156,422314.9375,hard
75,92,119.02289128303528,,1676681454.674343,31000,,,0.05000000074505806,97.0,200.0,0.01363828033208847,0.0,0.0014570000348612666,-0.7110471725463867,424957.5625,hard
76,94,122.70961451530457,272.0,1676681458.3610666,31900,250.0,106.70999908447266,0.05000000074505806,,,0.013677213340997696,0.0,0.0014570000348612666,-0.8505525588989258,448847.5625,hard
77,95,123.28551959991456,,1676681458.9369717,32000,,,0.05000000074505806,97.0,200.0,0.0004267262411303818,0.0,0.0014570000348612666,-0.6692390441894531,451515.3125,hard
