,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.5890419483184814,1676690099.381438,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,1,2.037945032119751,1676690099.830341,900,,,0.9656074047088624,1667.0,225.0,32.5,,,,,,hard
2,2,2.099773406982422,1676690099.8921697,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
3,3,2.189507484436035,1676690099.9819036,1500,0.0,200.0,0.94271719455719,,,,,,,,,hard
4,4,2.207233190536499,1676690099.9996293,1900,,,0.92739337682724,2678.0,237.5,21.375,,,,,,hard
5,5,2.277773857116699,1676690100.07017,2000,0.0,200.0,0.9236102104187012,,,,,,,,,hard
6,6,2.364509105682373,1676690100.1569052,2500,0.0,200.0,0.9045032262802124,,,,,,,,,hard
7,7,2.3819854259490967,1676690100.1743815,2900,,,0.8891794085502625,3280.0,241.6666717529297,19.08333396911621,,,,,,hard
8,9,2.5409092903137207,1676690100.3333054,3500,0.0,200.0,0.8662891983985901,,,,,,,,,hard
9,10,2.5583572387695312,1676690100.3507533,3900,,,0.8509653806686401,3677.0,243.75,18.1875,,,,,,hard
10,11,2.62752103805542,1676690100.419917,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
11,12,2.7143492698669434,1676690100.506745,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
12,13,2.7319495677948,1676690100.5243456,4900,,,0.8127514123916626,3970.0,245.0,15.175000190734863,,,,,,hard
13,14,2.8002419471740723,1676690100.592638,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
14,15,3.4847352504730225,1676690101.2771313,5500,0.0,200.0,0.7898612022399902,,,,0.06946563720703125,0.0,0.0014570000348612666,-6.6114678382873535,2071.44287109375,hard
15,16,4.015643119812012,1676690101.8080392,5900,,,0.7745373845100403,2343.0,245.8333282470703,20.95833396911621,0.04778611660003662,0.0,0.0014570000348612666,-4.36307430267334,4008.59716796875,hard
16,17,4.180076360702515,1676690101.9724724,6000,96.5,200.0,0.7707542181015015,,,,0.07665149122476578,0.0,0.0014570000348612666,-6.422966957092285,4532.5556640625,hard
17,18,5.306545257568359,1676690103.098941,6500,97.0,200.0,0.7516472339630127,,,,0.04084494709968567,0.0,0.0014570000348612666,-1.3861641883850098,7356.52978515625,hard
18,20,6.4394636154174805,1676690104.2318597,7000,97.0,200.0,0.7325402498245239,,,,0.03423554077744484,0.0,0.0014570000348612666,-0.8423900604248047,10493.41015625,hard
19,22,7.6867053508758545,1676690105.4791014,7900,,,0.6981093883514404,1276.0,246.875,31.828125,0.003605186473578214,0.0,0.0014570000348612666,-0.1895103454589844,16893.896484375,hard
20,23,7.855703830718994,1676690105.6481,8000,97.0,200.0,0.6943262219429016,,,,0.004757207818329334,0.0,0.0014570000348612666,-0.42360687255859375,17689.599609375,hard
21,25,9.102927923202516,1676690106.895324,8900,,,0.6598954200744629,1170.0,247.22222900390625,36.55555725097656,0.0004716481198556721,0.0,0.0014570000348612666,-0.45687007904052734,25256.07421875,hard
22,26,9.272192239761353,1676690107.0645883,9000,97.0,200.0,0.6561122536659241,,,,0.0005207483191043139,0.0,0.0014570000348612666,-0.3587636947631836,26169.962890625,hard
23,27,9.988308191299438,1676690107.7807045,9500,97.0,200.0,0.6370052099227905,,,,0.000214337938814424,0.0,0.0014570000348612666,-0.46048641204833984,30834.2890625,hard
24,28,10.53583312034607,1676690108.3282292,9900,,,0.6216813921928406,1095.0,247.5,40.462501525878906,0.00012515370326582342,0.0,0.0014570000348612666,-1.062333106994629,34745.0703125,hard
25,29,10.704782485961914,1676690108.4971786,10000,97.0,200.0,0.6178982257843018,,,,4.073414675076492e-05,0.0,0.0014570000348612666,-0.4400968551635742,35756.6328125,hard
26,30,11.403998374938965,1676690109.1963944,10500,97.0,200.0,0.598791241645813,,,,0.01666550524532795,0.0,0.0014570000348612666,-0.949392318725586,40965.53515625,hard
27,32,12.081179857254028,1676690109.873576,11000,97.0,200.0,0.5796842575073242,,,,2.2526875909534283e-05,0.0,0.0014570000348612666,-0.5654478073120117,46456.5,hard
28,33,12.760343074798584,1676690110.5527391,11500,97.0,200.0,0.5605772137641907,,,,0.0002058372920146212,0.0,0.0014570000348612666,-0.45188140869140625,52224.84375,hard
29,34,13.278430461883543,1676690111.0708263,11900,,,0.5452533960342407,1010.0,247.9166717529297,49.375,0.00016295626119244844,0.0,0.0014570000348612666,-0.4795198440551758,57023.6171875,hard
30,35,13.44087266921997,1676690111.2332687,12000,97.0,200.0,0.5414702296257019,,,,0.0002670046524144709,0.0,0.0014570000348612666,-0.2861318588256836,58257.9921875,hard
31,36,14.11711859703064,1676690111.909515,12500,97.0,200.0,0.5223632454872131,,,,7.095884211594239e-05,0.0,0.0014570000348612666,-0.9642772674560548,64539.67578125,hard
32,39,15.490371227264404,1676690113.2827673,13500,97.0,200.0,0.4841492474079132,,,,5.2391998906387016e-05,0.0,0.0014570000348612666,-0.7310905456542969,77758.3046875,hard
33,41,16.177225589752197,1676690113.9696217,14000,97.0,200.0,0.4650422334671021,,,,0.012536952272057532,0.0,0.0014570000348612666,-0.6286725997924805,84699.453125,hard
34,42,16.861114263534546,1676690114.6535103,14500,97.0,200.0,0.4459352493286133,,,,0.00021693497546948493,0.0,0.0014570000348612666,-0.5133209228515625,91838.890625,hard
35,43,17.38900089263916,1676690115.181397,14900,,,0.4306114315986634,937.0,248.3333282470703,59.41666793823242,0.00041529000736773014,0.0,0.0014570000348612666,-0.9665927886962892,97691.796875,hard
36,44,17.55477499961853,1676690115.347171,15000,97.0,200.0,0.4268282353878021,,,,7.174561324063689e-05,0.0,0.0014570000348612666,-1.0711917877197266,99177.2109375,hard
37,45,18.24587655067444,1676690116.0382726,15500,97.0,200.0,0.40772125124931335,,,,0.01650354266166687,0.0,0.0014570000348612666,-0.5605030059814453,106688.5078125,hard
38,46,18.771852731704712,1676690116.5642488,15900,,,0.3923974335193634,920.0,248.4375,61.9375,0.013506381772458552,0.0,0.0014570000348612666,-0.4284954071044922,112814.921875,hard
39,48,19.63586187362671,1676690117.428258,16500,97.0,200.0,0.3695072531700134,,,,3.943582851206884e-05,0.0,0.0014570000348612666,-0.30673789978027344,122179.78125,hard
40,49,20.158341884613037,1676690117.950738,16900,,,0.3541834354400635,905.0,248.5294189453125,64.49264526367188,8.908281597541645e-05,0.0,0.0014570000348612666,-0.8601016998291016,128542.59375,hard
41,50,20.322377681732178,1676690118.1147738,17000,97.0,200.0,0.35040023922920227,,,,8.591951336711645e-05,0.0,0.0014570000348612666,-0.9934759140014648,130154.90625,hard
42,51,21.014904737472538,1676690118.8073008,17500,97.0,200.0,0.3312932550907135,,,,0.00034355276147834957,0.0,0.0014570000348612666,-0.8592538833618164,138286.5625,hard
43,52,21.540063858032227,1676690119.33246,17900,,,0.31596943736076355,893.0,248.61111450195312,66.86805725097656,0.01693914271891117,0.0,0.0014570000348612666,-0.7292537689208984,144894.40625,hard
44,53,21.705960512161255,1676690119.4983566,18000,97.0,200.0,0.31218624114990234,,,,0.013610688969492912,0.0,0.0014570000348612666,-0.6717510223388672,146566.109375,hard
45,54,22.39402961730957,1676690120.1864257,18500,97.0,200.0,0.2930792570114136,,,,0.00018282837118022144,0.0,0.0014570000348612666,-0.8998470306396484,155000.90625,hard
46,57,23.769797325134277,1676690121.5621934,19500,97.0,200.0,0.25486525893211365,,,,0.0013078032061457634,0.0,0.0014570000348612666,-1.1134300231933594,172327.59375,hard
47,60,25.151899337768555,1676690122.9442954,20500,97.0,200.0,0.21665124595165253,,,,0.00014564504090230912,0.0,0.0014570000348612666,-0.369877815246582,190214.390625,hard
48,61,25.68014097213745,1676690123.472537,20900,,,0.20132742822170255,864.0,248.8095245361328,73.60118865966797,0.0001812557311495766,0.0,0.0014570000348612666,-0.7522869110107422,197511.125,hard
49,62,25.8432297706604,1676690123.6356258,21000,97.0,200.0,0.19754424691200256,,,,0.000527312804479152,0.0,0.0014570000348612666,-0.29079437255859375,199351.15625,hard
50,63,26.53532075881958,1676690124.3277168,21500,97.0,200.0,0.1784372478723526,,,,0.00034212350146844983,0.0,0.0014570000348612666,-0.5152320861816406,208612.078125,hard
51,66,27.9152307510376,1676690125.7076268,22500,97.0,200.0,0.14022324979305267,,,,0.0001805343054002151,0.0,0.0014570000348612666,-0.8381681442260742,227498.84375,hard
52,67,28.437758207321167,1676690126.2301545,22900,,,0.12489943951368332,850.0,248.9130401611328,77.375,0.00017333573487121612,0.0,0.0014570000348612666,-0.964712142944336,235182.90625,hard
53,68,28.60374355316162,1676690126.3961396,23000,97.0,200.0,0.12111625075340272,,,,0.00037090113619342446,0.0,0.0014570000348612666,-0.29766273498535156,237117.28125,hard
54,69,29.298051595687863,1676690127.0904477,23500,97.0,200.0,0.10200925171375276,,,,0.0004972804454155266,0.0,0.0014570000348612666,-0.4489402770996094,246846.171875,hard
55,70,29.829569101333615,1676690127.6219652,23900,,,0.08668544143438339,843.0,248.9583282470703,79.09375,0.013422485440969467,0.0,0.0014570000348612666,-0.2797975540161133,254706.046875,hard
