,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,2.068871259689331,1741.0,1676684060.5879133,900,225.0,12.375,0.9656074047088624,,,,,,,,hard
1,2,2.1409409046173096,,1676684060.659983,1000,,,0.9618242383003236,0.0,200.0,,,,,,hard
2,4,2.239819288253784,2761.0,1676684060.7588613,1900,237.5,19.0625,0.92739337682724,,,,,,,,hard
3,5,2.3080286979675293,,1676684060.8270707,2000,,,0.9236102104187012,0.0,200.0,,,,,,hard
4,7,2.4103291034698486,3378.0,1676684060.929371,2900,241.6666717529297,19.25,0.8891794085502625,,,,,,,,hard
5,9,2.5952396392822266,,1676684061.1142817,3500,,,0.8662891983985901,0.0,200.0,,,,,,hard
6,10,2.6125645637512207,3676.0,1676684061.1316066,3900,243.75,19.71875,0.8509653806686401,,,,,,,,hard
7,11,2.680657148361206,,1676684061.1996992,4000,,,0.8471822142601013,0.0,200.0,,,,,,hard
8,12,2.765812873840332,,1676684061.284855,4500,,,0.8280752301216125,0.0,200.0,,,,,,hard
9,13,2.783155918121338,3979.0,1676684061.302198,4900,245.0,20.799999237060547,0.8127514123916626,,,,,,,,hard
10,14,2.8517143726348877,,1676684061.3707564,5000,,,0.8089682459831238,0.0,200.0,,,,,,hard
11,15,3.58508038520813,,1676684062.1041224,5500,,,0.7898612022399902,0.0,200.0,0.065345399081707,0.0,0.0014570000348612666,-8.312110900878906,2611.40771484375,hard
12,17,4.279355764389038,,1676684062.7983978,6000,,,0.7707542181015015,97.0,200.0,0.05418078228831291,0.0,0.0014570000348612666,-5.074625492095947,5694.7265625,hard
13,19,6.006294250488281,1549.0,1676684064.5253365,6900,246.42857360839844,33.48214340209961,0.7363234162330627,,,0.016307778656482697,0.0,0.0014570000348612666,-1.8841075897216797,12330.7216796875,hard
14,20,6.1734161376953125,,1676684064.6924582,7000,,,0.7325402498245239,97.0,200.0,0.030956819653511047,0.0,0.0014570000348612666,-0.9721040725708008,13167.775390625,hard
15,22,7.440333604812622,1341.0,1676684065.9593756,7900,246.875,40.59375,0.6981093883514404,,,0.005783373024314642,0.0,0.0014570000348612666,-0.29439640045166016,21455.25,hard
16,23,7.638671875,,1676684066.157714,8000,,,0.6943262219429016,97.0,200.0,0.0034832570236176252,0.0,0.0014570000348612666,-0.0937814712524414,22470.09375,hard
17,24,8.3211989402771,,1676684066.840241,8500,,,0.6752192378044128,97.0,200.0,0.0029582814313471317,0.0,0.0014570000348612666,-0.8198113441467285,27659.875,hard
18,25,8.868910312652588,1216.0,1676684067.3879523,8900,247.22222900390625,44.52777862548828,0.6598954200744629,,,0.0005270384135656059,0.0,0.0014570000348612666,-0.8518486022949219,31983.69921875,hard
19,26,9.034233570098875,,1676684067.5532756,9000,,,0.6561122536659241,97.0,200.0,0.0001554093323647976,0.0,0.0014570000348612666,-1.2227497100830078,33096.89453125,hard
20,27,9.763396501541138,,1676684068.2824385,9500,,,0.6370052099227905,97.0,200.0,0.00015922298189252615,0.0,0.0014570000348612666,-0.6669931411743164,38753.4921875,hard
21,28,10.300296783447266,1131.0,1676684068.8193388,9900,247.5,48.462501525878906,0.6216813921928406,,,8.557971887057647e-05,0.0,0.0014570000348612666,-0.3518486022949219,43469.24609375,hard
