,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,2.74729323387146,1676681389.0650702,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,1,3.6929781436920166,1676681390.010755,900,,,0.9656074047088624,589.0,225.0,18.25,,,,,,hard
2,2,3.760665893554687,1676681390.0784428,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
3,3,3.84381365776062,1676681390.1615906,1500,0.0,200.0,0.94271719455719,,,,,,,,,hard
4,4,3.860837697982788,1676681390.1786146,1900,,,0.92739337682724,1121.0,237.5,18.625,,,,,,hard
5,5,3.949488878250122,1676681390.2672658,2000,0.0,200.0,0.9236102104187012,,,,,,,,,hard
6,7,4.050147294998169,1676681390.3679242,2900,,,0.8891794085502625,1539.0,241.6666717529297,21.0,,,,,,hard
7,8,4.1171088218688965,1676681390.4348855,3000,0.0,200.0,0.8853962421417236,,,,,,,,,hard
8,9,4.200970411300659,1676681390.518747,3500,0.0,200.0,0.8662891983985901,,,,,,,,,hard
9,10,4.217895984649658,1676681390.535673,3900,,,0.8509653806686401,1901.0,243.75,22.78125,,,,,,hard
10,11,4.283471584320068,1676681390.6012485,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
11,12,4.366213798522949,1676681390.6839907,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
12,13,4.383023500442505,1676681390.7008004,4900,,,0.8127514123916626,2210.0,245.0,20.950000762939453,,,,,,hard
13,14,4.451066493988037,1676681390.7688434,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
14,15,5.157796382904053,1676681391.4755733,5500,0.0,200.0,0.7898612022399902,,,,0.054163604974746704,0.0,0.0014570000348612666,-8.060462951660156,2540.9169921875,hard
