,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,7.542299747467041,491.0,1676683037.833182,900,225.0,20.5,0.9656074047088624,,,,,,,,hard
1,2,7.691067934036255,,1676683037.98195,1000,,,0.9618242383003236,0.0,200.0,,,,,,hard
2,3,7.91589093208313,,1676683038.206773,1500,,,0.94271719455719,0.0,200.0,,,,,,hard
3,4,8.006836175918579,826.0,1676683038.2977183,1900,237.5,16.5625,0.92739337682724,,,,,,,,hard
4,5,8.151513814926147,,1676683038.442396,2000,,,0.9236102104187012,0.0,200.0,,,,,,hard
5,8,8.628165245056152,,1676683038.9190474,3000,,,0.8853962421417236,0.0,200.0,,,,,,hard
6,9,8.886509656906128,,1676683039.1773918,3500,,,0.8662891983985901,0.0,200.0,,,,,,hard
7,12,9.42295241355896,,1676683039.7138343,4500,,,0.8280752301216125,0.0,200.0,,,,,,hard
8,13,9.523317813873293,1284.0,1676683039.8142,4900,245.0,16.25,0.8127514123916626,,,,,,,,hard
9,14,9.688825368881226,,1676683039.9797077,5000,,,0.8089682459831238,0.0,200.0,,,,,,hard
10,15,11.391608953475952,,1676683041.682491,5500,,,0.7898612022399902,0.0,200.0,0.0650310218334198,0.0,0.0014570000348612666,-3.007025718688965,2062.213134765625,hard
11,18,16.36438250541687,,1676683046.6552646,6500,,,0.7516472339630127,97.0,200.0,0.03384377807378769,0.0,0.0014570000348612666,-0.753211498260498,7232.2744140625,hard
12,19,17.63453507423401,578.0,1676683047.9254172,6900,246.42857360839844,29.23214340209961,0.7363234162330627,,,0.028791431337594982,0.0,0.0014570000348612666,-1.0426254272460938,9895.771484375,hard
13,20,18.13677740097046,,1676683048.4276595,7000,,,0.7325402498245239,97.0,200.0,0.024473758414387703,0.0,0.0014570000348612666,-0.1321268081665039,10626.5751953125,hard
14,21,19.96595764160156,,1676683050.2568398,7500,,,0.7134332060813904,97.0,200.0,0.01599806919693947,0.0,0.0014570000348612666,-0.30537986755371094,14438.009765625,hard
15,22,21.239248991012573,508.0,1676683051.530131,7900,246.875,35.328125,0.6981093883514404,,,0.00568377785384655,0.0,0.0014570000348612666,-0.10001659393310548,17751.236328125,hard
16,23,21.751888751983643,,1676683052.0427709,8000,,,0.6943262219429016,97.0,200.0,0.022642530500888824,0.0,0.0014570000348612666,-0.30765247344970703,18634.439453125,hard
17,24,23.613246202468872,,1676683053.9041283,8500,,,0.6752192378044128,97.0,200.0,0.006959056947380304,0.0,0.0014570000348612666,-0.4481010437011719,23216.765625,hard
18,26,25.47325372695923,,1676683055.7641358,9000,,,0.6561122536659241,97.0,200.0,0.00031259149545803666,0.0,0.0014570000348612666,-0.4959831237792969,28184.1953125,hard
19,27,27.335960626602173,,1676683057.6268427,9500,,,0.6370052099227905,97.0,200.0,0.0035464914981275797,0.0,0.0014570000348612666,-1.085195541381836,33470.1953125,hard
20,28,28.708110809326172,430.0,1676683058.998993,9900,247.5,45.037498474121094,0.6216813921928406,,,0.01347606722265482,0.0,0.0014570000348612666,-0.44431018829345703,37867.44921875,hard
21,29,29.236939668655396,,1676683059.5278218,10000,,,0.6178982257843018,97.0,200.0,0.006534679792821407,0.0,0.0014570000348612666,-0.5750055313110352,38993.38671875,hard
22,30,31.14538335800171,,1676683061.4362657,10500,,,0.598791241645813,97.0,200.0,0.0002810602600220591,0.0,0.0014570000348612666,-0.7649469375610352,44734.69921875,hard
23,32,33.02975630760193,,1676683063.3206384,11000,,,0.5796842575073242,97.0,200.0,6.271187885431573e-05,0.0,0.0014570000348612666,-0.9019651412963868,50677.0859375,hard
24,33,34.94937777519226,,1676683065.24026,11500,,,0.5605772137641907,97.0,200.0,0.0002421016397420317,0.0,0.0014570000348612666,-0.4426584243774414,56813.76953125,hard
25,35,36.85843229293823,,1676683067.1493144,12000,,,0.5414702296257019,97.0,200.0,0.013573627918958664,0.0,0.0014570000348612666,-0.6859664916992188,63160.7421875,hard
26,36,38.77027177810669,,1676683069.061154,12500,,,0.5223632454872131,97.0,200.0,0.026660237461328503,0.0,0.0014570000348612666,-1.0360631942749023,69722.0546875,hard
27,37,40.1742377281189,374.0,1676683070.4651198,12900,248.0769195556641,55.19230651855469,0.5070394277572632,,,0.013745082542300224,0.0,0.0014570000348612666,-0.8097515106201172,75130.3828125,hard
28,39,42.63513946533203,,1676683072.9260216,13500,,,0.4841492474079132,97.0,200.0,0.0002863264235202223,0.0,0.0014570000348612666,-0.6534347534179688,83508.125,hard
