,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.030951261520386,1676681344.8566682,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,2,8.002370119094849,1676681346.828087,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
2,3,8.27082085609436,1676681347.0965378,1500,0.0,200.0,0.94271719455719,,,,,,,,,hard
3,5,8.555309057235718,1676681347.381026,2000,0.0,200.0,0.9236102104187012,,,,,,,,,hard
4,6,8.83042597770691,1676681347.656143,2500,0.0,200.0,0.9045032262802124,,,,,,,,,hard
5,7,8.93326449394226,1676681347.7589817,2900,,,0.8891794085502625,901.0,241.6666717529297,13.541666984558104,,,,,,hard
6,8,9.107304096221924,1676681347.933021,3000,0.0,200.0,0.8853962421417236,,,,,,,,,hard
7,10,9.48729681968689,1676681348.3130138,3900,,,0.8509653806686401,1034.0,243.75,13.90625,,,,,,hard
8,11,9.66280221939087,1676681348.4885192,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
9,13,10.046202421188354,1676681348.8719194,4900,,,0.8127514123916626,1131.0,245.0,14.0,,,,,,hard
10,14,10.231616020202637,1676681349.057333,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
11,15,12.305747747421265,1676681351.1314647,5500,97.0,200.0,0.7898612022399902,,,,0.05005953833460808,0.0,0.0014570000348612666,-6.207423686981201,1730.507568359375,hard
12,16,15.319252729415894,1676681354.1449697,5900,,,0.7745373845100403,614.0,245.8333282470703,17.89583396911621,0.03718863427639008,0.0,0.0014570000348612666,-0.1632695198059082,3240.537109375,hard
13,18,17.74766254425049,1676681356.5733795,6500,97.0,200.0,0.7516472339630127,,,,0.03344590589404106,0.0,0.0014570000348612666,-0.05098152160644531,6142.89794921875,hard
14,19,19.12101173400879,1676681357.9467287,6900,,,0.7363234162330627,514.0,246.42857360839844,25.410715103149418,0.013399127870798113,0.0,0.0014570000348612666,-0.16083240509033203,8399.984375,hard
15,20,19.634150743484497,1676681358.4598677,7000,97.0,200.0,0.7325402498245239,,,,0.014947667717933657,0.0,0.0014570000348612666,-0.015859603881835938,9035.2529296875,hard
16,21,21.54646921157837,1676681360.3721862,7500,97.0,200.0,0.7134332060813904,,,,0.015121095813810824,0.0,0.0014570000348612666,-0.02710437774658203,12422.3828125,hard
17,25,26.808026790618896,1676681365.6337438,8900,,,0.6598954200744629,421.0,247.22222900390625,37.86111068725586,0.01702156662940979,0.0,0.0014570000348612666,-0.3543367385864258,24255.7421875,hard
18,26,27.327638387680057,1676681366.1533554,9000,97.0,200.0,0.6561122536659241,,,,0.003296791575849056,0.0,0.0014570000348612666,-0.9094314575195312,25202.26953125,hard
19,28,30.667065143585205,1676681369.492782,9900,,,0.6216813921928406,396.0,247.5,41.724998474121094,0.000159191302373074,0.0,0.0014570000348612666,-0.7106533050537109,34145.78515625,hard
20,29,31.20079278945923,1676681370.0265098,10000,97.0,200.0,0.6178982257843018,,,,0.0001614824286662042,0.0,0.0014570000348612666,-0.07475852966308594,35188.91015625,hard
21,30,33.15881872177124,1676681371.9845357,10500,97.0,200.0,0.598791241645813,,,,0.01288418471813202,0.0,0.0014570000348612666,-0.2951040267944336,40545.171875,hard
22,31,34.57623243331909,1676681373.4019494,10900,,,0.583467423915863,377.0,247.7272796630859,45.78409194946289,0.00017888705770019442,0.0,0.0014570000348612666,-0.6282014846801758,44988.40234375,hard
23,32,35.22303318977356,1676681374.0487502,11000,97.0,200.0,0.5796842575073242,,,,6.615609891014174e-05,0.0,0.0014570000348612666,-0.5413961410522461,46133.00390625,hard
