,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,2.511380434036255,913.0,1676684923.2306194,900,225.0,11.875,0.9656074047088624,,,,,,,,hard
1,2,2.589907169342041,,1676684923.3091462,1000,,,0.9618242383003236,0.0,200.0,,,,,,hard
2,3,2.6776480674743652,,1676684923.396887,1500,,,0.94271719455719,0.0,200.0,,,,,,hard
3,4,2.694293260574341,1625.0,1676684923.4135325,1900,237.5,12.3125,0.92739337682724,,,,,,,,hard
4,5,2.7639148235321045,,1676684923.4831538,2000,,,0.9236102104187012,0.0,200.0,,,,,,hard
5,6,2.847208023071289,,1676684923.566447,2500,,,0.9045032262802124,0.0,200.0,,,,,,hard
6,7,2.863905906677246,2166.0,1676684923.583145,2900,241.6666717529297,11.083333015441896,0.8891794085502625,,,,,,,,hard
7,8,2.931293249130249,,1676684923.6505322,3000,,,0.8853962421417236,0.0,200.0,,,,,,hard
8,9,3.0145914554595947,,1676684923.7338305,3500,,,0.8662891983985901,0.0,200.0,,,,,,hard
9,10,3.0314810276031494,2589.0,1676684923.75072,3900,243.75,12.0,0.8509653806686401,,,,,,,,hard
10,11,3.099107027053833,,1676684923.818346,4000,,,0.8471822142601013,0.0,200.0,,,,,,hard
11,13,3.199427604675293,2927.0,1676684923.9186666,4900,245.0,13.5,0.8127514123916626,,,,,,,,hard
12,14,3.2591323852539062,,1676684923.9783714,5000,,,0.8089682459831238,0.0,200.0,,,,,,hard
13,15,3.954000234603882,,1676684924.6732392,5500,,,0.7898612022399902,0.0,200.0,0.07733586430549622,0.0,0.0014570000348612666,-5.826216697692871,1800.1634521484375,hard
14,17,4.6582932472229,,1676684925.3775322,6000,,,0.7707542181015015,96.0,200.0,0.04978913441300392,0.0,0.0014570000348612666,-4.830075740814209,4164.81884765625,hard
15,19,6.316182374954224,1440.0,1676684927.0354214,6900,246.42857360839844,29.696428298950195,0.7363234162330627,,,0.03057389333844185,0.0,0.0014570000348612666,-0.22507476806640625,9777.0400390625,hard
16,21,7.635148286819458,,1676684928.3543873,7500,,,0.7134332060813904,97.0,200.0,0.021364819258451465,0.0,0.0014570000348612666,-0.1603260040283203,14504.57421875,hard
17,22,8.62314224243164,1113.0,1676684929.3423812,7900,246.875,37.5625,0.6981093883514404,,,0.024379149079322815,0.0,0.0014570000348612666,-0.2505779266357422,18033.041015625,hard
18,23,8.789726734161377,,1676684929.5089655,8000,,,0.6943262219429016,97.0,200.0,0.002252762671560049,0.0,0.0014570000348612666,-0.35604095458984375,18972.103515625,hard
19,24,9.471410274505615,,1676684930.1906493,8500,,,0.6752192378044128,97.0,200.0,0.0022276639938354492,0.0,0.0014570000348612666,-0.6407651901245117,23821.53125,hard
20,25,9.987678289413452,1051.0,1676684930.7069173,8900,247.22222900390625,41.56944274902344,0.6598954200744629,,,0.001107189105823636,0.0,0.0014570000348612666,-0.2417163848876953,27872.076171875,hard
21,26,10.150983810424805,,1676684930.8702228,9000,,,0.6561122536659241,97.0,200.0,0.0012924732873216271,0.0,0.0014570000348612666,-0.40853404998779297,28911.3125,hard
22,28,11.340784311294556,1008.0,1676684932.0600233,9900,247.5,45.73749923706055,0.6216813921928406,,,0.0002933805517386645,0.0,0.0014570000348612666,-0.06464767456054688,38690.92578125,hard
23,29,11.503938913345335,,1676684932.223178,10000,,,0.6178982257843018,97.0,200.0,0.00027971476083621383,0.0,0.0014570000348612666,-0.8552646636962891,39834.36328125,hard
24,30,12.178076982498167,,1676684932.897316,10500,,,0.598791241645813,97.0,200.0,9.774383943295106e-05,0.0,0.0014570000348612666,-0.5137815475463867,45696.671875,hard
25,31,12.702852249145508,975.0,1676684933.4220912,10900,247.7272796630859,50.42045593261719,0.583467423915863,,,0.01347377523779869,0.0,0.0014570000348612666,-0.5885868072509766,50594.6796875,hard
26,32,12.866315364837646,,1676684933.5855544,11000,,,0.5796842575073242,97.0,200.0,6.909534567967057e-05,0.0,0.0014570000348612666,-0.15708541870117188,51855.19140625,hard
27,33,13.541406631469728,,1676684934.2606456,11500,,,0.5605772137641907,97.0,200.0,9.745318675413728e-05,0.0,0.0014570000348612666,-0.5767221450805664,58271.328125,hard
28,34,14.056364059448242,949.0,1676684934.775603,11900,247.9166717529297,54.17708206176758,0.5452533960342407,,,9.209446579916404e-05,0.0,0.0014570000348612666,-0.6010503768920898,63571.109375,hard
29,36,14.900899171829224,,1676684935.6201382,12500,,,0.5223632454872131,97.0,200.0,0.00011438317596912384,0.0,0.0014570000348612666,-1.0559186935424805,71805.0703125,hard
30,37,15.416555643081663,928.0,1676684936.1357946,12900,248.0769195556641,57.980770111083984,0.5070394277572632,,,0.00031927975942380726,0.0,0.0014570000348612666,-0.37584495544433594,77475.625,hard
31,38,15.578158617019652,,1676684936.2973976,13000,,,0.5032562613487244,97.0,200.0,0.00017724976351018995,0.0,0.0014570000348612666,-0.49223899841308594,78925.1484375,hard
32,41,16.948994636535645,,1676684937.6682336,14000,,,0.4650422334671021,97.0,200.0,2.2080334019847218e-05,0.0,0.0014570000348612666,-0.5356245040893555,93820.7421875,hard
33,44,18.3138108253479,,1676684939.0330498,15000,,,0.4268282353878021,97.0,200.0,0.0003635010798461735,0.0,0.0014570000348612666,-0.27770233154296875,109377.515625,hard
34,45,18.996726274490356,,1676684939.7159653,15500,,,0.40772125124931335,97.0,200.0,0.016639621928334236,0.0,0.0014570000348612666,-0.6510858535766602,117392.4453125,hard
35,46,19.521466493606567,883.0,1676684940.2407055,15900,248.4375,65.859375,0.3923974335193634,,,0.0003483510226942599,0.0,0.0014570000348612666,-0.751215934753418,123918.921875,hard
36,47,19.68477892875671,,1676684940.404018,16000,,,0.3886142373085022,97.0,200.0,0.00018953131802845744,0.0,0.0014570000348612666,-0.4929056167602539,125565.40625,hard
37,49,20.91938853263855,871.0,1676684941.6386275,16900,248.5294189453125,67.94853210449219,0.3541834354400635,,,7.92794962762855e-05,0.0,0.0014570000348612666,-0.29677772521972656,140605.015625,hard
38,50,21.084755897521973,,1676684941.803995,17000,,,0.35040023922920227,97.0,200.0,2.263601891172584e-05,0.0,0.0014570000348612666,-0.3714561462402344,142303.71875,hard
39,51,21.780028581619263,,1676684942.4992676,17500,,,0.3312932550907135,97.0,200.0,0.00021584729256574064,0.0,0.0014570000348612666,-0.5474262237548828,150878.59375,hard
40,52,22.30984854698181,861.0,1676684943.0290875,17900,248.61111450195312,70.36111450195312,0.31596943736076355,,,0.00010860907786991449,0.0,0.0014570000348612666,-0.5263290405273438,157850.609375,hard
41,53,22.47552227973938,,1676684943.1947613,18000,,,0.31218624114990234,97.0,200.0,0.0002032881748164073,0.0,0.0014570000348612666,-1.1465721130371094,159609.640625,hard
42,54,23.168824195861816,,1676684943.8880632,18500,,,0.2930792570114136,97.0,200.0,0.01685633882880211,0.0,0.0014570000348612666,-0.6272192001342773,168478.875,hard
43,55,23.694328784942627,852.0,1676684944.4135678,18900,248.6842041015625,72.56578826904297,0.2777554392814636,,,0.0001518479984952137,0.0,0.0014570000348612666,-0.5581130981445312,175672.890625,hard
44,56,23.8585524559021,,1676684944.5777917,19000,,,0.2739722430706024,97.0,200.0,0.0001095768457162194,0.0,0.0014570000348612666,-0.6104583740234375,177487.046875,hard
45,60,25.94002938270569,,1676684946.6592684,20500,,,0.21665124595165253,97.0,200.0,0.000209876787266694,0.0,0.0014570000348612666,-0.6763238906860352,205271.453125,hard
