,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,2.026144504547119,1776.0,1676686068.4041345,900,225.0,10.125,0.9656074047088624,,,,,,,,hard
1,3,2.1857199668884277,,1676686068.56371,1500,,,0.94271719455719,0.0,200.0,,,,,,hard
2,4,2.203113317489624,2778.0,1676686068.581103,1900,237.5,10.875,0.92739337682724,,,,,,,,hard
3,5,2.2747528553009033,,1676686068.6527429,2000,,,0.9236102104187012,0.0,200.0,,,,,,hard
4,6,2.361578941345215,,1676686068.739569,2500,,,0.9045032262802124,0.0,200.0,,,,,,hard
5,8,2.4469239711761475,,1676686068.824914,3000,,,0.8853962421417236,0.0,200.0,,,,,,hard
6,10,2.547647714614868,3792.0,1676686068.9256375,3900,243.75,13.375,0.8509653806686401,,,,,,,,hard
7,11,2.6135103702545166,,1676686068.9915004,4000,,,0.8471822142601013,0.0,200.0,,,,,,hard
8,12,2.697319746017456,,1676686069.0753098,4500,,,0.8280752301216125,0.0,200.0,,,,,,hard
9,13,2.71438980102539,4100.0,1676686069.0923798,4900,245.0,12.75,0.8127514123916626,,,,,,,,hard
10,14,2.7818126678466797,,1676686069.159803,5000,,,0.8089682459831238,0.0,200.0,,,,,,hard
11,15,3.467311143875122,,1676686069.8453012,5500,,,0.7898612022399902,97.0,200.0,0.08846395462751389,0.0,0.0014570000348612666,-8.004932403564453,1664.6309814453125,hard
12,16,4.461823463439941,2005.0,1676686070.8398137,5900,245.8333282470703,18.375,0.7745373845100403,,,0.03222571313381195,0.0,0.0014570000348612666,-0.7197017669677734,3212.45703125,hard
13,17,4.627427101135254,,1676686071.005417,6000,,,0.7707542181015015,96.0,200.0,0.0280692707747221,0.0,0.0014570000348612666,0.0,3671.83203125,hard
14,19,5.883357048034668,1581.0,1676686072.261347,6900,246.42857360839844,26.821428298950195,0.7363234162330627,,,0.03535489737987518,0.0,0.0014570000348612666,-0.3585014343261719,8593.0859375,hard
15,20,6.052825450897217,,1676686072.4308157,7000,,,0.7325402498245239,97.0,200.0,0.019336210563778877,0.0,0.0014570000348612666,-0.7180233001708984,9263.62109375,hard
16,21,6.768697023391724,,1676686073.146687,7500,,,0.7134332060813904,97.0,200.0,0.02675596997141838,0.0,0.0014570000348612666,-0.20406150817871097,12854.333984375,hard
17,23,7.481223106384277,,1676686073.859213,8000,,,0.6943262219429016,97.0,200.0,0.022444404661655423,0.0,0.0014570000348612666,-0.617889404296875,16941.5859375,hard
18,24,8.193604946136475,,1676686074.571595,8500,,,0.6752192378044128,97.0,200.0,0.021168455481529236,0.0,0.0014570000348612666,-0.6949605941772461,21536.619140625,hard
19,25,8.744917154312134,1231.0,1676686075.1229072,8900,247.22222900390625,41.15277862548828,0.6598954200744629,,,0.017993999645113945,0.0,0.0014570000348612666,-0.3233156204223633,25464.244140625,hard
20,27,9.623595714569092,,1676686076.0015855,9500,,,0.6370052099227905,97.0,200.0,0.0003202837542630732,0.0,0.0014570000348612666,-0.6647891998291016,31796.1328125,hard
21,28,10.1728618144989,1144.0,1676686076.5508518,9900,247.5,46.17499923706055,0.6216813921928406,,,0.0008664525230415165,0.0,0.0014570000348612666,-0.5463533401489258,36247.75390625,hard
22,30,11.04934287071228,,1676686077.4273329,10500,,,0.598791241645813,97.0,200.0,0.0006449494976550341,0.0,0.0014570000348612666,-0.3703041076660156,43275.12109375,hard
23,31,11.59458041191101,1081.0,1676686077.9725704,10900,247.7272796630859,49.79545593261719,0.583467423915863,,,0.000614131276961416,0.0,0.0014570000348612666,-0.6692161560058594,48119.47265625,hard
24,32,11.756482601165771,,1676686078.1344726,11000,,,0.5796842575073242,97.0,200.0,0.003891881089657545,0.0,0.0014570000348612666,-0.4266519546508789,49364.359375,hard
25,33,12.469648361206056,,1676686078.8476384,11500,,,0.5605772137641907,97.0,200.0,0.0001681642752373591,0.0,0.0014570000348612666,-0.25542354583740234,55680.59375,hard
26,35,13.186585187911987,,1676686079.5645752,12000,,,0.5414702296257019,97.0,200.0,0.0001163685228675604,0.0,0.0014570000348612666,-0.41850948333740234,62169.7109375,hard
27,37,14.45481276512146,997.0,1676686080.8328028,12900,248.0769195556641,56.24038314819336,0.5070394277572632,,,0.013301342725753784,0.0,0.0014570000348612666,-0.44344425201416016,74378.0,hard
28,38,14.618378639221191,,1676686080.9963686,13000,,,0.5032562613487244,97.0,200.0,0.01958766393363476,0.0,0.0014570000348612666,-0.5277156829833984,75784.0078125,hard
29,39,15.329466342926024,,1676686081.7074564,13500,,,0.4841492474079132,97.0,200.0,0.00016852903354447335,0.0,0.0014570000348612666,-0.4649543762207031,82913.3046875,hard
30,40,15.882484912872314,967.0,1676686082.260475,13900,248.2142791748047,59.5625,0.46882542967796326,,,3.4809687349479645e-05,0.0,0.0014570000348612666,-0.6988344192504883,88763.1953125,hard
31,41,16.04551601409912,,1676686082.423506,14000,,,0.4650422334671021,97.0,200.0,0.00016705234884284437,0.0,0.0014570000348612666,-0.6445760726928711,90252.2578125,hard
32,42,16.75271701812744,,1676686083.130707,14500,,,0.4459352493286133,97.0,200.0,0.00026836420875042677,0.0,0.0014570000348612666,-0.5886430740356445,97797.1953125,hard
33,43,17.30564832687378,943.0,1676686083.6836383,14900,248.3333282470703,62.60833358764648,0.4306114315986634,,,0.009903947822749616,0.0,0.0014570000348612666,-0.522526741027832,103963.859375,hard
34,44,17.46845006942749,,1676686083.84644,15000,,,0.4268282353878021,97.0,200.0,0.00010057575855171308,0.0,0.0014570000348612666,-0.27741432189941406,105529.0703125,hard
35,46,18.731144666671753,923.0,1676686085.109135,15900,248.4375,65.21875,0.3923974335193634,,,6.647852569585666e-05,0.0,0.0014570000348612666,-0.43692588806152344,119889.890625,hard
36,47,18.894864082336422,,1676686085.272854,16000,,,0.3886142373085022,97.0,200.0,0.0002821154776029289,0.0,0.0014570000348612666,-0.59869384765625,121520.359375,hard
37,48,19.617608785629272,,1676686085.9955988,16500,,,0.3695072531700134,97.0,200.0,0.010149593465030192,0.0,0.0014570000348612666,-0.8386373519897461,129750.890625,hard
38,49,20.168129682540897,906.0,1676686086.5461197,16900,248.5294189453125,67.88970947265625,0.3541834354400635,,,0.0002873721532523632,0.0,0.0014570000348612666,-0.38596439361572266,136454.65625,hard
39,50,20.331504821777344,,1676686086.7094948,17000,,,0.35040023922920227,97.0,200.0,0.0001682420406723395,0.0,0.0014570000348612666,-0.5336427688598633,138151.90625,hard
40,51,21.043029308319092,,1676686087.4210193,17500,,,0.3312932550907135,97.0,200.0,0.01348523423075676,0.0,0.0014570000348612666,-0.6692466735839844,146712.5,hard
41,52,21.595664262771606,891.0,1676686087.9736545,17900,248.61111450195312,70.02083587646484,0.31596943736076355,,,0.009774474427103996,0.0,0.0014570000348612666,-0.887639045715332,153648.4375,hard
42,53,21.75805377960205,,1676686088.1360438,18000,,,0.31218624114990234,97.0,200.0,0.00013265680172480643,0.0,0.0014570000348612666,-0.6654548645019531,155398.953125,hard
43,54,22.469868421554565,,1676686088.8478584,18500,,,0.2930792570114136,97.0,200.0,0.013126978650689123,0.0,0.0014570000348612666,-0.6019144058227539,164224.078125,hard
44,55,23.022594690322876,878.0,1676686089.4005847,18900,248.6842041015625,72.28289794921875,0.2777554392814636,,,0.0003332649648655206,0.0,0.0014570000348612666,-0.5850276947021484,171385.53125,hard
45,58,24.450764894485474,867.0,1676686090.828755,19900,248.75,74.33125305175781,0.2395414263010025,,,9.910880908137187e-05,0.0,0.0014570000348612666,-0.35578441619873047,189667.828125,hard
