,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,4.066619157791138,1676681988.2132173,500,96.5,200.0,0.9809312224388124,,,,,,,,,hard
1,1,4.991277456283569,1676681989.1378756,900,,,0.9656074047088624,867.0,225.0,7.375,,,,,,hard
2,2,5.066000461578369,1676681989.2125986,1000,96.5,200.0,0.9618242383003236,,,,,,,,,hard
3,3,5.167833566665649,1676681989.3144317,1500,96.5,200.0,0.94271719455719,,,,,,,,,hard
4,4,5.20007586479187,1676681989.346674,1900,,,0.92739337682724,1524.0,237.5,14.0,,,,,,hard
5,5,5.27226996421814,1676681989.418868,2000,96.5,200.0,0.9236102104187012,,,,,,,,,hard
6,6,5.377394199371338,1676681989.5239923,2500,96.5,200.0,0.9045032262802124,,,,,,,,,hard
7,7,5.409484386444092,1676681989.5560825,2900,,,0.8891794085502625,1991.0,241.6666717529297,14.958333015441896,,,,,,hard
8,8,5.482345342636108,1676681989.6289434,3000,96.5,200.0,0.8853962421417236,,,,,,,,,hard
9,9,5.586436986923218,1676681989.733035,3500,96.5,200.0,0.8662891983985901,,,,,,,,,hard
10,10,5.621504545211792,1676681989.7681026,3900,,,0.8509653806686401,2338.0,243.75,14.28125,,,,,,hard
11,11,5.69451904296875,1676681989.8411171,4000,96.5,200.0,0.8471822142601013,,,,,,,,,hard
12,12,5.796875238418579,1676681989.943473,4500,96.5,200.0,0.8280752301216125,,,,,,,,,hard
13,14,5.9020140171051025,1676681990.048612,5000,96.5,200.0,0.8089682459831238,,,,,,,,,hard
14,16,6.901008129119873,1676681991.0476062,5900,,,0.7745373845100403,2002.0,245.8333282470703,21.75,0.05153561756014824,0.0,0.0014570000348612666,-3.235581398010254,3923.677490234375,hard
15,17,7.0863800048828125,1676681991.232978,6000,96.5,200.0,0.7707542181015015,,,,0.06113921105861664,0.0,0.0014570000348612666,-2.9634804725646973,4467.427734375,hard
16,19,8.075382709503174,1676681992.2219808,6900,,,0.7363234162330627,1674.0,246.42857360839844,26.48214340209961,0.01123029924929142,0.0,0.0014570000348612666,-0.6001005172729492,9771.4541015625,hard
17,20,8.301718473434448,1676681992.4483166,7000,96.5,200.0,0.7325402498245239,,,,0.028440553694963455,0.0,0.0014570000348612666,-0.5465059280395508,10433.5078125,hard
18,22,10.206862926483154,1676681994.353461,7900,,,0.6981093883514404,1263.0,246.875,31.734375,0.001113072270527482,0.0,0.0014570000348612666,-0.2725057601928711,16795.638671875,hard
19,24,10.977463006973268,1676681995.124061,8500,97.0,200.0,0.6752192378044128,,,,0.00033262858050875366,0.0,0.0014570000348612666,-0.40323448181152344,21709.953125,hard
20,26,11.592950820922852,1676681995.739549,9000,97.0,200.0,0.6561122536659241,,,,0.00258186855353415,0.0,0.0014570000348612666,-0.5096912384033203,26142.67578125,hard
21,27,12.198207378387451,1676681996.3448057,9500,97.0,200.0,0.6370052099227905,,,,3.957020089728758e-05,0.0,0.0014570000348612666,-0.8355627059936523,30897.1875,hard
22,28,12.6378493309021,1676681996.7844474,9900,,,0.6216813921928406,1140.0,247.5,41.26250076293945,0.00010963991371681914,0.0,0.0014570000348612666,-0.38762569427490234,34916.3359375,hard
23,29,12.87614917755127,1676681997.0227473,10000,97.0,200.0,0.6178982257843018,,,,3.624099917942658e-05,0.0,0.0014570000348612666,-0.3530158996582031,35947.8984375,hard
24,30,13.488911151885986,1676681997.6355093,10500,97.0,200.0,0.598791241645813,,,,0.0001097862550523132,0.0,0.0014570000348612666,-0.6221637725830078,41242.6796875,hard
25,31,13.924267053604126,1676681998.0708652,10900,,,0.583467423915863,1093.0,247.7272796630859,45.53409194946289,0.0003768546157516539,0.0,0.0014570000348612666,-0.5456457138061523,45652.66015625,hard
