,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.6021926403045654,1676687510.632223,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,2,2.098036289215088,1676687511.1280663,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
2,3,2.1842551231384277,1676687511.2142851,1500,0.0,200.0,0.94271719455719,,,,,,,,,hard
3,4,2.2013516426086426,1676687511.2313817,1900,,,0.92739337682724,2745.0,237.5,9.625,,,,,,hard
4,5,2.269106388092041,1676687511.2991364,2000,0.0,200.0,0.9236102104187012,,,,,,,,,hard
5,7,2.3708126544952393,1676687511.400843,2900,,,0.8891794085502625,3366.0,241.6666717529297,9.416666984558104,,,,,,hard
6,12,2.6843979358673096,1676687511.714428,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
7,13,2.701569080352783,1676687511.731599,4900,,,0.8127514123916626,4109.0,245.0,14.975000381469728,,,,,,hard
8,14,2.769142389297486,1676687511.7991724,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
9,15,3.450267553329468,1676687512.4802976,5500,0.0,200.0,0.7898612022399902,,,,0.08462727069854736,0.0,0.0014570000348612666,-4.819337368011475,1909.1807861328125,hard
10,17,4.146064519882202,1676687513.1760943,6000,96.5,200.0,0.7707542181015015,,,,0.04125269129872322,0.0,0.0014570000348612666,-3.4048643112182617,4189.23681640625,hard
11,18,5.2669548988342285,1676687514.296985,6500,96.5,200.0,0.7516472339630127,,,,0.05655855685472488,0.0,0.0014570000348612666,-1.2751483917236328,6834.70458984375,hard
12,19,5.7991673946380615,1676687514.8291974,6900,,,0.7363234162330627,1608.0,246.42857360839844,25.875,0.03406049683690071,0.0,0.0014570000348612666,-0.16984939575195312,9152.0478515625,hard
13,20,5.964679479598999,1676687514.9947095,7000,97.0,200.0,0.7325402498245239,,,,0.02526744455099106,0.0,0.0014570000348612666,-0.5529537200927734,9798.9228515625,hard
14,21,7.077707767486572,1676687516.1077378,7500,97.0,200.0,0.7134332060813904,,,,0.029317131265997887,0.0,0.0014570000348612666,-0.6005105972290039,13237.041015625,hard
15,22,7.605899810791016,1676687516.6359298,7900,,,0.6981093883514404,1295.0,246.875,33.234375,0.016055328771471977,0.0,0.0014570000348612666,-0.6951503753662109,16306.44921875,hard
16,23,7.771179676055908,1676687516.8012097,8000,97.0,200.0,0.6943262219429016,,,,0.0065914359875023365,0.0,0.0014570000348612666,-1.707615852355957,17137.30859375,hard
17,24,8.46053409576416,1676687517.490564,8500,97.0,200.0,0.6752192378044128,,,,0.004321407526731491,0.0,0.0014570000348612666,-0.4355487823486328,21441.908203125,hard
18,25,8.99771237373352,1676687518.0277424,8900,,,0.6598954200744629,1188.0,247.22222900390625,38.75,0.0031697931699454784,0.0,0.0014570000348612666,-0.7574939727783203,25144.619140625,hard
19,26,9.162659168243408,1676687518.1926892,9000,97.0,200.0,0.6561122536659241,,,,0.0019619017839431763,0.0,0.0014570000348612666,-0.7780704498291016,26113.369140625,hard
20,27,9.858442783355711,1676687518.8884728,9500,97.0,200.0,0.6370052099227905,,,,0.0005523895961232483,0.0,0.0014570000348612666,-0.26199817657470703,31063.369140625,hard
21,29,10.555325984954834,1676687519.585356,10000,97.0,200.0,0.6178982257843018,,,,0.013560847379267216,0.0,0.0014570000348612666,-0.7187166213989258,36245.01953125,hard
22,30,11.25247287750244,1676687520.282503,10500,97.0,200.0,0.598791241645813,,,,0.00017370561545249075,0.0,0.0014570000348612666,-0.5731801986694336,41691.44921875,hard
23,32,11.947617530822754,1676687520.9776475,11000,97.0,200.0,0.5796842575073242,,,,3.921679308405146e-05,0.0,0.0014570000348612666,-0.553797721862793,47366.30859375,hard
24,33,12.642067193984984,1676687521.6720972,11500,97.0,200.0,0.5605772137641907,,,,7.26649013813585e-05,0.0,0.0014570000348612666,-0.5979909896850586,53283.6171875,hard
25,34,13.16765522956848,1676687522.1976852,11900,,,0.5452533960342407,1020.0,247.9166717529297,50.0,0.00012118989252485336,0.0,0.0014570000348612666,-0.40981578826904297,58161.54296875,hard
26,35,13.333152532577516,1676687522.3631823,12000,97.0,200.0,0.5414702296257019,,,,6.550266698468477e-05,0.0,0.0014570000348612666,-0.5702972412109375,59411.54296875,hard
27,36,14.027409791946411,1676687523.0574398,12500,97.0,200.0,0.5223632454872131,,,,0.00010268956248182803,0.0,0.0014570000348612666,-0.49857234954833984,65784.359375,hard
28,37,14.557800769805908,1676687523.5878308,12900,,,0.5070394277572632,988.0,248.0769195556641,53.55769348144531,0.0001057623594533652,0.0,0.0014570000348612666,-0.7403249740600586,71020.9140625,hard
29,38,14.72441816329956,1676687523.7544482,13000,97.0,200.0,0.5032562613487244,,,,0.0002483840798959136,0.0,0.0014570000348612666,-0.8530941009521484,72359.859375,hard
30,40,15.961143016815186,1676687524.991173,13900,,,0.46882542967796326,961.0,248.2142791748047,56.5,5.680476897396147e-05,0.0,0.0014570000348612666,-0.3964385986328125,84651.203125,hard
31,41,16.126701831817627,1676687525.1567318,14000,97.0,200.0,0.4650422334671021,,,,0.00010803763143485412,0.0,0.0014570000348612666,-0.2733583450317383,86063.703125,hard
32,42,16.824896812438965,1676687525.8549268,14500,97.0,200.0,0.4459352493286133,,,,0.00014561151328962296,0.0,0.0014570000348612666,-0.2855348587036133,93218.7578125,hard
33,43,17.351983070373535,1676687526.382013,14900,,,0.4306114315986634,940.0,248.3333282470703,59.26666641235352,0.00027679887716658413,0.0,0.0014570000348612666,-0.6471843719482422,99058.5703125,hard
34,44,17.51694965362549,1676687526.5469797,15000,97.0,200.0,0.4268282353878021,,,,9.41184989642352e-05,0.0,0.0014570000348612666,-0.6002559661865234,100540.234375,hard
35,45,18.21363401412964,1676687527.243664,15500,97.0,200.0,0.40772125124931335,,,,8.276077278424054e-05,0.0,0.0014570000348612666,-0.2913351058959961,108036.8671875,hard
36,46,18.745298147201535,1676687527.7753282,15900,,,0.3923974335193634,922.0,248.4375,62.2109375,0.0001915603206725791,0.0,0.0014570000348612666,-0.5832376480102539,114166.8359375,hard
37,47,18.91149425506592,1676687527.9415245,16000,97.0,200.0,0.3886142373085022,,,,0.00021013467630837113,0.0,0.0014570000348612666,-0.6115961074829102,115722.109375,hard
38,48,19.60914635658264,1676687528.6391764,16500,97.0,200.0,0.3695072531700134,,,,8.633272227598354e-05,0.0,0.0014570000348612666,-0.9731712341308594,123585.296875,hard
39,49,20.141639232635494,1676687529.1716692,16900,,,0.3541834354400635,907.0,248.5294189453125,64.99264526367188,0.00017732205742504448,0.0,0.0014570000348612666,-0.4590568542480469,129999.9453125,hard
40,50,20.307485342025757,1676687529.3375154,17000,97.0,200.0,0.35040023922920227,,,,0.016974259167909622,0.0,0.0014570000348612666,-0.4715433120727539,131624.765625,hard
41,51,20.999513149261475,1676687530.0295432,17500,97.0,200.0,0.3312932550907135,,,,0.017007309943437576,0.0,0.0014570000348612666,-0.782292366027832,139828.46875,hard
42,52,21.52630305290222,1676687530.556333,17900,,,0.31596943736076355,894.0,248.61111450195312,67.36805725097656,0.00021231957362033427,0.0,0.0014570000348612666,-0.4553871154785156,146497.296875,hard
43,54,22.381617546081543,1676687531.4116476,18500,97.0,200.0,0.2930792570114136,,,,0.0002831115562003106,0.0,0.0014570000348612666,-0.40485572814941406,156676.9375,hard
44,55,22.915494203567505,1676687531.9455242,18900,,,0.2777554392814636,882.0,248.6842041015625,69.72368621826172,0.014117072336375712,0.0,0.0014570000348612666,-0.8100337982177734,163577.640625,hard
45,56,23.080421924591064,1676687532.110452,19000,97.0,200.0,0.2739722430706024,,,,0.013093719258904455,0.0,0.0014570000348612666,-0.5415430068969727,165320.734375,hard
46,57,23.779383897781372,1676687532.809414,19500,97.0,200.0,0.25486525893211365,,,,0.00038324767956510186,0.0,0.0014570000348612666,-0.5692243576049805,174100.34375,hard
47,59,24.47292542457581,1676687533.5029554,20000,97.0,200.0,0.2357582449913025,,,,0.0001228535984409973,0.0,0.0014570000348612666,-0.5691442489624023,183005.484375,hard
48,60,25.16670298576355,1676687534.196733,20500,97.0,200.0,0.21665124595165253,,,,0.0006286565330810845,0.0,0.0014570000348612666,-0.4636907577514648,192034.59375,hard
49,61,25.707876443862915,1676687534.7379065,20900,,,0.20132742822170255,863.0,248.8095245361328,73.69047546386719,0.01346653327345848,0.0,0.0014570000348612666,-0.677708625793457,199343.4375,hard
50,62,25.87319326400757,1676687534.9032233,21000,97.0,200.0,0.19754424691200256,,,,0.017012201249599457,0.0,0.0014570000348612666,-0.7667274475097656,201185.703125,hard
51,63,26.570814609527588,1676687535.6008446,21500,97.0,200.0,0.1784372478723526,,,,0.00015457015251740813,0.0,0.0014570000348612666,-0.4235820770263672,210461.34375,hard
52,64,27.10074758529663,1676687536.1307776,21900,,,0.16311343014240265,855.0,248.86363220214844,75.59091186523438,0.0006913490360602736,0.0,0.0014570000348612666,-0.6366434097290039,217966.90625,hard
53,65,27.27107954025269,1676687536.3011096,22000,97.0,200.0,0.15933024883270264,,,,0.013675597496330738,0.0,0.0014570000348612666,-0.2445383071899414,219856.6875,hard
54,66,27.965705394744873,1676687536.9957354,22500,97.0,200.0,0.14022324979305267,,,,0.00015233556041494012,0.0,0.0014570000348612666,-0.6130409240722656,229363.890625,hard
55,67,28.495259284973145,1676687537.5252893,22900,,,0.12489943951368332,848.0,248.9130401611328,77.41304016113281,0.00013398008013609797,0.0,0.0014570000348612666,-0.5240354537963867,237050.171875,hard
56,68,28.660143852233887,1676687537.690174,23000,97.0,200.0,0.12111625075340272,,,,0.0005015003262087703,0.0,0.0014570000348612666,-0.910569190979004,238985.5,hard
57,70,29.89123058319092,1676687538.9212606,23900,,,0.08668544143438339,842.0,248.9583282470703,79.14583587646484,0.0004292444791644811,0.0,0.0014570000348612666,-0.4605865478515625,256581.765625,hard
58,71,30.05601978302002,1676687539.0860498,24000,97.0,200.0,0.08290225267410278,,,,0.0005088326870463789,0.0,0.0014570000348612666,-0.46743202209472656,258560.40625,hard
59,72,30.75293731689453,1676687539.782967,24500,97.0,200.0,0.06379525363445282,,,,0.00028617342468351126,0.0,0.0014570000348612666,-0.6449298858642578,268504.4375,hard
60,75,32.15627098083496,1676687541.186301,25500,97.0,200.0,0.05000000074505806,,,,0.00012267701094970107,0.0,0.0014570000348612666,-0.8710641860961914,288760.28125,hard
61,76,32.68960428237915,1676687541.7196343,25900,,,0.05000000074505806,830.0,250.0,85.28500366210938,0.0001903368392959237,0.0,0.0014570000348612666,-0.8219833374023438,297126.78125,hard
62,77,32.85734748840332,1676687541.8873775,26000,97.0,200.0,0.05000000074505806,,,,0.013811727054417132,0.0,0.0014570000348612666,-0.2267932891845703,299258.90625,hard
63,78,33.55737924575806,1676687542.5874093,26500,97.0,200.0,0.05000000074505806,,,,0.013694976456463335,0.0,0.0014570000348612666,-0.18246936798095703,310026.03125,hard
64,79,34.09118938446045,1676687543.1212194,26900,,,0.05000000074505806,825.0,250.0,89.4800033569336,0.0001752812968334183,0.0,0.0014570000348612666,-0.7577676773071289,318823.53125,hard
65,80,34.2570321559906,1676687543.2870622,27000,97.0,200.0,0.05000000074505806,,,,0.013579096645116806,0.0,0.0014570000348612666,-0.5904483795166016,321060.53125,hard
66,82,35.48862886428833,1676687544.5186589,27900,,,0.05000000074505806,821.0,250.0,93.88999938964844,0.0005047612357884645,0.0,0.0014570000348612666,-1.1934022903442385,341599.15625,hard
67,83,35.6567018032074,1676687544.6867318,28000,97.0,200.0,0.05000000074505806,,,,0.0002362947561778128,0.0,0.0014570000348612666,-0.4368438720703125,343946.40625,hard
68,84,36.3593864440918,1676687545.3894165,28500,97.0,200.0,0.05000000074505806,,,,0.00041538316872902215,0.0,0.0014570000348612666,-0.3982048034667969,355797.90625,hard
69,86,37.06775379180908,1676687546.0977838,29000,97.0,200.0,0.05000000074505806,,,,0.00011865989654324947,0.0,0.0014570000348612666,-0.8585577011108398,367913.15625,hard
70,87,37.772220849990845,1676687546.8022509,29500,97.0,200.0,0.05000000074505806,,,,0.0005330333951860666,0.0,0.0014570000348612666,-0.8138513565063477,380249.40625,hard
71,88,38.308287382125854,1676687547.3383174,29900,,,0.05000000074505806,812.0,250.0,101.52999877929688,0.00019910954870283604,0.0,0.0014570000348612666,-0.08561134338378906,390259.90625,hard
72,89,38.475072622299194,1676687547.5051026,30000,97.0,200.0,0.05000000074505806,,,,0.0002394457842456177,0.0,0.0014570000348612666,-0.6035642623901367,392798.15625,hard
73,92,39.8772828578949,1676687548.9073129,31000,97.0,200.0,0.05000000074505806,,,,0.0004087685083504766,0.0,0.0014570000348612666,-0.7460899353027344,418567.40625,hard
74,93,40.573498487472534,1676687549.6035285,31500,97.0,200.0,0.05000000074505806,,,,0.013611925765872002,0.0,0.0014570000348612666,-0.4787445068359375,431702.65625,hard
75,94,41.105578899383545,1676687550.135609,31900,,,0.05000000074505806,805.0,250.0,106.8249969482422,0.000518334680236876,0.0,0.0014570000348612666,-0.32321739196777344,442326.90625,hard
76,95,41.27284002304077,1676687550.30287,32000,97.0,200.0,0.05000000074505806,,,,0.0003035823174286634,0.0,0.0014570000348612666,-0.4157094955444336,444997.53125,hard
77,96,41.97749328613281,1676687551.0075233,32500,97.0,200.0,0.05000000074505806,,,,0.013546891510486605,0.0,0.0014570000348612666,-0.5960273742675781,458394.53125,hard
78,97,42.52211880683899,1676687551.5521488,32900,,,0.05000000074505806,802.0,250.0,108.18000030517578,0.013791431672871113,0.0,0.0014570000348612666,-0.4779605865478515,469172.78125,hard
79,98,42.69046497344971,1676687551.720495,33000,97.0,200.0,0.05000000074505806,,,,0.00029062683461233974,0.0,0.0014570000348612666,-0.5938310623168945,471877.28125,hard
80,99,43.38949179649353,1676687552.4195218,33500,97.0,200.0,0.05000000074505806,,,,0.0003499045269563794,0.0,0.0014570000348612666,-0.4901924133300781,485446.40625,hard
81,100,43.92272639274597,1676687552.9527564,33900,,,0.05000000074505806,799.0,250.0,109.63999938964844,0.0007635097717866302,0.0,0.0014570000348612666,-0.918696403503418,496358.90625,hard
82,101,44.08974885940552,1676687553.1197789,34000,97.0,200.0,0.05000000074505806,,,,8.90779701876454e-05,0.0,0.0014570000348612666,-0.4124021530151367,499099.90625,hard
83,102,44.79225540161133,1676687553.8222854,34500,97.0,200.0,0.05000000074505806,,,,0.00025193236069753766,0.0,0.0014570000348612666,-0.3725137710571289,512856.40625,hard
84,104,45.49453353881836,1676687554.5245636,35000,97.0,200.0,0.05000000074505806,,,,0.0001354319683741778,0.0,0.0014570000348612666,-0.28038692474365234,526722.8125,hard
85,105,46.19407653808594,1676687555.2241066,35500,97.0,200.0,0.05000000074505806,,,,0.013804750517010689,0.0,0.0014570000348612666,-0.2161855697631836,540676.1875,hard
86,106,46.73428797721863,1676687555.764318,35900,,,0.05000000074505806,793.0,250.0,112.70500183105467,0.0002411102323094383,0.0,0.0014570000348612666,-0.39507198333740234,551903.9375,hard
87,107,46.90333080291748,1676687555.9333608,36000,97.0,200.0,0.05000000074505806,,,,0.00015935183910187334,0.0,0.0014570000348612666,-0.3589506149291992,554721.5625,hard
88,108,47.60767841339111,1676687556.6377084,36500,97.0,200.0,0.05000000074505806,,,,0.0002778788621071726,0.0,0.0014570000348612666,-0.20266342163085935,568841.4375,hard
89,109,48.14598298072815,1676687557.176013,36900,,,0.05000000074505806,791.0,250.0,113.87999725341795,0.00015299564984161407,0.0,0.0014570000348612666,-0.35636329650878906,580193.4375,hard
90,110,48.31076264381409,1676687557.340793,37000,97.0,200.0,0.05000000074505806,,,,0.00046944638597778976,0.0,0.0014570000348612666,-0.4082469940185547,583040.4375,hard
91,112,49.55405235290527,1676687558.5840824,37900,,,0.05000000074505806,788.0,250.0,114.77999877929688,0.0005136067629791796,0.0,0.0014570000348612666,-0.27214717864990234,608745.6875,hard
92,113,49.714131355285645,1676687558.7441614,38000,97.0,200.0,0.05000000074505806,,,,0.0008073423523455858,0.0,0.0014570000348612666,-0.6724529266357422,611615.1875,hard
93,114,50.41497182846069,1676687559.4450018,38500,97.0,200.0,0.05000000074505806,,,,0.00032156819361262023,0.0,0.0014570000348612666,-0.5267524719238281,626006.1875,hard
94,115,50.95701503753662,1676687559.987045,38900,,,0.05000000074505806,786.0,250.0,115.73999786376952,0.0007552521419711411,0.0,0.0014570000348612666,-0.17553424835205078,637563.6875,hard
95,117,51.79900121688843,1676687560.8290312,39500,97.0,200.0,0.05000000074505806,,,,0.0005532591021619737,0.0,0.0014570000348612666,-0.4418878555297851,654946.5625,hard
96,118,52.33103632926941,1676687561.3610663,39900,,,0.05000000074505806,785.0,250.0,116.61000061035156,0.00029508903389796615,0.0,0.0014570000348612666,-0.4494819641113281,666579.3125,hard
97,119,52.481672286987305,1676687561.5117023,40000,97.0,200.0,0.05000000074505806,,,,8.837776113068685e-05,0.0,0.0014570000348612666,-0.2167320251464844,669494.5625,hard
98,120,53.1671621799469,1676687562.1971922,40500,97.0,200.0,0.05000000074505806,,,,0.00029891403391957283,0.0,0.0014570000348612666,-0.4105892181396485,684088.5625,hard
99,121,53.69939374923706,1676687562.7294238,40900,,,0.05000000074505806,783.0,250.0,117.11499786376952,0.0002228061348432675,0.0,0.0014570000348612666,-0.5410737991333008,695783.3125,hard
100,122,53.84966158866882,1676687562.8796916,41000,97.0,200.0,0.05000000074505806,,,,0.00019179123046342283,0.0,0.0014570000348612666,-0.3644132614135742,698711.1875,hard
101,123,54.53443360328674,1676687563.5644636,41500,97.0,200.0,0.05000000074505806,,,,9.836590470513328e-05,0.0,0.0014570000348612666,-0.44161033630371094,713360.5625,hard
102,124,55.06928515434265,1676687564.0993152,41900,,,0.05000000074505806,782.0,250.0,117.48999786376952,0.00010706255852710456,0.0,0.0014570000348612666,-0.4119586944580078,725095.3125,hard
103,125,55.22077989578247,1676687564.25081,42000,97.0,200.0,0.05000000074505806,,,,6.887655035825446e-05,0.0,0.0014570000348612666,-0.5948371887207031,728032.5625,hard
104,126,55.91260313987732,1676687564.9426332,42500,97.0,200.0,0.05000000074505806,,,,0.013692901469767094,0.0,0.0014570000348612666,-0.23311901092529297,742729.9375,hard
105,128,56.61167120933533,1676687565.6417012,43000,97.0,200.0,0.05000000074505806,,,,0.01349867507815361,0.0,0.0014570000348612666,-0.4759197235107422,757456.5625,hard
106,129,57.30945301055908,1676687566.339483,43500,97.0,200.0,0.05000000074505806,,,,0.0005754713201895356,0.0,0.0014570000348612666,-0.19102191925048828,772212.1875,hard
107,131,58.004737854003906,1676687567.034768,44000,97.0,200.0,0.05000000074505806,,,,0.027320705354213715,0.0,0.0014570000348612666,-0.4282426834106446,786985.4375,hard
108,132,58.698718309402466,1676687567.7287483,44500,97.0,200.0,0.05000000074505806,,,,0.0002016289217863232,0.0,0.0014570000348612666,-0.21589279174804688,801780.0625,hard
109,133,59.24090075492859,1676687568.2709308,44900,,,0.05000000074505806,777.0,250.0,118.62999725341795,0.00019737868569791317,0.0,0.0014570000348612666,-0.29224681854248047,813632.5625,hard
110,134,59.39379572868347,1676687568.4238255,45000,97.0,200.0,0.05000000074505806,,,,0.013786152936518192,0.0,0.0014570000348612666,-0.11385726928710938,816598.3125,hard
111,135,60.08795428276062,1676687569.1179843,45500,97.0,200.0,0.05000000074505806,,,,0.0004971844027750194,0.0,0.0014570000348612666,-0.5520153045654297,831437.1875,hard
112,136,60.62974262237549,1676687569.6597726,45900,,,0.05000000074505806,776.0,250.0,118.8499984741211,0.014026527293026447,0.0,0.0014570000348612666,-0.3039865493774414,843317.1875,hard
113,137,60.78230881690979,1676687569.8123388,46000,97.0,200.0,0.05000000074505806,,,,0.00015215006715152413,0.0,0.0014570000348612666,-0.737091064453125,846288.4375,hard
114,138,61.47629976272583,1676687570.5063298,46500,97.0,200.0,0.05000000074505806,,,,8.550272468710318e-05,0.0,0.0014570000348612666,-0.5961618423461914,861147.5625,hard
115,139,62.02157807350159,1676687571.051608,46900,,,0.05000000074505806,775.0,250.0,118.98500061035156,0.0003294715716037899,0.0,0.0014570000348612666,-0.3283395767211914,873039.5625,hard
116,140,62.173762798309326,1676687571.2037928,47000,97.0,200.0,0.05000000074505806,,,,0.02909223362803459,0.0,0.0014570000348612666,-0.1791677474975586,876014.1875,hard
117,141,62.86633586883545,1676687571.896366,47500,97.0,200.0,0.05000000074505806,,,,0.00028258684324100614,0.0,0.0014570000348612666,-0.5680303573608398,890890.3125,hard
118,142,63.406986713409424,1676687572.4370167,47900,,,0.05000000074505806,773.0,250.0,119.02999877929688,0.0004968744469806552,0.0,0.0014570000348612666,-0.2726621627807617,902793.0625,hard
119,143,63.559303283691406,1676687572.5893333,48000,97.0,200.0,0.05000000074505806,,,,0.00020094573847018185,0.0,0.0014570000348612666,-0.3735218048095703,905768.8125,hard
