,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.068619966506958,1676683866.2256029,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,1,7.899749040603638,1676683868.056732,900,,,0.9656074047088624,421.0,225.0,20.125,,,,,,hard
2,3,8.366710901260376,1676683868.5236938,1500,0.0,200.0,0.94271719455719,,,,,,,,,hard
3,6,8.927517414093018,1676683869.0845003,2500,0.0,200.0,0.9045032262802124,,,,,,,,,hard
4,7,9.033376216888428,1676683869.190359,2900,,,0.8891794085502625,886.0,241.6666717529297,21.16666603088379,,,,,,hard
5,8,9.21705436706543,1676683869.3740373,3000,0.0,200.0,0.8853962421417236,,,,,,,,,hard
6,9,9.491071462631226,1676683869.6480544,3500,0.0,200.0,0.8662891983985901,,,,,,,,,hard
7,10,9.596330165863035,1676683869.753313,3900,,,0.8509653806686401,1017.0,243.75,17.21875,,,,,,hard
8,11,9.774406909942629,1676683869.9313898,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
9,13,10.155484676361084,1676683870.3124676,4900,,,0.8127514123916626,1115.0,245.0,14.75,,,,,,hard
10,14,10.332399845123293,1676683870.4893827,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
11,16,15.5305655002594,1676683875.6875484,5900,,,0.7745373845100403,604.0,245.8333282470703,20.58333396911621,0.0598403736948967,0.0,0.0014570000348612666,-5.649620532989502,3691.104736328125,hard
12,17,16.02631187438965,1676683876.1832948,6000,97.0,200.0,0.7707542181015015,,,,0.053194429725408554,0.0,0.0014570000348612666,-4.129133701324463,4205.68798828125,hard
13,18,19.537672996520996,1676683879.694656,6500,97.0,200.0,0.7516472339630127,,,,0.0464329868555069,0.0,0.0014570000348612666,-1.119924545288086,6977.66259765625,hard
14,19,20.81404280662537,1676683880.9710257,6900,,,0.7363234162330627,458.0,246.42857360839844,28.035715103149418,0.03160740062594414,0.0,0.0014570000348612666,-0.6966714859008789,9521.537109375,hard
15,20,21.389795780181885,1676683881.546779,7000,97.0,200.0,0.7325402498245239,,,,0.018079133704304695,0.0,0.0014570000348612666,-0.6784524917602539,10222.4296875,hard
16,22,24.507484674453735,1676683884.6644676,7900,,,0.6981093883514404,421.0,246.875,34.9375,0.011717845685780048,0.0,0.0014570000348612666,-0.1850614547729492,17116.916015625,hard
17,23,25.01572632789612,1676683885.1727092,8000,97.0,200.0,0.6943262219429016,,,,0.005369291175156832,0.0,0.0014570000348612666,-0.4235363006591797,17990.353515625,hard
18,24,26.91748857498169,1676683887.0744717,8500,97.0,200.0,0.6752192378044128,,,,0.004411252681165934,0.0,0.0014570000348612666,-0.07526111602783203,22515.29296875,hard
19,25,28.3037006855011,1676683888.4606836,8900,,,0.6598954200744629,394.0,247.22222900390625,40.30555725097656,0.0002906333829741925,0.0,0.0014570000348612666,-0.529627799987793,26344.515625,hard
20,27,30.765181064605713,1676683890.922164,9500,97.0,200.0,0.6370052099227905,,,,0.0005583230522461236,0.0,0.0014570000348612666,-0.6710996627807617,32556.603515625,hard
21,28,32.135364294052124,1676683892.2923472,9900,,,0.6216813921928406,375.0,247.5,44.86249923706055,0.0002682794874999672,0.0,0.0014570000348612666,-0.48659706115722656,36934.83984375,hard
22,29,32.6591682434082,1676683892.8161511,10000,97.0,200.0,0.6178982257843018,,,,0.0002596760168671608,0.0,0.0014570000348612666,-0.7264547348022461,38056.40234375,hard
23,30,34.573596477508545,1676683894.7305794,10500,97.0,200.0,0.598791241645813,,,,0.0002364076062804088,0.0,0.0014570000348612666,-0.2256336212158203,43804.140625,hard
24,32,36.51379108428955,1676683896.670774,11000,97.0,200.0,0.5796842575073242,,,,0.013431225903332232,0.0,0.0014570000348612666,-0.7780895233154297,49782.3125,hard
25,33,38.4258074760437,1676683898.5827904,11500,97.0,200.0,0.5605772137641907,,,,0.00018047694175038487,0.0,0.0014570000348612666,-0.8872146606445312,55964.12890625,hard
26,34,39.82445693016052,1676683899.9814398,11900,,,0.5452533960342407,349.0,247.9166717529297,50.95833206176758,0.0001225219457410276,0.0,0.0014570000348612666,-0.9292974472045898,61016.3359375,hard
27,35,40.35768938064575,1676683900.5146725,12000,97.0,200.0,0.5414702296257019,,,,3.726810246007517e-05,0.0,0.0014570000348612666,-0.6650009155273438,62290.29296875,hard
28,36,42.31454563140869,1676683902.4715283,12500,97.0,200.0,0.5223632454872131,,,,3.98669762944337e-05,0.0,0.0014570000348612666,-0.4727582931518554,68765.890625,hard
29,37,43.72431325912475,1676683903.8812962,12900,,,0.5070394277572632,339.0,248.0769195556641,54.25,0.00011775966413551942,0.0,0.0014570000348612666,-0.7873983383178711,74098.9765625,hard
30,38,44.26841950416565,1676683904.4254024,13000,97.0,200.0,0.5032562613487244,,,,0.017028043046593666,0.0,0.0014570000348612666,-0.7368507385253906,75455.2265625,hard
31,39,46.217509031295776,1676683906.374492,13500,97.0,200.0,0.4841492474079132,,,,7.761592860333622e-05,0.0,0.0014570000348612666,-0.5332441329956055,82340.6015625,hard
32,40,47.64235806465149,1676683907.799341,13900,,,0.46882542967796326,331.0,248.2142791748047,57.60714340209961,0.01671912893652916,0.0,0.0014570000348612666,-0.9877052307128906,87997.4140625,hard
33,41,48.16820955276489,1676683908.3251925,14000,97.0,200.0,0.4650422334671021,,,,0.0002146991901099682,0.0,0.0014570000348612666,-0.599980354309082,89437.59375,hard
34,42,50.11275792121887,1676683910.2697408,14500,97.0,200.0,0.4459352493286133,,,,0.00012217955372761935,0.0,0.0014570000348612666,-0.4276599884033203,96734.7890625,hard
35,43,51.55479907989502,1676683911.711782,14900,,,0.4306114315986634,325.0,248.3333282470703,60.43333435058594,0.0003005804028362036,0.0,0.0014570000348612666,-0.5483522415161133,102694.203125,hard
36,44,52.10824394226074,1676683912.2652268,15000,97.0,200.0,0.4268282353878021,,,,0.006698447745293379,0.0,0.0014570000348612666,-0.2509880065917969,104205.0390625,hard
37,46,55.5284481048584,1676683915.685431,15900,,,0.3923974335193634,319.0,248.4375,63.0625,0.0003958216984756291,0.0,0.0014570000348612666,-0.7544355392456055,118069.421875,hard
38,47,56.06219005584717,1676683916.219173,16000,97.0,200.0,0.3886142373085022,,,,0.00028735664091072977,0.0,0.0014570000348612666,-1.0587682723999023,119645.984375,hard
39,48,58.04328203201294,1676683918.200265,16500,97.0,200.0,0.3695072531700134,,,,0.00038461480289697647,0.0,0.0014570000348612666,-0.4253702163696289,127601.4921875,hard
40,49,59.487236976623535,1676683919.64422,16900,,,0.3541834354400635,314.0,248.5294189453125,65.5882339477539,0.006576335057616234,0.0,0.0014570000348612666,-1.0357027053833008,134079.703125,hard
41,50,60.03247904777527,1676683920.189462,17000,97.0,200.0,0.35040023922920227,,,,4.133501715841703e-05,0.0,0.0014570000348612666,-0.8893337249755859,135719.40625,hard
42,51,62.040860414505005,1676683922.1978433,17500,97.0,200.0,0.3312932550907135,,,,0.00013800227316096425,0.0,0.0014570000348612666,-0.7467241287231445,144001.03125,hard
43,54,66.03851580619812,1676683926.1954987,18500,97.0,200.0,0.2930792570114136,,,,0.0005588675267063081,0.0,0.0014570000348612666,-0.7310972213745117,161006.734375,hard
44,56,68.06009411811829,1676683928.217077,19000,97.0,200.0,0.2739722430706024,,,,0.017174242064356804,0.0,0.0014570000348612666,-0.8169450759887695,169724.578125,hard
45,57,70.0457034111023,1676683930.2026863,19500,97.0,200.0,0.25486525893211365,,,,0.00012946642527822405,0.0,0.0014570000348612666,-0.614842414855957,178570.640625,hard
46,58,71.5451557636261,1676683931.702139,19900,,,0.2395414263010025,302.0,248.75,72.19999694824219,0.00019552202138584107,0.0,0.0014570000348612666,-0.7171964645385742,185729.015625,hard
47,59,72.15316152572632,1676683932.3101444,20000,97.0,200.0,0.2357582449913025,,,,0.00014231615932658315,0.0,0.0014570000348612666,-0.44377803802490234,187534.015625,hard
48,60,74.15840101242065,1676683934.315384,20500,97.0,200.0,0.21665124595165253,,,,0.00015969217929523438,0.0,0.0014570000348612666,-0.6769695281982422,196625.875,hard
49,61,75.63605237007141,1676683935.7930353,20900,,,0.20132742822170255,299.0,248.8095245361328,74.25595092773438,0.000290711410343647,0.0,0.0014570000348612666,-0.20347976684570312,203988.671875,hard
50,63,78.27877497673035,1676683938.435758,21500,97.0,200.0,0.1784372478723526,,,,0.010118762031197548,0.0,0.0014570000348612666,-0.6984128952026367,215188.53125,hard
51,64,79.78439927101135,1676683939.9413822,21900,,,0.16311343014240265,295.0,248.86363220214844,76.2102279663086,0.00037560821510851383,0.0,0.0014570000348612666,-1.0761032104492188,222750.75,hard
52,65,80.34873867034912,1676683940.5057216,22000,97.0,200.0,0.15933024883270264,,,,0.0001608583115739748,0.0,0.0014570000348612666,-1.0320415496826172,224656.0,hard
53,66,82.43176245689392,1676683942.5887454,22500,97.0,200.0,0.14022324979305267,,,,0.02708207070827484,0.0,0.0014570000348612666,-1.0172767639160156,234239.796875,hard
54,67,83.95482611656189,1676683944.111809,22900,,,0.12489943951368332,292.0,248.9130401611328,77.94021606445312,0.00024492997908964753,0.0,0.0014570000348612666,-0.7781915664672852,241983.8125,hard
55,68,84.51373982429504,1676683944.6707227,23000,97.0,200.0,0.12111625075340272,,,,0.0005326553946360946,0.0,0.0014570000348612666,-0.28980350494384766,243932.328125,hard
56,69,86.60049986839294,1676683946.7574828,23500,97.0,200.0,0.10200925171375276,,,,0.0002293120778631419,0.0,0.0014570000348612666,-0.5158767700195312,253729.390625,hard
57,70,88.1338050365448,1676683948.290788,23900,,,0.08668544143438339,290.0,248.9583282470703,79.59896087646484,0.000129799940623343,0.0,0.0014570000348612666,-0.3210897445678711,261640.859375,hard
58,71,88.71065855026245,1676683948.8676414,24000,97.0,200.0,0.08290225267410278,,,,0.016767796128988266,0.0,0.0014570000348612666,-0.5491876602172852,263630.84375,hard
59,72,90.79034376144408,1676683950.947327,24500,97.0,200.0,0.06379525363445282,,,,0.0002878249215427786,0.0,0.0014570000348612666,-0.7777233123779297,273630.90625,hard
60,73,92.32881951332092,1676683952.4858024,24900,,,0.05000000074505806,287.0,249.0,81.12000274658203,0.0004913430311717093,0.0,0.0014570000348612666,-0.9063482284545898,281698.78125,hard
61,75,94.95256471633913,1676683955.1095476,25500,97.0,200.0,0.05000000074505806,,,,0.0001582005643285811,0.0,0.0014570000348612666,-0.23961830139160156,293971.40625,hard
62,77,97.04003524780272,1676683957.197018,26000,97.0,200.0,0.05000000074505806,,,,0.00016997485363390297,0.0,0.0014570000348612666,-0.6676931381225586,304477.03125,hard
