,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.953339338302612,1676682290.8619144,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,1,4.85468864440918,1676682291.7632637,900,,,0.9656074047088624,893.0,225.0,11.125,,,,,,hard
2,2,4.928764343261719,1676682291.8373394,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
3,4,5.064548492431641,1676682291.9731236,1900,,,0.92739337682724,1561.0,237.5,11.5,,,,,,hard
4,5,5.138195037841797,1676682292.04677,2000,0.0,200.0,0.9236102104187012,,,,,,,,,hard
5,6,5.2478814125061035,1676682292.1564565,2500,0.0,200.0,0.9045032262802124,,,,,,,,,hard
6,7,5.280474424362183,1676682292.1890495,2900,,,0.8891794085502625,2023.0,241.6666717529297,10.708333015441896,,,,,,hard
7,8,5.354556322097778,1676682292.2631314,3000,0.0,200.0,0.8853962421417236,,,,,,,,,hard
8,9,5.456339597702026,1676682292.364915,3500,0.0,200.0,0.8662891983985901,,,,,,,,,hard
9,10,5.488662242889404,1676682292.3972373,3900,,,0.8509653806686401,2376.0,243.75,14.96875,,,,,,hard
10,11,5.562658309936523,1676682292.4712334,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
11,12,5.667671203613281,1676682292.5762465,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
12,13,5.703715801239014,1676682292.6122909,4900,,,0.8127514123916626,2639.0,245.0,13.625,,,,,,hard
13,14,5.780775547027588,1676682292.6893506,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
14,15,6.370418071746826,1676682293.2789931,5500,97.0,200.0,0.7898612022399902,,,,0.10022855550050735,0.0,0.0014570000348612666,-10.519634246826172,1719.302490234375,hard
15,16,7.658907890319824,1676682294.567483,5900,,,0.7745373845100403,1548.0,245.8333282470703,17.64583396911621,0.05396740883588791,0.0,0.0014570000348612666,-4.92692232131958,3205.36962890625,hard
16,17,7.844239473342896,1676682294.7528143,6000,97.0,200.0,0.7707542181015015,,,,0.06858369708061218,0.0,0.0014570000348612666,-1.583021640777588,3646.515625,hard
17,18,8.43630576133728,1676682295.3448808,6500,97.0,200.0,0.7516472339630127,,,,0.018291836604475975,0.0,0.0014570000348612666,-2.2600784301757812,6027.73046875,hard
18,19,8.903976917266846,1676682295.812552,6900,,,0.7363234162330627,1364.0,246.42857360839844,24.625,0.015242581255733969,0.0,0.0014570000348612666,-0.6029396057128906,8259.3544921875,hard
19,20,9.084945440292358,1676682295.9935205,7000,97.0,200.0,0.7325402498245239,,,,0.012116743251681328,0.0,0.0014570000348612666,-0.14547443389892578,8874.9794921875,hard
20,21,9.667735815048218,1676682296.5763109,7500,97.0,200.0,0.7134332060813904,,,,0.009238576516509056,0.0,0.0014570000348612666,-0.05811023712158203,12220.1376953125,hard
21,22,10.094297409057615,1676682297.0028725,7900,,,0.6981093883514404,1264.0,246.875,33.078125,0.0033731351140886545,0.0,0.0014570000348612666,-0.2641878128051758,15234.4384765625,hard
22,23,10.271413564682009,1676682297.1799886,8000,97.0,200.0,0.6943262219429016,,,,0.02866423688828945,0.0,0.0014570000348612666,-0.5199575424194336,16061.3916015625,hard
23,24,10.856992483139038,1676682297.7655675,8500,97.0,200.0,0.6752192378044128,,,,0.015621965751051905,0.0,0.0014570000348612666,-0.29437923431396484,20381.65234375,hard
24,25,11.28429079055786,1676682298.1928658,8900,,,0.6598954200744629,1196.0,247.22222900390625,39.02777862548828,0.00032097919029183686,0.0,0.0014570000348612666,-0.3605937957763672,24112.240234375,hard
25,26,11.45751929283142,1676682298.3660944,9000,97.0,200.0,0.6561122536659241,,,,0.00032499528606422246,0.0,0.0014570000348612666,-0.2118568420410156,25087.935546875,hard
26,28,12.486634969711304,1676682299.39521,9900,,,0.6216813921928406,1146.0,247.5,42.912498474121094,6.015496546751819e-05,0.0,0.0014570000348612666,-0.4845123291015625,34219.4765625,hard
27,29,12.677662134170532,1676682299.5862372,10000,97.0,200.0,0.6178982257843018,,,,0.00018774786440189928,0.0,0.0014570000348612666,-0.4699907302856446,35292.2890625,hard
28,30,13.296111822128296,1676682300.2046869,10500,97.0,200.0,0.598791241645813,,,,0.00010885637311730534,0.0,0.0014570000348612666,-0.3497810363769531,40786.32421875,hard
29,31,13.734780073165894,1676682300.6433551,10900,,,0.583467423915863,1102.0,247.7272796630859,47.227272033691406,0.0009091952815651894,0.0,0.0014570000348612666,-0.4398460388183594,45352.14453125,hard
30,32,13.951804637908936,1676682300.8603797,11000,97.0,200.0,0.5796842575073242,,,,8.40101856738329e-05,0.0,0.0014570000348612666,-0.4386329650878906,46532.828125,hard
31,33,14.559990644454956,1676682301.4685657,11500,97.0,200.0,0.5605772137641907,,,,0.0016107489354908466,0.0,0.0014570000348612666,-0.2586021423339844,52548.59765625,hard
32,35,15.182111978530884,1676682302.090687,12000,97.0,200.0,0.5414702296257019,,,,0.01352201122790575,0.0,0.0014570000348612666,-0.9338502883911132,58772.5234375,hard
33,37,16.237497091293335,1676682303.146072,12900,,,0.5070394277572632,1041.0,248.0769195556641,53.971153259277344,0.0003099673194810748,0.0,0.0014570000348612666,-0.978154182434082,70500.984375,hard
34,38,16.417407035827637,1676682303.325982,13000,97.0,200.0,0.5032562613487244,,,,0.010260556824505327,0.0,0.0014570000348612666,-0.7553939819335938,71850.265625,hard
35,39,17.033819913864136,1676682303.942395,13500,97.0,200.0,0.4841492474079132,,,,0.00015604577492922544,0.0,0.0014570000348612666,-0.3625421524047851,78694.78125,hard
36,40,17.478997945785522,1676682304.387573,13900,,,0.46882542967796326,1019.0,248.2142791748047,57.49106979370117,8.292430720757693e-05,0.0,0.0014570000348612666,-0.8088092803955078,84320.2890625,hard
