,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,5.976807355880737,1676681341.6402905,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,1,7.887494325637817,1676681343.5509772,900,,,0.9656074047088624,412.0,225.0,19.125,,,,,,hard
2,2,8.059479236602783,1676681343.722962,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
3,6,8.866897106170654,1676681344.53038,2500,0.0,200.0,0.9045032262802124,,,,,,,,,hard
4,7,8.971278667449951,1676681344.6347616,2900,,,0.8891794085502625,888.0,241.6666717529297,19.79166603088379,,,,,,hard
5,9,9.39777946472168,1676681345.0612624,3500,0.0,200.0,0.8662891983985901,,,,,,,,,hard
6,10,9.497352838516235,1676681345.1608355,3900,,,0.8509653806686401,1028.0,243.75,19.96875,,,,,,hard
7,11,9.66757321357727,1676681345.331056,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
8,12,9.916136026382446,1676681345.579619,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
9,13,10.016123056411743,1676681345.679606,4900,,,0.8127514123916626,1136.0,245.0,19.600000381469727,,,,,,hard
10,14,10.176162481307983,1676681345.8396454,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
11,15,12.097904682159424,1676681347.7613876,5500,96.5,200.0,0.7898612022399902,,,,0.08769182860851288,0.0,0.0014570000348612666,-6.238492012023926,2541.325439453125,hard
12,16,15.124063491821287,1676681350.7875464,5900,,,0.7745373845100403,626.0,245.8333282470703,24.875,0.06788312643766403,0.0,0.0014570000348612666,-1.9492759704589844,4795.72265625,hard
13,17,15.627840518951416,1676681351.2913234,6000,0.0,200.0,0.7707542181015015,,,,0.05696229264140129,0.0,0.0014570000348612666,-1.3685765266418457,5417.59765625,hard
14,18,17.444831132888794,1676681353.108314,6500,96.5,200.0,0.7516472339630127,,,,0.07230528444051743,0.0,0.0014570000348612666,-0.7030644416809082,8706.078125,hard
15,19,18.771127700805664,1676681354.4346106,6900,,,0.7363234162330627,528.0,246.42857360839844,32.5,0.04386473819613457,0.0,0.0014570000348612666,-0.3112478256225586,11669.5400390625,hard
16,20,19.270927906036377,1676681354.9344108,7000,97.0,200.0,0.7325402498245239,,,,0.03953221067786217,0.0,0.0014570000348612666,-0.2175321578979492,12482.0400390625,hard
17,21,22.67831349372864,1676681358.3417964,7500,97.0,200.0,0.7134332060813904,,,,0.00789017602801323,0.0,0.0014570000348612666,-0.035800933837890625,16716.091796875,hard
18,22,24.006019353866577,1676681359.6695025,7900,,,0.6981093883514404,431.0,246.875,38.703125,0.022865116596221924,0.0,0.0014570000348612666,-0.07971954345703125,20397.54296875,hard
19,23,24.530075073242188,1676681360.193558,8000,97.0,200.0,0.6943262219429016,,,,0.00559138972312212,0.0,0.0014570000348612666,-0.7163543701171875,21365.12109375,hard
20,24,26.42572259902954,1676681362.0892055,8500,97.0,200.0,0.6752192378044128,,,,0.006477066315710545,0.0,0.0014570000348612666,-0.2782554626464844,26403.375,hard
21,26,28.32607078552246,1676681363.9895537,9000,97.0,200.0,0.6561122536659241,,,,0.0017719448078423738,0.0,0.0014570000348612666,-0.7936115264892578,31820.37109375,hard
22,28,31.598089694976807,1676681367.2615726,9900,,,0.6216813921928406,382.0,247.5,48.76250076293945,0.0004871557466685772,0.0,0.0014570000348612666,-0.5813331604003906,42340.6796875,hard
23,29,32.133676052093506,1676681367.797159,10000,97.0,200.0,0.6178982257843018,,,,0.0009209389099851252,0.0,0.0014570000348612666,-0.7556381225585938,43559.7421875,hard
24,30,34.03983473777771,1676681369.7033176,10500,97.0,200.0,0.598791241645813,,,,0.0003816661483142525,0.0,0.0014570000348612666,-0.9175348281860352,49777.0703125,hard
25,31,35.43803143501282,1676681371.1015143,10900,,,0.583467423915863,366.0,247.7272796630859,52.3636360168457,0.013838505372405052,0.0,0.0014570000348612666,-0.8267860412597656,54901.61328125,hard
26,32,35.96438527107239,1676681371.6278682,11000,97.0,200.0,0.5796842575073242,,,,0.0001033952212310396,0.0,0.0014570000348612666,-0.5131912231445312,56210.70703125,hard
27,34,39.299503803253174,1676681374.9629867,11900,,,0.5452533960342407,354.0,247.9166717529297,55.13541793823242,6.746353028574958e-05,0.0,0.0014570000348612666,-0.2952136993408203,68271.078125,hard
28,35,39.84189772605896,1676681375.5053806,12000,97.0,200.0,0.5414702296257019,,,,0.013895787298679352,0.0,0.0014570000348612666,-0.3660812377929687,69649.46875,hard
29,36,41.78194451332092,1676681377.4454274,12500,97.0,200.0,0.5223632454872131,,,,0.00025579912471584976,0.0,0.0014570000348612666,-0.5586204528808594,76648.6796875,hard
30,37,43.20450592041016,1676681378.8679888,12900,,,0.5070394277572632,344.0,248.0769195556641,58.153846740722656,0.013520418666303158,0.0,0.0014570000348612666,-0.8905792236328125,82382.8125,hard
31,38,43.73962354660034,1676681379.4031065,13000,97.0,200.0,0.5032562613487244,,,,0.0001488404959673062,0.0,0.0014570000348612666,-0.7726554870605469,83836.65625,hard
32,39,45.70021438598633,1676681381.3636973,13500,97.0,200.0,0.4841492474079132,,,,6.833665247540921e-05,0.0,0.0014570000348612666,-0.7222652435302734,91213.3203125,hard
33,40,47.115602254867554,1676681382.7790852,13900,,,0.46882542967796326,335.0,248.2142791748047,61.04464340209961,0.0001826177176553756,0.0,0.0014570000348612666,-0.6741666793823242,97235.859375,hard
34,41,47.66071391105652,1676681383.3241968,14000,97.0,200.0,0.4650422334671021,,,,0.00010830641258507968,0.0,0.0014570000348612666,-0.8339567184448242,98761.9765625,hard
35,42,49.59786105155945,1676681385.261344,14500,97.0,200.0,0.4459352493286133,,,,0.00031084666261449456,0.0,0.0014570000348612666,-0.651148796081543,106483.9375,hard
36,43,51.056721925735474,1676681386.7202048,14900,,,0.4306114315986634,328.0,248.3333282470703,63.94166564941406,0.00017763061623554677,0.0,0.0014570000348612666,-1.2714214324951172,112787.3359375,hard
37,45,53.576109886169434,1676681389.2395928,15500,97.0,200.0,0.40772125124931335,,,,0.0007946370169520378,0.0,0.0014570000348612666,-0.8432426452636719,122466.84375,hard
38,46,55.024081230163574,1676681390.687564,15900,,,0.3923974335193634,322.0,248.4375,66.421875,0.016894593834877014,0.0,0.0014570000348612666,-1.1051769256591797,129044.8828125,hard
39,47,55.59283471107483,1676681391.2563176,16000,97.0,200.0,0.3886142373085022,,,,9.661258809501304e-05,0.0,0.0014570000348612666,-1.2084455490112305,130705.4296875,hard
40,48,57.56519842147827,1676681393.228681,16500,97.0,200.0,0.3695072531700134,,,,0.013571721501648426,0.0,0.0014570000348612666,-1.2074365615844729,139081.09375,hard
41,49,59.01923584938049,1676681394.6827188,16900,,,0.3541834354400635,317.0,248.5294189453125,68.75,0.00020650711667258292,0.0,0.0014570000348612666,-0.5992984771728516,145885.65625,hard
42,51,61.589031457901,1676681397.2525144,17500,97.0,200.0,0.3312932550907135,,,,0.0004613927158061415,0.0,0.0014570000348612666,-0.937870979309082,156261.015625,hard
