,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.09947943687439,1676684732.5989175,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,1,7.962171077728272,1676684734.4616091,900,,,0.9656074047088624,409.0,225.0,25.375,,,,,,hard
2,2,8.169770002365112,1676684734.669208,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
3,3,8.502628087997437,1676684735.002066,1500,0.0,200.0,0.94271719455719,,,,,,,,,hard
4,4,8.63373875617981,1676684735.1331768,1900,,,0.92739337682724,662.0,237.5,19.0,,,,,,hard
5,5,8.855720043182373,1676684735.355158,2000,0.0,200.0,0.9236102104187012,,,,,,,,,hard
6,6,9.196054220199583,1676684735.6954925,2500,0.0,200.0,0.9045032262802124,,,,,,,,,hard
7,7,9.314013957977297,1676684735.813452,2900,,,0.8891794085502625,817.0,241.6666717529297,16.25,,,,,,hard
8,8,9.534135580062866,1676684736.0335736,3000,0.0,200.0,0.8853962421417236,,,,,,,,,hard
9,9,9.874839067459106,1676684736.374277,3500,0.0,200.0,0.8662891983985901,,,,,,,,,hard
10,10,10.004430055618286,1676684736.503868,3900,,,0.8509653806686401,920.0,243.75,14.09375,,,,,,hard
11,11,10.221760272979736,1676684736.7211983,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
12,12,10.564247131347656,1676684737.0636852,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
13,13,10.69601273536682,1676684737.1954508,4900,,,0.8127514123916626,993.0,245.0,11.725000381469728,,,,,,hard
14,14,10.9139883518219,1676684737.4134264,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
15,15,12.926894187927246,1676684739.4263322,5500,97.0,200.0,0.7898612022399902,,,,0.06798187643289566,0.0,0.0014570000348612666,-6.919967174530029,1468.4373779296875,hard
16,16,15.857330322265623,1676684742.3567684,5900,,,0.7745373845100403,584.0,245.8333282470703,17.1875,0.056440986692905426,0.0,0.0014570000348612666,-6.132840633392334,2914.33642578125,hard
17,17,16.36646604537964,1676684742.865904,6000,0.0,200.0,0.7707542181015015,,,,0.05242789536714554,0.0,0.0014570000348612666,-3.6340718269348145,3344.02392578125,hard
18,18,18.20512866973877,1676684744.7045667,6500,97.0,200.0,0.7516472339630127,,,,0.031653035432100296,0.0,0.0014570000348612666,-0.7251510620117188,5687.1103515625,hard
19,19,19.515417098999023,1676684746.0148551,6900,,,0.7363234162330627,501.0,246.42857360839844,23.89285659790039,0.023807205259799957,0.0,0.0014570000348612666,-0.24405956268310547,7862.64453125,hard
20,20,20.033133506774902,1676684746.5325716,7000,97.0,200.0,0.7325402498245239,,,,0.019414247944951057,0.0,0.0014570000348612666,-0.021599769592285156,8459.9658203125,hard
21,21,21.912090063095093,1676684748.411528,7500,97.0,200.0,0.7134332060813904,,,,0.00995783880352974,0.0,0.0014570000348612666,-0.07259368896484375,11686.75,hard
22,22,23.242529153823853,1676684749.7419672,7900,,,0.6981093883514404,452.0,246.875,31.71875,0.004329480696469545,0.0,0.0014570000348612666,-0.5750265121459961,14629.03515625,hard
