,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.6473982334136963,1676681977.7187052,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,1,2.090132236480713,1676681978.1614392,900,,,0.9656074047088624,1694.0,225.0,3.875,,,,,,hard
2,2,2.161968946456909,1676681978.233276,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
3,4,2.2713046073913574,1676681978.3426116,1900,,,0.92739337682724,2666.0,237.5,17.3125,,,,,,hard
4,5,2.3423032760620117,1676681978.4136102,2000,0.0,200.0,0.9236102104187012,,,,,,,,,hard
5,7,2.446359395980835,1676681978.5176663,2900,,,0.8891794085502625,3267.0,241.6666717529297,19.29166603088379,,,,,,hard
6,9,2.6032803058624268,1676681978.6745872,3500,0.0,200.0,0.8662891983985901,,,,,,,,,hard
7,10,2.621029853820801,1676681978.6923368,3900,,,0.8509653806686401,3671.0,243.75,20.03125,,,,,,hard
8,11,2.691744565963745,1676681978.7630515,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
9,12,2.814849376678467,1676681978.8861563,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
10,13,2.8326618671417236,1676681978.9039688,4900,,,0.8127514123916626,3846.0,245.0,18.950000762939453,,,,,,hard
11,14,2.901923179626465,1676681978.97323,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
12,15,3.5977351665496826,1676681979.669042,5500,0.0,200.0,0.7898612022399902,,,,0.057130370289087296,0.0,0.0014570000348612666,-5.677950859069824,2323.165771484375,hard
13,16,4.1958160400390625,1676681980.267123,5900,,,0.7745373845100403,2237.0,245.8333282470703,21.0625,0.06416379660367966,0.0,0.0014570000348612666,-2.2261786460876465,4225.38916015625,hard
14,17,4.346797704696655,1676681980.4181046,6000,96.5,200.0,0.7707542181015015,,,,0.05646751448512077,0.0,0.0014570000348612666,-4.250821113586426,4751.95166015625,hard
15,18,5.507445573806763,1676681981.5787525,6500,97.0,200.0,0.7516472339630127,,,,0.029996545985341072,0.0,0.0014570000348612666,-2.117717742919922,7520.07666015625,hard
16,19,6.486814975738525,1676681982.558122,6900,,,0.7363234162330627,1400.0,246.42857360839844,28.10714340209961,0.028223475441336632,0.0,0.0014570000348612666,-0.23746871948242188,10034.8916015625,hard
17,21,7.370450258255005,1676681983.4417572,7500,97.0,200.0,0.7134332060813904,,,,0.01069588866084814,0.0,0.0014570000348612666,-0.13049030303955078,14357.208984375,hard
18,23,8.093257904052734,1676681984.1645648,8000,97.0,200.0,0.6943262219429016,,,,0.005562362261116505,0.0,0.0014570000348612666,-0.3749361038208008,18386.44921875,hard
19,25,9.351762294769289,1676681985.4230692,8900,,,0.6598954200744629,1142.0,247.22222900390625,39.30555725097656,0.0041568526066839695,0.0,0.0014570000348612666,-0.1790142059326172,26624.900390625,hard
20,26,9.519124031066896,1676681985.590431,9000,97.0,200.0,0.6561122536659241,,,,0.00015476596308872104,0.0,0.0014570000348612666,-0.4473390579223633,27607.5390625,hard
21,27,10.286303520202637,1676681986.3576105,9500,97.0,200.0,0.6370052099227905,,,,2.1670834030373953e-05,0.0,0.0014570000348612666,-0.3372154235839844,32670.65625,hard
22,28,10.858470678329468,1676681986.9297776,9900,,,0.6216813921928406,1064.0,247.5,44.099998474121094,7.312045636354014e-05,0.0,0.0014570000348612666,-0.2797279357910156,36918.984375,hard
23,29,11.025455474853516,1676681987.0967624,10000,97.0,200.0,0.6178982257843018,,,,5.484640132635832e-05,0.0,0.0014570000348612666,-0.7149028778076172,38021.484375,hard
24,31,12.23707151412964,1676681988.3083785,10900,,,0.583467423915863,1020.0,247.7272796630859,47.69318008422851,0.0001436768361600116,0.0,0.0014570000348612666,-0.44304466247558594,48287.78125,hard
25,32,12.400226354599,1676681988.4715333,11000,97.0,200.0,0.5796842575073242,,,,7.572643517050892e-05,0.0,0.0014570000348612666,-0.5588932037353516,49480.11328125,hard
26,33,13.121795654296877,1676681989.1931026,11500,97.0,200.0,0.5605772137641907,,,,0.00013370801752898842,0.0,0.0014570000348612666,-0.4078397750854492,55587.20703125,hard
27,34,13.65786075592041,1676681989.7291677,11900,,,0.5452533960342407,983.0,247.9166717529297,52.13541793823242,0.0002196001005358994,0.0,0.0014570000348612666,-0.38554859161376953,60671.375,hard
28,35,13.821470499038696,1676681989.8927774,12000,97.0,200.0,0.5414702296257019,,,,9.947491344064474e-05,0.0,0.0014570000348612666,-0.5393266677856445,61974.76171875,hard
29,38,15.265355825424194,1676681991.3366628,13000,97.0,200.0,0.5032562613487244,,,,0.003096242668107152,0.0,0.0014570000348612666,-0.3943824768066406,75464.1953125,hard
30,39,16.014670848846436,1676681992.0859778,13500,97.0,200.0,0.4841492474079132,,,,0.000165331075550057,0.0,0.0014570000348612666,-0.5675086975097656,82526.390625,hard
