,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.5924303531646729,1676689226.9196312,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,1,2.0341622829437256,1676689227.3613632,900,,,0.9656074047088624,1697.0,225.0,14.375,,,,,,hard
2,2,2.1050446033477783,1676689227.4322455,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
3,3,2.191711187362671,1676689227.518912,1500,0.0,200.0,0.94271719455719,,,,,,,,,hard
4,4,2.20854115486145,1676689227.535742,1900,,,0.92739337682724,2696.0,237.5,12.8125,,,,,,hard
5,5,2.276902198791504,1676689227.604103,2000,0.0,200.0,0.9236102104187012,,,,,,,,,hard
6,6,2.353801965713501,1676689227.6810029,2500,0.0,200.0,0.9045032262802124,,,,,,,,,hard
7,7,2.3706471920013428,1676689227.697848,2900,,,0.8891794085502625,3345.0,241.6666717529297,12.916666984558104,,,,,,hard
8,8,2.4373512268066406,1676689227.764552,3000,0.0,200.0,0.8853962421417236,,,,,,,,,hard
9,11,2.6049253940582275,1676689227.9321263,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
10,12,2.6881234645843506,1676689228.0153244,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
11,13,2.704775094985962,1676689228.031976,4900,,,0.8127514123916626,4080.0,245.0,11.850000381469728,,,,,,hard
12,14,2.771829605102539,1676689228.0990305,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
13,15,3.455998420715332,1676689228.7831993,5500,0.0,200.0,0.7898612022399902,,,,0.11428937315940856,0.0,0.0014570000348612666,-5.5814127922058105,1449.9952392578125,hard
