,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,2.06516695022583,1687.0,1676684354.1910849,900,225.0,8.125,0.9656074047088624,,,,,,,,hard
1,2,2.135772705078125,,1676684354.2616906,1000,,,0.9618242383003236,0.0,200.0,,,,,,hard
2,3,2.221874952316284,,1676684354.3477929,1500,,,0.94271719455719,0.0,200.0,,,,,,hard
3,4,2.239009141921997,2686.0,1676684354.364927,1900,237.5,8.6875,0.92739337682724,,,,,,,,hard
4,5,2.3083817958831787,,1676684354.4342997,2000,,,0.9236102104187012,0.0,200.0,,,,,,hard
5,6,2.3916268348693848,,1676684354.5175447,2500,,,0.9045032262802124,0.0,200.0,,,,,,hard
6,7,2.408527135848999,3307.0,1676684354.534445,2900,241.6666717529297,10.458333015441896,0.8891794085502625,,,,,,,,hard
7,8,2.475389242172241,,1676684354.6013072,3000,,,0.8853962421417236,0.0,200.0,,,,,,hard
8,9,2.559053659439087,,1676684354.6849716,3500,,,0.8662891983985901,0.0,200.0,,,,,,hard
9,10,2.575930595397949,3734.0,1676684354.7018485,3900,243.75,11.90625,0.8509653806686401,,,,,,,,hard
10,11,2.6433534622192383,,1676684354.7692714,4000,,,0.8471822142601013,0.0,200.0,,,,,,hard
11,12,2.727125883102417,,1676684354.8530438,4500,,,0.8280752301216125,0.0,200.0,,,,,,hard
12,15,3.465687990188598,,1676684355.591606,5500,,,0.7898612022399902,0.0,200.0,0.05763419717550278,0.0,0.0014570000348612666,-5.822841167449951,1598.261962890625,hard
13,18,5.2255871295928955,,1676684357.351505,6500,,,0.7516472339630127,97.0,200.0,0.02913372404873371,0.0,0.0014570000348612666,-1.8970422744750977,5908.53466796875,hard
14,20,6.335816144943237,,1676684358.461734,7000,,,0.7325402498245239,97.0,200.0,0.02644750103354454,0.0,0.0014570000348612666,-1.746006965637207,8920.65625,hard
15,21,6.994917631149292,,1676684359.1208355,7500,,,0.7134332060813904,97.0,200.0,0.007665564771741629,0.0,0.0014570000348612666,-1.3861818313598633,12525.216796875,hard
16,22,7.497691869735718,1324.0,1676684359.6236098,7900,246.875,34.578125,0.6981093883514404,,,0.005096850451081991,0.0,0.0014570000348612666,-0.14556026458740234,15744.6787109375,hard
17,23,7.658227205276489,,1676684359.784145,8000,,,0.6943262219429016,97.0,200.0,0.012058652937412262,0.0,0.0014570000348612666,-1.2497825622558594,16609.1328125,hard
18,24,8.321902990341187,,1676684360.447821,8500,,,0.6752192378044128,97.0,200.0,0.002607310423627496,0.0,0.0014570000348612666,-0.24050617218017575,21081.921875,hard
19,26,8.989091634750366,,1676684361.1150095,9000,,,0.6561122536659241,97.0,200.0,0.0014147439505904913,0.0,0.0014570000348612666,-0.2259044647216797,25865.04296875,hard
20,27,9.651283502578735,,1676684361.7772014,9500,,,0.6370052099227905,97.0,200.0,0.00017115981609094888,0.0,0.0014570000348612666,-0.29277992248535156,30863.728515625,hard
21,28,10.157498598098757,1147.0,1676684362.2834165,9900,247.5,43.625,0.6216813921928406,,,0.00012674085155595094,0.0,0.0014570000348612666,-0.3533773422241211,35091.93359375,hard
22,30,11.011826992034912,,1676684363.137745,10500,,,0.598791241645813,97.0,200.0,2.3033901015878655e-05,0.0,0.0014570000348612666,-0.6486968994140625,41791.69921875,hard
23,31,11.541317462921144,1088.0,1676684363.6672354,10900,247.7272796630859,47.625,0.583467423915863,,,4.359005106380209e-05,0.0,0.0014570000348612666,-0.682952880859375,46460.609375,hard
24,35,13.092968940734863,,1676684365.2188869,12000,,,0.5414702296257019,97.0,200.0,0.00015049705689307302,0.0,0.0014570000348612666,-0.7330865859985352,59926.9453125,hard
25,36,13.784101009368896,,1676684365.910019,12500,,,0.5223632454872131,97.0,200.0,0.013598662801086904,0.0,0.0014570000348612666,-0.7931327819824219,66380.3984375,hard
26,37,14.308824300765991,1009.0,1676684366.4347422,12900,248.0769195556641,53.903846740722656,0.5070394277572632,,,0.0003111886035185307,0.0,0.0014570000348612666,-0.7725791931152344,71684.8671875,hard
27,39,15.16352152824402,,1676684367.2894394,13500,,,0.4841492474079132,97.0,200.0,0.00014753933646716175,0.0,0.0014570000348612666,-0.3894386291503906,79885.078125,hard
28,40,15.691813945770264,981.0,1676684367.817732,13900,248.2142791748047,57.625,0.46882542967796326,,,0.00018021423602476716,0.0,0.0014570000348612666,-0.7710247039794922,85529.4140625,hard
29,42,16.557926893234253,,1676684368.6838448,14500,,,0.4459352493286133,97.0,200.0,0.0002523340517655015,0.0,0.0014570000348612666,-0.81231689453125,94263.5625,hard
30,43,17.09319567680359,957.0,1676684369.2191136,14900,248.3333282470703,60.40833282470703,0.4306114315986634,,,0.00016084773233160377,0.0,0.0014570000348612666,-0.5568923950195312,100216.1171875,hard
31,44,17.25496745109558,,1676684369.3808854,15000,,,0.4268282353878021,97.0,200.0,9.369438339490443e-05,0.0,0.0014570000348612666,-0.559819221496582,101726.328125,hard
32,45,17.947970151901245,,1676684370.073888,15500,,,0.40772125124931335,97.0,200.0,0.013731097802519798,0.0,0.0014570000348612666,-0.5194301605224609,109363.640625,hard
33,46,18.488255739212036,937.0,1676684370.6141737,15900,248.4375,63.3828125,0.3923974335193634,,,0.00036142952740192413,0.0,0.0014570000348612666,-0.8150777816772461,115597.5859375,hard
34,47,18.64583945274353,,1676684370.7717574,16000,,,0.3886142373085022,97.0,200.0,0.00016182221588678658,0.0,0.0014570000348612666,-0.4299345016479492,117182.15625,hard
35,51,20.735029220581055,,1676684372.8609471,17500,,,0.3312932550907135,97.0,200.0,0.02686206251382828,0.0,0.0014570000348612666,-0.7921667098999023,141625.140625,hard
36,53,21.425899982452393,,1676684373.551818,18000,,,0.31218624114990234,97.0,200.0,0.00018913524399977175,0.0,0.0014570000348612666,-0.7219076156616211,150079.0625,hard
37,54,22.122644186019897,,1676684374.248562,18500,,,0.2930792570114136,97.0,200.0,7.475371967302635e-05,0.0,0.0014570000348612666,-0.7755498886108398,158669.640625,hard
38,55,22.669198989868164,894.0,1676684374.795117,18900,248.6842041015625,70.42105102539062,0.2777554392814636,,,0.026844916865229607,0.0,0.0014570000348612666,-0.6630210876464844,165643.5,hard
39,56,22.819666624069217,,1676684374.9455843,19000,,,0.2739722430706024,97.0,200.0,0.0004048245900776237,0.0,0.0014570000348612666,-0.9612026214599608,167404.03125,hard
40,57,23.51464033126831,,1676684375.6405582,19500,,,0.25486525893211365,97.0,200.0,0.0001831135741667822,0.0,0.0014570000348612666,-1.0876398086547852,176271.03125,hard
41,58,24.059637546539307,883.0,1676684376.1855557,19900,248.75,72.48750305175781,0.2395414263010025,,,0.013590794987976553,0.0,0.0014570000348612666,-0.8470907211303711,183458.046875,hard
42,59,24.20846939086914,,1676684376.3343873,20000,,,0.2357582449913025,97.0,200.0,0.00013387645594775677,0.0,0.0014570000348612666,-0.3450937271118164,185270.234375,hard
43,60,24.905652284622192,,1676684377.0315702,20500,,,0.21665124595165253,97.0,200.0,0.00025551204453222454,0.0,0.0014570000348612666,-1.1121435165405271,194393.375,hard
44,61,25.44509434700012,873.0,1676684377.5710125,20900,248.8095245361328,74.47618865966797,0.20132742822170255,,,0.0002742889628279954,0.0,0.0014570000348612666,-0.680018424987793,201778.609375,hard
45,62,25.598500967025757,,1676684377.7244189,21000,,,0.19754424691200256,97.0,200.0,0.00025239604292437434,0.0,0.0014570000348612666,-0.9914102554321288,203640.515625,hard
46,63,26.289751529693604,,1676684378.4156694,21500,,,0.1784372478723526,97.0,200.0,0.02727123163640499,0.0,0.0014570000348612666,-0.6021299362182617,213010.078125,hard
47,64,26.828223705291748,865.0,1676684378.9541416,21900,248.86363220214844,76.40908813476562,0.16311343014240265,,,0.013121622614562511,0.0,0.0014570000348612666,-0.8436441421508789,220589.90625,hard
48,65,26.979686498641968,,1676684379.1056044,22000,,,0.15933024883270264,97.0,200.0,0.0005049331812188029,0.0,0.0014570000348612666,-0.32756710052490234,222500.140625,hard
