,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.611905813217163,1676685783.3686707,500,96.0,200.0,0.9809312224388124,,,,,,,,,hard
1,1,2.0787758827209473,1676685783.8355408,900,,,0.9656074047088624,1620.0,225.0,15.25,,,,,,hard
2,2,2.148726463317871,1676685783.9054914,1000,96.0,200.0,0.9618242383003236,,,,,,,,,hard
3,3,2.2343521118164062,1676685783.991117,1500,96.0,200.0,0.94271719455719,,,,,,,,,hard
4,5,2.3176980018615723,1676685784.074463,2000,96.0,200.0,0.9236102104187012,,,,,,,,,hard
5,6,2.4005777835845947,1676685784.157343,2500,96.0,200.0,0.9045032262802124,,,,,,,,,hard
6,7,2.417487382888794,1676685784.1742525,2900,,,0.8891794085502625,3242.0,241.6666717529297,18.41666603088379,,,,,,hard
7,8,2.4837589263916016,1676685784.2405238,3000,96.0,200.0,0.8853962421417236,,,,,,,,,hard
8,9,2.5665578842163086,1676685784.3233228,3500,96.0,200.0,0.8662891983985901,,,,,,,,,hard
9,10,2.5832948684692383,1676685784.3400598,3900,,,0.8509653806686401,3679.0,243.75,19.8125,,,,,,hard
10,11,2.6503660678863525,1676685784.407131,4000,96.0,200.0,0.8471822142601013,,,,,,,,,hard
11,12,2.7336387634277344,1676685784.4904037,4500,96.0,200.0,0.8280752301216125,,,,,,,,,hard
12,13,2.750380754470825,1676685784.5071456,4900,,,0.8127514123916626,3992.0,245.0,17.125,,,,,,hard
13,14,2.8126919269561768,1676685784.5694568,5000,96.0,200.0,0.8089682459831238,,,,,,,,,hard
14,15,3.4972825050354004,1676685785.2540474,5500,97.0,200.0,0.7898612022399902,,,,0.0525737963616848,0.0,0.0014570000348612666,-5.019389629364014,2274.1357421875,hard
15,16,4.4872424602508545,1676685786.244007,5900,,,0.7745373845100403,1990.0,245.8333282470703,21.04166603088379,0.06606417149305344,0.0,0.0014570000348612666,-2.049299716949463,4314.55078125,hard
16,17,4.649359226226807,1676685786.406124,6000,96.0,200.0,0.7707542181015015,,,,0.05735548213124275,0.0,0.0014570000348612666,-1.7706537246704102,4840.59228515625,hard
17,18,5.329105854034424,1676685787.0858707,6500,97.0,200.0,0.7516472339630127,,,,0.022061485797166824,0.0,0.0014570000348612666,-0.6716804504394531,7663.88720703125,hard
18,19,5.852945566177368,1676685787.6097105,6900,,,0.7363234162330627,1593.0,246.42857360839844,27.625,0.007603725418448448,0.0,0.0014570000348612666,-0.44484519958496094,10194.9775390625,hard
19,20,6.0146872997283936,1676685787.7714522,7000,97.0,200.0,0.7325402498245239,,,,0.006909500807523727,0.0,0.0014570000348612666,-0.6607513427734375,10885.6025390625,hard
20,21,6.701834201812744,1676685788.458599,7500,97.0,200.0,0.7134332060813904,,,,0.01100411731749773,0.0,0.0014570000348612666,-0.4838056564331054,14477.9150390625,hard
21,22,7.225944519042969,1676685788.9827094,7900,,,0.6981093883514404,1385.0,246.875,32.25,0.01435901690274477,0.0,0.0014570000348612666,-0.26990318298339844,17543.505859375,hard
22,23,7.391390323638916,1676685789.1481552,8000,97.0,200.0,0.6943262219429016,,,,0.0007603791891597211,0.0,0.0014570000348612666,-0.5961132049560547,18349.755859375,hard
23,24,8.079185009002686,1676685789.83595,8500,97.0,200.0,0.6752192378044128,,,,0.0003108111850451678,0.0,0.0014570000348612666,-0.5165672302246094,22569.130859375,hard
24,25,8.605515718460083,1676685790.3622806,8900,,,0.6598954200744629,1256.0,247.22222900390625,38.86111068725586,6.86497733113356e-05,0.0,0.0014570000348612666,-0.7295761108398438,26229.025390625,hard
25,26,8.769760847091675,1676685790.5265255,9000,97.0,200.0,0.6561122536659241,,,,0.00021430995548143983,0.0,0.0014570000348612666,-0.6205530166625977,27200.552734375,hard
26,27,9.457062482833862,1676685791.2138274,9500,97.0,200.0,0.6370052099227905,,,,7.889077824074775e-05,0.0,0.0014570000348612666,-0.6034688949584961,32143.955078125,hard
27,28,9.980269193649292,1676685791.737034,9900,,,0.6216813921928406,1170.0,247.5,41.962501525878906,5.409786899690516e-05,0.0,0.0014570000348612666,-0.3833580017089844,36218.9375,hard
28,29,10.144193887710571,1676685791.9009588,10000,97.0,200.0,0.6178982257843018,,,,0.00016957867774181068,0.0,0.0014570000348612666,-0.3135805130004883,37268.0,hard
29,30,10.835716485977173,1676685792.5924814,10500,97.0,200.0,0.598791241645813,,,,0.00017041046521626413,0.0,0.0014570000348612666,-0.603184700012207,42657.87890625,hard
30,31,11.364880561828612,1676685793.1216457,10900,,,0.583467423915863,1107.0,247.7272796630859,45.772727966308594,7.221154373837635e-05,0.0,0.0014570000348612666,-0.27396392822265625,47145.69921875,hard
31,33,12.211266994476318,1676685793.968032,11500,97.0,200.0,0.5605772137641907,,,,7.557389471912757e-05,0.0,0.0014570000348612666,-0.7384052276611328,54134.05859375,hard
32,34,12.738797664642334,1676685794.4955626,11900,,,0.5452533960342407,1061.0,247.9166717529297,49.84375,0.00011752305726986378,0.0,0.0014570000348612666,-0.8305110931396484,58980.625,hard
33,35,12.903149843215942,1676685794.6599147,12000,97.0,200.0,0.5414702296257019,,,,0.0001466260728193447,0.0,0.0014570000348612666,-0.7155609130859375,60226.71875,hard
34,36,13.592042446136476,1676685795.348807,12500,97.0,200.0,0.5223632454872131,,,,0.016610585153102875,0.0,0.0014570000348612666,-0.9603948593139648,66552.3046875,hard
35,37,14.123483657836914,1676685795.8802483,12900,,,0.5070394277572632,1023.0,248.0769195556641,53.41345977783203,0.00021805560390930623,0.0,0.0014570000348612666,-0.6624135971069336,71766.0703125,hard
36,38,14.287843942642212,1676685796.0446088,13000,97.0,200.0,0.5032562613487244,,,,0.00031438510632142425,0.0,0.0014570000348612666,-0.7705373764038086,73101.40625,hard
37,40,15.51131558418274,1676685797.2680805,13900,,,0.46882542967796326,993.0,248.2142791748047,56.4375,0.000902055064216256,0.0,0.0014570000348612666,-0.7785501480102539,85409.1875,hard
38,41,15.675897359848022,1676685797.4326622,14000,97.0,200.0,0.4650422334671021,,,,0.00016771686205174774,0.0,0.0014570000348612666,-0.4453306198120117,86820.125,hard
39,42,16.368748426437378,1676685798.1255133,14500,97.0,200.0,0.4459352493286133,,,,0.00019594583136495203,0.0,0.0014570000348612666,-0.6431341171264648,93986.828125,hard
40,43,16.89451813697815,1676685798.651283,14900,,,0.4306114315986634,969.0,248.3333282470703,59.78333282470703,0.00024471129290759563,0.0,0.0014570000348612666,-0.7721433639526367,99870.9765625,hard
41,44,17.058311939239502,1676685798.8150768,15000,97.0,200.0,0.4268282353878021,,,,0.00013315620890352875,0.0,0.0014570000348612666,-0.4217796325683594,101365.5625,hard
42,47,18.437034845352173,1676685800.1937995,16000,97.0,200.0,0.3886142373085022,,,,0.0003942043986171484,0.0,0.0014570000348612666,-0.33551979064941406,116664.6484375,hard
43,48,19.12734079360962,1676685800.8841057,16500,97.0,200.0,0.3695072531700134,,,,0.02640697546303272,0.0,0.0014570000348612666,-0.4916200637817383,124566.265625,hard
44,49,19.658025979995728,1676685801.4147909,16900,,,0.3541834354400635,931.0,248.5294189453125,65.01470947265625,0.0002681224141269922,0.0,0.0014570000348612666,-0.6481513977050781,130996.0390625,hard
45,50,19.8228702545166,1676685801.5796351,17000,97.0,200.0,0.35040023922920227,,,,0.00027889618650078773,0.0,0.0014570000348612666,-0.44976806640625,132621.40625,hard
46,51,20.511275053024292,1676685802.26804,17500,97.0,200.0,0.3312932550907135,,,,0.0002646046632435173,0.0,0.0014570000348612666,-0.5376672744750977,140825.125,hard
47,52,21.03823471069336,1676685802.7949996,17900,,,0.31596943736076355,917.0,248.61111450195312,67.56944274902344,0.0002063014399027452,0.0,0.0014570000348612666,-0.5845956802368164,147502.078125,hard
48,53,21.201401710510257,1676685802.9581666,18000,97.0,200.0,0.31218624114990234,,,,0.01676466502249241,0.0,0.0014570000348612666,-0.5635404586791992,149191.3125,hard
49,54,21.89037084579468,1676685803.6471355,18500,97.0,200.0,0.2930792570114136,,,,0.000378237891709432,0.0,0.0014570000348612666,-0.49918460845947266,157718.96875,hard
