,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,7.859259366989136,410.0,1676681343.5489264,900,225.0,20.75,0.9656074047088624,,,,,,,,hard
1,2,8.044316530227661,,1676681343.7339835,1000,,,0.9618242383003236,0.0,200.0,,,,,,hard
2,3,8.310574531555176,,1676681344.0002415,1500,,,0.94271719455719,0.0,200.0,,,,,,hard
3,4,8.41162371635437,692.0,1676681344.1012907,1900,237.5,21.6875,0.92739337682724,,,,,,,,hard
4,5,8.579699039459229,,1676681344.269366,2000,,,0.9236102104187012,0.0,200.0,,,,,,hard
5,6,8.852061033248901,,1676681344.541728,2500,,,0.9045032262802124,0.0,200.0,,,,,,hard
6,8,9.12037467956543,,1676681344.8100417,3000,,,0.8853962421417236,0.0,200.0,,,,,,hard
7,9,9.381824016571043,,1676681345.071491,3500,,,0.8662891983985901,0.0,200.0,,,,,,hard
8,10,9.483261823654177,1022.0,1676681345.1729288,3900,243.75,14.53125,0.8509653806686401,,,,,,,,hard
9,11,9.656105518341064,,1676681345.3457725,4000,,,0.8471822142601013,0.0,200.0,,,,,,hard
10,12,9.90390682220459,,1676681345.5935738,4500,,,0.8280752301216125,0.0,200.0,,,,,,hard
11,13,10.00164246559143,1130.0,1676681345.6913097,4900,245.0,16.600000381469727,0.8127514123916626,,,,,,,,hard
12,15,12.13353705406189,,1676681347.823204,5500,,,0.7898612022399902,97.0,200.0,0.06918435543775558,0.0,0.0014570000348612666,-13.277822494506836,2005.68896484375,hard
13,16,15.109871864318848,625.0,1676681350.7995389,5900,245.8333282470703,18.875,0.7745373845100403,,,0.05210480839014053,0.0,0.0014570000348612666,-3.07332706451416,3724.117919921875,hard
14,18,17.44353413581848,,1676681353.1332011,6500,,,0.7516472339630127,96.5,200.0,0.032406337559223175,0.0,0.0014570000348612666,-2.349215507507324,6736.20458984375,hard
15,19,18.78011178970337,526.0,1676681354.4697788,6900,246.42857360839844,26.821428298950195,0.7363234162330627,,,0.01690598763525486,0.0,0.0014570000348612666,-0.26050376892089844,9109.423828125,hard
16,22,22.47975182533264,469.0,1676681358.1694188,7900,246.875,34.78125,0.6981093883514404,,,0.003550285240635276,0.0,0.0014570000348612666,-0.5165586471557617,16660.34375,hard
17,23,23.010222911834717,,1676681358.69989,8000,,,0.6943262219429016,97.0,200.0,0.0012901524314656854,0.0,0.0014570000348612666,-0.3650455474853515,17529.875,hard
18,25,26.29315304756165,431.0,1676681361.98282,8900,247.22222900390625,40.61111068725586,0.6598954200744629,,,0.0002266433439217508,0.0,0.0014570000348612666,-0.2567472457885742,25945.28125,hard
19,26,26.83596348762512,,1676681362.5256305,9000,,,0.6561122536659241,97.0,200.0,0.003869315842166543,0.0,0.0014570000348612666,-0.4530792236328125,26960.55859375,hard
20,27,28.75367116928101,,1676681364.4433382,9500,,,0.6370052099227905,97.0,200.0,0.00010353375546401368,0.0,0.0014570000348612666,-0.8970842361450195,32176.943359375,hard
21,28,30.164870262145996,404.0,1676681365.8545372,9900,247.5,45.0,0.6216813921928406,,,7.219642429845408e-05,0.0,0.0014570000348612666,-0.7322721481323242,36538.44921875,hard
22,29,30.71215057373047,,1676681366.4018176,10000,,,0.6178982257843018,97.0,200.0,7.09721862222068e-05,0.0,0.0014570000348612666,-0.5953540802001953,37663.44921875,hard
23,30,32.654625415802,,1676681368.3442924,10500,,,0.598791241645813,97.0,200.0,0.00015478086424991488,0.0,0.0014570000348612666,-0.6953210830688477,43413.92578125,hard
24,31,34.089794635772705,383.0,1676681369.7794616,10900,247.7272796630859,49.32954406738281,0.583467423915863,,,7.60403199819848e-05,0.0,0.0014570000348612666,-0.7086601257324219,48208.36328125,hard
25,32,34.63358187675476,,1676681370.3232489,11000,,,0.5796842575073242,97.0,200.0,0.00018967008509207517,0.0,0.0014570000348612666,-1.027573585510254,49441.6015625,hard
26,33,36.592732429504395,,1676681372.2823994,11500,,,0.5605772137641907,97.0,200.0,7.281848229467869e-05,0.0,0.0014570000348612666,-0.8160734176635742,55702.74609375,hard
27,34,38.03305149078369,367.0,1676681373.7227185,11900,247.9166717529297,53.11458206176758,0.5452533960342407,,,8.122930739773437e-05,0.0,0.0014570000348612666,-0.6161231994628906,60886.359375,hard
28,35,38.57684564590454,,1676681374.2665126,12000,,,0.5414702296257019,97.0,200.0,3.744097921298817e-05,0.0,0.0014570000348612666,-0.6748495101928711,62214.2265625,hard
29,36,40.589942932128906,,1676681376.27961,12500,,,0.5223632454872131,97.0,200.0,0.00012146463268436491,0.0,0.0014570000348612666,-0.6188764572143555,68959.0078125,hard
30,38,42.57027292251587,,1676681378.25994,13000,,,0.5032562613487244,97.0,200.0,0.00013778916036244482,0.0,0.0014570000348612666,-0.8467512130737305,75932.9765625,hard
31,39,44.5589394569397,,1676681380.2486064,13500,,,0.4841492474079132,97.0,200.0,0.00023740249162074176,0.0,0.0014570000348612666,-0.7471466064453125,83103.1328125,hard
32,40,46.02573037147522,344.0,1676681381.7153974,13900,248.2142791748047,59.74106979370117,0.46882542967796326,,,7.525878754677251e-05,0.0,0.0014570000348612666,-0.54290771484375,88986.578125,hard
33,41,46.59050273895264,,1676681382.2801695,14000,,,0.4650422334671021,97.0,200.0,0.00012187295214971527,0.0,0.0014570000348612666,-0.6117897033691406,90480.109375,hard
34,42,48.60480856895447,,1676681384.2944756,14500,,,0.4459352493286133,97.0,200.0,0.017017707228660583,0.0,0.0014570000348612666,-1.156169891357422,98029.6328125,hard
35,43,50.07103657722473,335.0,1676681385.7607036,14900,248.3333282470703,62.40833282470703,0.4306114315986634,,,0.0003950356331188232,0.0,0.0014570000348612666,-0.6782970428466797,104187.734375,hard
36,44,50.63897371292114,,1676681386.3286407,15000,,,0.4268282353878021,97.0,200.0,0.013412411324679852,0.0,0.0014570000348612666,-0.7440700531005859,105747.9453125,hard
37,45,52.65041208267212,,1676681388.340079,15500,,,0.40772125124931335,97.0,200.0,0.02668551541864872,0.0,0.0014570000348612666,-1.0911893844604492,113635.0390625,hard
38,46,54.12182021141052,328.0,1676681389.8114872,15900,248.4375,65.0625,0.3923974335193634,,,9.1448389866855e-05,0.0,0.0014570000348612666,-0.9437580108642578,120066.625,hard
39,47,54.689213275909424,,1676681390.3788805,16000,,,0.3886142373085022,97.0,200.0,0.016863511875271797,0.0,0.0014570000348612666,-0.6605052947998047,121693.1875,hard
40,48,56.75619602203369,,1676681392.445863,16500,,,0.3695072531700134,97.0,200.0,0.00027754518669098616,0.0,0.0014570000348612666,-0.49217700958251953,129906.3515625,hard
41,49,58.238847494125366,321.0,1676681393.9285145,16900,248.5294189453125,67.52205657958984,0.3541834354400635,,,5.518134275916964e-05,0.0,0.0014570000348612666,-1.0828533172607422,136587.625,hard
42,50,58.792245626449585,,1676681394.4819126,17000,,,0.35040023922920227,97.0,200.0,0.0001962763926712796,0.0,0.0014570000348612666,-0.5236215591430664,138275.671875,hard
43,51,60.87009143829346,,1676681396.5597584,17500,,,0.3312932550907135,97.0,200.0,0.000267085968516767,0.0,0.0014570000348612666,-1.0417556762695312,146787.953125,hard
44,52,62.36313700675965,315.0,1676681398.052804,17900,248.61111450195312,69.68055725097656,0.31596943736076355,,,3.642855153884739e-05,0.0,0.0014570000348612666,-0.7210588455200195,153690.53125,hard
45,53,62.916548013687134,,1676681398.606215,18000,,,0.31218624114990234,97.0,200.0,0.00024867523461580276,0.0,0.0014570000348612666,-0.765538215637207,155432.546875,hard
46,54,64.97483396530151,,1676681400.664501,18500,,,0.2930792570114136,97.0,200.0,0.00036215109867043793,0.0,0.0014570000348612666,-1.002110481262207,164214.421875,hard
47,55,66.53268504142761,310.0,1676681402.222352,18900,248.6842041015625,71.80921173095703,0.2777554392814636,,,0.00028733292128890753,0.0,0.0014570000348612666,-0.936077117919922,171329.609375,hard
48,56,67.12719631195068,,1676681402.8168633,19000,,,0.2739722430706024,97.0,200.0,0.0001088663047994487,0.0,0.0014570000348612666,-0.5079498291015625,173124.828125,hard
49,58,70.83972001075745,305.0,1676681406.529387,19900,248.75,73.7125015258789,0.2395414263010025,,,0.01359732449054718,0.0,0.0014570000348612666,-0.6221408843994141,189469.96875,hard
50,59,71.42727160453796,,1676681407.1169386,20000,,,0.2357582449913025,97.0,200.0,0.0002425856509944424,0.0,0.0014570000348612666,-0.6298084259033203,191312.78125,hard
51,60,73.59583353996277,,1676681409.2855003,20500,,,0.21665124595165253,97.0,200.0,0.00014523076242767274,0.0,0.0014570000348612666,-0.8988809585571289,200584.015625,hard
52,62,75.77491927146912,,1676681411.4645865,21000,,,0.19754424691200256,97.0,200.0,0.01341831497848034,0.0,0.0014570000348612666,-0.4962825775146485,209973.53125,hard
53,64,79.39095616340637,297.0,1676681415.0806231,21900,248.86363220214844,77.36363983154297,0.16311343014240265,,,0.013502998277544975,0.0,0.0014570000348612666,-0.782623291015625,227160.890625,hard
54,65,79.95370507240295,,1676681415.643372,22000,,,0.15933024883270264,97.0,200.0,0.0002392466412857175,0.0,0.0014570000348612666,-0.971038818359375,229094.984375,hard
55,66,82.12075614929199,,1676681417.8104231,22500,,,0.14022324979305267,97.0,200.0,0.00018095268751494584,0.0,0.0014570000348612666,-0.4125356674194336,238822.5,hard
56,67,83.71278309822083,293.0,1676681419.40245,22900,248.9130401611328,79.07608795166016,0.12489943951368332,,,0.0001878140028566122,0.0,0.0014570000348612666,-0.6522121429443359,246680.609375,hard
57,69,86.47045826911926,,1676681422.1601253,23500,,,0.10200925171375276,97.0,200.0,3.782051135203801e-05,0.0,0.0014570000348612666,-0.8885698318481445,258593.734375,hard
58,70,88.0848777294159,289.0,1676681423.7745447,23900,248.9583282470703,80.63021087646484,0.08668544143438339,,,0.0008674284326843917,0.0,0.0014570000348612666,-0.34415149688720703,266610.25,hard
59,72,90.88812398910522,,1676681426.577791,24500,,,0.06379525363445282,97.0,200.0,0.0004626913578249514,0.0,0.0014570000348612666,-0.7526159286499023,278755.34375,hard
60,73,92.50314164161682,286.0,1676681428.1928086,24900,249.0,82.13999938964844,0.05000000074505806,,,5.712312849937007e-05,0.0,0.0014570000348612666,-0.8269252777099609,286925.25,hard
61,74,93.10229158401488,,1676681428.7919586,25000,,,0.05000000074505806,97.0,200.0,0.00030941684963181615,0.0,0.0014570000348612666,-0.3841829299926758,288978.75,hard
62,75,95.32034373283386,,1676681431.0100107,25500,,,0.05000000074505806,97.0,200.0,0.0002258042368339375,0.0,0.0014570000348612666,-0.6025543212890625,299368.875,hard
63,76,96.93843746185304,283.0,1676681432.6281044,25900,250.0,86.08999633789062,0.05000000074505806,,,0.013722391799092293,0.0,0.0014570000348612666,-0.619232177734375,307837.875,hard
64,77,97.5576479434967,,1676681433.247315,26000,,,0.05000000074505806,97.0,200.0,0.00011990112398052588,0.0,0.0014570000348612666,-0.6758565902709961,309990.125,hard
65,79,101.36698937416077,281.0,1676681437.0566564,26900,250.0,89.94499969482422,0.05000000074505806,,,0.000157399641466327,0.0,0.0014570000348612666,-0.6891565322875977,329739.625,hard
66,80,101.97399878501892,,1676681437.6636658,27000,,,0.05000000074505806,97.0,200.0,0.013527895323932173,0.0,0.0014570000348612666,-0.7162714004516602,331988.25,hard
67,81,104.17649483680724,,1676681439.8661618,27500,,,0.05000000074505806,97.0,200.0,0.00011378348426660524,0.0,0.0014570000348612666,-0.5028858184814453,343354.25,hard
68,82,105.7931034564972,278.0,1676681441.4827704,27900,250.0,94.31500244140624,0.05000000074505806,,,0.00020360102644190192,0.0,0.0014570000348612666,-0.6049509048461914,352638.75,hard
69,84,108.6149308681488,,1676681444.304598,28500,,,0.05000000074505806,97.0,200.0,0.0003380993730388582,0.0,0.0014570000348612666,-0.8677444458007812,366912.25,hard
70,85,110.229252576828,276.0,1676681445.9189196,28900,250.0,98.8949966430664,0.05000000074505806,,,0.0002694760332815349,0.0,0.0014570000348612666,-0.37998008728027344,376641.5,hard
71,86,110.84918546676636,,1676681446.5388525,29000,,,0.05000000074505806,97.0,200.0,0.027251852676272392,0.0,0.0014570000348612666,-0.14780807495117188,379113.875,hard
72,87,113.02813839912416,,1676681448.7178054,29500,,,0.05000000074505806,97.0,200.0,6.485453195637092e-05,0.0,0.0014570000348612666,-0.7472658157348633,391584.625,hard
73,88,114.57143259048462,274.0,1676681450.2610996,29900,250.0,102.66000366210938,0.05000000074505806,,,0.0003365738957654685,0.0,0.0014570000348612666,-0.44817256927490234,401723.875,hard
74,89,115.13905596733092,,1676681450.828723,30000,,,0.05000000074505806,97.0,200.0,0.00019495860033202916,0.0,0.0014570000348612666,-0.6498432159423828,404290.375,hard
75,91,118.85480499267578,273.0,1676681454.544472,30900,250.0,106.1999969482422,0.05000000074505806,,,0.00041970054735429585,0.0,0.0014570000348612666,-0.8150739669799805,427765.5,hard
76,92,119.44598746299744,,1676681455.1356544,31000,,,0.05000000074505806,97.0,200.0,0.0001189963222714141,0.0,0.0014570000348612666,-0.19576168060302737,430420.5,hard
77,93,121.56685376167296,,1676681457.2565207,31500,,,0.05000000074505806,97.0,200.0,9.832444629864769e-05,0.0,0.0014570000348612666,-0.5537528991699219,443761.625,hard
