,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.812861442565918,1676681694.6863804,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,1,4.722106695175171,1676681695.5956256,900,,,0.9656074047088624,884.0,225.0,11.375,,,,,,hard
2,2,4.796672821044922,1676681695.6701918,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
3,3,4.898664951324463,1676681695.772184,1500,0.0,200.0,0.94271719455719,,,,,,,,,hard
4,4,4.930760860443115,1676681695.8042798,1900,,,0.92739337682724,1549.0,237.5,18.0625,,,,,,hard
5,5,5.007919549942017,1676681695.8814385,2000,0.0,200.0,0.9236102104187012,,,,,,,,,hard
6,6,5.109663486480713,1676681695.9831824,2500,0.0,200.0,0.9045032262802124,,,,,,,,,hard
7,7,5.142363786697388,1676681696.0158827,2900,,,0.8891794085502625,2017.0,241.6666717529297,19.08333396911621,,,,,,hard
8,8,5.215301752090454,1676681696.0888207,3000,0.0,200.0,0.8853962421417236,,,,,,,,,hard
9,9,5.318844556808472,1676681696.1923635,3500,0.0,200.0,0.8662891983985901,,,,,,,,,hard
10,10,5.352935075759888,1676681696.226454,3900,,,0.8509653806686401,2366.0,243.75,18.59375,,,,,,hard
11,11,5.4315125942230225,1676681696.3050315,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
12,12,5.535100936889648,1676681696.40862,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
13,13,5.568075656890869,1676681696.4415946,4900,,,0.8127514123916626,2629.0,245.0,19.325000762939453,,,,,,hard
14,17,6.818701982498169,1676681697.692221,6000,97.0,200.0,0.7707542181015015,,,,0.03947650268673897,0.0,0.0014570000348612666,-3.827871322631836,4940.9794921875,hard
15,18,8.274603843688965,1676681699.1481228,6500,97.0,200.0,0.7516472339630127,,,,0.038768231868743896,0.0,0.0014570000348612666,-0.562385082244873,7951.31591796875,hard
16,19,8.687931776046753,1676681699.5614507,6900,,,0.7363234162330627,1385.0,246.42857360839844,29.51785659790039,0.007568083237856627,0.0,0.0014570000348612666,-0.5560836791992188,10642.1279296875,hard
17,20,8.862971067428589,1676681699.73649,7000,97.0,200.0,0.7325402498245239,,,,0.008504397235810757,0.0,0.0014570000348612666,-0.8605155944824219,11380.07421875,hard
18,21,9.470391273498535,1676681700.3439102,7500,97.0,200.0,0.7134332060813904,,,,0.007382902316749096,0.0,0.0014570000348612666,-0.3038511276245117,15290.0908203125,hard
19,22,9.959484815597534,1676681700.8330038,7900,,,0.6981093883514404,1263.0,246.875,35.578125,0.0008687013760209084,0.0,0.0014570000348612666,-0.3117856979370117,18698.828125,hard
20,23,10.1491539478302,1676681701.022673,8000,97.0,200.0,0.6943262219429016,,,,0.0023635050747543573,0.0,0.0014570000348612666,-0.3828887939453125,19588.28125,hard
21,24,10.76194429397583,1676681701.6354632,8500,97.0,200.0,0.6752192378044128,,,,0.00047036437899805605,0.0,0.0014570000348612666,-0.49400806427001953,24196.486328125,hard
22,25,11.201287984848022,1676681702.074807,8900,,,0.6598954200744629,1187.0,247.22222900390625,40.77777862548828,0.013776986859738828,0.0,0.0014570000348612666,-0.3856639862060547,28107.6640625,hard
23,27,12.071385145187378,1676681702.944904,9500,97.0,200.0,0.6370052099227905,,,,0.00034908545785583556,0.0,0.0014570000348612666,-0.4057540893554687,34354.1640625,hard
24,28,12.504952907562256,1676681703.378472,9900,,,0.6216813921928406,1125.0,247.5,45.11249923706055,7.151475438149646e-05,0.0,0.0014570000348612666,-0.25946521759033203,38722.12890625,hard
25,29,12.682089567184448,1676681703.5556085,10000,97.0,200.0,0.6178982257843018,,,,4.517138586379588e-05,0.0,0.0014570000348612666,-0.5298395156860352,39849.94140625,hard
26,30,13.298015594482422,1676681704.1715343,10500,97.0,200.0,0.598791241645813,,,,0.00025501768686808646,0.0,0.0014570000348612666,-0.7619743347167969,45595.390625,hard
27,31,13.778268098831177,1676681704.651787,10900,,,0.583467423915863,1082.0,247.7272796630859,48.45454406738281,7.250596536323428e-05,0.0,0.0014570000348612666,-0.42021751403808594,50318.8671875,hard
28,33,14.60258674621582,1676681705.4761057,11500,97.0,200.0,0.5605772137641907,,,,0.022604776546359066,0.0,0.0014570000348612666,-0.8228921890258789,57698.5546875,hard
29,34,15.057053804397585,1676681705.9305727,11900,,,0.5452533960342407,1048.0,247.9166717529297,51.92708206176758,7.813425327185541e-05,0.0,0.0014570000348612666,-0.6122398376464844,62792.625,hard
30,35,15.244725942611694,1676681706.118245,12000,97.0,200.0,0.5414702296257019,,,,0.0003622780495788902,0.0,0.0014570000348612666,-0.43467140197753906,64090.80078125,hard
31,37,16.395519018173218,1676681707.269038,12900,,,0.5070394277572632,1016.0,248.0769195556641,55.153846740722656,0.03071199730038643,0.0,0.0014570000348612666,-0.5143604278564453,76085.4921875,hard
32,38,16.57673740386963,1676681707.4502563,13000,97.0,200.0,0.5032562613487244,,,,0.00020508465240709484,0.0,0.0014570000348612666,-0.4199895858764648,77464.3359375,hard
33,39,17.195065021514893,1676681708.068584,13500,97.0,200.0,0.4841492474079132,,,,0.00015360067482106388,0.0,0.0014570000348612666,-1.0620193481445312,84460.609375,hard
34,40,17.637694120407104,1676681708.511213,13900,,,0.46882542967796326,997.0,248.2142791748047,58.07143020629883,0.013588203117251396,0.0,0.0014570000348612666,-0.7449779510498047,90184.4375,hard
35,41,17.818901777267456,1676681708.6924207,14000,97.0,200.0,0.4650422334671021,,,,0.0002877726510632783,0.0,0.0014570000348612666,-0.4079141616821289,91636.2265625,hard
36,43,18.908557891845703,1676681709.7820768,14900,,,0.4306114315986634,980.0,248.3333282470703,60.63333511352539,0.0001702256704447791,0.0,0.0014570000348612666,-0.5372848510742188,104960.84375,hard
37,44,19.09421133995056,1676681709.9677303,15000,97.0,200.0,0.4268282353878021,,,,0.0002574922691565007,0.0,0.0014570000348612666,-0.825251579284668,106476.6796875,hard
38,45,19.736295223236084,1676681710.6098142,15500,97.0,200.0,0.40772125124931335,,,,0.000394351314753294,0.0,0.0014570000348612666,-0.998866081237793,114130.5078125,hard
39,46,20.217170476913452,1676681711.0906894,15900,,,0.3923974335193634,962.0,248.4375,63.2578125,0.00014672643737867477,0.0,0.0014570000348612666,-0.8114986419677734,120376.8828125,hard
40,48,21.03848433494568,1676681711.9120033,16500,97.0,200.0,0.3695072531700134,,,,0.00028708603349514306,0.0,0.0014570000348612666,-0.3721122741699219,129948.296875,hard
41,49,21.498709201812744,1676681712.372228,16900,,,0.3541834354400635,949.0,248.5294189453125,65.64705657958984,0.00021346763242036104,0.0,0.0014570000348612666,-0.6631946563720703,136456.578125,hard
42,50,21.69596004486084,1676681712.569479,17000,97.0,200.0,0.35040023922920227,,,,0.00014322518836706877,0.0,0.0014570000348612666,-0.953786849975586,138097.75,hard
43,51,22.349127769470215,1676681713.2226467,17500,97.0,200.0,0.3312932550907135,,,,0.013227236457169056,0.0,0.0014570000348612666,-0.6880044937133789,146385.0,hard
44,52,22.8134765625,1676681713.6869955,17900,,,0.31596943736076355,936.0,248.61111450195312,68.33333587646484,0.0003388999029994011,0.0,0.0014570000348612666,-0.6075325012207031,153132.875,hard
45,53,23.002880573272705,1676681713.8763995,18000,97.0,200.0,0.31218624114990234,,,,0.0003778938262257725,0.0,0.0014570000348612666,-0.5783834457397461,154841.203125,hard
46,54,23.645789623260494,1676681714.5193086,18500,97.0,200.0,0.2930792570114136,,,,0.01704762876033783,0.0,0.0014570000348612666,-0.7142095565795898,163452.40625,hard
47,55,24.132194995880127,1676681715.005714,18900,,,0.2777554392814636,925.0,248.6842041015625,70.3618392944336,0.00017632693925406784,0.0,0.0014570000348612666,-0.517552375793457,170432.71875,hard
48,56,24.319791555404663,1676681715.1933105,19000,97.0,200.0,0.2739722430706024,,,,0.0005210572271607816,0.0,0.0014570000348612666,-0.2978181838989258,172191.765625,hard
49,57,24.973305463790897,1676681715.8468244,19500,97.0,200.0,0.25486525893211365,,,,0.0004188576131127774,0.0,0.0014570000348612666,-0.5396347045898438,181053.21875,hard
50,58,25.44983172416687,1676681716.323351,19900,,,0.2395414263010025,915.0,248.75,72.51249694824219,0.0005225933855399489,0.0,0.0014570000348612666,-0.7003173828125,188238.625,hard
51,59,25.638543367385864,1676681716.5120623,20000,97.0,200.0,0.2357582449913025,,,,0.00353830074891448,0.0,0.0014570000348612666,-0.42232513427734375,190051.4375,hard
52,60,26.309573888778687,1676681717.1830928,20500,97.0,200.0,0.21665124595165253,,,,0.0008688608650118113,0.0,0.0014570000348612666,-0.3953266143798828,199180.90625,hard
53,61,26.789706707000732,1676681717.6632257,20900,,,0.20132742822170255,905.0,248.8095245361328,74.36904907226562,0.014312696643173696,0.0,0.0014570000348612666,-0.8230113983154297,206566.765625,hard
54,62,26.99860429763794,1676681717.8721232,21000,97.0,200.0,0.19754424691200256,,,,0.00024028254847507924,0.0,0.0014570000348612666,-0.5841131210327148,208425.984375,hard
55,63,27.653223514556885,1676681718.5267425,21500,97.0,200.0,0.1784372478723526,,,,0.00027839248650707304,0.0,0.0014570000348612666,-0.5158481597900391,217782.734375,hard
56,64,28.146589040756226,1676681719.020108,21900,,,0.16311343014240265,896.0,248.86363220214844,76.1647720336914,0.0002243050403194502,0.0,0.0014570000348612666,-0.4820871353149414,225348.4375,hard
57,65,28.336507558822632,1676681719.2100265,22000,97.0,200.0,0.15933024883270264,,,,0.00018573466513771564,0.0,0.0014570000348612666,-0.6020126342773438,227252.546875,hard
58,66,29.009487867355347,1676681719.8830068,22500,97.0,200.0,0.14022324979305267,,,,0.0006996027077548206,0.0,0.0014570000348612666,-0.7478132247924805,236831.0,hard
59,68,29.711206912994385,1676681720.584726,23000,97.0,200.0,0.12111625075340272,,,,0.0003126123046968132,0.0,0.0014570000348612666,-0.11284160614013672,246521.15625,hard
60,70,30.900778770446777,1676681721.7742977,23900,,,0.08668544143438339,878.0,248.9583282470703,79.53646087646484,6.804858276154846e-05,0.0,0.0014570000348612666,-0.5579824447631836,264217.34375,hard
61,71,31.093713998794556,1676681721.967233,24000,97.0,200.0,0.08290225267410278,,,,0.0001422469358658418,0.0,0.0014570000348612666,-0.5086736679077148,266205.75,hard
62,73,32.28144598007202,1676681723.154965,24900,,,0.05000000074505806,871.0,249.0,81.0250015258789,5.233635965851136e-05,0.0,0.0014570000348612666,-0.34297752380371094,284255.65625,hard
63,74,32.473918199539185,1676681723.3474371,25000,97.0,200.0,0.05000000074505806,,,,0.0002615630510263145,0.0,0.0014570000348612666,-0.8499727249145508,286281.28125,hard
64,76,33.66013145446777,1676681724.5336504,25900,,,0.05000000074505806,864.0,250.0,85.33999633789062,0.0001953484461409971,0.0,0.0014570000348612666,-0.5575265884399414,304915.28125,hard
65,77,33.8561909198761,1676681724.72971,26000,97.0,200.0,0.05000000074505806,,,,6.317484803730622e-05,0.0,0.0014570000348612666,-0.5358009338378906,307048.78125,hard
66,78,34.55696153640747,1676681725.4304805,26500,97.0,200.0,0.05000000074505806,,,,0.0006196835893206298,0.0,0.0014570000348612666,-0.10972023010253906,317824.03125,hard
67,80,35.26906633377075,1676681726.1425853,27000,97.0,200.0,0.05000000074505806,,,,0.00017420342192053795,0.0,0.0014570000348612666,-0.8472862243652344,328816.15625,hard
68,81,35.95669341087341,1676681726.8302124,27500,97.0,200.0,0.05000000074505806,,,,0.01687171868979931,0.0,0.0014570000348612666,-0.6433963775634766,340076.03125,hard
69,82,36.45982718467712,1676681727.333346,27900,,,0.05000000074505806,851.0,250.0,93.06500244140624,0.0140026044100523,0.0,0.0014570000348612666,-0.3103475570678711,349248.53125,hard
70,83,36.66598057746887,1676681727.5394995,28000,97.0,200.0,0.05000000074505806,,,,0.00019254845392424613,0.0,0.0014570000348612666,-0.7375593185424805,351575.15625,hard
71,84,37.35115385055542,1676681728.2246728,28500,97.0,200.0,0.05000000074505806,,,,0.013582666404545307,0.0,0.0014570000348612666,-0.44821643829345703,363330.28125,hard
72,85,37.845832109451294,1676681728.719351,28900,,,0.05000000074505806,846.0,250.0,97.15499877929688,0.03034299612045288,0.0,0.0014570000348612666,-0.3841285705566406,372898.53125,hard
73,86,38.05215859413147,1676681728.9256775,29000,97.0,200.0,0.05000000074505806,,,,0.0004102529201190918,0.0,0.0014570000348612666,-0.7771186828613281,375327.40625,hard
74,87,38.73032522201538,1676681729.6038442,29500,97.0,200.0,0.05000000074505806,,,,0.00018189552065450695,0.0,0.0014570000348612666,-0.4751396179199219,387582.65625,hard
75,88,39.22917628288269,1676681730.1026952,29900,,,0.05000000074505806,841.0,250.0,100.98999786376952,0.00015207634714897722,0.0,0.0014570000348612666,-0.9611434936523438,397553.40625,hard
76,89,39.42110347747803,1676681730.2946224,30000,97.0,200.0,0.05000000074505806,,,,4.8548306949669495e-05,0.0,0.0014570000348612666,-0.41203880310058594,400078.15625,hard
77,90,40.11407232284546,1676681730.9875913,30500,97.0,200.0,0.05000000074505806,,,,0.001416409621015191,0.0,0.0014570000348612666,-0.2756071090698242,412816.15625,hard
78,91,40.61833167076111,1676681731.4918506,30900,,,0.05000000074505806,837.0,250.0,104.16500091552734,0.040031448006629944,0.0,0.0014570000348612666,-0.4168262481689453,423159.15625,hard
79,92,40.81833338737488,1676681731.6918523,31000,97.0,200.0,0.05000000074505806,,,,0.0002132719528162852,0.0,0.0014570000348612666,-0.13304901123046875,425763.28125,hard
80,94,42.00278949737549,1676681732.8763084,31900,,,0.05000000074505806,832.0,250.0,106.11499786376952,0.04695850610733032,0.0,0.0014570000348612666,-0.3204813003540039,449405.53125,hard
81,95,42.23363995552063,1676681733.107159,32000,97.0,200.0,0.05000000074505806,,,,0.0003000076103489846,0.0,0.0014570000348612666,-0.16905498504638672,452058.40625,hard
82,96,42.92133402824402,1676681733.794853,32500,97.0,200.0,0.05000000074505806,,,,5.592365050688386e-05,0.0,0.0014570000348612666,-0.3772602081298828,465358.90625,hard
