,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.624962329864502,1676690954.5640054,500,0.0,200.0,0.9809312224388124,,,,,,,,,hard
1,1,2.09438157081604,1676690955.0334246,900,,,0.9656074047088624,1612.0,225.0,15.625,,,,,,hard
2,2,2.166762113571167,1676690955.1058052,1000,0.0,200.0,0.9618242383003236,,,,,,,,,hard
3,3,2.2544543743133545,1676690955.1934974,1500,0.0,200.0,0.94271719455719,,,,,,,,,hard
4,4,2.271754026412964,1676690955.210797,1900,,,0.92739337682724,2582.0,237.5,20.0625,,,,,,hard
5,6,2.4246983528137207,1676690955.3637414,2500,0.0,200.0,0.9045032262802124,,,,,,,,,hard
6,7,2.4419398307800293,1676690955.3809829,2900,,,0.8891794085502625,3201.0,241.6666717529297,20.25,,,,,,hard
7,8,2.509795904159546,1676690955.448839,3000,0.0,200.0,0.8853962421417236,,,,,,,,,hard
8,9,2.5945630073547363,1676690955.533606,3500,0.0,200.0,0.8662891983985901,,,,,,,,,hard
9,10,2.6117982864379883,1676690955.550841,3900,,,0.8509653806686401,3625.0,243.75,19.8125,,,,,,hard
10,11,2.6798245906829834,1676690955.6188676,4000,0.0,200.0,0.8471822142601013,,,,,,,,,hard
11,12,2.76483154296875,1676690955.7038746,4500,0.0,200.0,0.8280752301216125,,,,,,,,,hard
12,13,2.781933546066284,1676690955.7209766,4900,,,0.8127514123916626,3933.0,245.0,18.024999618530273,,,,,,hard
13,14,2.8478190898895264,1676690955.786862,5000,0.0,200.0,0.8089682459831238,,,,,,,,,hard
14,15,3.5231964588165283,1676690956.4622395,5500,0.0,200.0,0.7898612022399902,,,,0.07339312881231308,0.0,0.0014570000348612666,-11.600271224975586,2255.35693359375,hard
15,16,4.04008674621582,1676690956.9791298,5900,,,0.7745373845100403,2356.0,245.8333282470703,22.54166603088379,0.08424980938434601,0.0,0.0014570000348612666,-3.991022109985352,4246.4638671875,hard
16,17,4.201987266540527,1676690957.1410303,6000,96.5,200.0,0.7707542181015015,,,,0.04504016414284706,0.0,0.0014570000348612666,-5.414150714874268,4810.00537109375,hard
17,18,5.268265724182129,1676690958.2073088,6500,96.5,200.0,0.7516472339630127,,,,0.03911726921796799,0.0,0.0014570000348612666,-1.7799334526062012,7847.12744140625,hard
18,19,5.7922844886779785,1676690958.7313275,6900,,,0.7363234162330627,1621.0,246.42857360839844,28.321428298950195,0.025655459612607956,0.0,0.0014570000348612666,-1.7674932479858398,10566.5,hard
19,20,5.953375339508057,1676690958.8924184,7000,96.5,200.0,0.7325402498245239,,,,0.01590004935860634,0.0,0.0014570000348612666,-0.6765956878662109,11274.5361328125,hard
20,21,6.633902549743652,1676690959.5729456,7500,97.0,200.0,0.7134332060813904,,,,0.00764117669314146,0.0,0.0014570000348612666,-0.36338138580322266,14954.443359375,hard
21,23,7.747013092041016,1676690960.686056,8000,97.0,200.0,0.6943262219429016,,,,0.011813417077064514,0.0,0.0014570000348612666,-0.5639057159423828,19068.009765625,hard
22,24,8.439954280853271,1676690961.378997,8500,97.0,200.0,0.6752192378044128,,,,0.0014929644530639052,0.0,0.0014570000348612666,-1.0209007263183594,23570.9921875,hard
23,25,8.97251272201538,1676690961.9115558,8900,,,0.6598954200744629,1196.0,247.22222900390625,41.05555725097656,0.0009376068483106792,0.0,0.0014570000348612666,-0.5554933547973633,27460.591796875,hard
24,27,9.829406499862673,1676690962.7684495,9500,97.0,200.0,0.6370052099227905,,,,0.018581872805953022,0.0,0.0014570000348612666,-0.3446540832519531,33746.73828125,hard
25,28,10.351130962371826,1676690963.290174,9900,,,0.6216813921928406,1123.0,247.5,45.51250076293945,0.0009314599446952344,0.0,0.0014570000348612666,-0.4959831237792969,38150.1640625,hard
26,29,10.516231298446655,1676690963.4552743,10000,97.0,200.0,0.6178982257843018,,,,0.013817339204251766,0.0,0.0014570000348612666,-0.5386266708374023,39287.9765625,hard
27,30,11.199805498123167,1676690964.1388483,10500,97.0,200.0,0.598791241645813,,,,0.013165482319891453,0.0,0.0014570000348612666,-0.37380123138427734,45110.14453125,hard
28,32,11.8803071975708,1676690964.8193502,11000,97.0,200.0,0.5796842575073242,,,,6.361652049236e-05,0.0,0.0014570000348612666,-0.4419059753417969,51183.31640625,hard
29,33,12.568149328231812,1676690965.5071924,11500,97.0,200.0,0.5605772137641907,,,,0.000243134330958128,0.0,0.0014570000348612666,-0.7157468795776367,57509.85546875,hard
30,34,13.085237979888916,1676690966.024281,11900,,,0.5452533960342407,1030.0,247.9166717529297,53.39583206176758,0.00020013164612464607,0.0,0.0014570000348612666,-0.9028940200805664,62738.2421875,hard
31,36,13.933757305145264,1676690966.8728004,12500,97.0,200.0,0.5223632454872131,,,,5.441576649900526e-05,0.0,0.0014570000348612666,-0.3055839538574219,70850.765625,hard
32,37,14.455416202545166,1676690967.3944592,12900,,,0.5070394277572632,998.0,248.0769195556641,56.81730651855469,8.6563391960226e-05,0.0,0.0014570000348612666,-0.649378776550293,76425.90625,hard
33,38,14.618634939193726,1676690967.557678,13000,97.0,200.0,0.5032562613487244,,,,0.0002120312856277451,0.0,0.0014570000348612666,-0.4564542770385742,77846.34375,hard
34,39,15.29809069633484,1676690968.2371335,13500,97.0,200.0,0.4841492474079132,,,,0.00022875129070598632,0.0,0.0014570000348612666,-0.5893049240112305,85036.375,hard
35,40,15.824127912521362,1676690968.763171,13900,,,0.46882542967796326,972.0,248.2142791748047,59.82143020629883,0.00023117932141758504,0.0,0.0014570000348612666,-0.8937273025512695,90918.890625,hard
36,41,15.991519451141356,1676690968.9305625,14000,97.0,200.0,0.4650422334671021,,,,0.0102002564817667,0.0,0.0014570000348612666,-0.49038219451904297,92414.4296875,hard
37,42,16.695185899734497,1676690969.634229,14500,97.0,200.0,0.4459352493286133,,,,0.00029815809102728963,0.0,0.0014570000348612666,-0.4014616012573242,99990.1875,hard
38,43,17.23519468307495,1676690970.1742375,14900,,,0.4306114315986634,949.0,248.3333282470703,62.75833511352539,0.0001972818572539836,0.0,0.0014570000348612666,-0.4328279495239258,106178.6640625,hard
39,44,17.399529933929443,1676690970.338573,15000,97.0,200.0,0.4268282353878021,,,,0.01348978653550148,0.0,0.0014570000348612666,-0.38887977600097656,107747.625,hard
40,45,18.106970071792603,1676690971.046013,15500,97.0,200.0,0.40772125124931335,,,,0.00039874485810287297,0.0,0.0014570000348612666,-0.5125732421875,115687.2734375,hard
41,46,18.647385358810425,1676690971.5864284,15900,,,0.3923974335193634,929.0,248.4375,65.4765625,0.0002038425736827776,0.0,0.0014570000348612666,-1.196828842163086,122163.2890625,hard
42,47,18.80711269378662,1676690971.7461555,16000,97.0,200.0,0.3886142373085022,,,,0.00012549270468298346,0.0,0.0014570000348612666,-0.3872995376586914,123800.203125,hard
43,48,19.50673460960388,1676690972.4457777,16500,97.0,200.0,0.3695072531700134,,,,0.00011948878818657248,0.0,0.0014570000348612666,-0.5402116775512695,132068.71875,hard
44,49,20.053754329681396,1676690972.9927974,16900,,,0.3541834354400635,912.0,248.5294189453125,68.16912078857422,0.0002412642206763849,0.0,0.0014570000348612666,-0.6937637329101562,138799.921875,hard
45,51,20.909500122070312,1676690973.8485432,17500,97.0,200.0,0.3312932550907135,,,,0.0002467489102855325,0.0,0.0014570000348612666,-0.726959228515625,149091.515625,hard
46,52,21.46270990371704,1676690974.401753,17900,,,0.31596943736076355,898.0,248.61111450195312,70.45833587646484,0.016714803874492645,0.0,0.0014570000348612666,-0.28687572479248047,156059.96875,hard
47,53,21.61703133583069,1676690974.5560744,18000,97.0,200.0,0.31218624114990234,,,,0.01326578203588724,0.0,0.0014570000348612666,-0.8450956344604492,157821.421875,hard
48,54,22.31390619277954,1676690975.2529492,18500,97.0,200.0,0.2930792570114136,,,,4.016144885099493e-05,0.0,0.0014570000348612666,-1.006784439086914,166686.671875,hard
49,55,22.862805128097538,1676690975.8018482,18900,,,0.2777554392814636,886.0,248.6842041015625,72.41447448730469,0.00016619563393760473,0.0,0.0014570000348612666,-0.38039588928222656,173867.9375,hard
50,56,23.013898849487305,1676690975.952942,19000,97.0,200.0,0.2739722430706024,,,,5.083842916064896e-05,0.0,0.0014570000348612666,-1.0003089904785156,175678.296875,hard
51,57,23.712515592575073,1676690976.6515586,19500,97.0,200.0,0.25486525893211365,,,,0.013593235053122044,0.0,0.0014570000348612666,-0.3733377456665039,184795.796875,hard
52,58,24.26547622680664,1676690977.2045193,19900,,,0.2395414263010025,875.0,248.75,74.4375,0.0001579438103362918,0.0,0.0014570000348612666,-0.49329566955566406,192178.65625,hard
53,59,24.417194843292236,1676690977.356238,20000,97.0,200.0,0.2357582449913025,,,,9.680599760031328e-05,0.0,0.0014570000348612666,-0.8371858596801758,194039.59375,hard
54,60,25.124587774276733,1676690978.0636308,20500,97.0,200.0,0.21665124595165253,,,,0.0001801270991563797,0.0,0.0014570000348612666,-0.37966442108154297,203407.328125,hard
55,61,25.66694974899292,1676690978.6059928,20900,,,0.20132742822170255,866.0,248.8095245361328,76.3452377319336,0.00030163113842718303,0.0,0.0014570000348612666,-0.47618579864501953,210985.0,hard
56,62,25.818220138549805,1676690978.7572632,21000,97.0,200.0,0.19754424691200256,,,,0.01320107001811266,0.0,0.0014570000348612666,-0.4989748001098633,212893.625,hard
57,63,26.5046124458313,1676690979.4436555,21500,97.0,200.0,0.1784372478723526,,,,0.014010976068675518,0.0,0.0014570000348612666,-0.3530082702636719,222497.125,hard
58,64,27.039120197296143,1676690979.9781632,21900,,,0.16311343014240265,858.0,248.86363220214844,78.13636016845703,9.587794193066657e-05,0.0,0.0014570000348612666,-0.45778465270996094,230258.78125,hard
