,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,5.9599010944366455,1676681349.424456,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,7.73354697227478,1676681351.198102,900,,,0.9687955975532532,440.0,225.0,9.875,,,,,,none
2,2,7.905557155609131,1676681351.3701122,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,8.192171573638916,1676681351.6567266,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,8.338173389434814,1676681351.8027284,1900,,,0.9341241121292114,717.0,237.5,7.5625,,,,,,none
5,5,8.508253574371338,1676681351.9728086,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,6,8.810269355773926,1676681352.2748244,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
7,7,8.910688161849976,1676681352.3752432,2900,,,0.8994525671005249,900.0,241.6666717529297,12.291666984558104,,,,,,none
8,8,9.078593969345093,1676681352.543149,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
9,9,9.386382818222046,1676681352.8509378,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
10,10,9.479657649993896,1676681352.944213,3900,,,0.8647810220718384,1028.0,243.75,11.28125,,,,,,none
11,11,9.649929761886597,1676681353.1144848,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
12,12,9.905452489852903,1676681353.3700075,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
13,15,11.95963191986084,1676681355.424187,5500,0.0,200.0,0.8093412518501282,,,,0.00012163840438006446,0.0,0.0007825000211596489,-1715.904541015625,1474.3636474609375,none
14,16,13.33712124824524,1676681356.8016765,5900,,,0.7954379320144653,771.0,245.8333282470703,11.479166984558104,1.74973247339949e-05,0.0,0.0007825000211596489,-1702.3779296875,2607.96044921875,none
15,17,13.88617777824402,1676681357.3507328,6000,0.0,200.0,0.7920054793357849,,,,1.5235675164149144e-05,0.0,0.0007825000211596489,-1722.628173828125,2894.939697265625,none
16,19,17.023420333862305,1676681360.4879754,6900,,,0.7607664465904236,608.0,246.42857360839844,12.303571701049805,3.3747362522262847e-06,0.0,0.0007825000211596489,-1752.4677734375,5514.28271484375,none
17,21,19.37494015693665,1676681362.8394952,7500,0.0,200.0,0.7399981617927551,,,,1.982944695555489e-06,0.0,0.0007825000211596489,-1729.04248046875,7385.61376953125,none
18,22,20.820250034332275,1676681364.284805,7900,,,0.7260949015617371,522.0,246.875,12.390625,1.0723991863414994e-06,0.0,0.0007825000211596489,-1707.166748046875,8641.52734375,none
19,23,21.37232351303101,1676681364.8368783,8000,0.0,200.0,0.7226623892784119,,,,4.853350787925592e-07,0.0,0.0007825000211596489,-1741.956298828125,8951.29296875,none
20,24,23.33702516555786,1676681366.8015802,8500,0.0,200.0,0.7053266167640686,,,,1.62494882260944e-06,0.0,0.0007825000211596489,-1739.22216796875,10526.505859375,none
