,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.94952654838562,1676682320.7708037,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,4.8313069343566895,1676682321.6525838,900,,,0.9687955975532532,912.0,225.0,10.75,,,,,,none
2,2,4.904532432556152,1676682321.725809,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,5.005711555480957,1676682321.8269885,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,5.037294387817383,1676682321.8585713,1900,,,0.9341241121292114,1592.0,237.5,11.1875,,,,,,none
5,5,5.110823631286621,1676682321.9321003,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,6,5.214492559432983,1676682322.0357697,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
7,7,5.249744892120361,1676682322.0710218,2900,,,0.8994525671005249,2063.0,241.6666717529297,11.916666984558104,,,,,,none
8,8,5.32183837890625,1676682322.1431153,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
9,9,5.42453145980835,1676682322.2458084,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
10,10,5.4561474323272705,1676682322.2774243,3900,,,0.8647810220718384,2419.0,243.75,15.1875,,,,,,none
11,12,5.627604722976685,1676682322.4488816,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
12,13,5.658989667892456,1676682322.4802666,4900,,,0.8301094770431519,2700.0,245.0,13.25,,,,,,none
13,14,5.729963064193726,1676682322.55124,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
14,17,6.899422645568848,1676682323.7206995,6000,0.0,200.0,0.7920054793357849,,,,9.314605449617376e-06,0.0,0.0007825000211596489,-1789.9093017578125,3646.982177734375,none
15,18,7.538095235824585,1676682324.359372,6500,0.0,200.0,0.7746697068214417,,,,3.2810719403641997e-06,0.0,0.0007825000211596489,-1751.76416015625,5543.107421875,none
16,19,7.9599385261535645,1676682324.7812154,6900,,,0.7607664465904236,1676.0,246.42857360839844,16.321428298950195,6.719854809489334e-06,0.0,0.0007825000211596489,-1747.7772216796875,7150.5146484375,none
17,21,8.730046272277832,1676682325.5513232,7500,0.0,200.0,0.7399981617927551,,,,1.6910236126932432e-06,0.0,0.0007825000211596489,-1802.3048095703125,9606.9345703125,none
18,22,9.161036729812622,1676682325.9823136,7900,,,0.7260949015617371,1486.0,246.875,17.671875,6.769434094167082e-06,0.0,0.0007825000211596489,-1769.1749267578125,11329.54296875,none
19,23,9.33348822593689,1676682326.1547651,8000,0.0,200.0,0.7226623892784119,,,,1.5076260524438112e-06,0.0,0.0007825000211596489,-1776.4466552734375,11771.33984375,none
20,24,9.93606972694397,1676682326.7573466,8500,0.0,200.0,0.7053266167640686,,,,1.8445831528879353e-06,0.0,0.0007825000211596489,-1766.61669921875,13956.314453125,none
21,25,10.370386600494385,1676682327.1916635,8900,,,0.6914233565330505,1363.0,247.22222900390625,17.95833396911621,2.7431128728494514e-06,0.0,0.0007825000211596489,-1765.90185546875,15700.138671875,none
22,26,10.544275522232056,1676682327.3655524,9000,0.0,200.0,0.6879909038543701,,,,2.902544338212465e-06,0.0,0.0007825000211596489,-1781.395751953125,16149.0966796875,none
23,27,11.147005796432495,1676682327.9682827,9500,0.0,200.0,0.6706551313400269,,,,5.481584253175242e-07,0.0,0.0007825000211596489,-1780.8310546875,18436.068359375,none
