,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,4.005641222000122,1676685326.5763223,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,4.917845964431763,1676685327.488527,900,,,0.9687955975532532,882.0,225.0,21.375,,,,,,none
2,2,4.989861965179443,1676685327.560543,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,5.091998338699341,1676685327.6626794,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,5,5.194958209991455,1676685327.7656393,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
5,6,5.2950873374938965,1676685327.8657684,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
6,7,5.326757907867432,1676685327.897439,2900,,,0.8994525671005249,2029.0,241.6666717529297,14.958333015441896,,,,,,none
7,8,5.397722005844116,1676685327.968403,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
8,9,5.501339673995972,1676685328.0720208,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
9,10,5.535794019699097,1676685328.106475,3900,,,0.8647810220718384,2380.0,243.75,18.5,,,,,,none
10,11,5.611802339553833,1676685328.1824834,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
11,12,5.7113730907440186,1676685328.2820542,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
12,13,5.743273496627808,1676685328.3139546,4900,,,0.8301094770431519,2654.0,245.0,16.825000762939453,,,,,,none
13,15,6.395758152008057,1676685328.9664392,5500,0.0,200.0,0.8093412518501282,,,,0.00012785548460669816,0.0,0.0007825000211596489,-1765.6541748046875,2223.234619140625,none
14,19,8.016995429992676,1676685330.5876763,6900,,,0.7607664465904236,1675.0,246.42857360839844,16.214284896850586,5.5213013183674775e-06,0.0,0.0007825000211596489,-1726.266845703125,8408.8154296875,none
15,21,8.817933082580566,1676685331.3886142,7500,0.0,200.0,0.7399981617927551,,,,4.989094122720417e-06,0.0,0.0007825000211596489,-1739.9805908203125,10812.83203125,none
16,22,9.236278533935549,1676685331.8069596,7900,,,0.7260949015617371,1479.0,246.875,15.09375,1.4878186220812497e-06,0.0,0.0007825000211596489,-1752.7978515625,12353.9345703125,none
17,23,9.408345937728882,1676685331.979027,8000,0.0,200.0,0.7226623892784119,,,,1.045565909407742e-06,0.0,0.0007825000211596489,-1730.69287109375,12731.2783203125,none
18,24,10.004120349884031,1676685332.5748014,8500,0.0,200.0,0.7053266167640686,,,,7.935890380394994e-07,0.0,0.0007825000211596489,-1710.712158203125,14601.7744140625,none
19,25,10.452284097671509,1676685333.0229652,8900,,,0.6914233565330505,1358.0,247.22222900390625,14.125,4.07792276746477e-06,0.0,0.0007825000211596489,-1731.848876953125,16046.2490234375,none
20,26,10.6301691532135,1676685333.2008502,9000,0.0,200.0,0.6879909038543701,,,,0.0004443445068318397,0.0,0.0007825000211596489,-1732.31494140625,16399.373046875,none
21,27,11.22812533378601,1676685333.7988064,9500,0.0,200.0,0.6706551313400269,,,,5.820953674628981e-07,0.0,0.0007825000211596489,-1718.5107421875,18193.16015625,none
22,28,11.66037631034851,1676685334.2310574,9900,,,0.656751811504364,1275.0,247.5,13.987500190734863,2.8699417953248485e-07,0.0,0.0007825000211596489,-1718.456787109375,19630.271484375,none
23,29,11.838850498199465,1676685334.4095316,10000,0.0,200.0,0.6533193588256836,,,,1.0842944675459876e-06,0.0,0.0007825000211596489,-1726.02685546875,19979.958984375,none
24,31,12.889004468917848,1676685335.4596856,10900,,,0.6220802664756775,1212.0,247.7272796630859,17.69318199157715,7.137441116356058e-06,0.0,0.0007825000211596489,-1721.281494140625,23482.025390625,none
25,32,13.07126235961914,1676685335.6419437,11000,0.0,200.0,0.6186478137969971,,,,2.9744493076577783e-05,0.0,0.0007825000211596489,-1705.2445068359375,23924.353515625,none
26,33,13.711448431015016,1676685336.2821295,11500,0.0,200.0,0.6013120412826538,,,,4.030358923046151e-06,0.0,0.0007825000211596489,-1701.28173828125,26276.49609375,none
27,34,14.238503217697144,1676685336.8091843,11900,,,0.5874087810516357,1150.0,247.9166717529297,21.41666603088379,2.6599871034704847e-06,0.0,0.0007825000211596489,-1713.5657958984375,28348.337890625,none
28,35,14.422754287719728,1676685336.9934354,12000,0.0,200.0,0.5839762687683105,,,,2.204214433731977e-05,0.0,0.0007825000211596489,-1740.010986328125,28883.755859375,none
29,37,15.475978136062622,1676685338.0466592,12900,,,0.5527372360229492,1114.0,248.0769195556641,22.326923370361328,4.8292484279954806e-05,0.0,0.0007825000211596489,-1728.620361328125,33881.796875,none
30,38,15.653138875961304,1676685338.22382,13000,0.0,200.0,0.549304723739624,,,,1.985039853025228e-05,0.0,0.0007825000211596489,-1720.320556640625,34439.96875,none
31,39,16.28722310066223,1676685338.8579042,13500,0.0,200.0,0.5319689512252808,,,,1.0188437045144385e-05,0.0,0.0007825000211596489,-1731.5074462890625,37337.953125,none
32,40,16.74208092689514,1676685339.312762,13900,,,0.5180656909942627,1082.0,248.2142791748047,24.973215103149418,4.364215726582188e-07,0.0,0.0007825000211596489,-1730.0010986328125,39761.9765625,none
33,41,16.92082118988037,1676685339.4915023,14000,0.0,200.0,0.5146332383155823,,,,6.689511337754084e-06,0.0,0.0007825000211596489,-1731.680908203125,40386.30859375,none
34,43,18.018735885620117,1676685340.589417,14900,,,0.48339414596557617,1055.0,248.3333282470703,27.683332443237305,1.3909074368712028e-05,0.0,0.0007825000211596489,-1735.1956787109375,46235.0390625,none
35,44,18.21072816848755,1676685340.7814093,15000,0.0,200.0,0.47996169328689575,,,,3.416701656533405e-05,0.0,0.0007825000211596489,-1757.507568359375,46927.12109375,none
36,45,18.836231231689453,1676685341.4069123,15500,0.0,200.0,0.4626259207725525,,,,1.910747778310906e-05,0.0,0.0007825000211596489,-1772.920166015625,50471.48046875,none
37,46,19.301050662994385,1676685341.8717318,15900,,,0.448722630739212,1032.0,248.4375,30.9609375,1.764893386280164e-05,0.0,0.0007825000211596489,-1733.318359375,53439.04296875,none
38,49,20.606375455856323,1676685343.1770566,16900,,,0.4140510857105255,1011.0,248.5294189453125,34.16911697387695,1.6456464436487295e-05,0.0,0.0007825000211596489,-1753.1142578125,61462.09375,none
39,50,20.78949284553528,1676685343.360174,17000,0.0,200.0,0.4106186032295227,,,,0.0015433188527822497,0.0,0.0007825000211596489,-1776.898681640625,62316.3203125,none
40,51,21.435646772384644,1676685344.006328,17500,0.0,200.0,0.39328286051750183,,,,1.1645863196463324e-05,0.0,0.0007825000211596489,-1769.0794677734375,66677.015625,none
41,52,21.90038800239563,1676685344.471069,17900,,,0.3793795704841614,994.0,248.61111450195312,37.36805725097656,2.938339821412228e-05,0.0,0.0007825000211596489,-1762.6719970703125,70321.2578125,none
42,53,22.085100650787354,1676685344.6557815,18000,0.0,200.0,0.37594708800315857,,,,7.98981091065798e-06,0.0,0.0007825000211596489,-1768.4697265625,71255.4609375,none
43,54,22.72854256629944,1676685345.2992237,18500,0.0,200.0,0.3586113154888153,,,,1.4515565453621091e-05,0.0,0.0007825000211596489,-1758.3409423828125,75973.53125,none
44,56,23.38043475151062,1676685345.9511158,19000,0.0,200.0,0.34127554297447205,,,,1.8544846170698293e-05,0.0,0.0007825000211596489,-1777.4283447265625,80752.953125,none
45,57,24.016319751739506,1676685346.5870008,19500,0.0,200.0,0.3239397704601288,,,,2.190615123254247e-05,0.0,0.0007825000211596489,-1766.3404541015625,85609.421875,none
46,58,24.505088329315186,1676685347.0757694,19900,,,0.3100365102291107,965.0,248.75,40.15625,1.8733049955699244e-06,0.0,0.0007825000211596489,-1768.3076171875,89537.203125,none
47,59,24.690691471099857,1676685347.2613726,20000,0.0,200.0,0.3066040277481079,,,,6.249359284993261e-05,0.0,0.0007825000211596489,-1764.9512939453125,90541.109375,none
48,60,25.33988046646118,1676685347.9105616,20500,0.0,200.0,0.28926825523376465,,,,3.3487798646092415e-05,0.0,0.0007825000211596489,-1717.0374755859375,95658.0703125,none
49,62,25.9919216632843,1676685348.5626028,21000,0.0,200.0,0.2719324827194214,,,,1.586506732564885e-05,0.0,0.0007825000211596489,-1731.363525390625,100958.84375,none
50,63,26.65548276901245,1676685349.226164,21500,0.0,200.0,0.2545967102050781,,,,7.869446562835947e-06,0.0,0.0007825000211596489,-1742.670166015625,106423.6796875,none
51,65,27.324952840805057,1676685349.895634,22000,0.0,200.0,0.23726095259189608,,,,1.3820229469274636e-05,0.0,0.0007825000211596489,-1737.970947265625,111986.59375,none
52,66,27.974908351898193,1676685350.5455894,22500,0.0,200.0,0.2199251800775528,,,,0.003407187992706895,0.0,0.0007825000211596489,-1721.824951171875,117647.5234375,none
53,67,28.46580982208252,1676685351.036491,22900,,,0.2060219049453735,932.0,248.9130401611328,46.74456405639648,1.970454104593955e-05,0.0,0.0007825000211596489,-1718.8092041015625,122260.3046875,none
54,68,28.65378260612488,1676685351.2244637,23000,0.0,200.0,0.20258942246437073,,,,5.014334601582959e-05,0.0,0.0007825000211596489,-1725.1068115234375,123428.921875,none
55,69,29.3272488117218,1676685351.89793,23500,0.0,200.0,0.1852536499500275,,,,2.284989932377357e-05,0.0,0.0007825000211596489,-1721.1776123046875,129346.703125,none
56,70,29.81551694869995,1676685352.386198,23900,,,0.171350359916687,922.0,248.9583282470703,48.93229293823242,0.0033953930251300335,0.0,0.0007825000211596489,-1722.5897216796875,134167.140625,none
57,72,30.68408966064453,1676685353.2547708,24500,0.0,200.0,0.15058211982250214,,,,2.43296344706323e-05,0.0,0.0007825000211596489,-1740.67333984375,141559.765625,none
58,73,31.16912198066711,1676685353.739803,24900,,,0.13667882978916168,913.0,249.0,50.78499984741211,1.411026096320711e-05,0.0,0.0007825000211596489,-1739.17626953125,146575.390625,none
59,74,31.36126923561096,1676685353.9319503,25000,0.0,200.0,0.13324634730815887,,,,2.1483998352778144e-05,0.0,0.0007825000211596489,-1752.4737548828125,147845.015625,none
60,75,32.032689571380615,1676685354.603371,25500,97.0,200.0,0.1159105822443962,,,,3.751460099010728e-05,0.0,0.0007825000211596489,-1733.29248046875,154290.515625,none
61,76,33.403239250183105,1676685355.9739203,25900,,,0.10200729966163637,877.0,250.0,53.529998779296875,3.3365246054017916e-05,0.0,0.0007825000211596489,-1733.7965087890625,159596.015625,none
62,77,33.590808153152466,1676685356.1614892,26000,0.0,200.0,0.09857481718063354,,,,3.009575084433891e-05,0.0,0.0007825000211596489,-1738.6019287109375,160934.265625,none
63,78,34.26146125793457,1676685356.8321424,26500,0.0,200.0,0.08123905211687088,,,,1.924920070450753e-05,0.0,0.0007825000211596489,-1723.7117919921875,167687.515625,none
64,80,34.95750379562378,1676685357.528185,27000,0.0,200.0,0.06390328705310822,,,,3.830298737739213e-05,0.0,0.0007825000211596489,-1737.91650390625,174581.640625,none
65,81,35.641029834747314,1676685358.211711,27500,0.0,200.0,0.05000000074505806,,,,3.410381032153964e-05,0.0,0.0007825000211596489,-1749.310302734375,181642.890625,none
66,82,36.13569974899292,1676685358.7063808,27900,,,0.05000000074505806,865.0,250.0,58.89500045776367,3.286665378254838e-05,0.0,0.0007825000211596489,-1758.4967041015625,187422.390625,none
67,83,36.33074235916138,1676685358.9014237,28000,0.0,200.0,0.05000000074505806,,,,1.2323501323407982e-05,0.0,0.0007825000211596489,-1741.5126953125,188894.765625,none
68,84,36.99568819999695,1676685359.5663693,28500,0.0,200.0,0.05000000074505806,,,,3.0037555916351263e-05,0.0,0.0007825000211596489,-1742.29638671875,196286.390625,none
69,85,37.48875546455383,1676685360.0594366,28900,,,0.05000000074505806,860.0,250.0,60.69499969482422,0.00029095736681483686,0.0,0.0007825000211596489,-1729.892822265625,202252.640625,none
70,86,37.67971444129944,1676685360.2503955,29000,0.0,200.0,0.05000000074505806,,,,1.5907473425613716e-05,0.0,0.0007825000211596489,-1758.2730712890625,203770.015625,none
71,87,38.37359309196472,1676685360.9442742,29500,0.0,200.0,0.05000000074505806,,,,6.77276766509749e-05,0.0,0.0007825000211596489,-1737.715576171875,211371.890625,none
72,88,38.85823893547058,1676685361.42892,29900,,,0.05000000074505806,855.0,250.0,62.564998626708984,5.2148414397379383e-05,0.0,0.0007825000211596489,-1734.1309814453125,217506.890625,none
73,90,39.72623133659363,1676685362.2969124,30500,0.0,200.0,0.05000000074505806,,,,4.507298581302166e-05,0.0,0.0007825000211596489,-1674.85498046875,226976.890625,none
74,91,40.21727228164673,1676685362.7879534,30900,,,0.05000000074505806,850.0,250.0,65.05999755859375,2.3575772502226755e-05,0.0,0.0007825000211596489,-1678.0283203125,233438.640625,none
75,92,40.43356466293335,1676685363.0042458,31000,0.0,200.0,0.05000000074505806,,,,4.021184940938838e-05,0.0,0.0007825000211596489,-1666.9970703125,235065.140625,none
76,93,41.10954713821411,1676685363.6802282,31500,0.0,200.0,0.05000000074505806,,,,2.86711219814606e-05,0.0,0.0007825000211596489,-1678.9715576171875,243183.015625,none
77,94,41.61393761634827,1676685364.1846187,31900,,,0.05000000074505806,845.0,250.0,65.93499755859375,2.0894625777145848e-05,0.0,0.0007825000211596489,-1676.2969970703125,249718.015625,none
78,96,42.5002064704895,1676685365.0708876,32500,0.0,200.0,0.05000000074505806,,,,7.072500739013776e-05,0.0,0.0007825000211596489,-1677.7071533203125,259642.265625,none
79,98,43.19177198410034,1676685365.762453,33000,0.0,200.0,0.05000000074505806,,,,2.4529257643735036e-05,0.0,0.0007825000211596489,-1669.64453125,268060.375,none
80,100,44.36232376098633,1676685366.9330049,33900,,,0.05000000074505806,837.0,250.0,69.17500305175781,2.0024925106554292e-05,0.0,0.0007825000211596489,-1678.367919921875,283274.375,none
81,101,44.548823833465576,1676685367.119505,34000,0.0,200.0,0.05000000074505806,,,,9.137567758443764e-06,0.0,0.0007825000211596489,-1680.6929931640625,285003.75,none
82,102,45.227248668670654,1676685367.7979298,34500,0.0,200.0,0.05000000074505806,,,,3.944666968891397e-05,0.0,0.0007825000211596489,-1675.464111328125,293634.25,none
83,104,45.90134787559509,1676685368.472029,35000,0.0,200.0,0.05000000074505806,,,,1.916595829243306e-05,0.0,0.0007825000211596489,-1666.9212646484375,302323.125,none
84,105,46.58525514602661,1676685369.1559362,35500,0.0,200.0,0.05000000074505806,,,,2.4093169486150146e-05,0.0,0.0007825000211596489,-1678.94580078125,311040.0,none
85,106,47.07608246803284,1676685369.6467636,35900,,,0.05000000074505806,831.0,250.0,68.03500366210938,8.571711987315211e-06,0.0,0.0007825000211596489,-1661.3155517578125,317925.0,none
86,107,47.27148723602295,1676685369.8421683,36000,0.0,200.0,0.05000000074505806,,,,0.005345489829778671,0.0,0.0007825000211596489,-1673.330322265625,319625.875,none
87,108,47.95176601409912,1676685370.522447,36500,0.0,200.0,0.05000000074505806,,,,0.00026701376191340387,0.0,0.0007825000211596489,-1675.4195556640625,328048.75,none
88,109,48.45889639854431,1676685371.0295775,36900,,,0.05000000074505806,828.0,250.0,65.91500091552734,0.0052519142627716064,0.0,0.0007825000211596489,-1678.5341796875,334685.75,none
89,110,48.64723491668701,1676685371.217916,37000,0.0,200.0,0.05000000074505806,,,,7.375093991868198e-05,0.0,0.0007825000211596489,-1667.2574462890625,336333.625,none
90,111,49.32392764091492,1676685371.8946087,37500,0.0,200.0,0.05000000074505806,,,,0.003267253516241908,0.0,0.0007825000211596489,-1665.8389892578125,344533.125,none
91,112,49.811235427856445,1676685372.3819163,37900,,,0.05000000074505806,825.0,250.0,66.73999786376953,0.0032200319692492485,0.0,0.0007825000211596489,-1663.1849365234375,351130.875,none
92,113,50.00021052360535,1676685372.5708916,38000,0.0,200.0,0.05000000074505806,,,,2.1799281967105344e-05,0.0,0.0007825000211596489,-1665.569580078125,352799.375,none
93,115,51.217366456985474,1676685373.7880476,38900,,,0.05000000074505806,822.0,250.0,65.0,1.3701358511752916e-05,0.0,0.0007825000211596489,-1658.7550048828125,367687.25,none
94,116,51.40756034851074,1676685373.9782414,39000,0.0,200.0,0.05000000074505806,,,,0.005318009294569492,0.0,0.0007825000211596489,-1664.096435546875,369312.25,none
95,117,52.079506635665894,1676685374.6501875,39500,0.0,200.0,0.05000000074505806,,,,2.4835131625877693e-05,0.0,0.0007825000211596489,-1668.0792236328125,377386.0,none
96,118,52.589638233184814,1676685375.160319,39900,,,0.05000000074505806,819.0,250.0,63.005001068115234,0.0052503179758787155,0.0,0.0007825000211596489,-1672.4072265625,383715.5,none
97,119,52.77953886985779,1676685375.35022,40000,0.0,200.0,0.05000000074505806,,,,1.9825956769636832e-05,0.0,0.0007825000211596489,-1669.680419921875,385290.625,none
98,120,53.45498561859131,1676685376.0256667,40500,0.0,200.0,0.05000000074505806,,,,3.230118454666808e-05,0.0,0.0007825000211596489,-1599.875,393183.375,none
99,121,53.94161677360535,1676685376.512298,40900,,,0.05000000074505806,817.0,250.0,63.54499816894531,1.3669233339896891e-05,0.0,0.0007825000211596489,-1606.47509765625,399535.625,none
100,122,54.145233154296875,1676685376.7159142,41000,0.0,200.0,0.05000000074505806,,,,2.981509896926582e-05,0.0,0.0007825000211596489,-1602.3135986328125,401124.25,none
101,123,54.840603828430176,1676685377.411285,41500,0.0,200.0,0.05000000074505806,,,,1.6533052985323593e-05,0.0,0.0007825000211596489,-1599.797607421875,409069.625,none
102,124,55.33781981468201,1676685377.908501,41900,,,0.05000000074505806,814.0,250.0,63.744998931884766,1.1864681255246978e-05,0.0,0.0007825000211596489,-1595.806396484375,415445.875,none
103,125,55.53161549568176,1676685378.1022966,42000,0.0,200.0,0.05000000074505806,,,,0.007075686007738113,0.0,0.0007825000211596489,-1598.7225341796875,417039.5,none
104,126,56.22017168998718,1676685378.7908528,42500,0.0,200.0,0.05000000074505806,,,,0.0070098889991641045,0.0,0.0007825000211596489,-1604.63037109375,425015.5,none
105,127,56.73062443733215,1676685379.3013055,42900,,,0.05000000074505806,812.0,250.0,63.494998931884766,1.5551104297628626e-05,0.0,0.0007825000211596489,-1599.54150390625,431391.25,none
106,128,56.92219805717468,1676685379.4928792,43000,0.0,200.0,0.05000000074505806,,,,2.979518831125461e-05,0.0,0.0007825000211596489,-1599.8143310546875,432978.625,none
107,129,57.6096773147583,1676685380.1803584,43500,0.0,200.0,0.05000000074505806,,,,0.005026928149163723,0.0,0.0007825000211596489,-1604.6842041015625,440885.25,none
108,130,58.11260199546814,1676685380.683283,43900,,,0.05000000074505806,809.0,250.0,64.13999938964844,6.348817987600341e-05,0.0,0.0007825000211596489,-1600.80517578125,447249.0,none
109,131,58.3146812915802,1676685380.8853624,44000,0.0,200.0,0.05000000074505806,,,,0.007093705236911774,0.0,0.0007825000211596489,-1600.201416015625,448852.5,none
110,132,58.999051570892334,1676685381.569733,44500,0.0,200.0,0.05000000074505806,,,,3.489023583824746e-05,0.0,0.0007825000211596489,-1596.182861328125,456934.75,none
111,133,59.50771069526672,1676685382.0783918,44900,,,0.05000000074505806,807.0,250.0,65.18000030517578,2.9095619538566098e-05,0.0,0.0007825000211596489,-1601.4718017578125,463466.0,none
112,134,59.69889616966248,1676685382.2695773,45000,0.0,200.0,0.05000000074505806,,,,4.078591155121103e-05,0.0,0.0007825000211596489,-1599.95068359375,465095.5,none
113,135,60.39307880401611,1676685382.96376,45500,97.0,200.0,0.05000000074505806,,,,0.00020378896442707628,0.0,0.0007825000211596489,-1596.970947265625,473206.625,none
114,136,60.89877009391785,1676685383.4694512,45900,,,0.05000000074505806,805.0,250.0,64.48500061035156,3.0503302696160972e-05,0.0,0.0007825000211596489,-1586.7767333984375,479670.125,none
115,137,61.096174240112305,1676685383.666855,46000,97.0,200.0,0.05000000074505806,,,,8.950106348493136e-06,0.0,0.0007825000211596489,-1602.56591796875,481282.25,none
116,138,61.78031086921692,1676685384.350992,46500,0.0,200.0,0.05000000074505806,,,,1.2608873475983272e-05,0.0,0.0007825000211596489,-1593.708984375,489309.25,none
117,139,62.28154683113098,1676685384.852228,46900,,,0.05000000074505806,803.0,250.0,64.19000244140625,2.474343273206614e-05,0.0,0.0007825000211596489,-1593.6868896484375,495722.75,none
118,140,62.4736487865448,1676685385.04433,47000,0.0,200.0,0.05000000074505806,,,,0.0070737446658313274,0.0,0.0007825000211596489,-1588.53125,497327.5,none
119,141,63.14403700828552,1676685385.714718,47500,97.0,200.0,0.05000000074505806,,,,3.4822573070414364e-05,0.0,0.0007825000211596489,-1594.73779296875,505363.5,none
120,142,63.64071202278137,1676685386.211393,47900,,,0.05000000074505806,801.0,250.0,64.61499786376953,2.8152615414001048e-05,0.0,0.0007825000211596489,-1596.6201171875,511823.0,none
121,143,63.82992339134216,1676685386.4006045,48000,0.0,200.0,0.05000000074505806,,,,1.3430229046207389e-05,0.0,0.0007825000211596489,-1596.1661376953125,513438.375,none
122,144,64.51515221595764,1676685387.0858333,48500,0.0,200.0,0.05000000074505806,,,,1.8775435819406994e-05,0.0,0.0007825000211596489,-1600.2681884765625,521500.0,none
123,145,65.0191502571106,1676685387.5898314,48900,,,0.05000000074505806,800.0,250.0,64.7249984741211,1.3052195754426066e-05,0.0,0.0007825000211596489,-1600.4573974609375,527960.5,none
124,146,65.221923828125,1676685387.792605,49000,0.0,200.0,0.05000000074505806,,,,2.7164129278389737e-05,0.0,0.0007825000211596489,-1594.93115234375,529578.625,none
125,147,65.90648698806763,1676685388.477168,49500,0.0,200.0,0.05000000074505806,,,,2.3334498109761626e-05,0.0,0.0007825000211596489,-1594.92724609375,537674.0,none
126,149,66.60989952087402,1676685389.1805806,50000,0.0,200.0,0.05000000074505806,,,,2.3935401259223e-05,0.0,0.0007825000211596489,-1596.9034423828125,545769.625,none
127,150,67.28557634353638,1676685389.8562574,50500,97.0,200.0,0.05000000074505806,,,,2.3512855477747507e-05,0.0,0.0007825000211596489,-1508.196044921875,553814.875,none
128,152,67.97228145599365,1676685390.5429626,51000,97.0,200.0,0.05000000074505806,,,,1.6769230569479987e-05,0.0,0.0007825000211596489,-1513.229736328125,561890.0,none
129,154,69.16464924812317,1676685391.7353303,51900,,,0.05000000074505806,795.0,250.0,67.21499633789062,1.523029823147226e-05,0.0,0.0007825000211596489,-1511.9273681640625,576769.0,none
130,155,69.37614035606384,1676685391.9468217,52000,97.0,200.0,0.05000000074505806,,,,2.4996792490128428e-05,0.0,0.0007825000211596489,-1506.9356689453125,578449.375,none
131,156,70.04794025421143,1676685392.618621,52500,97.0,200.0,0.05000000074505806,,,,2.161469637940172e-05,0.0,0.0007825000211596489,-1510.36669921875,586895.125,none
