,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.9567620754241943,1676684739.896662,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,4.839602947235107,1676684740.7795029,900,,,0.9687955975532532,909.0,225.0,26.625,,,,,,none
2,2,4.914923667907715,1676684740.8548236,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,5.017870903015137,1676684740.9577708,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,5.050229549407959,1676684740.9901297,1900,,,0.9341241121292114,1583.0,237.5,20.375,,,,,,none
5,6,5.2659077644348145,1676684741.2058077,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
6,7,5.297921419143677,1676684741.237821,2900,,,0.8994525671005249,2003.0,241.6666717529297,20.54166603088379,,,,,,none
7,8,5.372827529907227,1676684741.3127277,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
8,9,5.476353883743286,1676684741.4162538,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
9,10,5.5084638595581055,1676684741.4483638,3900,,,0.8647810220718384,2351.0,243.75,22.5625,,,,,,none
10,11,5.582341432571411,1676684741.5222414,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
11,12,5.685763359069824,1676684741.6256633,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
12,13,5.717609167098999,1676684741.657509,4900,,,0.8301094770431519,2624.0,245.0,21.975000381469727,,,,,,none
13,14,5.791743993759155,1676684741.731644,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
14,15,6.386728286743164,1676684742.3266282,5500,0.0,200.0,0.8093412518501282,,,,0.00015236144827213138,0.0,0.0007825000211596489,-1730.3408203125,2638.46337890625,none
15,17,6.994470596313477,1676684742.9343705,6000,0.0,200.0,0.7920054793357849,,,,1.506381158833392e-05,0.0,0.0007825000211596489,-1754.295654296875,5138.8359375,none
16,18,7.589791536331177,1676684743.5296917,6500,0.0,200.0,0.7746697068214417,,,,1.0694339835026769e-05,0.0,0.0007825000211596489,-1725.88232421875,7708.1083984375,none
17,19,8.05770754814148,1676684743.9976077,6900,,,0.7607664465904236,1640.0,246.42857360839844,22.339284896850582,3.505811491777422e-06,0.0,0.0007825000211596489,-1757.5675048828125,9909.533203125,none
18,20,8.24132752418518,1676684744.1812274,7000,0.0,200.0,0.7573339343070984,,,,2.296352704433957e-06,0.0,0.0007825000211596489,-1736.2584228515625,10468.0146484375,none
19,21,8.846029043197632,1676684744.785929,7500,0.0,200.0,0.7399981617927551,,,,1.5554280707874568e-06,0.0,0.0007825000211596489,-1729.9822998046875,13331.501953125,none
20,22,9.27366018295288,1676684745.21356,7900,,,0.7260949015617371,1456.0,246.875,22.703125,4.5705546654062346e-06,0.0,0.0007825000211596489,-1783.2635498046875,15638.814453125,none
21,23,9.451470136642456,1676684745.39137,8000,0.0,200.0,0.7226623892784119,,,,1.3083055137030897e-06,0.0,0.0007825000211596489,-1754.7449951171875,16206.392578125,none
22,24,10.065396785736084,1676684746.0052967,8500,0.0,200.0,0.7053266167640686,,,,1.0774233487609308e-05,0.0,0.0007825000211596489,-1768.9068603515625,19020.859375,none
23,26,10.69327425956726,1676684746.6331742,9000,0.0,200.0,0.6879909038543701,,,,2.047434918495128e-06,0.0,0.0007825000211596489,-1765.459716796875,21939.326171875,none
24,27,11.31311535835266,1676684747.2530153,9500,0.0,200.0,0.6706551313400269,,,,3.981991198998003e-07,0.0,0.0007825000211596489,-1770.208251953125,24802.859375,none
25,28,11.75928282737732,1676684747.6991827,9900,,,0.656751811504364,1251.0,247.5,21.912500381469727,2.7840003440360306e-06,0.0,0.0007825000211596489,-1781.58984375,27024.013671875,none
26,29,11.94006848335266,1676684747.8799684,10000,0.0,200.0,0.6533193588256836,,,,1.104899638448842e-06,0.0,0.0007825000211596489,-1732.118896484375,27571.826171875,none
27,30,12.575244188308716,1676684748.515144,10500,0.0,200.0,0.6359835863113403,,,,1.0885036317631602e-05,0.0,0.0007825000211596489,-1732.23095703125,30431.576171875,none
28,32,13.2059063911438,1676684749.1458063,11000,0.0,200.0,0.6186478137969971,,,,7.100972197804367e-06,0.0,0.0007825000211596489,-1756.72998046875,33536.46484375,none
29,33,13.821515321731567,1676684749.7614152,11500,0.0,200.0,0.6013120412826538,,,,6.733899908795138e-07,0.0,0.0007825000211596489,-1717.8848876953125,36822.83984375,none
30,34,14.321546792984009,1676684750.2614467,11900,,,0.5874087810516357,1136.0,247.9166717529297,29.19791603088379,4.0591639844933525e-05,0.0,0.0007825000211596489,-1714.4193115234375,39576.078125,none
31,36,15.145659923553469,1676684751.0855598,12500,0.0,200.0,0.5666404962539673,,,,2.791005499602761e-06,0.0,0.0007825000211596489,-1756.207275390625,44103.0078125,none
32,37,15.598154306411743,1676684751.5380542,12900,,,0.5527372360229492,1098.0,248.0769195556641,32.125,8.29572763905162e-06,0.0,0.0007825000211596489,-1752.5625,47298.90234375,none
