,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.5349574089050293,1676689275.4835303,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,1.0294816493988037,1676689275.9780548,900,,,0.9687955975532532,1465.0,225.0,13.625,,,,,,none
2,2,1.1293816566467283,1676689276.0779548,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,1.247653245925903,1676689276.1962264,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,1.2672734260559082,1676689276.2158463,1900,,,0.9341241121292114,2230.0,237.5,16.625,,,,,,none
5,5,1.367556095123291,1676689276.3161292,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,6,1.4925134181976318,1676689276.4410863,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
7,7,1.5123064517974854,1676689276.4608796,2900,,,0.8994525671005249,2643.0,241.6666717529297,16.08333396911621,,,,,,none
8,8,1.6132285594940186,1676689276.5618017,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
9,9,1.7328293323516846,1676689276.6814024,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
10,11,1.8506290912628176,1676689276.7992022,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
11,13,1.9865849018096924,1676689276.935158,4900,,,0.8301094770431519,3118.0,245.0,24.125,,,,,,none
12,14,2.077300786972046,1676689277.025874,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
13,15,3.692767858505249,1676689278.641341,5500,0.0,200.0,0.8093412518501282,,,,0.0005321858334355056,0.0,0.0007825000211596489,-4313.9677734375,2985.47998046875,none
14,16,4.943981647491455,1676689279.8925548,5900,,,0.7954379320144653,1302.0,245.8333282470703,25.22916603088379,3.1955296435626224e-05,0.0,0.0007825000211596489,-4334.458984375,5522.83154296875,none
