,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.4956061840057373,1676683961.081293,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,1.051807165145874,1676683961.637494,900,,,0.9687955975532532,1344.0,225.0,27.875,,,,,,none
2,2,1.1514194011688232,1676683961.7371063,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,1.2636985778808594,1676683961.8493855,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,1.282191276550293,1676683961.8678782,1900,,,0.9341241121292114,2110.0,237.5,24.0625,,,,,,none
5,5,1.3774008750915527,1676683961.9630878,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,7,1.5083792209625244,1676683962.094066,2900,,,0.8994525671005249,2574.0,241.6666717529297,20.08333396911621,,,,,,none
7,8,1.6027095317840576,1676683962.1883965,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
8,9,1.7150053977966309,1676683962.3006923,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
9,10,1.7331969738006592,1676683962.318884,3900,,,0.8647810220718384,2886.0,243.75,20.75,,,,,,none
10,11,1.8270163536071775,1676683962.4127033,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
11,12,1.9389569759368896,1676683962.524644,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
12,13,1.9572079181671145,1676683962.5428948,4900,,,0.8301094770431519,3110.0,245.0,21.149999618530273,,,,,,none
13,14,2.101274013519287,1676683962.686961,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
14,15,3.715080499649048,1676683964.3007674,5500,0.0,200.0,0.8093412518501282,,,,0.000354901363607496,0.0,0.0007825000211596489,-4251.44970703125,2578.07080078125,none
15,16,4.963299512863159,1676683965.5489864,5900,,,0.7954379320144653,1287.0,245.8333282470703,19.375,2.576219048933126e-05,0.0,0.0007825000211596489,-4253.50537109375,4567.1025390625,none
16,17,5.346932888031006,1676683965.9326198,6000,0.0,200.0,0.7920054793357849,,,,2.4311928427778184e-05,0.0,0.0007825000211596489,-4239.78515625,5051.4775390625,none
