,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.47970008850097656,1676684577.3049262,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,0.9633016586303712,1676684577.7885275,900,,,0.9687955975532532,1507.0,225.0,10.125,,,,,,none
2,2,1.0575776100158691,1676684577.8828037,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,1.3157029151916504,1676684578.140929,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,1.3339083194732666,1676684578.1591344,1900,,,0.9341241121292114,1963.0,237.5,12.9375,,,,,,none
5,5,1.4289138317108154,1676684578.25414,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,6,1.5425796508789062,1676684578.3678055,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
7,8,1.6542222499847412,1676684578.4794483,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
8,9,1.7659962177276611,1676684578.5912223,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
9,10,1.7844510078430176,1676684578.609677,3900,,,0.8647810220718384,2749.0,243.75,15.0,,,,,,none
10,11,1.8780009746551511,1676684578.703227,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
11,12,1.979330062866211,1676684578.804556,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
12,14,2.089059829711914,1676684578.914286,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
13,15,3.638380527496338,1676684580.4636066,5500,0.0,200.0,0.8093412518501282,,,,6.119643512647599e-05,0.0,0.0007825000211596489,-4272.6142578125,1674.5709228515625,none
14,16,4.896280765533447,1676684581.7215068,5900,,,0.7954379320144653,1302.0,245.8333282470703,14.708333015441896,8.050423275562935e-06,0.0,0.0007825000211596489,-4258.50927734375,3100.213134765625,none
15,18,6.784534215927124,1676684583.6097603,6500,0.0,200.0,0.7746697068214417,,,,4.751622782350751e-06,0.0,0.0007825000211596489,-4262.8017578125,5358.12646484375,none
16,19,8.015068292617798,1676684584.8402944,6900,,,0.7607664465904236,902.0,246.42857360839844,16.053571701049805,7.538531463069376e-06,0.0,0.0007825000211596489,-4269.205078125,7009.4443359375,none
17,20,8.364682912826538,1676684585.189909,7000,0.0,200.0,0.7573339343070984,,,,1.2640673048736062e-05,0.0,0.0007825000211596489,-4261.4677734375,7410.78369140625,none
18,21,9.928823471069336,1676684586.7540495,7500,0.0,200.0,0.7399981617927551,,,,6.0107248600616e-07,0.0,0.0007825000211596489,-4245.6953125,9485.013671875,none
19,22,11.142678499221802,1676684587.9679046,7900,,,0.7260949015617371,733.0,246.875,16.453125,3.611179408835597e-06,0.0,0.0007825000211596489,-4313.14013671875,11176.142578125,none
