,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.5198841094970703,1676682062.781223,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,0.9908161163330078,1676682063.252155,900,,,0.9687955975532532,1538.0,225.0,19.125,,,,,,none
2,2,1.0861444473266602,1676682063.3474834,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,1.1989285945892334,1676682063.4602675,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,1.2174358367919922,1676682063.4787748,1900,,,0.9341241121292114,2340.0,237.5,17.75,,,,,,none
5,5,1.3497216701507568,1676682063.6110606,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,6,1.4431469440460205,1676682063.704486,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
7,7,1.4613399505615234,1676682063.722679,2900,,,0.8994525671005249,2746.0,241.6666717529297,15.75,,,,,,none
8,8,1.5377423763275146,1676682063.799081,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
9,9,1.62841534614563,1676682063.8897543,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
10,10,1.6468126773834229,1676682063.9081516,3900,,,0.8647810220718384,3141.0,243.75,16.375,,,,,,none
11,11,1.712116241455078,1676682063.9734552,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
12,12,1.804236888885498,1676682064.0655758,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
13,13,1.822291374206543,1676682064.0836303,4900,,,0.8301094770431519,3458.0,245.0,16.225000381469727,,,,,,none
14,14,1.8947639465332031,1676682064.156103,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
15,15,2.668124198913574,1676682064.9294631,5500,0.0,200.0,0.8093412518501282,,,,0.00015147915109992027,0.0,0.0007825000211596489,-4247.98681640625,1996.1884765625,none
16,17,3.395505666732788,1676682065.6568446,6000,0.0,200.0,0.7920054793357849,,,,2.382214370300062e-05,0.0,0.0007825000211596489,-4266.6982421875,3943.248779296875,none
17,18,4.142493486404419,1676682066.4038324,6500,0.0,200.0,0.7746697068214417,,,,7.746602022962179e-06,0.0,0.0007825000211596489,-4274.4306640625,6096.8447265625,none
18,19,4.774587869644165,1676682067.0359268,6900,,,0.7607664465904236,1579.0,246.42857360839844,18.553571701049805,4.7525045374641195e-06,0.0,0.0007825000211596489,-4287.1962890625,7960.5556640625,none
19,20,4.932726144790649,1676682067.194065,7000,0.0,200.0,0.7573339343070984,,,,2.0754471279360587e-06,0.0,0.0007825000211596489,-4266.03466796875,8424.39453125,none
20,21,5.709973096847534,1676682067.971312,7500,0.0,200.0,0.7399981617927551,,,,3.3318692658212967e-06,0.0,0.0007825000211596489,-4272.482421875,10759.013671875,none
21,22,6.296334505081177,1676682068.5576737,7900,,,0.7260949015617371,1341.0,246.875,18.421875,1.47148398355057e-06,0.0,0.0007825000211596489,-4282.8515625,12675.8681640625,none
22,23,6.5124921798706055,1676682068.7738311,8000,0.0,200.0,0.7226623892784119,,,,1.0485893653822131e-05,0.0,0.0007825000211596489,-4295.9912109375,13136.4150390625,none
23,24,7.277433156967163,1676682069.538772,8500,0.0,200.0,0.7053266167640686,,,,2.6916989099845523e-06,0.0,0.0007825000211596489,-4262.841796875,15415.88671875,none
24,25,7.9073381423950195,1676682070.168677,8900,,,0.6914233565330505,1186.0,247.22222900390625,17.26388931274414,1.930069402078516e-06,0.0,0.0007825000211596489,-4272.88037109375,17200.802734375,none
25,26,8.065682411193848,1676682070.3270214,9000,0.0,200.0,0.6879909038543701,,,,1.3144158401701134e-06,0.0,0.0007825000211596489,-4237.7001953125,17632.400390625,none
26,27,8.856045484542847,1676682071.1173844,9500,0.0,200.0,0.6706551313400269,,,,2.875725044759747e-07,0.0,0.0007825000211596489,-4300.466796875,19773.33203125,none
27,28,9.4850971698761,1676682071.746436,9900,,,0.656751811504364,1090.0,247.5,16.8125,9.557784323988017e-06,0.0,0.0007825000211596489,-4282.71240234375,21459.802734375,none
28,29,9.642401218414308,1676682071.9037402,10000,0.0,200.0,0.6533193588256836,,,,2.278909505548654e-06,0.0,0.0007825000211596489,-4288.134765625,21880.115234375,none
29,30,10.371436357498167,1676682072.6327753,10500,97.0,200.0,0.6359835863113403,,,,8.725996303837746e-05,0.0,0.0007825000211596489,-4243.388671875,24093.751953125,none
30,31,11.23219394683838,1676682073.493533,10900,,,0.6220802664756775,1006.0,247.7272796630859,20.011363983154297,0.0003507601795718074,0.0,0.0007825000211596489,-4262.251953125,26014.986328125,none
31,32,11.350913286209106,1676682073.6122522,11000,0.0,200.0,0.6186478137969971,,,,8.465343853458762e-06,0.0,0.0007825000211596489,-4265.2958984375,26515.271484375,none
32,34,12.2075674533844,1676682074.4689064,11900,,,0.5874087810516357,1008.0,247.9166717529297,21.10416603088379,2.9876209737267345e-06,0.0,0.0007825000211596489,-4283.41796875,31080.44921875,none
