,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,4.636560678482056,912.0,1676685336.3904908,900,225.0,26.875,0.9687955975532532,,,,,,,,none
1,2,4.71309232711792,,1676685336.4670224,1000,,,0.9653631448745728,0.0,200.0,,,,,,none
2,4,4.854438066482544,1578.0,1676685336.6083682,1900,237.5,21.9375,0.9341241121292114,,,,,,,,none
3,5,4.929602861404419,,1676685336.683533,2000,,,0.9306915998458862,0.0,200.0,,,,,,none
4,6,5.033354043960571,,1676685336.787284,2500,,,0.913355827331543,0.0,200.0,,,,,,none
5,7,5.0734522342681885,2037.0,1676685336.8273823,2900,241.6666717529297,18.29166603088379,0.8994525671005249,,,,,,,,none
6,8,5.147099494934082,,1676685336.9010296,3000,,,0.8960200548171997,0.0,200.0,,,,,,none
7,9,5.24943733215332,,1676685337.0033674,3500,,,0.8786842823028564,0.0,200.0,,,,,,none
8,10,5.281402587890625,2391.0,1676685337.035333,3900,243.75,17.9375,0.8647810220718384,,,,,,,,none
9,11,5.356979846954346,,1676685337.11091,4000,,,0.861348569393158,0.0,200.0,,,,,,none
10,12,5.460763692855835,,1676685337.2146938,4500,,,0.8440127968788147,0.0,200.0,,,,,,none
11,14,5.573892593383789,,1676685337.3278227,5000,,,0.8266770243644714,0.0,200.0,,,,,,none
12,15,6.1623711585998535,,1676685337.9163013,5500,,,0.8093412518501282,0.0,200.0,0.0003426613984629512,0.0,0.0007825000211596489,-1786.728271484375,2791.90966796875,none
13,17,6.759365558624268,,1676685338.5132957,6000,,,0.7920054793357849,0.0,200.0,2.5450981411268003e-05,0.0,0.0007825000211596489,-1817.73291015625,5621.2451171875,none
14,18,7.3904783725738525,,1676685339.1444085,6500,,,0.7746697068214417,0.0,200.0,9.962974218069576e-06,0.0,0.0007825000211596489,-1797.32958984375,8433.66796875,none
15,20,7.994847059249878,,1676685339.7487772,7000,,,0.7573339343070984,0.0,200.0,4.433760295796674e-06,0.0,0.0007825000211596489,-1843.5579833984375,11354.296875,none
16,21,8.58107876777649,,1676685340.3350089,7500,,,0.7399981617927551,0.0,200.0,1.761195903782209e-06,0.0,0.0007825000211596489,-1778.442626953125,14439.224609375,none
17,22,9.006219387054443,1475.0,1676685340.7601497,7900,246.875,24.46875,0.7260949015617371,,,3.432641733525088e-06,0.0,0.0007825000211596489,-1818.068359375,16939.6015625,none
18,23,9.182130575180054,,1676685340.936061,8000,,,0.7226623892784119,0.0,200.0,5.112460257805651e-06,0.0,0.0007825000211596489,-1821.7083740234375,17551.3203125,none
19,25,10.216490507125854,1355.0,1676685341.9704206,8900,247.22222900390625,25.125,0.6914233565330505,,,4.198408078082139e-06,0.0,0.0007825000211596489,-1814.3284912109375,23253.4375,none
20,26,10.390791177749634,,1676685342.1447213,9000,,,0.6879909038543701,0.0,200.0,9.841382961894851e-07,0.0,0.0007825000211596489,-1813.8729248046875,23881.5625,none
21,27,10.995661973953249,,1676685342.749592,9500,,,0.6706551313400269,0.0,200.0,2.263671149194124e-06,0.0,0.0007825000211596489,-1803.648681640625,27007.2734375,none
22,28,11.42770218849182,1273.0,1676685343.1816325,9900,247.5,24.712499618530273,0.656751811504364,,,7.884953561188013e-07,0.0,0.0007825000211596489,-1820.89501953125,29504.9609375,none
23,29,11.60506820678711,,1676685343.3589983,10000,,,0.6533193588256836,0.0,200.0,9.574793011779548e-07,0.0,0.0007825000211596489,-1812.754638671875,30122.7734375,none
24,30,12.22241497039795,,1676685343.976345,10500,,,0.6359835863113403,0.0,200.0,2.5821680537774228e-05,0.0,0.0007825000211596489,-1795.0325927734375,33332.76171875,none
25,32,12.835741758346558,,1676685344.589672,11000,,,0.6186478137969971,0.0,200.0,5.898722974961856e-06,0.0,0.0007825000211596489,-1792.8221435546875,36792.671875,none
26,33,13.45271611213684,,1676685345.2066462,11500,,,0.6013120412826538,0.0,200.0,1.975369195861276e-05,0.0,0.0007825000211596489,-1791.47314453125,40350.265625,none
27,34,13.953930377960203,1155.0,1676685345.7078605,11900,247.9166717529297,29.11458396911621,0.5874087810516357,,,1.3688048056792468e-05,0.0,0.0007825000211596489,-1787.811767578125,43262.94921875,none
28,35,14.132853031158447,,1676685345.8867831,12000,,,0.5839762687683105,0.0,200.0,4.579352207656484e-06,0.0,0.0007825000211596489,-1792.79296875,43990.81640625,none
29,36,14.75876760482788,,1676685346.5126977,12500,,,0.5666404962539673,0.0,200.0,3.463708480921923e-06,0.0,0.0007825000211596489,-1796.17333984375,47629.30078125,none
30,37,15.205175876617432,1116.0,1676685346.959106,12900,248.0769195556641,30.05769157409668,0.5527372360229492,,,0.0014189179055392742,0.0,0.0007825000211596489,-1778.595703125,50611.9453125,none
31,38,15.390536069869995,,1676685347.1444662,13000,,,0.549304723739624,0.0,200.0,4.508694019023096e-06,0.0,0.0007825000211596489,-1796.7171630859375,51363.390625,none
32,39,16.03020143508911,,1676685347.7841315,13500,,,0.5319689512252808,0.0,200.0,3.851163910439936e-06,0.0,0.0007825000211596489,-1793.1622314453125,55165.64453125,none
33,40,16.485290050506592,1083.0,1676685348.23922,13900,248.2142791748047,30.964284896850582,0.5180656909942627,,,1.0598230346658966e-06,0.0,0.0007825000211596489,-1766.30517578125,58205.4921875,none
34,42,17.30879020690918,,1676685349.0627203,14500,,,0.4972974359989166,0.0,200.0,2.4189510440919548e-05,0.0,0.0007825000211596489,-1776.1348876953125,62862.01953125,none
35,43,17.76077175140381,1056.0,1676685349.5147018,14900,248.3333282470703,31.71666717529297,0.48339414596557617,,,3.983284386777086e-06,0.0,0.0007825000211596489,-1776.036865234375,65976.015625,none
36,44,17.94842028617859,,1676685349.7023504,15000,,,0.47996169328689575,0.0,200.0,0.0016326745972037315,0.0,0.0007825000211596489,-1768.1829833984375,66768.9296875,none
37,46,19.054068088531498,1032.0,1676685350.8079982,15900,248.4375,32.2421875,0.448722630739212,,,1.1270985851297157e-05,0.0,0.0007825000211596489,-1782.2681884765625,74085.3203125,none
38,47,19.236215591430664,,1676685350.9901457,16000,,,0.4452901482582092,0.0,200.0,2.004065208893735e-05,0.0,0.0007825000211596489,-1770.912109375,74891.375,none
39,49,20.341168642044067,1012.0,1676685352.0950987,16900,248.5294189453125,30.669116973876953,0.4140510857105255,,,3.303043922642246e-05,0.0,0.0007825000211596489,-1779.713623046875,81975.6015625,none
40,50,20.54417657852173,,1676685352.298107,17000,,,0.4106186032295227,0.0,200.0,2.9099466701154597e-05,0.0,0.0007825000211596489,-1790.7589111328125,82742.3359375,none
41,51,21.196757793426514,,1676685352.950688,17500,,,0.39328286051750183,0.0,200.0,1.2016010259685572e-05,0.0,0.0007825000211596489,-1781.445068359375,86669.3046875,none
42,52,21.656774282455444,994.0,1676685353.4107044,17900,248.61111450195312,31.86805534362793,0.3793795704841614,,,3.0720406357431784e-05,0.0,0.0007825000211596489,-1778.4990234375,89879.4375,none
43,56,23.194568872451782,,1676685354.948499,19000,,,0.34127554297447205,0.0,200.0,1.8266140614286996e-05,0.0,0.0007825000211596489,-1766.9599609375,98691.4921875,none
44,57,23.851596355438232,,1676685355.6055264,19500,,,0.3239397704601288,0.0,200.0,2.3179052732302807e-05,0.0,0.0007825000211596489,-1771.7177734375,102658.0078125,none
45,58,24.337985277175903,961.0,1676685356.0919154,19900,248.75,30.96875,0.3100365102291107,,,1.4742939129064324e-05,0.0,0.0007825000211596489,-1798.50244140625,105814.1875,none
46,59,24.540507316589355,,1676685356.2944374,20000,,,0.3066040277481079,0.0,200.0,4.850307595916093e-05,0.0,0.0007825000211596489,-1768.6168212890625,106588.40625,none
47,62,25.86553978919983,,1676685357.61947,21000,,,0.2719324827194214,0.0,200.0,2.782229785225354e-05,0.0,0.0007825000211596489,-1717.0511474609375,114349.890625,none
48,63,26.529828786849976,,1676685358.2837589,21500,,,0.2545967102050781,0.0,200.0,0.00029295560671016574,0.0,0.0007825000211596489,-1728.29833984375,118158.578125,none
49,64,27.00420117378235,937.0,1676685358.7581313,21900,248.86363220214844,31.363636016845703,0.2406934350728989,,,3.919911978300661e-05,0.0,0.0007825000211596489,-1719.0108642578125,121277.9296875,none
