,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.7567431926727295,1676681422.7769313,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,2.2509806156158447,1676681423.2711687,900,,,0.9687955975532532,867.0,225.0,10.625,,,,,,none
2,2,2.3080806732177734,1676681423.3282688,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,2.3946547508239746,1676681423.4148428,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,2.4144492149353027,1676681423.4346373,1900,,,0.9341241121292114,1581.0,237.5,11.0625,,,,,,none
5,5,2.475685358047486,1676681423.4958737,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,6,2.5525174140930176,1676681423.5727055,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
7,7,2.571579694747925,1676681423.5917678,2900,,,0.8994525671005249,2134.0,241.6666717529297,8.583333015441895,,,,,,none
8,9,2.708239793777466,1676681423.728428,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
9,10,2.727168321609497,1676681423.7473564,3900,,,0.8647810220718384,2575.0,243.75,8.5,,,,,,none
10,11,2.785139560699463,1676681423.8053277,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
11,12,2.899223566055298,1676681423.9194117,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
12,15,3.456563711166382,1676681424.4767518,5500,0.0,200.0,0.8093412518501282,,,,0.0001736200792947784,0.0,0.0007825000211596489,-4224.431640625,1305.06005859375,none
13,17,3.93806266784668,1676681424.9582508,6000,0.0,200.0,0.7920054793357849,,,,1.2153945135651156e-05,0.0,0.0007825000211596489,-4254.56884765625,2750.613525390625,none
14,18,4.424694061279297,1676681425.4448822,6500,0.0,200.0,0.7746697068214417,,,,3.3503356462460943e-06,0.0,0.0007825000211596489,-4253.05126953125,4264.5556640625,none
15,19,4.8039398193359375,1676681425.824128,6900,,,0.7607664465904236,1921.0,246.42857360839844,12.125,1.7955532030100585e-06,0.0,0.0007825000211596489,-4245.7919921875,5471.14404296875,none
