,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.8418455123901367,1676685037.4884806,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,4.732246398925781,1676685038.3788817,900,,,0.9687955975532532,903.0,225.0,16.125,,,,,,none
2,2,4.806382656097412,1676685038.4530177,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,4.907182216644287,1676685038.5538173,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,4.940910816192627,1676685038.587546,1900,,,0.9341241121292114,1576.0,237.5,18.8125,,,,,,none
5,5,5.015618562698364,1676685038.6622536,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,7,5.156376123428345,1676685038.8030112,2900,,,0.8994525671005249,2041.0,241.6666717529297,19.83333396911621,,,,,,none
7,9,5.339236736297607,1676685038.9858718,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
8,10,5.371513366699219,1676685039.0181484,3900,,,0.8647810220718384,2384.0,243.75,19.5625,,,,,,none
9,12,5.545037269592285,1676685039.1916723,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
10,13,5.577286243438721,1676685039.2239213,4900,,,0.8301094770431519,2661.0,245.0,16.575000762939453,,,,,,none
11,14,5.6511125564575195,1676685039.2977476,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
12,15,6.244203805923462,1676685039.8908389,5500,0.0,200.0,0.8093412518501282,,,,0.0004194235079921782,0.0,0.0007825000211596489,-1757.98876953125,2010.1187744140625,none
13,16,6.658930540084839,1676685040.3055656,5900,,,0.7954379320144653,2018.0,245.8333282470703,15.083333015441896,3.42322928190697e-05,0.0,0.0007825000211596489,-1738.83203125,3573.65625,none
14,17,6.845418214797974,1676685040.4920533,6000,0.0,200.0,0.7920054793357849,,,,2.8026377549394965e-05,0.0,0.0007825000211596489,-1749.06982421875,3950.739501953125,none
15,18,7.478281259536743,1676685041.1249163,6500,0.0,200.0,0.7746697068214417,,,,6.679036687273765e-06,0.0,0.0007825000211596489,-1737.138671875,5855.4638671875,none
16,20,8.082734823226929,1676685041.72937,7000,0.0,200.0,0.7573339343070984,,,,3.1045369723869953e-06,0.0,0.0007825000211596489,-1748.497802734375,7675.28125,none
17,21,8.67536211013794,1676685042.3219972,7500,0.0,200.0,0.7399981617927551,,,,2.636951194290305e-06,0.0,0.0007825000211596489,-1736.90771484375,9427.98046875,none
18,22,9.113451719284058,1676685042.7600868,7900,,,0.7260949015617371,1469.0,246.875,13.96875,9.159506930700444e-07,0.0,0.0007825000211596489,-1732.908935546875,10890.6142578125,none
19,23,9.291532039642334,1676685042.938167,8000,0.0,200.0,0.7226623892784119,,,,5.309216817295237e-07,0.0,0.0007825000211596489,-1723.3135986328125,11239.8330078125,none
20,24,9.908563613891602,1676685043.555199,8500,0.0,200.0,0.7053266167640686,,,,3.684344278553908e-07,0.0,0.0007825000211596489,-1742.3662109375,13002.375,none
21,25,10.350073099136353,1676685043.9967082,8900,,,0.6914233565330505,1345.0,247.22222900390625,14.01388931274414,1.0478200351826673e-07,0.0,0.0007825000211596489,-1747.239990234375,14422.20703125,none
22,26,10.53607940673828,1676685044.1827145,9000,0.0,200.0,0.6879909038543701,,,,1.604379065156536e-07,0.0,0.0007825000211596489,-1745.362060546875,14772.5546875,none
23,27,11.152304887771606,1676685044.79894,9500,0.0,200.0,0.6706551313400269,,,,3.548157323507439e-08,0.0,0.0007825000211596489,-1759.9921875,16541.0390625,none
24,28,11.598992586135864,1676685045.2456276,9900,,,0.656751811504364,1259.0,247.5,14.5,2.064760451503389e-08,0.0,0.0007825000211596489,-1735.234130859375,17966.8984375,none
25,29,11.802141189575195,1676685045.4487762,10000,0.0,200.0,0.6533193588256836,,,,1.861771181665972e-08,0.0,0.0007825000211596489,-1758.134033203125,18329.3984375,none
26,30,12.426554679870604,1676685046.0731895,10500,0.0,200.0,0.6359835863113403,,,,1.4253342669690028e-05,0.0,0.0007825000211596489,-1720.4296875,20262.14453125,none
27,31,12.890259265899658,1676685046.5368943,10900,,,0.6220802664756775,1190.0,247.7272796630859,18.19318199157715,8.545714081265032e-06,0.0,0.0007825000211596489,-1732.6363525390625,22027.607421875,none
28,32,13.071781158447266,1676685046.7184162,11000,0.0,200.0,0.6186478137969971,,,,2.2388712750398554e-06,0.0,0.0007825000211596489,-1744.7100830078125,22482.435546875,none
29,33,13.688231229782104,1676685047.3348663,11500,0.0,200.0,0.6013120412826538,,,,1.3641032637679018e-05,0.0,0.0007825000211596489,-1711.298095703125,24861.798828125,none
30,34,14.219269037246704,1676685047.865904,11900,,,0.5874087810516357,1135.0,247.9166717529297,21.23958396911621,1.0270299753756262e-05,0.0,0.0007825000211596489,-1749.5465087890625,26942.15234375,none
31,36,15.044029474258425,1676685048.6906643,12500,0.0,200.0,0.5666404962539673,,,,1.3860810213373044e-05,0.0,0.0007825000211596489,-1753.4686279296875,30247.841796875,none
32,37,15.496999263763428,1676685049.1436343,12900,,,0.5527372360229492,1096.0,248.0769195556641,25.576923370361328,2.280764192619245e-06,0.0,0.0007825000211596489,-1738.8377685546875,32663.595703125,none
33,38,15.691849946975708,1676685049.338485,13000,0.0,200.0,0.549304723739624,,,,1.9553863239707425e-05,0.0,0.0007825000211596489,-1719.6309814453125,33303.01953125,none
34,39,16.35473394393921,1676685050.001369,13500,96.5,200.0,0.5319689512252808,,,,7.866156920499634e-06,0.0,0.0007825000211596489,-1751.8619384765625,36651.4375,none
35,40,17.680368185043335,1676685051.3270032,13900,,,0.5180656909942627,996.0,248.2142791748047,29.75,2.0253182810847647e-06,0.0,0.0007825000211596489,-1738.444580078125,39529.625,none
36,41,17.871656894683838,1676685051.518292,14000,0.0,200.0,0.5146332383155823,,,,1.079883168131346e-05,0.0,0.0007825000211596489,-1766.5491943359375,40273.375,none
37,42,18.504233360290527,1676685052.1508684,14500,0.0,200.0,0.4972974359989166,,,,8.669379894854501e-06,0.0,0.0007825000211596489,-1727.578125,44066.95703125,none
38,43,18.97656774520874,1676685052.6232028,14900,,,0.48339414596557617,977.0,248.3333282470703,32.608333587646484,1.826565039664274e-06,0.0,0.0007825000211596489,-1765.3740234375,47241.2265625,none
39,44,19.17413830757141,1676685052.8207734,15000,0.0,200.0,0.47996169328689575,,,,2.0001154553028755e-05,0.0,0.0007825000211596489,-1754.671875,48056.43359375,none
40,45,19.815595149993896,1676685053.4622302,15500,0.0,200.0,0.4626259207725525,,,,4.397781140141888e-06,0.0,0.0007825000211596489,-1761.2076416015625,52208.51171875,none
41,46,20.29715394973755,1676685053.943789,15900,,,0.448722630739212,960.0,248.4375,35.703125,7.08951338310726e-05,0.0,0.0007825000211596489,-1754.8377685546875,55664.18359375,none
42,47,20.500831127166748,1676685054.1474662,16000,0.0,200.0,0.4452901482582092,,,,0.0005594265530817211,0.0,0.0007825000211596489,-1748.5,56556.76171875,none
43,48,21.16116714477539,1676685054.8078022,16500,0.0,200.0,0.427954375743866,,,,2.308765760972165e-05,0.0,0.0007825000211596489,-1772.866943359375,61118.70703125,none
44,49,21.62477231025696,1676685055.2714074,16900,,,0.4140510857105255,944.0,248.5294189453125,38.68382263183594,7.354527497227536e-06,0.0,0.0007825000211596489,-1765.2607421875,64886.1328125,none
45,50,21.808757543563843,1676685055.4553926,17000,0.0,200.0,0.4106186032295227,,,,2.4160677639883943e-05,0.0,0.0007825000211596489,-1771.618896484375,65853.2265625,none
46,51,22.48436164855957,1676685056.1309967,17500,96.5,200.0,0.39328286051750183,,,,3.538898818078451e-05,0.0,0.0007825000211596489,-1780.7440185546875,70783.34375,none
47,52,22.966450452804565,1676685056.6130855,17900,,,0.3793795704841614,930.0,248.61111450195312,41.33333206176758,1.779541707946919e-05,0.0,0.0007825000211596489,-1802.5294189453125,74839.5,none
48,54,23.804481267929077,1676685057.4511163,18500,0.0,200.0,0.3586113154888153,,,,4.3388590711401775e-05,0.0,0.0007825000211596489,-1781.5091552734375,81119.4140625,none
49,55,24.29413366317749,1676685057.9407687,18900,,,0.34470802545547485,919.0,248.6842041015625,44.03947448730469,1.6034222426242195e-05,0.0,0.0007825000211596489,-1789.7271728515625,85438.5234375,none
50,56,24.48967027664185,1676685058.136305,19000,0.0,200.0,0.34127554297447205,,,,3.654277679743245e-05,0.0,0.0007825000211596489,-1773.36328125,86539.5078125,none
51,57,25.166867971420288,1676685058.813503,19500,0.0,200.0,0.3239397704601288,,,,2.614163349790033e-05,0.0,0.0007825000211596489,-1799.94482421875,92113.984375,none
52,58,25.64560270309448,1676685059.2922378,19900,,,0.3100365102291107,908.0,248.75,45.98125076293945,0.0016445772489532828,0.0,0.0007825000211596489,-1782.580322265625,96647.6484375,none
53,59,25.83731245994568,1676685059.4839475,20000,0.0,200.0,0.3066040277481079,,,,1.2169802175776567e-05,0.0,0.0007825000211596489,-1780.672607421875,97797.1796875,none
54,60,26.530749082565308,1676685060.177384,20500,0.0,200.0,0.28926825523376465,,,,1.7483851479482837e-05,0.0,0.0007825000211596489,-1723.2896728515625,103626.8515625,none
55,61,27.02720546722412,1676685060.6738403,20900,,,0.2753649652004242,897.0,248.8095245361328,48.89881134033203,1.0099910468852611e-05,0.0,0.0007825000211596489,-1717.4742431640625,108414.09375,none
56,62,27.214980602264404,1676685060.8616157,21000,0.0,200.0,0.2719324827194214,,,,5.211956886341795e-05,0.0,0.0007825000211596489,-1712.8173828125,109636.5625,none
57,63,27.888837337493896,1676685061.5354724,21500,96.5,200.0,0.2545967102050781,,,,0.00363447330892086,0.0,0.0007825000211596489,-1729.010498046875,115832.1484375,none
58,64,28.38595986366272,1676685062.032595,21900,,,0.2406934350728989,888.0,248.86363220214844,51.727272033691406,4.944976171827875e-05,0.0,0.0007825000211596489,-1729.357666015625,120910.484375,none
59,65,28.64002275466919,1676685062.2866578,22000,96.5,200.0,0.23726095259189608,,,,1.576960494276136e-05,0.0,0.0007825000211596489,-1725.587158203125,122203.671875,none
60,67,29.816243886947632,1676685063.462879,22900,,,0.2060219049453735,878.0,248.9130401611328,54.22282791137695,1.3797571227769367e-05,0.0,0.0007825000211596489,-1736.6754150390625,134105.34375,none
61,69,30.71229314804077,1676685064.3589282,23500,96.5,200.0,0.1852536499500275,,,,1.2508449799497612e-05,0.0,0.0007825000211596489,-1723.4150390625,142309.859375,none
62,70,31.2155544757843,1676685064.8621895,23900,,,0.171350359916687,869.0,248.9583282470703,56.4375,6.482379831140861e-06,0.0,0.0007825000211596489,-1737.745361328125,147889.796875,none
63,73,32.60404300689697,1676685066.250678,24900,,,0.13667882978916168,862.0,249.0,58.7400016784668,4.756657290272415e-05,0.0,0.0007825000211596489,-1745.591796875,162225.328125,none
64,74,32.79763960838318,1676685066.444275,25000,96.5,200.0,0.13324634730815887,,,,1.772446557879448e-05,0.0,0.0007825000211596489,-1734.78515625,163693.828125,none
65,76,34.00892686843872,1676685067.655562,25900,,,0.10200729966163637,855.0,250.0,62.69499969482422,0.0036158831790089607,0.0,0.0007825000211596489,-1741.4859619140625,177247.578125,none
66,77,34.20900321006775,1676685067.8556385,26000,0.0,200.0,0.09857481718063354,,,,0.0035964923445135355,0.0,0.0007825000211596489,-1756.201171875,178814.953125,none
67,78,34.90088987350464,1676685068.547525,26500,0.0,200.0,0.08123905211687088,,,,3.099002060480416e-05,0.0,0.0007825000211596489,-1735.536376953125,186750.953125,none
68,80,35.618494749069214,1676685069.2651298,27000,96.5,200.0,0.06390328705310822,,,,5.8783352869795635e-05,0.0,0.0007825000211596489,-1739.4501953125,194923.828125,none
69,81,36.32469964027405,1676685069.9713347,27500,0.0,200.0,0.05000000074505806,,,,0.003597998060286045,0.0,0.0007825000211596489,-1742.222900390625,203330.203125,none
70,83,37.037171602249146,1676685070.683807,28000,0.0,200.0,0.05000000074505806,,,,5.3213090723147616e-05,0.0,0.0007825000211596489,-1740.1455078125,211961.703125,none
71,84,37.73827385902405,1676685071.384909,28500,0.0,200.0,0.05000000074505806,,,,2.621197018015664e-05,0.0,0.0007825000211596489,-1749.471435546875,220802.828125,none
72,85,38.26586127281189,1676685071.9124963,28900,,,0.05000000074505806,836.0,250.0,73.80999755859375,5.678312663803808e-05,0.0,0.0007825000211596489,-1754.0103759765625,228034.328125,none
73,86,38.47588324546814,1676685072.1225183,29000,0.0,200.0,0.05000000074505806,,,,7.038430339889601e-05,0.0,0.0007825000211596489,-1748.977294921875,229879.578125,none
74,87,39.22204256057739,1676685072.8686776,29500,96.5,200.0,0.05000000074505806,,,,1.0951193871733269e-05,0.0,0.0007825000211596489,-1749.92724609375,239226.453125,none
75,89,39.953139305114746,1676685073.5997744,30000,96.5,200.0,0.05000000074505806,,,,1.2280960618227256e-05,0.0,0.0007825000211596489,-1729.7763671875,248853.328125,none
76,90,40.67640709877014,1676685074.3230422,30500,0.0,200.0,0.05000000074505806,,,,5.481169864651747e-05,0.0,0.0007825000211596489,-1674.47119140625,258735.828125,none
77,91,41.188979387283325,1676685074.8356144,30900,,,0.05000000074505806,825.0,250.0,82.13500213623047,1.9668730601551943e-05,0.0,0.0007825000211596489,-1670.979736328125,266797.59375,none
78,92,41.39147210121155,1676685075.0381072,31000,0.0,200.0,0.05000000074505806,,,,3.3775642805267125e-05,0.0,0.0007825000211596489,-1669.0814208984375,268850.96875,none
79,93,42.10447382926941,1676685075.751109,31500,0.0,200.0,0.05000000074505806,,,,9.657442205934784e-06,0.0,0.0007825000211596489,-1682.5506591796875,279203.96875,none
80,94,42.614590644836426,1676685076.2612257,31900,,,0.05000000074505806,820.0,250.0,85.72000122070312,1.396691641275538e-05,0.0,0.0007825000211596489,-1676.8216552734375,287637.46875,none
81,96,43.519561529159546,1676685077.1661966,32500,0.0,200.0,0.05000000074505806,,,,1.6096211766125634e-05,0.0,0.0007825000211596489,-1669.21484375,300599.09375,none
82,97,44.03590965270996,1676685077.6825447,32900,,,0.05000000074505806,816.0,250.0,88.12999725341797,1.008443268801784e-05,0.0,0.0007825000211596489,-1682.163818359375,309344.09375,none
83,98,44.240267515182495,1676685077.8869026,33000,0.0,200.0,0.05000000074505806,,,,0.00523940147832036,0.0,0.0007825000211596489,-1664.627197265625,311547.34375,none
84,100,45.46787929534912,1676685079.1145144,33900,,,0.05000000074505806,812.0,250.0,91.31500244140624,2.563371708674822e-05,0.0,0.0007825000211596489,-1667.625244140625,331603.84375,none
85,101,45.66445970535278,1676685079.3110948,34000,0.0,200.0,0.05000000074505806,,,,1.4038849258213304e-05,0.0,0.0007825000211596489,-1672.054443359375,333886.71875,none
86,102,46.3683021068573,1676685080.0149372,34500,97.0,200.0,0.05000000074505806,,,,0.008763542398810387,0.0,0.0007825000211596489,-1669.347412109375,345385.96875,none
87,103,47.75552558898926,1676685081.4021606,34900,,,0.05000000074505806,792.0,250.0,94.61000061035156,4.200394687359221e-05,0.0,0.0007825000211596489,-1667.29736328125,354735.46875,none
88,104,47.949965476989746,1676685081.5966003,35000,0.0,200.0,0.05000000074505806,,,,1.5047931810840964e-05,0.0,0.0007825000211596489,-1669.82421875,357100.71875,none
89,105,48.65566277503967,1676685082.3022978,35500,97.0,200.0,0.05000000074505806,,,,1.1396641639294104e-05,0.0,0.0007825000211596489,-1665.5203857421875,368953.59375,none
90,106,49.17652225494385,1676685082.8231573,35900,,,0.05000000074505806,790.0,250.0,96.19499969482422,0.005306860897690058,0.0,0.0007825000211596489,-1675.375732421875,378466.84375,none
91,107,49.37648630142212,1676685083.0231214,36000,0.0,200.0,0.05000000074505806,,,,4.3068746890639886e-05,0.0,0.0007825000211596489,-1664.9931640625,380871.71875,none
92,108,50.097208738327026,1676685083.7438438,36500,0.0,200.0,0.05000000074505806,,,,0.0053588999435305595,0.0,0.0007825000211596489,-1679.833740234375,392950.46875,none
93,109,50.60642170906067,1676685084.2530568,36900,,,0.05000000074505806,787.0,250.0,98.56999969482422,1.7251466488232836e-05,0.0,0.0007825000211596489,-1668.6983642578125,402696.21875,none
94,111,51.51692008972168,1676685085.1635551,37500,0.0,200.0,0.05000000074505806,,,,2.797395791276358e-05,0.0,0.0007825000211596489,-1665.242919921875,417504.09375,none
95,112,52.02355146408081,1676685085.6701863,37900,,,0.05000000074505806,784.0,250.0,99.6050033569336,1.947765667864587e-05,0.0,0.0007825000211596489,-1681.3912353515625,427422.84375,none
96,113,52.23903059959411,1676685085.8856657,38000,0.0,200.0,0.05000000074505806,,,,8.23914524517022e-06,0.0,0.0007825000211596489,-1673.58740234375,429912.96875,none
97,114,52.93274974822998,1676685086.5793848,38500,97.0,200.0,0.05000000074505806,,,,4.767753853229806e-05,0.0,0.0007825000211596489,-1670.7952880859375,442355.34375,none
98,115,53.45743155479431,1676685087.1040666,38900,,,0.05000000074505806,782.0,250.0,100.38999938964844,0.005386964417994022,0.0,0.0007825000211596489,-1662.024658203125,452330.59375,none
99,116,53.66165590286255,1676685087.308291,39000,0.0,200.0,0.05000000074505806,,,,4.698051998275332e-05,0.0,0.0007825000211596489,-1672.78759765625,454840.34375,none
100,118,54.87494802474976,1676685088.521583,39900,,,0.05000000074505806,780.0,250.0,101.23999786376952,0.005312866531312466,0.0,0.0007825000211596489,-1660.674072265625,477515.34375,none
101,119,55.084821701049805,1676685088.7314568,40000,0.0,200.0,0.05000000074505806,,,,0.0053980471566319466,0.0,0.0007825000211596489,-1666.0135498046875,480046.34375,none
102,120,55.7767128944397,1676685089.423348,40500,97.0,200.0,0.05000000074505806,,,,0.007250429131090641,0.0,0.0007825000211596489,-1589.58056640625,492741.34375,none
103,121,56.29534697532654,1676685089.941982,40900,,,0.05000000074505806,778.0,250.0,102.54499816894533,0.007160070352256298,0.0,0.0007825000211596489,-1588.5872802734375,502955.34375,none
104,122,56.48951148986816,1676685090.1361463,41000,97.0,200.0,0.05000000074505806,,,,1.4310468941403087e-05,0.0,0.0007825000211596489,-1588.74462890625,505518.96875,none
105,123,57.185094356536865,1676685090.8317294,41500,97.0,200.0,0.05000000074505806,,,,0.007208817638456821,0.0,0.0007825000211596489,-1595.4326171875,518366.84375,none
106,124,57.68277621269226,1676685091.3294113,41900,,,0.05000000074505806,776.0,250.0,103.63999938964844,0.007151820231229067,0.0,0.0007825000211596489,-1584.2615966796875,528703.8125,none
107,125,57.87891936302185,1676685091.5255544,42000,0.0,200.0,0.05000000074505806,,,,4.200098919682205e-05,0.0,0.0007825000211596489,-1583.8912353515625,531294.8125,none
108,126,58.58698010444641,1676685092.2336152,42500,97.0,200.0,0.05000000074505806,,,,1.1189117685717063e-05,0.0,0.0007825000211596489,-1578.740478515625,544276.1875,none
109,127,59.09264636039734,1676685092.7392814,42900,,,0.05000000074505806,774.0,250.0,104.91999816894533,2.3402039005304687e-05,0.0,0.0007825000211596489,-1585.8109130859375,554719.1875,none
110,129,59.977137088775635,1676685093.623772,43500,97.0,200.0,0.05000000074505806,,,,2.3021875676931813e-05,0.0,0.0007825000211596489,-1582.5234375,570488.0625,none
111,130,60.50660061836243,1676685094.1532357,43900,,,0.05000000074505806,773.0,250.0,105.91999816894533,5.4265423386823386e-05,0.0,0.0007825000211596489,-1592.914794921875,581044.3125,none
112,131,60.70482635498047,1676685094.3514614,44000,97.0,200.0,0.05000000074505806,,,,0.014325851574540138,0.0,0.0007825000211596489,-1592.1348876953125,583692.3125,none
113,132,61.4058723449707,1676685095.0525074,44500,97.0,200.0,0.05000000074505806,,,,2.1943782485323027e-05,0.0,0.0007825000211596489,-1597.7161865234375,596965.5625,none
114,134,62.132171630859375,1676685095.7788067,45000,97.0,200.0,0.05000000074505806,,,,2.5821836970862933e-05,0.0,0.0007825000211596489,-1586.76025390625,610337.0625,none
115,135,62.82199501991272,1676685096.46863,45500,0.0,200.0,0.05000000074505806,,,,0.012316134758293629,0.0,0.0007825000211596489,-1587.331298828125,623771.3125,none
