,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.8378262519836426,1676682007.9598022,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,4.737800598144531,1676682008.8597765,900,,,0.9687955975532532,887.0,225.0,19.375,,,,,,none
2,3,4.915361642837524,1676682009.0373375,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
3,4,4.9477972984313965,1676682009.0697732,1900,,,0.9341241121292114,1551.0,237.5,17.8125,,,,,,none
4,5,5.021482706069946,1676682009.1434586,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
5,6,5.124452352523804,1676682009.2464285,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
6,7,5.157128095626831,1676682009.279104,2900,,,0.8994525671005249,2022.0,241.6666717529297,18.83333396911621,,,,,,none
7,11,5.4676125049591064,1676682009.5895884,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
8,12,5.570724725723267,1676682009.6927006,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
9,13,5.603079557418823,1676682009.7250557,4900,,,0.8301094770431519,2606.0,245.0,17.5,,,,,,none
10,14,5.676888704299927,1676682009.7988646,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
11,15,6.276647567749023,1676682010.3986237,5500,0.0,200.0,0.8093412518501282,,,,0.00025091966381296515,0.0,0.0007825000211596489,-1777.778564453125,2273.138427734375,none
12,16,6.6920318603515625,1676682010.8140078,5900,,,0.7954379320144653,1987.0,245.8333282470703,19.39583396911621,2.317147664143704e-05,0.0,0.0007825000211596489,-1749.293212890625,4168.494140625,none
13,17,6.871675491333008,1676682010.9936514,6000,0.0,200.0,0.7920054793357849,,,,1.1924129466933664e-05,0.0,0.0007825000211596489,-1724.2955322265625,4653.39013671875,none
14,18,7.516436576843262,1676682011.6384125,6500,0.0,200.0,0.7746697068214417,,,,6.134036993898917e-06,0.0,0.0007825000211596489,-1782.7464599609375,7083.56640625,none
15,19,7.935950517654419,1676682012.0579264,6900,,,0.7607664465904236,1638.0,246.42857360839844,21.464284896850582,1.0838747584784867e-05,0.0,0.0007825000211596489,-1769.373291015625,9138.41015625,none
16,20,8.120226621627808,1676682012.2422023,7000,0.0,200.0,0.7573339343070984,,,,3.099091600233806e-06,0.0,0.0007825000211596489,-1791.358154296875,9675.0166015625,none
17,21,8.716578006744385,1676682012.838554,7500,0.0,200.0,0.7399981617927551,,,,2.9090144835208775e-06,0.0,0.0007825000211596489,-1818.9375,12458.86328125,none
18,22,9.144310712814333,1676682013.2662866,7900,,,0.7260949015617371,1457.0,246.875,23.765625,4.410307610669406e-06,0.0,0.0007825000211596489,-1760.7476806640625,14800.2607421875,none
19,23,9.325778245925903,1676682013.447754,8000,0.0,200.0,0.7226623892784119,,,,3.114687388006132e-07,0.0,0.0007825000211596489,-1789.845703125,15394.4013671875,none
20,24,9.933592796325684,1676682014.0555687,8500,0.0,200.0,0.7053266167640686,,,,2.1954542717139702e-06,0.0,0.0007825000211596489,-1781.712646484375,18381.958984375,none
21,25,10.380009174346924,1676682014.501985,8900,,,0.6914233565330505,1337.0,247.22222900390625,24.90277862548828,3.283879834725667e-07,0.0,0.0007825000211596489,-1799.1197509765625,20836.181640625,none
