,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,5.964508533477783,1676681350.5611706,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,7.800348281860352,1676681352.3970103,900,,,0.9687955975532532,424.0,225.0,31.875,,,,,,none
2,2,7.971421957015991,1676681352.568084,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,8.25486421585083,1676681352.8515265,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,8.356629133224487,1676681352.9532912,1900,,,0.9341241121292114,710.0,237.5,23.75,,,,,,none
5,5,8.5359525680542,1676681353.1326146,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,6,8.814245462417603,1676681353.4109075,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
7,7,8.91731309890747,1676681353.5139751,2900,,,0.8994525671005249,896.0,241.6666717529297,18.70833396911621,,,,,,none
8,10,9.468575716018677,1676681354.0652378,3900,,,0.8647810220718384,1029.0,243.75,20.1875,,,,,,none
9,11,9.643521070480348,1676681354.240183,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
10,12,9.935103416442873,1676681354.5317657,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
11,13,10.05018925666809,1676681354.6468513,4900,,,0.8301094770431519,1121.0,245.0,18.350000381469727,,,,,,none
12,14,10.246092557907104,1676681354.8427546,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
13,15,12.383600950241089,1676681356.980263,5500,0.0,200.0,0.8093412518501282,,,,0.00019418961892370137,0.0,0.0007825000211596489,-1765.1690673828125,2423.311279296875,none
14,16,13.86179256439209,1676681358.4584546,5900,,,0.7954379320144653,721.0,245.8333282470703,21.45833396911621,2.8236025173100643e-05,0.0,0.0007825000211596489,-1807.2275390625,4520.4951171875,none
15,18,16.35855507850647,1676681360.9552171,6500,0.0,200.0,0.7746697068214417,,,,7.771132914058398e-06,0.0,0.0007825000211596489,-1774.8167724609375,7725.96630859375,none
16,19,17.767056703567505,1676681362.3637187,6900,,,0.7607664465904236,571.0,246.42857360839844,21.5,9.081713869818486e-06,0.0,0.0007825000211596489,-1781.389404296875,9871.158203125,none
17,20,18.313233137130737,1676681362.9098952,7000,0.0,200.0,0.7573339343070984,,,,2.1695345822081435e-06,0.0,0.0007825000211596489,-1804.41162109375,10408.658203125,none
18,21,20.31664276123047,1676681364.9133048,7500,0.0,200.0,0.7399981617927551,,,,5.3170583669270854e-06,0.0,0.0007825000211596489,-1794.335205078125,13069.548828125,none
19,22,21.75241184234619,1676681366.349074,7900,,,0.7260949015617371,491.0,246.875,21.125,1.038386926666135e-06,0.0,0.0007825000211596489,-1781.78369140625,15207.2373046875,none
20,23,22.296783685684204,1676681366.8934455,8000,0.0,200.0,0.7226623892784119,,,,6.870252946100663e-06,0.0,0.0007825000211596489,-1782.5361328125,15735.3623046875,none
21,25,25.7921040058136,1676681370.388766,8900,,,0.6914233565330505,442.0,247.22222900390625,21.45833396911621,1.3157148259779206e-06,0.0,0.0007825000211596489,-1807.1141357421875,20427.892578125,none
22,26,26.354692697525024,1676681370.9513547,9000,0.0,200.0,0.6879909038543701,,,,1.151288870460121e-06,0.0,0.0007825000211596489,-1777.8563232421875,20964.3515625,none
23,27,28.38451862335205,1676681372.981181,9500,0.0,200.0,0.6706551313400269,,,,1.3843131227986305e-06,0.0,0.0007825000211596489,-1805.16259765625,23633.98828125,none
24,28,29.890634775161743,1676681374.4872968,9900,,,0.656751811504364,408.0,247.5,21.762500762939453,1.2340494777163258e-06,0.0,0.0007825000211596489,-1783.38330078125,25785.724609375,none
25,29,30.47538733482361,1676681375.0720494,10000,0.0,200.0,0.6533193588256836,,,,1.2662035260291304e-06,0.0,0.0007825000211596489,-1764.54638671875,26329.787109375,none
