,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.010196685791016,1676683174.6992056,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,7.830406427383423,1676683176.5194154,900,,,0.9687955975532532,430.0,225.0,19.375,,,,,,none
2,2,8.003963947296143,1676683176.692973,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,8.273239612579346,1676683176.9622486,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,8.374325275421143,1676683177.0633342,1900,,,0.9341241121292114,720.0,237.5,14.8125,,,,,,none
5,5,8.547468900680542,1676683177.236478,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,6,8.819047212600708,1676683177.5080562,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
7,7,8.919994115829468,1676683177.609003,2900,,,0.8994525671005249,911.0,241.6666717529297,18.41666603088379,,,,,,none
8,8,9.094460248947144,1676683177.7834692,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
9,10,9.46042776107788,1676683178.1494367,3900,,,0.8647810220718384,1047.0,243.75,16.0,,,,,,none
10,11,9.629987239837646,1676683178.3189962,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
11,12,9.895605564117432,1676683178.5846145,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
12,13,9.996480464935305,1676683178.6854894,4900,,,0.8301094770431519,1150.0,245.0,16.850000381469727,,,,,,none
13,14,10.16990852355957,1676683178.8589177,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
14,15,12.317684412002563,1676683181.0066934,5500,0.0,200.0,0.8093412518501282,,,,0.00014831479347776622,0.0,0.0007825000211596489,-1785.6998291015625,2093.85888671875,none
15,16,13.759469747543337,1676683182.4484787,5900,,,0.7954379320144653,735.0,245.8333282470703,18.3125,1.5154763786995318e-05,0.0,0.0007825000211596489,-1790.7586669921875,3793.216552734375,none
16,17,14.285963535308838,1676683182.9749725,6000,0.0,200.0,0.7920054793357849,,,,1.1618840289884249e-05,0.0,0.0007825000211596489,-1758.0045166015625,4251.029296875,none
17,18,16.20868182182312,1676683184.8976908,6500,0.0,200.0,0.7746697068214417,,,,5.4410306802310515e-06,0.0,0.0007825000211596489,-1769.791015625,6590.30810546875,none
18,19,17.62142825126648,1676683186.3104372,6900,,,0.7607664465904236,580.0,246.42857360839844,18.464284896850582,1.8222118569610757e-06,0.0,0.0007825000211596489,-1797.2298583984375,8515.0234375,none
19,20,18.154909372329712,1676683186.8439183,7000,0.0,200.0,0.7573339343070984,,,,9.259679814022092e-07,0.0,0.0007825000211596489,-1791.7330322265625,8976.6298828125,none
20,21,20.06052827835083,1676683188.7495372,7500,0.0,200.0,0.7399981617927551,,,,1.4104723504715366e-06,0.0,0.0007825000211596489,-1774.6827392578125,11313.91015625,none
21,22,21.557883739471436,1676683190.2468927,7900,,,0.7260949015617371,499.0,246.875,20.921875,5.246840828476707e-07,0.0,0.0007825000211596489,-1799.718505859375,13303.72265625,none
22,24,24.054925203323364,1676683192.7439342,8500,0.0,200.0,0.7053266167640686,,,,1.1726996262950706e-06,0.0,0.0007825000211596489,-1764.254150390625,16403.06640625,none
23,25,25.50150775909424,1676683194.1905167,8900,,,0.6914233565330505,450.0,247.22222900390625,20.83333396911621,8.653398708702298e-07,0.0,0.0007825000211596489,-1781.128173828125,18469.68359375,none
24,26,26.05580139160156,1676683194.7448103,9000,0.0,200.0,0.6879909038543701,,,,5.8997679843741935e-06,0.0,0.0007825000211596489,-1805.2100830078125,18990.517578125,none
25,27,28.04026746749878,1676683196.7292764,9500,0.0,200.0,0.6706551313400269,,,,1.958738039320451e-06,0.0,0.0007825000211596489,-1785.390869140625,21634.37890625,none
26,29,30.169585466384888,1676683198.8585944,10000,0.0,200.0,0.6533193588256836,,,,3.314605692139594e-07,0.0,0.0007825000211596489,-1767.49267578125,24345.251953125,none
27,30,32.1669704914093,1676683200.8559794,10500,0.0,200.0,0.6359835863113403,,,,2.829050208674744e-05,0.0,0.0007825000211596489,-1758.122802734375,27234.626953125,none
28,31,33.652668952941895,1676683202.341678,10900,,,0.6220802664756775,390.0,247.7272796630859,26.511363983154297,1.562053876114078e-05,0.0,0.0007825000211596489,-1771.8624267578125,29755.55859375,none
29,32,34.19242978096008,1676683202.8814387,11000,0.0,200.0,0.6186478137969971,,,,2.7622345442068763e-05,0.0,0.0007825000211596489,-1779.62548828125,30418.341796875,none
30,34,37.63293504714966,1676683206.321944,11900,,,0.5874087810516357,373.0,247.9166717529297,30.11458396911621,5.471810254675802e-06,0.0,0.0007825000211596489,-1775.961181640625,36827.7578125,none
31,35,38.21253323554993,1676683206.9015422,12000,0.0,200.0,0.5839762687683105,,,,0.001732837175950408,0.0,0.0007825000211596489,-1787.5167236328125,37580.62109375,none
32,36,40.28397846221924,1676683208.9729874,12500,0.0,200.0,0.5666404962539673,,,,0.0016125382389873266,0.0,0.0007825000211596489,-1778.8262939453125,41420.328125,none
33,37,41.78121852874756,1676683210.4702277,12900,,,0.5527372360229492,357.0,248.0769195556641,32.56730651855469,2.0503506675595418e-05,0.0,0.0007825000211596489,-1779.48046875,44586.40625,none
34,38,42.344247341156006,1676683211.0332563,13000,0.0,200.0,0.549304723739624,,,,0.0016036431770771742,0.0,0.0007825000211596489,-1790.858642578125,45400.58984375,none
35,39,44.4237961769104,1676683213.1128051,13500,0.0,200.0,0.5319689512252808,,,,2.350678369111847e-05,0.0,0.0007825000211596489,-1780.3670654296875,49594.765625,none
36,42,48.647592067718506,1676683217.336601,14500,0.0,200.0,0.4972974359989166,,,,2.744144239841262e-06,0.0,0.0007825000211596489,-1788.0325927734375,58657.9296875,none
37,43,50.18443703651428,1676683218.873446,14900,,,0.48339414596557617,335.0,248.3333282470703,39.45000076293945,0.001730255549773574,0.0,0.0007825000211596489,-1776.6634521484375,62518.26953125,none
38,44,50.73866820335388,1676683219.4276772,15000,0.0,200.0,0.47996169328689575,,,,0.0020916510839015245,0.0,0.0007825000211596489,-1764.38232421875,63504.51953125,none
39,45,52.79591345787048,1676683221.4849224,15500,96.5,200.0,0.4626259207725525,,,,0.0017935519572347405,0.0,0.0007825000211596489,-1782.6416015625,68497.4609375,none
40,46,55.998931646347046,1676683224.6879406,15900,,,0.448722630739212,316.0,248.4375,41.6640625,1.579948548169341e-05,0.0,0.0007825000211596489,-1793.0538330078125,72607.875,none
41,48,58.66122484207153,1676683227.3502338,16500,0.0,200.0,0.427954375743866,,,,3.454879788478138e-06,0.0,0.0007825000211596489,-1783.97021484375,78948.421875,none
42,49,60.20900225639343,1676683228.8980112,16900,,,0.4140510857105255,310.0,248.5294189453125,44.588233947753906,1.6630439859000035e-05,0.0,0.0007825000211596489,-1803.28076171875,83308.921875,none
43,50,60.78145503997803,1676683229.470464,17000,0.0,200.0,0.4106186032295227,,,,1.149252329923911e-05,0.0,0.0007825000211596489,-1805.182373046875,84423.625,none
44,51,62.87360668182373,1676683231.5626156,17500,0.0,200.0,0.39328286051750183,,,,1.2653444173338356e-05,0.0,0.0007825000211596489,-1804.2166748046875,90089.75,none
45,52,64.41408443450928,1676683233.1030934,17900,,,0.3793795704841614,305.0,248.61111450195312,47.6875,0.0017713741399347782,0.0,0.0007825000211596489,-1801.058837890625,94758.5390625,none
46,53,64.98972392082214,1676683233.6787329,18000,0.0,200.0,0.37594708800315857,,,,2.6798352337209508e-05,0.0,0.0007825000211596489,-1815.145751953125,95950.7265625,none
47,54,67.07932877540588,1676683235.7683375,18500,0.0,200.0,0.3586113154888153,,,,2.3172399323811987e-06,0.0,0.0007825000211596489,-1801.004150390625,101961.2421875,none
48,56,69.19813346862793,1676683237.8871424,19000,0.0,200.0,0.34127554297447205,,,,1.5958439689711668e-05,0.0,0.0007825000211596489,-1811.760009765625,108073.0625,none
49,57,71.34100890159607,1676683240.030018,19500,0.0,200.0,0.3239397704601288,,,,0.0017629878129810097,0.0,0.0007825000211596489,-1810.350341796875,114243.9609375,none
