,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.841431617736816,1676684145.3510206,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,4.744623184204102,1676684146.254212,900,,,0.9687955975532532,891.0,225.0,13.75,,,,,,none
2,2,4.818870782852173,1676684146.3284595,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,4,4.9585044384002686,1676684146.4680934,1900,,,0.9341241121292114,1553.0,237.5,10.25,,,,,,none
4,5,5.030930280685425,1676684146.5405192,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
5,6,5.134938716888428,1676684146.6445277,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
6,7,5.172909498214722,1676684146.6824985,2900,,,0.8994525671005249,2017.0,241.6666717529297,11.833333015441896,,,,,,none
7,8,5.248329401016235,1676684146.7579184,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
8,9,5.349715948104858,1676684146.859305,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
9,11,5.478260517120361,1676684146.9878497,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
10,14,5.7314980030059814,1676684147.241087,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
11,15,6.3714094161987305,1676684147.8809984,5500,0.0,200.0,0.8093412518501282,,,,0.00023709263768978417,0.0,0.0007825000211596489,-1727.1212158203125,1654.0845947265625,none
12,16,6.797146558761597,1676684148.3067355,5900,,,0.7954379320144653,1927.0,245.8333282470703,13.6875,1.917253757710569e-05,0.0,0.0007825000211596489,-1748.667724609375,2997.760498046875,none
13,19,8.039447546005249,1676684149.5490365,6900,,,0.7607664465904236,1603.0,246.42857360839844,12.553571701049805,4.750422704091761e-06,0.0,0.0007825000211596489,-1729.4635009765625,6267.9326171875,none
14,20,8.21520447731018,1676684149.7247934,7000,0.0,200.0,0.7573339343070984,,,,0.0009590428089722992,0.0,0.0007825000211596489,-1729.644287109375,6581.77197265625,none
15,23,9.41053342819214,1676684150.9201224,8000,0.0,200.0,0.7226623892784119,,,,5.301879809849197e-06,0.0,0.0007825000211596489,-1743.0626220703125,9674.6328125,none
16,24,10.025588512420654,1676684151.5351777,8500,0.0,200.0,0.7053266167640686,,,,2.0433697045518784e-06,0.0,0.0007825000211596489,-1726.5135498046875,11143.3740234375,none
