,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,5.990882158279419,1676681350.0716772,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,7.789568662643433,1676681351.8703637,900,,,0.9687955975532532,429.0,225.0,22.25,,,,,,none
2,2,7.963258981704712,1676681352.044054,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,8.245171785354614,1676681352.3259668,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,8.34626054763794,1676681352.4270556,1900,,,0.9341241121292114,716.0,237.5,15.9375,,,,,,none
5,5,8.516014575958252,1676681352.5968096,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,6,8.785319089889526,1676681352.866114,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
7,7,8.892382383346558,1676681352.9731774,2900,,,0.8994525671005249,907.0,241.6666717529297,14.208333015441896,,,,,,none
8,8,9.070021152496338,1676681353.1508162,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
9,9,9.344157218933104,1676681353.4249525,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
10,10,9.448821306228638,1676681353.5296164,3900,,,0.8647810220718384,1039.0,243.75,13.3125,,,,,,none
11,12,9.899232864379885,1676681353.980028,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
12,13,10.005965948104858,1676681354.086761,4900,,,0.8301094770431519,1136.0,245.0,13.925000190734863,,,,,,none
13,14,10.199933052062988,1676681354.280728,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
14,15,12.276417255401611,1676681356.3572123,5500,0.0,200.0,0.8093412518501282,,,,7.869382534408942e-05,0.0,0.0007825000211596489,-1739.2117919921875,1794.554443359375,none
15,17,14.325592517852783,1676681358.4063876,6000,0.0,200.0,0.7920054793357849,,,,7.116628239600686e-06,0.0,0.0007825000211596489,-1719.155029296875,3588.84375,none
16,18,16.281503915786743,1676681360.362299,6500,0.0,200.0,0.7746697068214417,,,,6.6166599026473705e-06,0.0,0.0007825000211596489,-1751.568115234375,5335.22216796875,none
17,19,17.70205044746399,1676681361.7828455,6900,,,0.7607664465904236,574.0,246.42857360839844,15.0,1.491034822720394e-06,0.0,0.0007825000211596489,-1725.778564453125,6826.9599609375,none
18,20,18.244300842285156,1676681362.325096,7000,0.0,200.0,0.7573339343070984,,,,5.711649009754183e-06,0.0,0.0007825000211596489,-1746.1021728515625,7201.9599609375,none
19,21,20.20323157310486,1676681364.2840266,7500,0.0,200.0,0.7399981617927551,,,,3.3706808153510792e-06,0.0,0.0007825000211596489,-1772.7862548828125,9108.640625,none
20,22,21.68015217781067,1676681365.7609472,7900,,,0.7260949015617371,494.0,246.875,14.828125,1.5738568208689685e-06,0.0,0.0007825000211596489,-1732.821533203125,10661.4638671875,none
21,23,22.22520637512207,1676681366.3060014,8000,0.0,200.0,0.7226623892784119,,,,3.6897183690598463e-06,0.0,0.0007825000211596489,-1750.75341796875,11032.1669921875,none
22,24,24.196065187454224,1676681368.2768602,8500,0.0,200.0,0.7053266167640686,,,,0.00044921610970050097,0.0,0.0007825000211596489,-1710.830810546875,12867.568359375,none
23,25,25.680912256240845,1676681369.7617073,8900,,,0.6914233565330505,445.0,247.22222900390625,13.625,8.79149683896685e-06,0.0,0.0007825000211596489,-1716.11279296875,14289.60546875,none
24,27,28.290605545043945,1676681372.3714006,9500,0.0,200.0,0.6706551313400269,,,,1.3302610568644012e-05,0.0,0.0007825000211596489,-1719.4332275390625,16350.154296875,none
25,28,29.800161600112915,1676681373.8809566,9900,,,0.656751811504364,410.0,247.5,13.75,8.06362550065387e-06,0.0,0.0007825000211596489,-1722.8858642578125,17725.4921875,none
26,30,32.351566791534424,1676681376.4323618,10500,0.0,200.0,0.6359835863113403,,,,0.0003428342461120337,0.0,0.0007825000211596489,-1712.2413330078125,19870.091796875,none
27,32,34.41317892074585,1676681378.493974,11000,0.0,200.0,0.6186478137969971,,,,1.793866977095604e-05,0.0,0.0007825000211596489,-1695.662841796875,21687.400390625,none
28,33,36.45152020454407,1676681380.5323153,11500,0.0,200.0,0.6013120412826538,,,,1.4273680790211074e-05,0.0,0.0007825000211596489,-1700.5894775390625,23522.451171875,none
29,34,37.95243430137634,1676681382.0332294,11900,,,0.5874087810516357,368.0,247.9166717529297,13.864583015441896,2.3018292267806828e-05,0.0,0.0007825000211596489,-1708.7401123046875,24945.103515625,none
30,35,38.53078746795654,1676681382.6115825,12000,0.0,200.0,0.5839762687683105,,,,7.338055002037436e-05,0.0,0.0007825000211596489,-1714.8411865234375,25291.71875,none
31,36,40.60722494125366,1676681384.68802,12500,0.0,200.0,0.5666404962539673,,,,5.248107299848925e-06,0.0,0.0007825000211596489,-1702.894287109375,26996.779296875,none
32,38,42.68450856208801,1676681386.7653036,13000,0.0,200.0,0.549304723739624,,,,1.1199705113540404e-05,0.0,0.0007825000211596489,-1698.6435546875,28687.283203125,none
33,39,44.73838210105896,1676681388.8191772,13500,0.0,200.0,0.5319689512252808,,,,7.041078788461164e-06,0.0,0.0007825000211596489,-1693.7470703125,30408.837890625,none
34,40,46.24644064903259,1676681390.3272357,13900,,,0.5180656909942627,342.0,248.2142791748047,14.133928298950195,7.797469152137637e-06,0.0,0.0007825000211596489,-1700.5054931640625,31817.734375,none
35,42,48.907960653305054,1676681392.9887557,14500,0.0,200.0,0.4972974359989166,,,,5.007177151128417e-06,0.0,0.0007825000211596489,-1703.427978515625,33927.6328125,none
36,43,50.45066428184509,1676681394.531459,14900,,,0.48339414596557617,332.0,248.3333282470703,13.375,1.4698266568302644e-05,0.0,0.0007825000211596489,-1697.888427734375,35299.52734375,none
37,44,51.02311587333679,1676681395.103911,15000,0.0,200.0,0.47996169328689575,,,,8.232816981035285e-06,0.0,0.0007825000211596489,-1673.315673828125,35633.90234375,none
38,45,53.13809680938721,1676681397.218892,15500,0.0,200.0,0.4626259207725525,,,,1.470598590458394e-06,0.0,0.0007825000211596489,-1686.786865234375,37287.0859375,none
39,46,54.70213532447815,1676681398.7829304,15900,,,0.448722630739212,324.0,248.4375,12.578125,6.91320883561275e-06,0.0,0.0007825000211596489,-1687.8232421875,38575.16796875,none
40,47,55.27904629707336,1676681399.359841,16000,0.0,200.0,0.4452901482582092,,,,2.4610469608887797e-06,0.0,0.0007825000211596489,-1669.3541259765625,38889.62109375,none
41,48,57.38148784637451,1676681401.462283,16500,0.0,200.0,0.427954375743866,,,,1.4264154742704704e-05,0.0,0.0007825000211596489,-1676.7373046875,40513.96875,none
42,49,58.94335103034973,1676681403.024146,16900,,,0.4140510857105255,317.0,248.5294189453125,13.441176414489746,2.386680898780469e-05,0.0,0.0007825000211596489,-1691.54296875,41888.484375,none
43,50,59.51416993141174,1676681403.594965,17000,0.0,200.0,0.4106186032295227,,,,0.0014769852859899402,0.0,0.0007825000211596489,-1721.43017578125,42224.51171875,none
44,53,63.799492835998535,1676681407.880288,18000,0.0,200.0,0.37594708800315857,,,,0.00030484210583381355,0.0,0.0007825000211596489,-1678.251708984375,45573.5,none
45,54,65.94336819648743,1676681410.0241632,18500,0.0,200.0,0.3586113154888153,,,,7.731478945061099e-06,0.0,0.0007825000211596489,-1680.05615234375,47203.13671875,none
46,56,68.11164259910583,1676681412.1924376,19000,0.0,200.0,0.34127554297447205,,,,1.720031286822632e-05,0.0,0.0007825000211596489,-1708.244384765625,48837.9765625,none
47,57,70.26340126991272,1676681414.3441963,19500,0.0,200.0,0.3239397704601288,,,,3.381005626579281e-06,0.0,0.0007825000211596489,-1669.4610595703125,50462.4765625,none
48,58,71.90542125701904,1676681415.9862163,19900,,,0.3100365102291107,300.0,248.75,12.475000381469728,2.551095894887112e-05,0.0,0.0007825000211596489,-1675.663330078125,51733.8671875,none
49,59,72.49256896972656,1676681416.573364,20000,0.0,200.0,0.3066040277481079,,,,0.0014848785940557718,0.0,0.0007825000211596489,-1669.0263671875,52045.7421875,none
50,61,76.19812726974487,1676681420.2789223,20900,,,0.2753649652004242,296.0,248.8095245361328,12.505952835083008,1.1143318261019886e-05,0.0,0.0007825000211596489,-1650.1204833984375,54911.6015625,none
51,62,76.77356696128845,1676681420.854362,21000,0.0,200.0,0.2719324827194214,,,,2.3709279048489407e-05,0.0,0.0007825000211596489,-1662.137939453125,55224.25390625,none
52,63,78.92276287078857,1676681423.003558,21500,0.0,200.0,0.2545967102050781,,,,7.702766197326127e-06,0.0,0.0007825000211596489,-1656.958251953125,56772.8671875,none
53,64,80.51596784591675,1676681424.596763,21900,,,0.2406934350728989,292.0,248.86363220214844,11.9375,1.4460872080235276e-05,0.0,0.0007825000211596489,-1646.8841552734375,57987.359375,none
54,65,81.11213970184326,1676681425.1929348,22000,0.0,200.0,0.23726095259189608,,,,2.5239420210709795e-05,0.0,0.0007825000211596489,-1667.3447265625,58285.796875,none
55,66,83.26891803741455,1676681427.349713,22500,0.0,200.0,0.2199251800775528,,,,8.337558028870262e-06,0.0,0.0007825000211596489,-1662.4765625,59771.58984375,none
56,67,84.87311863899231,1676681428.9539137,22900,,,0.2060219049453735,289.0,248.9130401611328,11.69021701812744,8.275433174276259e-06,0.0,0.0007825000211596489,-1650.835205078125,60960.0234375,none
57,68,85.45848035812378,1676681429.5392754,23000,0.0,200.0,0.20258942246437073,,,,1.6009547834983096e-05,0.0,0.0007825000211596489,-1643.377197265625,61252.28125,none
58,69,87.66905117034912,1676681431.7498462,23500,0.0,200.0,0.1852536499500275,,,,2.0028977814945392e-05,0.0,0.0007825000211596489,-1648.953125,62701.0546875,none
59,70,89.28136467933655,1676681433.3621595,23900,,,0.171350359916687,285.0,248.9583282470703,11.203125,1.1067614650528412e-05,0.0,0.0007825000211596489,-1651.5081787109375,63839.18359375,none
60,73,93.71065974235536,1676681437.7914548,24900,,,0.13667882978916168,282.0,249.0,10.949999809265137,2.0306553778937086e-05,0.0,0.0007825000211596489,-1631.0181884765625,66600.0625,none
61,74,94.29714679718018,1676681438.3779418,25000,0.0,200.0,0.13324634730815887,,,,4.035364781884709e-06,0.0,0.0007825000211596489,-1645.26611328125,66873.8125,none
62,75,96.496915102005,1676681440.5777102,25500,0.0,200.0,0.1159105822443962,,,,2.8771408324246295e-05,0.0,0.0007825000211596489,-1647.430908203125,68222.8125,none
63,76,98.12683272361755,1676681442.2076278,25900,,,0.10200729966163637,280.0,250.0,10.470000267028809,6.711008154525189e-06,0.0,0.0007825000211596489,-1630.8055419921875,69282.5625,none
64,79,102.61617612838744,1676681446.6969712,26900,,,0.06733576953411102,277.0,250.0,10.085000038146973,0.001372261787764728,0.0,0.0007825000211596489,-1635.0594482421875,71866.0625,none
65,80,103.23188829421996,1676681447.312683,27000,0.0,200.0,0.06390328705310822,,,,3.303896664874628e-05,0.0,0.0007825000211596489,-1638.2943115234375,72118.1875,none
66,81,105.44580006599426,1676681449.526595,27500,0.0,200.0,0.05000000074505806,,,,2.701320454434608e-06,0.0,0.0007825000211596489,-1639.64697265625,73359.3125,none
