,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.4869194030761719,1676682683.6982913,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,0.9699208736419678,1676682684.1812928,900,,,0.9687955975532532,1535.0,225.0,14.875,,,,,,none
2,2,1.064929723739624,1676682684.2763016,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,1.2197480201721191,1676682684.43112,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,1.23820161819458,1676682684.4495735,1900,,,0.9341241121292114,2223.0,237.5,17.5625,,,,,,none
5,5,1.3322100639343262,1676682684.543582,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,7,1.4633641242980957,1676682684.674736,2900,,,0.8994525671005249,2685.0,241.6666717529297,15.958333015441896,,,,,,none
7,8,1.54899263381958,1676682684.7603643,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
8,9,1.6568799018859863,1676682684.8682518,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
9,10,1.675450563430786,1676682684.8868225,3900,,,0.8647810220718384,3018.0,243.75,13.125,,,,,,none
10,11,1.7698404788970947,1676682684.9812124,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
11,14,1.9952783584594729,1676682685.2066505,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
12,15,3.5845425128936768,1676682686.7959144,5500,0.0,200.0,0.8093412518501282,,,,0.0002122597361449152,0.0,0.0007825000211596489,-4257.5830078125,1723.2462158203125,none
13,16,4.830743312835693,1676682688.0421152,5900,,,0.7954379320144653,1326.0,245.8333282470703,13.1875,2.001001121243462e-05,0.0,0.0007825000211596489,-4247.92626953125,3112.52490234375,none
14,18,6.69658088684082,1676682689.9079528,6500,0.0,200.0,0.7746697068214417,,,,5.518852958630305e-06,0.0,0.0007825000211596489,-4241.57080078125,5074.568359375,none
15,19,7.993364334106445,1676682691.2047362,6900,,,0.7607664465904236,906.0,246.42857360839844,12.625,1.7837869563663844e-06,0.0,0.0007825000211596489,-4232.115234375,6401.45556640625,none
16,20,8.34399676322937,1676682691.555369,7000,0.0,200.0,0.7573339343070984,,,,1.428312771167839e-06,0.0,0.0007825000211596489,-4243.7978515625,6717.08056640625,none
17,21,9.971962451934814,1676682693.1833344,7500,0.0,200.0,0.7399981617927551,,,,9.957160500562168e-07,0.0,0.0007825000211596489,-4240.91455078125,8261.98046875,none
18,22,11.299012422561646,1676682694.5103843,7900,,,0.7260949015617371,723.0,246.875,11.625,2.95162976726715e-06,0.0,0.0007825000211596489,-4210.55859375,9470.3134765625,none
19,23,11.632755994796751,1676682694.844128,8000,0.0,200.0,0.7226623892784119,,,,2.7563173716771416e-06,0.0,0.0007825000211596489,-4238.5302734375,9760.9384765625,none
20,24,13.269364833831789,1676682696.4807367,8500,0.0,200.0,0.7053266167640686,,,,0.00039412203477695584,0.0,0.0007825000211596489,-4238.265625,11205.580078125,none
21,25,14.531959772109984,1676682697.7433317,8900,,,0.6914233565330505,629.0,247.22222900390625,12.027777671813965,4.085216460225638e-06,0.0,0.0007825000211596489,-4224.83203125,12378.1845703125,none
22,26,14.883471965789797,1676682698.094844,9000,0.0,200.0,0.6879909038543701,,,,4.957054215992684e-07,0.0,0.0007825000211596489,-4226.140625,12678.87890625,none
23,27,16.53221869468689,1676682699.7435906,9500,0.0,200.0,0.6706551313400269,,,,8.723919222575205e-07,0.0,0.0007825000211596489,-4202.69140625,14175.609375,none
24,28,17.799413204193115,1676682701.010785,9900,,,0.656751811504364,568.0,247.5,11.912500381469728,1.1404101769585395e-06,0.0,0.0007825000211596489,-4229.05712890625,15362.0126953125,none
25,29,18.15731739997864,1676682701.3686893,10000,0.0,200.0,0.6533193588256836,,,,4.684298801294062e-06,0.0,0.0007825000211596489,-4215.84765625,15659.8251953125,none
26,30,19.78262186050415,1676682702.9939938,10500,0.0,200.0,0.6359835863113403,,,,4.342646570876241e-05,0.0,0.0007825000211596489,-4212.1357421875,17297.044921875,none
27,31,21.02928042411804,1676682704.2406523,10900,,,0.6220802664756775,527.0,247.7272796630859,16.31818199157715,4.207982783555053e-06,0.0,0.0007825000211596489,-4234.67822265625,18806.09765625,none
28,32,21.411482572555546,1676682704.6228545,11000,0.0,200.0,0.6186478137969971,,,,4.472724685911089e-05,0.0,0.0007825000211596489,-4223.5908203125,19214.052734375,none
29,33,23.012978553771973,1676682706.2243505,11500,0.0,200.0,0.6013120412826538,,,,1.6063328075688332e-05,0.0,0.0007825000211596489,-4215.55419921875,21313.693359375,none
30,34,24.24965000152588,1676682707.461022,11900,,,0.5874087810516357,498.0,247.9166717529297,19.02083396911621,8.63662535266485e-06,0.0,0.0007825000211596489,-4227.54248046875,23110.802734375,none
31,35,24.650362014770508,1676682707.861734,12000,0.0,200.0,0.5839762687683105,,,,1.3420631148619576e-05,0.0,0.0007825000211596489,-4224.48388671875,23586.322265625,none
32,36,26.242316722869873,1676682709.4536886,12500,0.0,200.0,0.5666404962539673,,,,0.0016116623301059008,0.0,0.0007825000211596489,-4246.03515625,26056.14453125,none
33,37,27.53561210632324,1676682710.746984,12900,,,0.5527372360229492,475.0,248.0769195556641,22.326923370361328,6.093534921092214e-06,0.0,0.0007825000211596489,-4230.638671875,28171.52734375,none
34,39,29.56398868560791,1676682712.7753606,13500,0.0,200.0,0.5319689512252808,,,,5.670118116540834e-05,0.0,0.0007825000211596489,-4242.134765625,31658.005859375,none
35,40,30.835676431655884,1676682714.0470483,13900,,,0.5180656909942627,456.0,248.2142791748047,26.008928298950195,6.631306405324722e-06,0.0,0.0007825000211596489,-4260.6630859375,34163.59375,none
36,41,31.201876401901245,1676682714.4132483,14000,0.0,200.0,0.5146332383155823,,,,6.466283593908884e-06,0.0,0.0007825000211596489,-4240.9990234375,34813.81640625,none
37,42,32.86115646362305,1676682716.0725284,14500,0.0,200.0,0.4972974359989166,,,,9.771519216883462e-06,0.0,0.0007825000211596489,-4231.3154296875,38143.1640625,none
38,44,34.48768401145935,1676682717.699056,15000,0.0,200.0,0.47996169328689575,,,,5.247467470326228e-06,0.0,0.0007825000211596489,-4264.06884765625,41658.76953125,none
39,48,39.41431283950806,1676682722.6256847,16500,0.0,200.0,0.427954375743866,,,,8.214872650569305e-06,0.0,0.0007825000211596489,-4255.82421875,52999.26953125,none
40,50,41.09533667564392,1676682724.3067086,17000,0.0,200.0,0.4106186032295227,,,,4.898408860753989e-06,0.0,0.0007825000211596489,-4261.93701171875,57058.68359375,none
41,51,42.77758741378784,1676682725.9889593,17500,0.0,200.0,0.39328286051750183,,,,4.350703238742426e-05,0.0,0.0007825000211596489,-4290.5048828125,61299.69140625,none
42,52,44.06263446807861,1676682727.2740064,17900,,,0.3793795704841614,409.0,248.61111450195312,35.56944274902344,0.0003795460215769708,0.0,0.0007825000211596489,-4266.123046875,64795.7578125,none
43,53,44.41515374183655,1676682727.6265256,18000,0.0,200.0,0.37594708800315857,,,,6.098962694522925e-05,0.0,0.0007825000211596489,-4272.138671875,65684.9921875,none
44,54,45.9407856464386,1676682729.1521575,18500,0.0,200.0,0.3586113154888153,,,,1.9797749700956047e-05,0.0,0.0007825000211596489,-4277.189453125,70196.828125,none
45,55,46.50815391540527,1676682729.7195258,18900,,,0.34470802545547485,409.0,248.6842041015625,36.6315803527832,1.0688629117794337e-05,0.0,0.0007825000211596489,-4265.375,73878.546875,none
46,57,47.449337005615234,1676682730.660709,19500,0.0,200.0,0.3239397704601288,,,,0.001653311774134636,0.0,0.0007825000211596489,-4272.69580078125,79405.96875,none
47,58,48.07097816467285,1676682731.28235,19900,,,0.3100365102291107,417.0,248.75,38.15625,2.401725396339316e-05,0.0,0.0007825000211596489,-4253.68603515625,83179.65625,none
48,60,49.032609701156616,1676682732.2439816,20500,97.0,200.0,0.28926825523376465,,,,0.0035368569660931826,0.0,0.0007825000211596489,-4232.546875,88976.3984375,none
49,61,50.059972047805786,1676682733.271344,20900,,,0.2753649652004242,420.0,248.8095245361328,40.83928680419922,7.67605069995625e-06,0.0,0.0007825000211596489,-4225.5185546875,92983.03125,none
50,62,50.24494910240173,1676682733.456321,21000,97.0,200.0,0.2719324827194214,,,,1.1036728210456204e-05,0.0,0.0007825000211596489,-4239.5595703125,94004.015625,none
51,63,51.10409355163574,1676682734.3154657,21500,0.0,200.0,0.2545967102050781,,,,3.37049386871513e-05,0.0,0.0007825000211596489,-4239.91162109375,99185.1875,none
52,64,51.6765923500061,1676682734.8879642,21900,,,0.2406934350728989,426.0,248.86363220214844,43.039772033691406,1.08549229480559e-05,0.0,0.0007825000211596489,-4227.64501953125,103439.0390625,none
53,65,51.853389739990234,1676682735.0647616,22000,0.0,200.0,0.23726095259189608,,,,3.560532786650583e-05,0.0,0.0007825000211596489,-4250.9794921875,104515.03125,none
54,66,52.61021637916565,1676682735.8215885,22500,97.0,200.0,0.2199251800775528,,,,1.3665082406078e-05,0.0,0.0007825000211596489,-4238.17578125,109984.5546875,none
55,67,53.20841693878174,1676682736.4197888,22900,,,0.2060219049453735,433.0,248.9130401611328,45.90760803222656,2.11976766877342e-05,0.0,0.0007825000211596489,-4236.55224609375,114492.296875,none
56,68,53.383965730667114,1676682736.5953376,23000,0.0,200.0,0.20258942246437073,,,,1.1013336006726604e-05,0.0,0.0007825000211596489,-4230.77099609375,115639.984375,none
57,69,54.16729378700256,1676682737.3786657,23500,0.0,200.0,0.1852536499500275,,,,2.3308972231461667e-05,0.0,0.0007825000211596489,-4236.80615234375,121454.2421875,none
58,70,54.62654519081116,1676682737.837917,23900,,,0.171350359916687,440.0,248.9583282470703,48.52083206176758,0.0035468009300529957,0.0,0.0007825000211596489,-4230.48828125,126220.6953125,none
59,71,54.755956411361694,1676682737.9673283,24000,97.0,200.0,0.1679178774356842,,,,5.2568801038432866e-05,0.0,0.0007825000211596489,-4241.291015625,127433.71875,none
60,72,55.32015299797058,1676682738.531525,24500,0.0,200.0,0.15058211982250214,,,,3.1501716875936836e-05,0.0,0.0007825000211596489,-4248.4423828125,133571.421875,none
61,73,55.7145357131958,1676682738.9259076,24900,,,0.13667882978916168,450.0,249.0,50.880001068115234,2.324967681488488e-05,0.0,0.0007825000211596489,-4232.4287109375,138583.171875,none
62,75,56.41120481491089,1676682739.6225767,25500,0.0,200.0,0.1159105822443962,,,,1.5059712495713027e-05,0.0,0.0007825000211596489,-4259.8408203125,146333.671875,none
63,76,56.81091260910034,1676682740.0222845,25900,,,0.10200729966163637,458.0,250.0,54.724998474121094,3.015982474607881e-05,0.0,0.0007825000211596489,-4244.896484375,151670.921875,none
64,77,56.98236417770386,1676682740.193736,26000,97.0,200.0,0.09857481718063354,,,,0.0035402439534664154,0.0,0.0007825000211596489,-4244.61376953125,153039.046875,none
