,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.931583404541016,1676684442.8850975,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,4.834662199020386,1676684443.7881763,900,,,0.9687955975532532,890.0,225.0,4.0,,,,,,none
2,2,4.913487195968628,1676684443.8670013,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,5.017221927642822,1676684443.970736,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,5.0498552322387695,1676684444.003369,1900,,,0.9341241121292114,1550.0,237.5,12.875,,,,,,none
5,5,5.132331132888794,1676684444.0858452,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,6,5.236922264099121,1676684444.1904364,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
7,7,5.270113468170166,1676684444.2236276,2900,,,0.8994525671005249,2006.0,241.6666717529297,15.916666984558104,,,,,,none
8,9,5.472025394439697,1676684444.4255395,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
9,10,5.504462242126465,1676684444.4579763,3900,,,0.8647810220718384,2321.0,243.75,14.3125,,,,,,none
10,11,5.5796778202056885,1676684444.533192,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
11,12,5.684021711349487,1676684444.6375358,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
12,13,5.71623969078064,1676684444.6697538,4900,,,0.8301094770431519,2590.0,245.0,15.199999809265137,,,,,,none
13,15,6.3962342739105225,1676684445.3497484,5500,0.0,200.0,0.8093412518501282,,,,0.0001503216044511646,0.0,0.0007825000211596489,-1731.486083984375,2020.205810546875,none
14,16,6.8162713050842285,1676684445.7697854,5900,,,0.7954379320144653,1972.0,245.8333282470703,18.02083396911621,1.653861181694083e-05,0.0,0.0007825000211596489,-1721.4654541015625,3833.59521484375,none
15,17,6.989784002304077,1676684445.943298,6000,0.0,200.0,0.7920054793357849,,,,2.3180524294730276e-05,0.0,0.0007825000211596489,-1733.9921875,4284.1162109375,none
16,18,7.633164405822754,1676684446.5866785,6500,0.0,200.0,0.7746697068214417,,,,0.0004642954154405743,0.0,0.0007825000211596489,-1775.34521484375,6514.08056640625,none
17,19,8.067661046981812,1676684447.0211751,6900,,,0.7607664465904236,1626.0,246.42857360839844,18.446428298950195,3.53518953488674e-06,0.0,0.0007825000211596489,-1755.5120849609375,8357.7421875,none
18,21,8.850307703018188,1676684447.8038218,7500,0.0,200.0,0.7399981617927551,,,,3.758588036362198e-06,0.0,0.0007825000211596489,-1760.0059814453125,11132.0,none
19,22,9.283060312271118,1676684448.2365744,7900,,,0.7260949015617371,1447.0,246.875,19.234375,2.120684712281218e-06,0.0,0.0007825000211596489,-1753.67333984375,13019.4189453125,none
20,23,9.459139108657835,1676684448.4126532,8000,0.0,200.0,0.7226623892784119,,,,7.259432095452212e-07,0.0,0.0007825000211596489,-1750.910400390625,13500.2783203125,none
21,27,11.314523696899414,1676684450.2680378,9500,0.0,200.0,0.6706551313400269,,,,1.5919072211545426e-06,0.0,0.0007825000211596489,-1802.644775390625,20589.447265625,none
