,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.064751386642456,1676683206.2933254,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,2,8.0908682346344,1676683208.3194425,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
2,3,8.36907410621643,1676683208.597648,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
3,5,8.65234661102295,1676683208.8809206,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
4,6,8.931827068328857,1676683209.160401,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
5,7,9.03612494468689,1676683209.264699,2900,,,0.8994525671005249,891.0,241.6666717529297,14.0,,,,,,none
6,9,9.497612476348875,1676683209.7261865,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
7,10,9.6087646484375,1676683209.8373387,3900,,,0.8647810220718384,1019.0,243.75,13.34375,,,,,,none
8,11,9.78830099105835,1676683210.016875,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
9,12,10.073174476623535,1676683210.3017485,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
10,13,10.180928468704224,1676683210.4095025,4900,,,0.8301094770431519,1114.0,245.0,14.050000190734863,,,,,,none
11,14,10.377582311630247,1676683210.6061563,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
12,15,12.467352628707886,1676683212.695927,5500,0.0,200.0,0.8093412518501282,,,,9.285534906666726e-05,0.0,0.0007825000211596489,-1751.6641845703125,1746.675048828125,none
13,16,13.95870804786682,1676683214.187282,5900,,,0.7954379320144653,721.0,245.8333282470703,15.0625,1.1674479537759908e-05,0.0,0.0007825000211596489,-1767.8419189453125,3195.785888671875,none
14,18,16.524158239364624,1676683216.7527325,6500,0.0,200.0,0.7746697068214417,,,,0.0005366463446989655,0.0,0.0007825000211596489,-1757.4984130859375,5521.22314453125,none
15,19,18.008018493652344,1676683218.2365923,6900,,,0.7607664465904236,564.0,246.42857360839844,16.48214340209961,0.0004579532542265952,0.0,0.0007825000211596489,-1759.888916015625,7109.6494140625,none
16,20,18.56580710411072,1676683218.7943811,7000,0.0,200.0,0.7573339343070984,,,,0.0005501624546013772,0.0,0.0007825000211596489,-1779.5557861328125,7521.70263671875,none
17,21,20.621403455734253,1676683220.8499775,7500,0.0,200.0,0.7399981617927551,,,,9.835576975092408e-07,0.0,0.0007825000211596489,-1757.5823974609375,9589.12890625,none
18,24,24.68709373474121,1676683224.9156678,8500,0.0,200.0,0.7053266167640686,,,,1.6374033293686807e-06,0.0,0.0007825000211596489,-1759.0867919921875,13534.4072265625,none
19,25,26.183464527130127,1676683226.4120386,8900,,,0.6914233565330505,436.0,247.22222900390625,15.277777671813965,4.876621005678317e-06,0.0,0.0007825000211596489,-1740.7325439453125,15065.6044921875,none
20,26,26.73714828491211,1676683226.9657223,9000,0.0,200.0,0.6879909038543701,,,,2.6091163363162195e-06,0.0,0.0007825000211596489,-1746.731201171875,15447.548828125,none
21,27,28.794743299484253,1676683229.023317,9500,0.0,200.0,0.6706551313400269,,,,2.2115134470368503e-06,0.0,0.0007825000211596489,-1788.08447265625,17332.640625,none
22,28,30.31118083000183,1676683230.5397549,9900,,,0.656751811504364,403.0,247.5,14.712499618530272,1.778177875166875e-06,0.0,0.0007825000211596489,-1737.7822265625,18843.05078125,none
23,31,34.415228605270386,1676683234.6438026,10900,,,0.6220802664756775,380.0,247.7272796630859,17.56818199157715,1.2416378922353031e-05,0.0,0.0007825000211596489,-1737.308837890625,22853.84375,none
24,33,37.01468801498413,1676683237.243262,11500,0.0,200.0,0.6013120412826538,,,,3.020980147994123e-05,0.0,0.0007825000211596489,-1745.951416015625,25590.685546875,none
25,34,38.51817297935486,1676683238.746747,11900,,,0.5874087810516357,363.0,247.9166717529297,19.19791603088379,9.797729944693856e-06,0.0,0.0007825000211596489,-1723.05126953125,27540.568359375,none
26,35,39.096134424209595,1676683239.3247085,12000,0.0,200.0,0.5839762687683105,,,,4.5129607315175235e-05,0.0,0.0007825000211596489,-1736.4656982421875,28020.517578125,none
