,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,7.868865489959717,429.0,1676684076.5908654,900,225.0,26.125,0.9687955975532532,,,,,,,,none
1,6,8.849656343460083,,1676684077.5716562,2500,,,0.913355827331543,0.0,200.0,,,,,,none
2,7,8.952412605285645,911.0,1676684077.6744125,2900,241.6666717529297,14.125,0.8994525671005249,,,,,,,,none
3,8,9.124670267105104,,1676684077.8466702,3000,,,0.8960200548171997,0.0,200.0,,,,,,none
4,9,9.397899389266968,,1676684078.1198993,3500,,,0.8786842823028564,0.0,200.0,,,,,,none
5,10,9.50446605682373,1044.0,1676684078.226466,3900,243.75,16.0625,0.8647810220718384,,,,,,,,none
6,11,9.68071746826172,,1676684078.4027174,4000,,,0.861348569393158,0.0,200.0,,,,,,none
7,12,9.94455337524414,,1676684078.6665533,4500,,,0.8440127968788147,0.0,200.0,,,,,,none
8,13,10.045156002044678,1146.0,1676684078.767156,4900,245.0,15.850000381469728,0.8301094770431519,,,,,,,,none
9,14,10.220097303390505,,1676684078.9420972,5000,,,0.8266770243644714,0.0,200.0,,,,,,none
10,15,12.413190364837646,,1676684081.1351902,5500,,,0.8093412518501282,0.0,200.0,0.00016786964260973036,0.0,0.0007825000211596489,-1731.98388671875,2006.8448486328125,none
11,16,13.848522186279297,730.0,1676684082.570522,5900,245.8333282470703,16.79166603088379,0.7954379320144653,,,1.9591048840084113e-05,0.0,0.0007825000211596489,-1768.546142578125,3703.88037109375,none
12,18,16.32351565361023,,1676684085.0455155,6500,,,0.7746697068214417,0.0,200.0,2.5155336516036182e-06,0.0,0.0007825000211596489,-1755.026123046875,6298.12060546875,none
13,20,18.252724647521973,,1676684086.9747243,7000,,,0.7573339343070984,0.0,200.0,2.250336365250405e-06,0.0,0.0007825000211596489,-1775.665771484375,8569.26953125,none
14,21,20.185003757476807,,1676684088.9070036,7500,,,0.7399981617927551,0.0,200.0,3.9953630448508193e-07,0.0,0.0007825000211596489,-1772.046875,10710.310546875,none
15,22,21.67821979522705,496.0,1676684090.4002197,7900,246.875,17.03125,0.7260949015617371,,,1.583813258321243e-07,0.0,0.0007825000211596489,-1754.5213623046875,12400.2294921875,none
16,24,24.240837812423703,,1676684092.9628377,8500,,,0.7053266167640686,0.0,200.0,3.6983916373856125e-08,0.0,0.0007825000211596489,-1753.006591796875,14950.1669921875,none
17,25,25.715501070022583,446.0,1676684094.437501,8900,247.22222900390625,18.51388931274414,0.6914233565330505,,,2.5166075445781644e-08,0.0,0.0007825000211596489,-1766.9522705078125,16738.275390625,none
18,26,26.27993845939636,,1676684095.0019383,9000,,,0.6879909038543701,0.0,200.0,1.3501422202466529e-08,0.0,0.0007825000211596489,-1791.4100341796875,17201.123046875,none
19,27,28.281267642974857,,1676684097.0032675,9500,,,0.6706551313400269,0.0,200.0,1.107072833406164e-08,0.0,0.0007825000211596489,-1778.8975830078125,19501.017578125,none
20,28,29.771222591400143,412.0,1676684098.4932225,9900,247.5,18.862499237060547,0.656751811504364,,,3.317068603791995e-06,0.0,0.0007825000211596489,-1775.94384765625,21355.740234375,none
21,29,30.32358193397522,,1676684099.0455818,10000,,,0.6533193588256836,0.0,200.0,4.190735296560888e-07,0.0,0.0007825000211596489,-1777.4912109375,21827.302734375,none
22,30,32.337581396102905,,1676684101.0595813,10500,,,0.6359835863113403,0.0,200.0,9.93430057860678e-06,0.0,0.0007825000211596489,-1770.701904296875,24305.626953125,none
23,31,33.82366323471069,388.0,1676684102.545663,10900,247.7272796630859,22.136363983154297,0.6220802664756775,,,5.14150524395518e-05,0.0,0.0007825000211596489,-1769.4161376953125,26410.015625,none
24,32,34.382797718048096,,1676684103.1047976,11000,,,0.6186478137969971,0.0,200.0,7.55996643420076e-06,0.0,0.0007825000211596489,-1754.376953125,26963.423828125,none
25,33,36.39527368545532,,1676684105.1172736,11500,,,0.6013120412826538,0.0,200.0,4.256517058820464e-06,0.0,0.0007825000211596489,-1770.1553955078125,29815.712890625,none
26,34,37.8767454624176,370.0,1676684106.598745,11900,247.9166717529297,25.09375,0.5874087810516357,,,4.772521151608089e-06,0.0,0.0007825000211596489,-1766.5533447265625,32202.578125,none
27,35,38.43124032020569,,1676684107.1532402,12000,,,0.5839762687683105,0.0,200.0,9.427151326235616e-07,0.0,0.0007825000211596489,-1780.9212646484375,32829.921875,none
28,37,41.95392847061157,356.0,1676684110.6759284,12900,248.0769195556641,29.153846740722656,0.5527372360229492,,,1.4910901882103644e-06,0.0,0.0007825000211596489,-1768.95458984375,38832.6015625,none
29,38,42.593573570251465,,1676684111.3155737,13000,,,0.549304723739624,0.0,200.0,1.318065096711507e-05,0.0,0.0007825000211596489,-1793.90478515625,39561.4453125,none
30,39,44.65148138999939,,1676684113.3734813,13500,,,0.5319689512252808,0.0,200.0,2.0882780518149957e-06,0.0,0.0007825000211596489,-1783.5919189453125,43242.98046875,none
31,40,46.150360107421875,344.0,1676684114.87236,13900,248.2142791748047,31.776784896850582,0.5180656909942627,,,1.2938444342580624e-05,0.0,0.0007825000211596489,-1774.87646484375,46298.84765625,none
32,41,46.70493006706238,,1676684115.42693,14000,,,0.5146332383155823,0.0,200.0,3.61901970791223e-06,0.0,0.0007825000211596489,-1754.513916015625,47093.26953125,none
33,42,48.77750325202942,,1676684117.4995031,14500,,,0.4972974359989166,0.0,200.0,0.00031147056142799556,0.0,0.0007825000211596489,-1781.34375,51125.55859375,none
34,43,50.298784255981445,334.0,1676684119.020784,14900,248.3333282470703,33.91666793823242,0.48339414596557617,,,0.0017333868891000748,0.0,0.0007825000211596489,-1795.5262451171875,54443.72265625,none
35,44,50.86549782752991,,1676684119.5874977,15000,,,0.47996169328689575,0.0,200.0,5.658181544276886e-05,0.0,0.0007825000211596489,-1785.2666015625,55291.63671875,none
36,45,52.91141629219055,,1676684121.6334162,15500,,,0.4626259207725525,0.0,200.0,2.0679633962572552e-05,0.0,0.0007825000211596489,-1810.76953125,59608.2734375,none
37,47,54.98994255065918,,1676684123.7119424,16000,,,0.4452901482582092,0.0,200.0,1.3518195373762865e-05,0.0,0.0007825000211596489,-1801.218505859375,64054.40234375,none
38,48,57.11516833305359,,1676684125.8371682,16500,,,0.427954375743866,0.0,200.0,1.56172154675005e-05,0.0,0.0007825000211596489,-1804.460693359375,68702.6171875,none
39,49,58.651079177856445,319.0,1676684127.373079,16900,248.5294189453125,39.05147171020508,0.4140510857105255,,,4.532229286269285e-05,0.0,0.0007825000211596489,-1788.1854248046875,72541.140625,none
40,50,59.22209453582764,,1676684127.9440944,17000,,,0.4106186032295227,0.0,200.0,8.27678286441369e-06,0.0,0.0007825000211596489,-1804.3643798828125,73517.421875,none
41,51,61.361921072006226,,1676684130.083921,17500,,,0.39328286051750183,0.0,200.0,8.760660421103239e-06,0.0,0.0007825000211596489,-1797.3260498046875,78462.671875,none
42,52,62.92198920249939,313.0,1676684131.643989,17900,248.61111450195312,41.63194274902344,0.3793795704841614,,,1.975982013391331e-05,0.0,0.0007825000211596489,-1800.1146240234375,82536.7734375,none
43,53,63.49307894706726,,1676684132.2150788,18000,,,0.37594708800315857,0.0,200.0,0.0016667600721120834,0.0,0.0007825000211596489,-1806.4921875,83577.5703125,none
44,54,65.6484375,,1676684134.3704374,18500,,,0.3586113154888153,0.0,200.0,5.776808757218532e-05,0.0,0.0007825000211596489,-1801.121826171875,88833.75,none
45,55,67.2041985988617,307.0,1676684135.9261985,18900,248.6842041015625,43.80921173095703,0.34470802545547485,,,2.3846714611863717e-05,0.0,0.0007825000211596489,-1774.1019287109375,93133.234375,none
46,56,67.77250814437866,,1676684136.494508,19000,,,0.34127554297447205,0.0,200.0,3.093013583566062e-05,0.0,0.0007825000211596489,-1782.9022216796875,94228.4609375,none
47,57,69.89156341552734,,1676684138.6135633,19500,,,0.3239397704601288,0.0,200.0,3.5685330658452585e-05,0.0,0.0007825000211596489,-1836.069580078125,99778.0625,none
48,58,71.46995759010315,302.0,1676684140.1919577,19900,248.75,46.0625,0.3100365102291107,,,1.604033968760632e-05,0.0,0.0007825000211596489,-1800.47900390625,104306.1328125,none
49,59,72.06088304519653,,1676684140.782883,20000,,,0.3066040277481079,0.0,200.0,7.149365501391003e-06,0.0,0.0007825000211596489,-1812.889404296875,105457.6953125,none
50,60,74.20741820335388,,1676684142.929418,20500,,,0.28926825523376465,0.0,200.0,0.003529037581756711,0.0,0.0007825000211596489,-1767.6131591796875,111279.4140625,none
51,61,75.7808928489685,298.0,1676684144.5028927,20900,248.8095245361328,48.4523811340332,0.2753649652004242,,,1.5722827811259776e-05,0.0,0.0007825000211596489,-1751.7474365234375,116041.9296875,none
52,62,76.35656332969666,,1676684145.0785632,21000,,,0.2719324827194214,0.0,200.0,2.085876440105494e-05,0.0,0.0007825000211596489,-1750.936279296875,117253.234375,none
53,65,80.72653555870056,,1676684149.4485354,22000,,,0.23726095259189608,0.0,200.0,1.9053268260904588e-05,0.0,0.0007825000211596489,-1744.247802734375,129639.796875,none
54,66,82.88444924354553,,1676684151.6064491,22500,,,0.2199251800775528,0.0,200.0,3.6447165712161222e-06,0.0,0.0007825000211596489,-1742.2198486328125,136039.015625,none
55,67,84.4696888923645,290.0,1676684153.1916888,22900,248.9130401611328,52.63043594360352,0.2060219049453735,,,4.31494991062209e-05,0.0,0.0007825000211596489,-1765.5181884765625,141247.125,none
56,68,85.0458242893219,,1676684153.7678242,23000,,,0.20258942246437073,96.5,200.0,0.006829546298831701,0.0,0.0007825000211596489,-1767.956298828125,142562.890625,none
57,69,88.9483540058136,,1676684157.670354,23500,,,0.1852536499500275,0.0,200.0,0.0002720604243222624,0.0,0.0007825000211596489,-1759.7232666015625,149213.40625,none
58,70,90.59164476394652,281.0,1676684159.3136446,23900,248.9583282470703,54.73958206176758,0.171350359916687,,,6.551174010382965e-05,0.0,0.0007825000211596489,-1753.4013671875,154638.0625,none
59,72,93.39817214012146,,1676684162.120172,24500,,,0.15058211982250214,0.0,200.0,7.1385406954505015e-06,0.0,0.0007825000211596489,-1752.665283203125,162890.171875,none
60,73,95.03872108459473,278.0,1676684163.760721,24900,249.0,56.43000030517578,0.13667882978916168,,,9.72269208432408e-06,0.0,0.0007825000211596489,-1767.4432373046875,168470.234375,none
61,74,95.623868227005,,1676684164.345868,25000,,,0.13324634730815887,0.0,200.0,0.0034866449423134327,0.0,0.0007825000211596489,-1757.4937744140625,169880.984375,none
62,75,97.83120203018188,,1676684166.553202,25500,,,0.1159105822443962,0.0,200.0,9.170890734822024e-06,0.0,0.0007825000211596489,-1759.0726318359375,177028.109375,none
63,77,100.05751323699953,,1676684168.7795131,26000,,,0.09857481718063354,0.0,200.0,1.1541396816028282e-05,0.0,0.0007825000211596489,-1761.74951171875,184370.234375,none
64,78,102.3083655834198,,1676684171.0303657,26500,,,0.08123905211687088,97.0,200.0,0.00488089257851243,0.0,0.0007825000211596489,-1767.716064453125,191932.484375,none
65,79,105.74415183067322,269.0,1676684174.4661517,26900,250.0,63.89500045776367,0.06733576953411102,,,1.2874120329797734e-05,0.0,0.0007825000211596489,-1755.64892578125,198166.984375,none
66,80,106.31918001174928,,1676684175.04118,27000,,,0.06390328705310822,0.0,200.0,1.320248884439934e-05,0.0,0.0007825000211596489,-1758.9940185546875,199764.359375,none
67,81,108.5479381084442,,1676684177.269938,27500,,,0.05000000074505806,0.0,200.0,0.00025547322002239525,0.0,0.0007825000211596489,-1763.387451171875,207848.359375,none
68,82,110.19294500350952,267.0,1676684178.914945,27900,250.0,67.375,0.05000000074505806,,,0.0003229239955544472,0.0,0.0007825000211596489,-1763.0345458984375,214439.859375,none
69,83,110.799560546875,,1676684179.5215604,28000,,,0.05000000074505806,0.0,200.0,2.4430284611298703e-05,0.0,0.0007825000211596489,-1757.97607421875,216124.234375,none
70,84,113.03290939331056,,1676684181.7549093,28500,,,0.05000000074505806,0.0,200.0,3.943029241781915e-06,0.0,0.0007825000211596489,-1758.6339111328125,224585.359375,none
71,85,114.66687226295473,265.0,1676684183.388872,28900,250.0,69.74500274658203,0.05000000074505806,,,2.4663297153892927e-05,0.0,0.0007825000211596489,-1757.6947021484375,231474.609375,none
72,86,115.25845098495483,,1676684183.9804509,29000,,,0.05000000074505806,0.0,200.0,0.00348772038705647,0.0,0.0007825000211596489,-1752.6878662109375,233218.234375,none
73,87,117.49798583984376,,1676684186.2199855,29500,,,0.05000000074505806,0.0,200.0,0.0035152321215718985,0.0,0.0007825000211596489,-1757.185791015625,242028.359375,none
74,88,119.16005611419678,263.0,1676684187.882056,29900,250.0,73.11499786376953,0.05000000074505806,,,0.006790626794099808,0.0,0.0007825000211596489,-1762.2684326171875,249211.859375,none
75,89,119.77527379989624,,1676684188.4972737,30000,,,0.05000000074505806,0.0,200.0,3.807161419899785e-06,0.0,0.0007825000211596489,-1752.09423828125,251039.734375,none
