,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.765430688858032,1676681422.4619336,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,4.683419227600098,1676681423.3799222,900,,,0.9687955975532532,876.0,225.0,14.75,,,,,,none
2,2,4.761172771453857,1676681423.4576757,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,4.868703365325928,1676681423.5652063,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,4.904231548309326,1676681423.6007345,1900,,,0.9341241121292114,1522.0,237.5,22.875,,,,,,none
5,5,4.978882789611816,1676681423.6753857,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,7,5.11613130569458,1676681423.8126342,2900,,,0.8994525671005249,1986.0,241.6666717529297,25.79166603088379,,,,,,none
7,8,5.190626382827759,1676681423.8871293,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
8,9,5.296356916427612,1676681423.9928598,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
9,10,5.333640098571777,1676681424.030143,3900,,,0.8647810220718384,2324.0,243.75,24.125,,,,,,none
10,11,5.4077842235565186,1676681424.1042871,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
11,12,5.5119287967681885,1676681424.2084315,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
12,14,5.619783639907837,1676681424.3162866,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
13,15,6.216413497924805,1676681424.9129164,5500,0.0,200.0,0.8093412518501282,,,,0.00017641142767388374,0.0,0.0007825000211596489,-1782.1865234375,2615.802001953125,none
14,16,6.6320154666900635,1676681425.3285184,5900,,,0.7954379320144653,1982.0,245.8333282470703,20.16666603088379,1.776370481820777e-05,0.0,0.0007825000211596489,-1746.36767578125,4766.83984375,none
15,17,6.806002378463745,1676681425.5025053,6000,0.0,200.0,0.7920054793357849,,,,1.7424994439352304e-05,0.0,0.0007825000211596489,-1765.648681640625,5271.00634765625,none
16,18,7.443511486053467,1676681426.1400144,6500,0.0,200.0,0.7746697068214417,,,,8.242495823651552e-06,0.0,0.0007825000211596489,-1773.8267822265625,7802.435546875,none
17,19,7.874562978744507,1676681426.571066,6900,,,0.7607664465904236,1635.0,246.42857360839844,20.01785659790039,9.014011993713211e-06,0.0,0.0007825000211596489,-1770.8516845703125,9860.5908203125,none
18,20,8.061688661575317,1676681426.7581916,7000,0.0,200.0,0.7573339343070984,,,,0.0004957979544997215,0.0,0.0007825000211596489,-1781.9859619140625,10361.037109375,none
19,21,8.665147066116333,1676681427.36165,7500,0.0,200.0,0.7399981617927551,,,,4.371301201899769e-06,0.0,0.0007825000211596489,-1760.530517578125,12956.787109375,none
20,22,9.096460342407228,1676681427.7929633,7900,,,0.7260949015617371,1452.0,246.875,19.890625,0.000496896798722446,0.0,0.0007825000211596489,-1753.452392578125,15031.732421875,none
21,23,9.268288850784302,1676681427.9647918,8000,0.0,200.0,0.7226623892784119,,,,4.933192940370645e-06,0.0,0.0007825000211596489,-1769.256591796875,15528.998046875,none
22,24,9.869339942932127,1676681428.5658429,8500,0.0,200.0,0.7053266167640686,,,,1.6763914345574449e-06,0.0,0.0007825000211596489,-1738.7628173828125,17979.279296875,none
23,25,10.308691263198853,1676681429.0051942,8900,,,0.6914233565330505,1337.0,247.22222900390625,18.54166603088379,3.4857466744142585e-06,0.0,0.0007825000211596489,-1765.252197265625,19892.724609375,none
24,26,10.48689603805542,1676681429.183399,9000,0.0,200.0,0.6879909038543701,,,,0.0005623602191917598,0.0,0.0007825000211596489,-1781.6495361328125,20356.265625,none
25,28,11.537646055221558,1676681430.234149,9900,,,0.656751811504364,1256.0,247.5,18.212499618530273,1.937791057571303e-05,0.0,0.0007825000211596489,-1762.7589111328125,24586.650390625,none
26,29,11.716518878936768,1676681430.4130218,10000,0.0,200.0,0.6533193588256836,,,,6.678735644527478e-06,0.0,0.0007825000211596489,-1755.6361083984375,25041.962890625,none
27,30,12.344421148300173,1676681431.040924,10500,0.0,200.0,0.6359835863113403,,,,0.001327690202742815,0.0,0.0007825000211596489,-1740.2694091796875,27455.33984375,none
28,33,13.576795101165771,1676681432.273298,11500,0.0,200.0,0.6013120412826538,,,,4.633940625353716e-05,0.0,0.0007825000211596489,-1751.5576171875,33302.01953125,none
29,34,14.076871633529665,1676681432.7733746,11900,,,0.5874087810516357,1142.0,247.9166717529297,28.46875,4.629102932085516e-06,0.0,0.0007825000211596489,-1759.322265625,35971.14453125,none
30,35,14.263456106185911,1676681432.959959,12000,0.0,200.0,0.5839762687683105,,,,4.3825468310387805e-05,0.0,0.0007825000211596489,-1751.8140869140625,36682.86328125,none
31,36,14.884413242340088,1676681433.5809162,12500,0.0,200.0,0.5666404962539673,,,,0.00169612979516387,0.0,0.0007825000211596489,-1767.3389892578125,40301.98046875,none
32,37,15.33091640472412,1676681434.027419,12900,,,0.5527372360229492,1105.0,248.0769195556641,31.125,1.4966337403166108e-05,0.0,0.0007825000211596489,-1757.487548828125,43343.12890625,none
33,42,17.425797939300537,1676681436.1223009,14500,0.0,200.0,0.4972974359989166,,,,2.3389331545331515e-05,0.0,0.0007825000211596489,-1758.3009033203125,56718.60546875,none
34,43,17.891958475112915,1676681436.5884614,14900,,,0.48339414596557617,1046.0,248.3333282470703,37.20833206176758,2.8486836527008563e-05,0.0,0.0007825000211596489,-1770.3076171875,60316.03515625,none
35,44,18.08467388153076,1676681436.7811768,15000,0.0,200.0,0.47996169328689575,,,,5.818666613777168e-05,0.0,0.0007825000211596489,-1776.418701171875,61246.2421875,none
36,46,19.18842077255249,1676681437.8849237,15900,,,0.448722630739212,1023.0,248.4375,40.359375,1.0888164069911e-05,0.0,0.0007825000211596489,-1771.857666015625,69921.03125,none
37,48,20.037137508392338,1676681438.7336404,16500,0.0,200.0,0.427954375743866,,,,2.6369269107817672e-05,0.0,0.0007825000211596489,-1757.265380859375,76052.8984375,none
38,49,20.50427794456482,1676681439.2007809,16900,,,0.4140510857105255,1003.0,248.5294189453125,42.54411697387695,1.5021183571661822e-05,0.0,0.0007825000211596489,-1791.3922119140625,80265.015625,none
39,50,20.69246220588684,1676681439.3889651,17000,0.0,200.0,0.4106186032295227,,,,4.625988003681414e-05,0.0,0.0007825000211596489,-1774.6903076171875,81328.6171875,none
40,51,21.339864253997803,1676681440.0363672,17500,0.0,200.0,0.39328286051750183,,,,0.0004575974890030921,0.0,0.0007825000211596489,-1778.793212890625,86747.09375,none
41,52,21.808165073394775,1676681440.504668,17900,,,0.3793795704841614,986.0,248.61111450195312,45.33333206176758,9.63010188570479e-06,0.0,0.0007825000211596489,-1788.3323974609375,91192.234375,none
42,53,21.996909141540527,1676681440.693412,18000,0.0,200.0,0.37594708800315857,,,,0.0004109051660634578,0.0,0.0007825000211596489,-1780.569580078125,92325.5625,none
43,54,22.64777684211731,1676681441.3442798,18500,0.0,200.0,0.3586113154888153,,,,9.016091098601464e-06,0.0,0.0007825000211596489,-1801.8834228515625,98089.3203125,none
44,55,23.12988829612732,1676681441.8263912,18900,,,0.34470802545547485,970.0,248.6842041015625,48.328948974609375,1.6499283447046764e-05,0.0,0.0007825000211596489,-1800.7578125,102840.6484375,none
45,57,23.9792697429657,1676681442.675773,19500,0.0,200.0,0.3239397704601288,,,,0.0016819805605337024,0.0,0.0007825000211596489,-1798.669189453125,110147.1953125,none
46,58,24.455071926116943,1676681443.1515749,19900,,,0.3100365102291107,956.0,248.75,50.712501525878906,4.911178257316351e-05,0.0,0.0007825000211596489,-1809.84912109375,115124.6171875,none
47,59,24.652092218399048,1676681443.3485951,20000,0.0,200.0,0.3066040277481079,,,,0.0016599049558863044,0.0,0.0007825000211596489,-1824.411376953125,116392.4296875,none
