,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.021403074264526,1676684132.399267,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,7.869549512863159,1676684134.2474134,900,,,0.9687955975532532,422.0,225.0,31.625,,,,,,none
2,3,8.329681634902954,1676684134.7075455,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
3,4,8.436174154281616,1676684134.814038,1900,,,0.9341241121292114,704.0,237.5,23.6875,,,,,,none
4,5,8.621175050735474,1676684134.999039,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
5,6,8.901927947998047,1676684135.2797918,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
6,7,9.01207447052002,1676684135.3899384,2900,,,0.8994525671005249,885.0,241.6666717529297,20.83333396911621,,,,,,none
7,8,9.19513702392578,1676684135.573001,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
8,10,9.581996202468872,1676684135.95986,3900,,,0.8647810220718384,1014.0,243.75,19.1875,,,,,,none
9,11,9.761898040771484,1676684136.139762,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
10,13,10.14525032043457,1676684136.5231142,4900,,,0.8301094770431519,1111.0,245.0,17.975000381469727,,,,,,none
11,14,10.336793184280396,1676684136.714657,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
12,15,12.450549125671388,1676684138.828413,5500,0.0,200.0,0.8093412518501282,,,,0.0008227399666793644,0.0,0.0007825000211596489,-1749.2265625,2176.2294921875,none
13,16,13.998700380325316,1676684140.3765645,5900,,,0.7954379320144653,714.0,245.8333282470703,18.35416603088379,1.528681968920864e-05,0.0,0.0007825000211596489,-1753.9891357421875,3885.616943359375,none
14,17,14.56812596321106,1676684140.9459898,6000,0.0,200.0,0.7920054793357849,,,,1.716595215839334e-05,0.0,0.0007825000211596489,-1781.35009765625,4344.47119140625,none
15,20,18.604270935058594,1676684144.9821348,7000,0.0,200.0,0.7573339343070984,,,,3.4704021345532965e-06,0.0,0.0007825000211596489,-1763.1329345703125,8788.8671875,none
16,21,20.657858848571777,1676684147.0357227,7500,0.0,200.0,0.7399981617927551,,,,8.149821042024996e-06,0.0,0.0007825000211596489,-1748.15087890625,10843.2080078125,none
17,22,22.146836519241333,1676684148.5247004,7900,,,0.7260949015617371,481.0,246.875,16.4375,4.063491815031739e-06,0.0,0.0007825000211596489,-1753.4442138671875,12522.6435546875,none
18,23,22.70505213737488,1676684149.082916,8000,0.0,200.0,0.7226623892784119,,,,1.2823757060687058e-06,0.0,0.0007825000211596489,-1739.330810546875,12933.5810546875,none
19,24,24.78110432624817,1676684151.1589682,8500,0.0,200.0,0.7053266167640686,,,,5.951371349510737e-06,0.0,0.0007825000211596489,-1759.526123046875,14967.9228515625,none
20,25,26.301554203033447,1676684152.679418,8900,,,0.6914233565330505,432.0,247.22222900390625,15.652777671813965,1.9572698874981143e-06,0.0,0.0007825000211596489,-1766.087158203125,16550.12890625,none
21,26,26.883521795272827,1676684153.2613857,9000,0.0,200.0,0.6879909038543701,,,,3.1879128528089495e-06,0.0,0.0007825000211596489,-1751.1778564453125,16941.447265625,none
22,29,31.245402574539185,1676684157.6232665,10000,0.0,200.0,0.6533193588256836,,,,1.8184841792390216e-06,0.0,0.0007825000211596489,-1733.8763427734375,20719.908203125,none
23,30,33.32070255279541,1676684159.6985664,10500,0.0,200.0,0.6359835863113403,,,,4.775170964421704e-05,0.0,0.0007825000211596489,-1708.059326171875,22580.41796875,none
24,31,34.85989046096802,1676684161.2377543,10900,,,0.6220802664756775,374.0,247.7272796630859,15.318181991577148,4.5988804231456015e-06,0.0,0.0007825000211596489,-1718.5594482421875,24066.451171875,none
