,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.5033211708068848,1676689906.516977,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,1.00911283493042,1676689907.0227687,900,,,0.9687955975532532,1441.0,225.0,9.125,,,,,,none
2,2,1.1100971698760986,1676689907.123753,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,1.2288851737976074,1676689907.242541,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,1.24875807762146,1676689907.262414,1900,,,0.9341241121292114,2199.0,237.5,11.1875,,,,,,none
5,5,1.3412928581237793,1676689907.3549488,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,6,1.4591906070709229,1676689907.4728465,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
7,7,1.4792909622192385,1676689907.4929469,2900,,,0.8994525671005249,2649.0,241.6666717529297,10.333333015441896,,,,,,none
8,8,1.5781373977661133,1676689907.5917933,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
9,9,1.6927740573883057,1676689907.70643,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
10,10,1.7123193740844729,1676689907.7259753,3900,,,0.8647810220718384,2937.0,243.75,11.90625,,,,,,none
11,11,1.8108510971069336,1676689907.824507,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
12,12,1.927690505981445,1676689907.9413464,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
13,13,1.9463489055633545,1676689907.9600048,4900,,,0.8301094770431519,3137.0,245.0,10.75,,,,,,none
14,14,2.0455408096313477,1676689908.0591967,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
15,15,3.652111291885376,1676689909.6657672,5500,0.0,200.0,0.8093412518501282,,,,0.00024232352734543383,0.0,0.0007825000211596489,-4252.86083984375,1535.7867431640625,none
16,16,4.906906366348267,1676689910.9205625,5900,,,0.7954379320144653,1304.0,245.8333282470703,16.4375,2.96781199722318e-05,0.0,0.0007825000211596489,-4250.96826171875,3006.241455078125,none
17,17,5.2677693367004395,1676689911.2814252,6000,0.0,200.0,0.7920054793357849,,,,0.0005349472630769014,0.0,0.0007825000211596489,-4241.98974609375,3417.178955078125,none
18,18,6.880505561828613,1676689912.8941617,6500,0.0,200.0,0.7746697068214417,,,,1.9053570213145576e-05,0.0,0.0007825000211596489,-4269.71826171875,5463.91943359375,none
19,19,8.163991689682007,1676689914.1776476,6900,,,0.7607664465904236,887.0,246.42857360839844,16.303571701049805,0.0005087676690891385,0.0,0.0007825000211596489,-4231.4091796875,7099.353515625,none
20,20,8.486176490783691,1676689914.4998324,7000,0.0,200.0,0.7573339343070984,,,,4.3117634049849585e-06,0.0,0.0007825000211596489,-4243.33056640625,7506.94287109375,none
21,21,10.104108095169067,1676689916.117764,7500,0.0,200.0,0.7399981617927551,,,,1.3181926078686956e-05,0.0,0.0007825000211596489,-4248.5263671875,9566.259765625,none
22,22,11.393100500106812,1676689917.4067564,7900,,,0.7260949015617371,717.0,246.875,17.1875,5.300778866512701e-06,0.0,0.0007825000211596489,-4239.7919921875,11240.130859375,none
23,23,11.732532024383543,1676689917.746188,8000,0.0,200.0,0.7226623892784119,,,,0.0004743013996630907,0.0,0.0007825000211596489,-4274.6728515625,11669.818359375,none
24,24,13.39171552658081,1676689919.4053714,8500,0.0,200.0,0.7053266167640686,,,,1.3268064549265546e-06,0.0,0.0007825000211596489,-4238.47607421875,13786.8798828125,none
25,25,14.686909675598145,1676689920.7005656,8900,,,0.6914233565330505,622.0,247.22222900390625,18.19444465637207,3.980283963755937e-06,0.0,0.0007825000211596489,-4248.65087890625,15503.0986328125,none
26,26,15.05149221420288,1676689921.065148,9000,0.0,200.0,0.6879909038543701,,,,4.030432137369644e-06,0.0,0.0007825000211596489,-4258.34814453125,15957.9599609375,none
27,27,16.706961154937744,1676689922.720617,9500,0.0,200.0,0.6706551313400269,,,,2.8591855425474932e-06,0.0,0.0007825000211596489,-4228.3056640625,18233.96875,none
28,28,17.986626386642456,1676689924.0002823,9900,,,0.656751811504364,562.0,247.5,18.125,9.095778068513028e-07,0.0,0.0007825000211596489,-4240.94189453125,20058.193359375,none
29,29,18.348705291748047,1676689924.3623612,10000,0.0,200.0,0.6533193588256836,,,,1.2627543810594943e-06,0.0,0.0007825000211596489,-4251.5947265625,20511.318359375,none
30,30,19.971492290496823,1676689925.9851482,10500,0.0,200.0,0.6359835863113403,,,,0.0001444671506760642,0.0,0.0007825000211596489,-4232.9169921875,22876.583984375,none
31,31,21.25014877319336,1676689927.263805,10900,,,0.6220802664756775,522.0,247.7272796630859,22.647727966308594,4.3685853597708046e-05,0.0,0.0007825000211596489,-4253.4755859375,24957.06640625,none
32,32,21.567516565322876,1676689927.5811725,11000,0.0,200.0,0.6186478137969971,,,,1.020832860376686e-05,0.0,0.0007825000211596489,-4242.27587890625,25523.259765625,none
33,33,23.159960746765137,1676689929.1736166,11500,0.0,200.0,0.6013120412826538,,,,2.8596761694643646e-05,0.0,0.0007825000211596489,-4251.5546875,28499.365234375,none
34,34,24.457828760147095,1676689930.471485,11900,,,0.5874087810516357,494.0,247.9166717529297,27.32291603088379,1.2155692274973262e-05,0.0,0.0007825000211596489,-4253.859375,31103.412109375,none
35,35,24.788049936294556,1676689930.8017058,12000,0.0,200.0,0.5839762687683105,,,,0.0021202429197728634,0.0,0.0007825000211596489,-4258.38134765625,31786.484375,none
36,36,26.431731939315796,1676689932.4453878,12500,0.0,200.0,0.5666404962539673,,,,1.5415387679240666e-05,0.0,0.0007825000211596489,-4241.8935546875,35258.69921875,none
37,37,27.725719451904297,1676689933.7393754,12900,,,0.5527372360229492,471.0,248.0769195556641,31.326923370361328,2.699319702514913e-05,0.0,0.0007825000211596489,-4268.0478515625,38209.78515625,none
38,38,28.09026837348938,1676689934.1039245,13000,0.0,200.0,0.549304723739624,,,,1.2039502507832369e-05,0.0,0.0007825000211596489,-4243.73046875,38992.95703125,none
39,39,29.733592748641968,1676689935.7472486,13500,0.0,200.0,0.5319689512252808,,,,3.136866507702507e-05,0.0,0.0007825000211596489,-4262.5908203125,42974.625,none
40,40,30.981302738189697,1676689936.9949586,13900,,,0.5180656909942627,454.0,248.2142791748047,34.20535659790039,0.001668455544859171,0.0,0.0007825000211596489,-4268.767578125,46285.55078125,none
41,41,31.349045515060425,1676689937.3627014,14000,0.0,200.0,0.5146332383155823,,,,2.13043786061462e-05,0.0,0.0007825000211596489,-4279.5419921875,47140.6875,none
42,42,32.980531454086304,1676689938.9941874,14500,0.0,200.0,0.4972974359989166,,,,0.0017878576181828976,0.0,0.0007825000211596489,-4278.00439453125,51517.859375,none
43,43,34.245376110076904,1676689940.259032,14900,,,0.48339414596557617,440.0,248.3333282470703,37.35833358764648,3.0059542041271925e-05,0.0,0.0007825000211596489,-4265.87939453125,55165.703125,none
44,44,34.610663652420044,1676689940.6243196,15000,0.0,200.0,0.47996169328689575,,,,1.966297350008972e-05,0.0,0.0007825000211596489,-4277.42041015625,56099.66015625,none
45,45,36.25562238693237,1676689942.2692783,15500,0.0,200.0,0.4626259207725525,,,,3.524158091749996e-05,0.0,0.0007825000211596489,-4291.5390625,60850.46484375,none
46,46,37.5053346157074,1676689943.5189905,15900,,,0.448722630739212,428.0,248.4375,39.7578125,0.0016864552162587645,0.0,0.0007825000211596489,-4276.314453125,64760.98828125,none
47,47,37.87806701660156,1676689943.891723,16000,0.0,200.0,0.4452901482582092,,,,3.577411189326085e-05,0.0,0.0007825000211596489,-4282.6328125,65754.9296875,none
48,48,39.52833580970764,1676689945.5419917,16500,0.0,200.0,0.427954375743866,,,,5.475091529660858e-05,0.0,0.0007825000211596489,-4291.205078125,70818.3046875,none
49,49,40.77655100822449,1676689946.790207,16900,,,0.4140510857105255,418.0,248.5294189453125,42.44852828979492,0.005064543802291155,0.0,0.0007825000211596489,-4280.71240234375,74972.59375,none
50,50,41.144922494888306,1676689947.1585784,17000,0.0,200.0,0.4106186032295227,,,,7.98545588622801e-05,0.0,0.0007825000211596489,-4289.23828125,76033.8046875,none
51,51,42.79856300354004,1676689948.812219,17500,0.0,200.0,0.39328286051750183,,,,5.210870313021587e-06,0.0,0.0007825000211596489,-4289.453125,81398.8046875,none
52,52,44.05914664268494,1676689950.0728023,17900,,,0.3793795704841614,409.0,248.61111450195312,44.69444274902344,7.144254141167039e-06,0.0,0.0007825000211596489,-4284.6806640625,85798.109375,none
53,53,44.43523669242859,1676689950.4488926,18000,0.0,200.0,0.37594708800315857,,,,1.65224373631645e-05,0.0,0.0007825000211596489,-4255.64990234375,86915.46875,none
54,54,46.10321807861328,1676689952.116874,18500,0.0,200.0,0.3586113154888153,,,,1.5980755051714368e-05,0.0,0.0007825000211596489,-4294.7197265625,92597.1640625,none
55,55,47.390456438064575,1676689953.4041123,18900,,,0.34470802545547485,402.0,248.6842041015625,47.77631759643555,5.2800318371737376e-05,0.0,0.0007825000211596489,-4308.88623046875,97278.7265625,none
56,56,47.76653861999512,1676689953.7801943,19000,0.0,200.0,0.34127554297447205,,,,4.197609086986631e-05,0.0,0.0007825000211596489,-4298.4501953125,98473.1328125,none
57,57,49.42983937263489,1676689955.4434953,19500,0.0,200.0,0.3239397704601288,,,,0.0003714049234986305,0.0,0.0007825000211596489,-4293.779296875,104457.6640625,none
58,58,50.720540285110474,1676689956.7341962,19900,,,0.3100365102291107,395.0,248.75,49.35625076293945,1.7535125152789988e-05,0.0,0.0007825000211596489,-4286.48046875,109314.4375,none
59,59,51.09444308280945,1676689957.108099,20000,0.0,200.0,0.3066040277481079,,,,1.6503012375324033e-05,0.0,0.0007825000211596489,-4264.580078125,110548.34375,none
60,60,52.74652814865112,1676689958.760184,20500,97.0,200.0,0.28926825523376465,,,,0.0014147803885862231,0.0,0.0007825000211596489,-4243.52685546875,116789.3984375,none
61,61,54.58087730407715,1676689960.5945332,20900,,,0.2753649652004242,385.0,248.8095245361328,51.5,0.001461417879909277,0.0,0.0007825000211596489,-4241.75390625,121859.3984375,none
62,62,54.951117277145386,1676689960.9647732,21000,96.5,200.0,0.2719324827194214,,,,0.003763981396332383,0.0,0.0007825000211596489,-4239.814453125,123146.8984375,none
63,63,56.58621525764465,1676689962.5998712,21500,0.0,200.0,0.2545967102050781,,,,2.1660605852957815e-05,0.0,0.0007825000211596489,-4248.83642578125,129664.75,none
64,64,57.90446662902832,1676689963.9181223,21900,,,0.2406934350728989,380.0,248.86363220214844,53.6761360168457,0.0014938274398446083,0.0,0.0007825000211596489,-4249.232421875,134973.546875,none
65,65,58.23724579811096,1676689964.2509017,22000,0.0,200.0,0.23726095259189608,,,,1.160777719633188e-05,0.0,0.0007825000211596489,-4243.3623046875,136315.4375,none
66,66,59.841835737228394,1676689965.8554916,22500,97.0,200.0,0.2199251800775528,,,,4.0231567254522815e-05,0.0,0.0007825000211596489,-4243.9111328125,143088.375,none
67,67,61.15195155143738,1676689967.1656077,22900,,,0.2060219049453735,376.0,248.9130401611328,55.4782600402832,2.7438522010925223e-05,0.0,0.0007825000211596489,-4241.1240234375,148581.34375,none
68,68,61.48248505592346,1676689967.496141,23000,0.0,200.0,0.20258942246437073,,,,0.0034787862095981836,0.0,0.0007825000211596489,-4245.3994140625,149968.3125,none
69,69,63.12617492675781,1676689969.1398308,23500,0.0,200.0,0.1852536499500275,,,,4.802334660780616e-05,0.0,0.0007825000211596489,-4255.08349609375,156962.125,none
70,70,64.4466712474823,1676689970.4603271,23900,,,0.171350359916687,373.0,248.9583282470703,57.65104293823242,2.089014924422372e-05,0.0,0.0007825000211596489,-4247.28515625,162649.734375,none
71,71,64.78226351737976,1676689970.7959194,24000,96.5,200.0,0.1679178774356842,,,,3.013961213582661e-05,0.0,0.0007825000211596489,-4231.8955078125,164091.015625,none
72,72,66.42682766914368,1676689972.4404836,24500,0.0,200.0,0.15058211982250214,,,,0.0014323126524686811,0.0,0.0007825000211596489,-4244.2978515625,171355.625,none
73,73,67.7750825881958,1676689973.7887385,24900,,,0.13667882978916168,369.0,249.0,59.20000076293945,0.003479767357930541,0.0,0.0007825000211596489,-4241.3798828125,177234.203125,none
74,74,68.11616444587708,1676689974.1298203,25000,97.0,200.0,0.13324634730815887,,,,4.728446583612822e-05,0.0,0.0007825000211596489,-4267.1591796875,178714.203125,none
75,75,69.7931456565857,1676689975.8068016,25500,0.0,200.0,0.1159105822443962,,,,0.002828720025718212,0.0,0.0007825000211596489,-4248.5263671875,186217.453125,none
76,76,71.10742139816284,1676689977.1210773,25900,,,0.10200729966163637,366.0,250.0,62.834999084472656,0.0034482977353036404,0.0,0.0007825000211596489,-4269.3486328125,192367.453125,none
77,77,71.43591570854187,1676689977.4495716,26000,0.0,200.0,0.09857481718063354,,,,2.1798527086502872e-05,0.0,0.0007825000211596489,-4247.51171875,193938.328125,none
78,78,73.08815097808838,1676689979.1018069,26500,0.0,200.0,0.08123905211687088,,,,0.007102673407644033,0.0,0.0007825000211596489,-4262.50390625,201880.578125,none
79,79,74.40494465827942,1676689980.4186006,26900,,,0.06733576953411102,363.0,250.0,65.75499725341797,1.9804489056696184e-05,0.0,0.0007825000211596489,-4262.462890625,208370.328125,none
80,80,74.74491906166077,1676689980.758575,27000,0.0,200.0,0.06390328705310822,,,,4.0269194869324565e-05,0.0,0.0007825000211596489,-4248.2900390625,210014.203125,none
81,81,76.42413067817688,1676689982.4377866,27500,0.0,200.0,0.05000000074505806,,,,3.295502028777264e-05,0.0,0.0007825000211596489,-4246.09423828125,218314.953125,none
82,82,77.75107526779175,1676689983.7647312,27900,,,0.05000000074505806,360.0,250.0,69.12000274658203,2.416013558104169e-05,0.0,0.0007825000211596489,-4224.26953125,225093.453125,none
