,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.7556097507476807,1676682304.7734797,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,4.643950700759888,1676682305.661821,900,,,0.9687955975532532,904.0,225.0,19.125,,,,,,none
2,2,4.718848705291748,1676682305.736719,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,4,4.85453200340271,1676682305.872402,1900,,,0.9341241121292114,1575.0,237.5,16.25,,,,,,none
4,5,4.928741931915283,1676682305.946612,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
5,6,5.037685871124268,1676682306.0555558,2500,0.0,200.0,0.913355827331543,,,,,,,,,none
6,7,5.077324628829956,1676682306.0951946,2900,,,0.8994525671005249,2030.0,241.6666717529297,14.0,,,,,,none
7,8,5.160001039505005,1676682306.177871,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
8,9,5.272262811660767,1676682306.2901328,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
9,10,5.309001922607422,1676682306.326872,3900,,,0.8647810220718384,2349.0,243.75,15.53125,,,,,,none
10,11,5.393986225128174,1676682306.4118562,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
11,12,5.506962060928345,1676682306.524832,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
12,13,5.539995193481445,1676682306.5578651,4900,,,0.8301094770431519,2590.0,245.0,15.425000190734863,,,,,,none
13,14,5.616493225097656,1676682306.6343632,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
14,16,6.6414361000061035,1676682307.659306,5900,,,0.7954379320144653,1971.0,245.8333282470703,15.458333015441896,8.97336212801747e-06,0.0,0.0007825000211596489,-1725.08349609375,3622.7763671875,none
15,17,6.818053483963013,1676682307.8359234,6000,0.0,200.0,0.7920054793357849,,,,1.3760862202616408e-05,0.0,0.0007825000211596489,-1731.0860595703125,4009.234619140625,none
16,18,7.406431436538696,1676682308.4243014,6500,0.0,200.0,0.7746697068214417,,,,6.533788564411225e-06,0.0,0.0007825000211596489,-1742.86328125,5893.86279296875,none
17,19,7.834401130676269,1676682308.852271,6900,,,0.7607664465904236,1648.0,246.42857360839844,14.571428298950195,7.074782388372114e-06,0.0,0.0007825000211596489,-1738.92822265625,7364.767578125,none
18,20,8.06507658958435,1676682309.0829463,7000,0.0,200.0,0.7573339343070984,,,,0.0004012359131593257,0.0,0.0007825000211596489,-1750.8226318359375,7729.05322265625,none
19,21,8.65958309173584,1676682309.677453,7500,0.0,200.0,0.7399981617927551,,,,1.5083377320479483e-06,0.0,0.0007825000211596489,-1741.2137451171875,9572.681640625,none
20,22,9.091400146484377,1676682310.10927,7900,,,0.7260949015617371,1451.0,246.875,13.71875,2.793735347950133e-06,0.0,0.0007825000211596489,-1720.1812744140625,11002.57421875,none
21,23,9.266938924789429,1676682310.2848089,8000,0.0,200.0,0.7226623892784119,,,,8.424171028309502e-06,0.0,0.0007825000211596489,-1719.579833984375,11345.54296875,none
22,24,9.882489681243896,1676682310.9003596,8500,0.0,200.0,0.7053266167640686,,,,1.9613814856711542e-06,0.0,0.0007825000211596489,-1731.7462158203125,13048.0029296875,none
23,25,10.314784526824951,1676682311.3326545,8900,,,0.6914233565330505,1335.0,247.22222900390625,13.80555534362793,1.112989502871642e-05,0.0,0.0007825000211596489,-1741.965576171875,14405.4189453125,none
24,27,11.122303009033203,1676682312.140173,9500,0.0,200.0,0.6706551313400269,,,,7.962641575431917e-06,0.0,0.0007825000211596489,-1712.31689453125,16469.1953125,none
