,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.7621893882751465,1676682596.9521463,500,0.0,200.0,0.982698917388916,,,,,,,,,none
1,1,4.655213356018066,1676682597.8451705,900,,,0.9687955975532532,896.0,225.0,18.5,,,,,,none
2,2,4.730114459991455,1676682597.9200714,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
3,3,4.8328752517700195,1676682598.0228322,1500,0.0,200.0,0.9480273723602296,,,,,,,,,none
4,4,4.865352392196655,1676682598.0553093,1900,,,0.9341241121292114,1564.0,237.5,19.3125,,,,,,none
5,5,4.959243535995483,1676682598.1492004,2000,0.0,200.0,0.9306915998458862,,,,,,,,,none
6,7,5.128495216369629,1676682598.318452,2900,,,0.8994525671005249,1962.0,241.6666717529297,24.54166603088379,,,,,,none
7,8,5.201520681381226,1676682598.3914776,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
8,9,5.303894996643066,1676682598.493852,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
9,10,5.336517333984375,1676682598.5264742,3900,,,0.8647810220718384,2314.0,243.75,25.65625,,,,,,none
10,11,5.409607648849487,1676682598.5995646,4000,0.0,200.0,0.861348569393158,,,,,,,,,none
11,12,5.512444734573364,1676682598.7024016,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
12,14,5.618593215942383,1676682598.80855,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
13,15,6.207786798477173,1676682599.3977437,5500,0.0,200.0,0.8093412518501282,,,,0.00025739852571859956,0.0,0.0007825000211596489,-1777.9356689453125,3053.399658203125,none
14,17,6.794924259185791,1676682599.9848812,6000,0.0,200.0,0.7920054793357849,,,,2.0519568352028728e-05,0.0,0.0007825000211596489,-1805.884765625,6255.00927734375,none
15,18,7.42974066734314,1676682600.6196976,6500,0.0,200.0,0.7746697068214417,,,,1.6531559595023282e-05,0.0,0.0007825000211596489,-1816.2122802734375,9536.3623046875,none
16,19,7.861064434051514,1676682601.051021,6900,,,0.7607664465904236,1639.0,246.42857360839844,25.821428298950195,0.0005321736098267138,0.0,0.0007825000211596489,-1800.0833740234375,12158.0859375,none
17,20,8.056296110153198,1676682601.246253,7000,0.0,200.0,0.7573339343070984,,,,5.513732958206674e-06,0.0,0.0007825000211596489,-1787.58935546875,12803.62109375,none
18,21,8.70133662223816,1676682601.8912935,7500,0.0,200.0,0.7399981617927551,,,,0.0005552793154492974,0.0,0.0007825000211596489,-1770.6953125,16026.0576171875,none
19,22,9.13449764251709,1676682602.3244543,7900,,,0.7260949015617371,1440.0,246.875,26.515625,1.5207371006908943e-06,0.0,0.0007825000211596489,-1794.4627685546875,18656.890625,none
20,23,9.309171199798584,1676682602.499128,8000,0.0,200.0,0.7226623892784119,,,,1.2453832596293068e-06,0.0,0.0007825000211596489,-1789.328125,19319.78125,none
21,24,9.922659635543823,1676682603.1126163,8500,0.0,200.0,0.7053266167640686,,,,9.994178071792703e-07,0.0,0.0007825000211596489,-1778.430908203125,22657.4609375,none
