,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,2,4.739496946334839,1676684741.251916,1000,0.0,200.0,0.9653631448745728,,,,,,,,,none
1,4,4.872773170471191,1676684741.3851922,1900,,,0.9341241121292114,1585.0,237.5,18.625,,,,,,none
2,7,5.087846994400024,1676684741.600266,2900,,,0.8994525671005249,2051.0,241.6666717529297,15.458333015441896,,,,,,none
3,8,5.1640849113464355,1676684741.676504,3000,0.0,200.0,0.8960200548171997,,,,,,,,,none
4,9,5.266616582870483,1676684741.7790356,3500,0.0,200.0,0.8786842823028564,,,,,,,,,none
5,10,5.2988808155059814,1676684741.8112998,3900,,,0.8647810220718384,2400.0,243.75,16.0,,,,,,none
6,12,5.482832431793213,1676684741.9952514,4500,0.0,200.0,0.8440127968788147,,,,,,,,,none
7,14,5.595754146575928,1676684742.1081731,5000,0.0,200.0,0.8266770243644714,,,,,,,,,none
8,15,6.183362245559692,1676684742.6957812,5500,0.0,200.0,0.8093412518501282,,,,0.00019202588009648025,0.0,0.0007825000211596489,-1749.1392822265625,1953.2762451171875,none
9,16,6.606810808181763,1676684743.1192298,5900,,,0.7954379320144653,2012.0,245.8333282470703,15.583333015441896,2.8179689252283424e-05,0.0,0.0007825000211596489,-1725.6573486328125,3460.34130859375,none
10,17,6.777485370635986,1676684743.2899044,6000,0.0,200.0,0.7920054793357849,,,,0.00045092636719346046,0.0,0.0007825000211596489,-1743.586181640625,3849.9248046875,none
11,18,7.41234016418457,1676684743.9247591,6500,0.0,200.0,0.7746697068214417,,,,5.741071163356537e-06,0.0,0.0007825000211596489,-1746.490478515625,5975.64892578125,none
12,19,7.83204984664917,1676684744.3444688,6900,,,0.7607664465904236,1659.0,246.42857360839844,19.10714340209961,4.663854269892909e-06,0.0,0.0007825000211596489,-1753.9093017578125,7763.50537109375,none
13,21,8.619814395904541,1676684745.1322334,7500,0.0,200.0,0.7399981617927551,,,,5.4979705055302475e-06,0.0,0.0007825000211596489,-1753.685791015625,10640.53515625,none
14,22,9.056154012680054,1676684745.568573,7900,,,0.7260949015617371,1468.0,246.875,19.40625,1.1798908872151517e-06,0.0,0.0007825000211596489,-1751.0101318359375,12547.7392578125,none
15,23,9.233466625213625,1676684745.7458856,8000,0.0,200.0,0.7226623892784119,,,,4.0676191019883845e-06,0.0,0.0007825000211596489,-1738.5546875,13032.8955078125,none
16,24,9.832033634185793,1676684746.3444526,8500,0.0,200.0,0.7053266167640686,,,,1.44291936976515e-06,0.0,0.0007825000211596489,-1736.9136962890625,15496.1337890625,none
17,25,10.266961336135864,1676684746.7793803,8900,,,0.6914233565330505,1350.0,247.22222900390625,20.41666603088379,1.8680997300180024e-06,0.0,0.0007825000211596489,-1747.3216552734375,17533.759765625,none
18,26,10.442362785339355,1676684746.9547818,9000,0.0,200.0,0.6879909038543701,,,,6.389504960679915e-07,0.0,0.0007825000211596489,-1754.2781982421875,18044.17578125,none
19,27,11.048039674758911,1676684747.560459,9500,0.0,200.0,0.6706551313400269,,,,5.791346211481141e-07,0.0,0.0007825000211596489,-1744.9180908203125,20629.06640625,none
20,28,11.480225563049316,1676684747.9926443,9900,,,0.656751811504364,1268.0,247.5,20.537500381469727,7.537575584137812e-06,0.0,0.0007825000211596489,-1766.7664794921875,22694.703125,none
21,29,11.659281253814695,1676684748.1717002,10000,0.0,200.0,0.6533193588256836,,,,6.54438167657645e-07,0.0,0.0007825000211596489,-1783.240478515625,23208.140625,none
22,30,12.28203010559082,1676684748.794449,10500,0.0,200.0,0.6359835863113403,,,,2.49279346462572e-05,0.0,0.0007825000211596489,-1734.5516357421875,25873.525390625,none
23,31,12.722616195678713,1676684749.2350352,10900,,,0.6220802664756775,1204.0,247.7272796630859,22.022727966308594,7.119974270608509e-06,0.0,0.0007825000211596489,-1724.6988525390625,28117.53125,none
24,33,13.511308908462524,1676684750.023728,11500,0.0,200.0,0.6013120412826538,,,,1.1571837603696622e-05,0.0,0.0007825000211596489,-1698.9263916015625,31372.533203125,none
25,34,14.011579513549805,1676684750.5239985,11900,,,0.5874087810516357,1151.0,247.9166717529297,21.16666603088379,4.3263707993901335e-06,0.0,0.0007825000211596489,-1709.273193359375,33456.64453125,none
26,35,14.200971841812134,1676684750.7133908,12000,0.0,200.0,0.5839762687683105,,,,1.7149857285403414e-06,0.0,0.0007825000211596489,-1724.3936767578125,33985.8125,none
27,36,14.827129125595093,1676684751.339548,12500,0.0,200.0,0.5666404962539673,,,,5.044361842010403e-06,0.0,0.0007825000211596489,-1705.349853515625,36639.05078125,none
28,37,15.278873682022097,1676684751.791293,12900,,,0.5527372360229492,1111.0,248.0769195556641,20.846153259277344,1.7675585695542395e-05,0.0,0.0007825000211596489,-1692.7564697265625,38750.796875,none
29,38,15.45864224433899,1676684751.9710612,13000,0.0,200.0,0.549304723739624,,,,4.863065441895742e-06,0.0,0.0007825000211596489,-1713.8028564453125,39271.953125,none
30,39,16.108051538467407,1676684752.6204703,13500,0.0,200.0,0.5319689512252808,,,,0.0016751181101426482,0.0,0.0007825000211596489,-1698.990234375,41901.3359375,none
31,40,16.556623458862305,1676684753.0690424,13900,,,0.5180656909942627,1079.0,248.2142791748047,21.14285659790039,1.441350377717754e-06,0.0,0.0007825000211596489,-1704.340087890625,44003.96875,none
32,41,16.745076894760132,1676684753.257496,14000,0.0,200.0,0.5146332383155823,,,,4.085197247150063e-07,0.0,0.0007825000211596489,-1698.6873779296875,44532.54296875,none
33,42,17.386741161346436,1676684753.89916,14500,0.0,200.0,0.4972974359989166,,,,1.059443093254231e-06,0.0,0.0007825000211596489,-1678.4427490234375,47217.7734375,none
34,43,17.845141410827637,1676684754.3575604,14900,,,0.48339414596557617,1051.0,248.3333282470703,20.74166679382324,2.596319063741248e-06,0.0,0.0007825000211596489,-1694.056640625,49345.28125,none
35,44,18.037365913391113,1676684754.549785,15000,0.0,200.0,0.47996169328689575,,,,6.343400400510291e-07,0.0,0.0007825000211596489,-1697.658935546875,49863.8203125,none
36,45,18.667240381240845,1676684755.1796594,15500,0.0,200.0,0.4626259207725525,,,,9.637493576519771e-07,0.0,0.0007825000211596489,-1678.902099609375,52422.80078125,none
37,46,19.137730598449707,1676684755.6501496,15900,,,0.448722630739212,1028.0,248.4375,19.4453125,7.757278581266291e-06,0.0,0.0007825000211596489,-1664.3587646484375,54414.12890625,none
38,47,19.325356483459473,1676684755.8377757,16000,0.0,200.0,0.4452901482582092,,,,2.391435373283457e-06,0.0,0.0007825000211596489,-1664.35986328125,54900.26171875,none
39,49,20.44352078437805,1676684756.9559398,16900,,,0.4140510857105255,1007.0,248.5294189453125,18.301469802856445,1.37661927510635e-05,0.0,0.0007825000211596489,-1695.5040283203125,59172.76953125,none
40,50,20.633195400238037,1676684757.1456144,17000,0.0,200.0,0.4106186032295227,,,,5.889407020731596e-06,0.0,0.0007825000211596489,-1658.40869140625,59630.30859375,none
