,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.5091416835784912,1676687645.4583826,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,1.1196346282958984,1676687646.0688756,900,,,0.9602325558662416,1244.0,225.0,17.625,,,,,,soft
2,2,1.2057278156280518,1676687646.1549687,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,1.3194937705993652,1676687646.2687347,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,1.3379547595977783,1676687646.2871957,1900,,,0.9160465002059937,2018.0,237.5,15.1875,,,,,,soft
5,5,1.4313013553619385,1676687646.3805425,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,6,1.542844533920288,1676687646.4920857,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
7,7,1.5614736080169678,1676687646.5107143,2900,,,0.8718604445457458,2489.0,241.6666717529297,20.08333396911621,,,,,,soft
8,8,1.655742883682251,1676687646.6049838,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
9,9,1.7666985988616943,1676687646.7159395,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
10,10,1.7852675914764404,1676687646.7345085,3900,,,0.827674388885498,2808.0,243.75,18.28125,,,,,,soft
11,11,1.878788948059082,1676687646.82803,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
12,12,1.990502119064331,1676687646.939743,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
13,13,2.008880376815796,1676687646.9581213,4900,,,0.783488392829895,3038.0,245.0,16.325000762939453,,,,,,soft
14,15,3.6761744022369385,1676687648.625415,5500,0.0,200.0,0.7570209503173828,,,,4.269678115844727,0.049722928553819656,0.0037320000119507313,-69.95559692382812,2002.8470458984375,soft
15,17,5.27286696434021,1676687650.222108,6000,0.0,200.0,0.7349278926849365,,,,5.375138759613037,0.06249566003680229,0.0037320000119507313,-82.38490295410156,3973.099853515625,soft
16,18,6.8573174476623535,1676687651.8065584,6500,0.0,200.0,0.712834894657135,,,,5.899616241455078,0.04481937363743782,0.0037320000119507313,-64.9498291015625,5844.7470703125,soft
17,20,8.465559244155884,1676687653.4148002,7000,0.0,200.0,0.6907418370246887,,,,5.177694797515869,0.11372289061546326,0.0037320000119507313,-112.0087890625,7576.49609375,soft
18,21,10.06494951248169,1676687655.0141904,7500,0.0,200.0,0.6686488389968872,,,,5.519197463989258,0.089237280189991,0.0037320000119507313,-100.40653228759766,9201.8837890625,soft
19,22,11.310066938400269,1676687656.259308,7900,,,0.6509302258491516,723.0,246.875,11.765625,4.293704032897949,0.0656556710600853,0.0037320000119507313,-81.16290283203125,10436.6416015625,soft
