,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.514167070388794,1676689498.290942,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,2,1.1187551021575928,1676689498.89553,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
2,3,1.2370316982269287,1676689499.0138066,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
3,4,1.257019281387329,1676689499.0337942,1900,,,0.9160465002059937,2229.0,237.5,13.875,,,,,,soft
4,5,1.3570847511291504,1676689499.1338596,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
5,6,1.4737541675567627,1676689499.250529,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
6,7,1.4924108982086182,1676689499.2691858,2900,,,0.8718604445457458,2666.0,241.6666717529297,13.583333015441896,,,,,,soft
7,8,1.5910890102386477,1676689499.367864,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
8,9,1.7094087600708008,1676689499.4861836,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
9,10,1.7284574508666992,1676689499.5052323,3900,,,0.827674388885498,2946.0,243.75,14.40625,,,,,,soft
10,11,1.8270626068115232,1676689499.6038375,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
11,12,1.935532569885254,1676689499.7123077,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
12,13,1.954392433166504,1676689499.7311673,4900,,,0.783488392829895,3162.0,245.0,15.425000190734863,,,,,,soft
13,14,2.0535714626312256,1676689499.8303463,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
14,15,3.699444055557251,1676689501.476219,5500,0.0,200.0,0.7570209503173828,,,,4.386563777923584,0.06274651736021042,0.0037320000119507313,-77.81420135498047,2161.155029296875,soft
15,16,5.044710636138916,1676689502.8214855,5900,,,0.7393023371696472,1271.0,245.8333282470703,23.33333396911621,5.376495361328125,0.0427369512617588,0.0037320000119507313,-62.28848648071289,4256.8564453125,soft
