,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.4766559600830078,1676684689.664463,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,0.9543559551239014,1676684690.142163,900,,,0.9602325558662416,1556.0,225.0,10.875,,,,,,soft
2,2,1.057187557220459,1676684690.2449946,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,1.1561801433563232,1676684690.3439872,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,6,1.3459410667419434,1676684690.533748,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
5,7,1.36588716506958,1676684690.5536942,2900,,,0.8718604445457458,2929.0,241.6666717529297,8.416666984558105,,,,,,soft
6,8,1.4411673545837402,1676684690.6289744,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
7,9,1.6948506832122805,1676684690.8826578,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
8,10,1.715057373046875,1676684690.9028645,3900,,,0.827674388885498,2912.0,243.75,8.4375,,,,,,soft
9,11,2.180772542953491,1676684691.3685796,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
10,12,2.3385565280914307,1676684691.5263636,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
11,13,2.3583028316497803,1676684691.54611,4900,,,0.783488392829895,2471.0,245.0,9.225000381469728,,,,,,soft
12,14,2.44209623336792,1676684691.6299033,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
13,15,3.918097496032715,1676684693.1059046,5500,0.0,200.0,0.7570209503173828,,,,4.831327438354492,0.04225817322731018,0.0037320000119507313,-66.61125183105469,1183.978515625,soft
14,16,5.162367105484009,1676684694.3501742,5900,,,0.7393023371696472,1232.0,245.8333282470703,8.854166984558105,5.183774948120117,0.03490448370575905,0.0037320000119507313,-57.46495056152344,2128.8896484375,soft
