,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.772322416305542,1676681722.1468613,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,4.67449426651001,1676681723.0490332,900,,,0.9602325558662416,891.0,225.0,14.875,,,,,,soft
2,2,4.751786708831787,1676681723.1263256,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,4.855557441711426,1676681723.2300963,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,4.887960910797119,1676681723.2624998,1900,,,0.9160465002059937,1553.0,237.5,16.8125,,,,,,soft
5,5,4.964582681655884,1676681723.3391216,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,6,5.072531223297119,1676681723.44707,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
7,7,5.105343341827393,1676681723.4798822,2900,,,0.8718604445457458,2013.0,241.6666717529297,16.79166603088379,,,,,,soft
8,8,5.184048891067505,1676681723.5585878,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
9,10,5.324871301651001,1676681723.6994102,3900,,,0.827674388885498,2349.0,243.75,18.65625,,,,,,soft
10,11,5.399357795715332,1676681723.7738967,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
11,12,5.503525018692017,1676681723.878064,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
12,14,5.61890721321106,1676681723.993446,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
13,15,6.268294334411621,1676681724.6428332,5500,0.0,200.0,0.7570209503173828,,,,1.642806887626648,0.05799334496259689,0.0037320000119507313,-78.50833129882812,2548.166015625,soft
14,17,6.922258615493774,1676681725.2967975,6000,0.0,200.0,0.7349278926849365,,,,1.5108017921447754,0.0306905098259449,0.0037320000119507313,-52.47593688964844,5408.376953125,soft
15,19,8.109424352645874,1676681726.4839633,6900,,,0.6951162815093994,1552.0,246.42857360839844,30.785715103149418,1.790469765663147,0.052297454327344894,0.0037320000119507313,-72.36750793457031,11399.509765625,soft
16,20,8.300930738449097,1676681726.6754696,7000,0.0,200.0,0.6907418370246887,,,,2.078909397125244,0.05675517022609711,0.0037320000119507313,-75.38472747802734,12169.15234375,soft
17,21,8.982212543487549,1676681727.3567514,7500,0.0,200.0,0.6686488389968872,,,,2.4162023067474365,0.07581739127635956,0.0037320000119507313,-86.59164428710938,16208.4384765625,soft
18,22,9.464731454849243,1676681727.8392704,7900,,,0.6509302258491516,1362.0,246.875,37.6875,2.533085346221924,0.08995628356933594,0.0037320000119507313,-93.35446166992188,19717.30859375,soft
19,23,9.662749290466309,1676681728.0372882,8000,0.0,200.0,0.6465558409690857,,,,2.596385955810547,0.06266205757856369,0.0037320000119507313,-77.90253448486328,20659.49609375,soft
20,24,10.341758012771606,1676681728.716297,8500,0.0,200.0,0.6244627833366394,,,,2.5574662685394287,0.09048791229724884,0.0037320000119507313,-96.99432373046876,25526.1015625,soft
21,25,10.821725130081177,1676681729.196264,8900,,,0.6067441701889038,1243.0,247.22222900390625,42.77777862548828,2.496968984603882,0.08364409953355789,0.0037320000119507313,-90.65184020996094,29612.46875,soft
22,26,11.029192209243774,1676681729.403731,9000,0.0,200.0,0.6023697853088379,,,,2.492473840713501,0.099662147462368,0.0037320000119507313,-103.23473358154295,30681.912109375,soft
23,27,11.70785427093506,1676681730.0823932,9500,0.0,200.0,0.5802767276763916,,,,2.750577926635742,0.07840312272310257,0.0037320000119507313,-89.04354858398438,36145.54296875,soft
24,29,12.397595405578612,1676681730.7721343,10000,0.0,200.0,0.5581837296485901,,,,2.8255085945129395,0.07940944284200668,0.0037320000119507313,-90.38020324707033,41915.2890625,soft
25,30,13.091618776321411,1676681731.4661577,10500,0.0,200.0,0.5360906720161438,,,,0.054156821221113205,0.006947060115635395,0.0037320000119507313,-15.665505409240724,47919.98046875,soft
26,31,13.58623743057251,1676681731.9607763,10900,,,0.518372118473053,1098.0,247.7272796630859,50.09090805053711,0.060149554163217545,0.008542717434465885,0.0037320000119507313,-18.726720809936523,52838.84765625,soft
27,33,15.407639980316162,1676681733.7821789,11500,97.0,200.0,0.4919046461582184,,,,0.015826880931854248,0.006138613447546959,0.0037320000119507313,-13.035040855407717,60467.07421875,soft
28,34,15.93300461769104,1676681734.3075435,11900,,,0.4741860330104828,970.0,247.9166717529297,53.75,0.016126174479722977,0.006222805939614773,0.0037320000119507313,-11.87832736968994,65729.2734375,soft
29,35,16.131877660751343,1676681734.5064166,12000,97.0,200.0,0.4698116183280945,,,,0.015561407431960106,0.003670466598123312,0.0037320000119507313,-8.693000793457031,67073.0234375,soft
30,36,16.832120418548584,1676681735.2066593,12500,97.0,200.0,0.4477185904979706,,,,0.01655573770403862,0.0067161559127271175,0.0037320000119507313,-16.36793327331543,73884.1953125,soft
31,37,17.33676028251648,1676681735.7112992,12900,,,0.4300000071525574,943.0,248.0769195556641,56.653846740722656,0.02540549449622631,0.0051821195520460606,0.0037320000119507313,-10.347578048706056,79447.5390625,soft
32,38,17.5384738445282,1676681735.9130127,13000,97.0,200.0,0.42562559247016907,,,,0.012288670055568218,0.002439535455778241,0.0037320000119507313,-6.0901007652282715,80863.8828125,soft
33,39,18.256479501724243,1676681736.6310184,13500,97.0,200.0,0.4035325646400452,,,,0.018842706456780434,0.005602347664535046,0.0037320000119507313,-11.034196853637695,88050.671875,soft
34,40,18.767493963241577,1676681737.1420329,13900,,,0.3858139514923096,920.0,248.2142791748047,59.9375,0.012763302773237228,0.005886675324290991,0.0037320000119507313,-12.698301315307615,93943.6875,soft
35,41,18.96965789794922,1676681737.3441968,14000,97.0,200.0,0.38143953680992126,,,,0.01914750784635544,0.002628829330205918,0.0037320000119507313,-7.198334693908691,95442.125,soft
36,42,19.674061059951782,1676681738.0486,14500,97.0,200.0,0.35934650897979736,,,,0.013054398819804192,0.007337629329413176,0.0037320000119507313,-13.039427757263184,103041.75,soft
37,43,20.2080397605896,1676681738.582579,14900,,,0.34162789583206177,900.0,248.3333282470703,63.09166717529297,0.012335451319813728,0.003776638535782695,0.0037320000119507313,-7.880512237548828,109262.703125,soft
38,44,20.41994833946228,1676681738.7944872,15000,97.0,200.0,0.33725348114967346,,,,0.00958743691444397,0.005325608421117067,0.0037320000119507313,-12.385589599609377,110839.9921875,soft
39,45,21.135963678359985,1676681739.5105026,15500,97.0,200.0,0.31516045331954956,,,,0.01079121883958578,0.005014123860746622,0.0037320000119507313,-11.059449195861816,118813.421875,soft
40,46,21.655035734176636,1676681740.0295746,15900,,,0.29744186997413635,883.0,248.4375,65.7109375,0.022369906306266785,0.004784297198057175,0.0037320000119507313,-10.064014434814451,125311.0546875,soft
41,47,21.86300301551819,1676681740.237542,16000,97.0,200.0,0.29306745529174805,,,,0.0102845449000597,0.00422915443778038,0.0037320000119507313,-9.38284397125244,126953.828125,soft
42,50,23.34306263923645,1676681741.7176015,17000,97.0,200.0,0.24888139963150024,,,,0.010159863159060478,0.004439643118530512,0.0037320000119507313,-9.53826141357422,143676.140625,soft
43,51,24.09533452987671,1676681742.4698734,17500,97.0,200.0,0.22678837180137632,,,,0.009507372975349426,0.0042176153510808945,0.0037320000119507313,-7.330992698669434,152276.109375,soft
44,52,24.63998556137085,1676681743.0145245,17900,,,0.2090697735548019,853.0,248.61111450195312,70.61805725097656,0.010779901407659054,0.0028655242640525103,0.0037320000119507313,-7.237753391265869,159264.796875,soft
45,53,24.860913515090942,1676681743.2354524,18000,97.0,200.0,0.20469534397125244,,,,0.010982890613377094,0.004734830465167761,0.0037320000119507313,-9.729532241821287,161030.25,soft
46,54,25.619381189346313,1676681743.99392,18500,97.0,200.0,0.1826023310422897,,,,0.00882427766919136,0.003897914895787835,0.0037320000119507313,-7.905484676361084,169928.875,soft
47,55,26.218168258666992,1676681744.5927072,18900,,,0.16488371789455414,838.0,248.6842041015625,72.85526275634766,0.01790768653154373,0.003635282861068845,0.0037320000119507313,-6.896634578704834,177147.71875,soft
48,56,26.4276762008667,1676681744.802215,19000,97.0,200.0,0.16050930321216583,,,,0.012426462024450302,0.007335770409554243,0.0037320000119507313,-14.430191040039062,178969.09375,soft
49,57,27.189119338989254,1676681745.5636582,19500,97.0,200.0,0.13841627538204193,,,,0.017361529171466827,0.002635795855894685,0.0037320000119507313,-6.026266098022461,188145.0,soft
50,58,27.73413777351379,1676681746.108677,19900,,,0.12069767713546752,826.0,248.75,74.96875,0.00917357113212347,0.005591016728430986,0.0037320000119507313,-10.74178695678711,195579.453125,soft
51,59,27.95065450668335,1676681746.3251934,20000,97.0,200.0,0.11632325500249864,,,,0.01836538501083851,0.0036705522798001766,0.0037320000119507313,-8.865124702453613,197453.671875,soft
52,60,28.717684507369995,1676681747.0922234,20500,97.0,200.0,0.09423023462295532,,,,0.008902865462005138,6.973943527555093e-05,0.0037320000119507313,-0.7198715209960938,206890.84375,soft
