,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.79796838760376,1676685379.5202675,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,4.716132164001465,1676685380.4384313,900,,,0.9602325558662416,877.0,225.0,21.875,,,,,,soft
2,2,4.790069103240967,1676685380.5123682,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,4.8903868198394775,1676685380.612686,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,4.92237663269043,1676685380.6446755,1900,,,0.9160465002059937,1541.0,237.5,12.75,,,,,,soft
5,5,4.995032787322998,1676685380.717332,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,6,5.096722841262817,1676685380.819022,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
7,7,5.1287360191345215,1676685380.851035,2900,,,0.8718604445457458,2015.0,241.6666717529297,15.208333015441896,,,,,,soft
8,8,5.203617334365845,1676685380.9259164,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
9,9,5.30738377571106,1676685381.0296829,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
10,10,5.338927745819092,1676685381.0612268,3900,,,0.827674388885498,2365.0,243.75,17.09375,,,,,,soft
11,11,5.411370515823364,1676685381.1336696,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
12,12,5.512744426727295,1676685381.2350435,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
13,13,5.544947147369385,1676685381.2672462,4900,,,0.783488392829895,2641.0,245.0,17.149999618530273,,,,,,soft
14,14,5.621342658996582,1676685381.3436418,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
15,15,6.262613773345947,1676685381.9849129,5500,0.0,200.0,0.7570209503173828,,,,1.747325778007507,0.0458318255841732,0.0037320000119507313,-69.3360366821289,2342.92041015625,soft
16,16,6.724935531616211,1676685382.4472346,5900,,,0.7393023371696472,1944.0,245.8333282470703,23.375,1.73223876953125,0.030848300084471703,0.0037320000119507313,-53.3040771484375,4557.7919921875,soft
17,17,6.909249544143677,1676685382.6315486,6000,0.0,200.0,0.7349278926849365,,,,1.913225531578064,0.05157892405986786,0.0037320000119507313,-73.20124816894531,5142.1669921875,soft
18,18,7.595052719116211,1676685383.3173518,6500,0.0,200.0,0.712834894657135,,,,2.2214083671569824,0.0848022848367691,0.0037320000119507313,-91.75202941894533,8272.8974609375,soft
19,20,8.241772890090942,1676685383.964072,7000,0.0,200.0,0.6907418370246887,,,,1.8487738370895384,0.06839486211538315,0.0037320000119507313,-81.9150390625,11688.7900390625,soft
20,22,9.369322061538696,1676685385.0916212,7900,,,0.6509302258491516,1391.0,246.875,32.765625,2.4598376750946045,0.06850998103618622,0.0037320000119507313,-81.59800720214844,18649.111328125,soft
