,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.5982246398925781,1676687189.3617697,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,1.0712552070617676,1676687189.8348002,900,,,0.9602325558662416,1574.0,225.0,14.875,,,,,,soft
2,2,1.1465556621551514,1676687189.9101007,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,1.2422096729278564,1676687190.0057547,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,5,1.333155632019043,1676687190.096701,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
5,6,1.4204671382904053,1676687190.1840122,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
6,7,1.438607692718506,1676687190.2021527,2900,,,0.8718604445457458,3088.0,241.6666717529297,18.625,,,,,,soft
7,8,1.5108120441436768,1676687190.274357,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
8,9,1.600097894668579,1676687190.363643,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
9,10,1.6179039478302002,1676687190.381449,3900,,,0.827674388885498,3487.0,243.75,20.75,,,,,,soft
10,11,1.6949658393859863,1676687190.4585109,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
11,12,1.7852632999420166,1676687190.5488083,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
12,13,1.803474187850952,1676687190.5670192,4900,,,0.783488392829895,3757.0,245.0,20.125,,,,,,soft
13,15,2.595125198364258,1676687191.3586702,5500,0.0,200.0,0.7570209503173828,,,,4.057138919830322,0.05331025645136833,0.0037320000119507313,-73.06974029541016,2551.357666015625,soft
14,16,3.146545171737671,1676687191.9100902,5900,,,0.7393023371696472,2229.0,245.8333282470703,25.85416603088379,4.471975326538086,0.03859378769993782,0.0037320000119507313,-57.398345947265625,4859.4111328125,soft
15,18,4.0407891273498535,1676687192.8043342,6500,0.0,200.0,0.712834894657135,,,,4.914252281188965,0.03425627201795578,0.0037320000119507313,-52.0494499206543,8894.26171875,soft
16,19,4.5922698974609375,1676687193.355815,6900,,,0.6951162815093994,1686.0,246.42857360839844,32.05356979370117,5.667690277099609,0.09757516533136368,0.0037320000119507313,-100.0415496826172,11869.6533203125,soft
17,20,4.766247510910034,1676687193.5297923,7000,0.0,200.0,0.6907418370246887,,,,5.692325592041016,0.05549724027514458,0.0037320000119507313,-71.74311828613281,12670.9931640625,soft
18,21,5.489521026611328,1676687194.253066,7500,0.0,200.0,0.6686488389968872,,,,6.1617913246154785,0.07432181388139725,0.0037320000119507313,-85.81001281738281,16844.447265625,soft
19,23,6.216472148895264,1676687194.9800172,8000,0.0,200.0,0.6465558409690857,,,,5.859002113342285,0.0792890265583992,0.0037320000119507313,-83.72189331054688,21364.37109375,soft
20,25,7.499194383621216,1676687196.2627394,8900,,,0.6067441701889038,1271.0,247.22222900390625,40.44444274902344,6.188305854797363,0.046820614486932755,0.0037320000119507313,-63.28886032104492,29995.759765625,soft
21,26,7.674221038818359,1676687196.437766,9000,0.0,200.0,0.6023697853088379,,,,5.870448112487793,0.05731474608182907,0.0037320000119507313,-73.13310241699219,31006.87109375,soft
