,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.0320658683776855,1676684353.1813238,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,7.843721866607666,1676684354.9929798,900,,,0.9602325558662416,429.0,225.0,9.125,,,,,,soft
2,2,8.02312684059143,1676684355.1723847,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,8.302762031555176,1676684355.45202,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,8.408794641494751,1676684355.5580523,1900,,,0.9160465002059937,714.0,237.5,11.3125,,,,,,soft
5,5,8.59433889389038,1676684355.7435968,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,6,8.875251531600952,1676684356.0245094,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
7,7,8.986185312271118,1676684356.1354432,2900,,,0.8718604445457458,895.0,241.6666717529297,10.958333015441896,,,,,,soft
8,8,9.164320945739746,1676684356.3135788,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
9,9,9.441449880599976,1676684356.5907078,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
10,10,9.557766199111938,1676684356.707024,3900,,,0.827674388885498,1023.0,243.75,11.71875,,,,,,soft
11,11,9.73772406578064,1676684356.886982,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
12,12,10.015037298202516,1676684357.1642952,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
13,14,10.302566051483154,1676684357.451824,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
14,15,12.745380401611328,1676684359.8946383,5500,0.0,200.0,0.7570209503173828,,,,2.0768802165985107,0.04828675091266632,0.0037320000119507313,-71.16403198242188,1429.0750732421875,soft
15,16,14.326992273330688,1676684361.4762502,5900,,,0.7393023371696472,687.0,245.8333282470703,10.166666984558104,2.0095772743225098,0.04133008420467377,0.0037320000119507313,-65.04096984863281,2514.055419921875,soft
16,17,14.914435148239136,1676684362.063693,6000,0.0,200.0,0.7349278926849365,,,,1.9691113233566284,0.05664363130927086,0.0037320000119507313,-76.81671142578125,2768.221923828125,soft
17,18,17.08586025238037,1676684364.2351182,6500,0.0,200.0,0.712834894657135,,,,1.692252516746521,0.0719214379787445,0.0037320000119507313,-88.49171447753906,3999.170654296875,soft
18,21,21.516738414764404,1676684368.6659963,7500,0.0,200.0,0.6686488389968872,,,,2.0009922981262207,0.06515439599752426,0.0037320000119507313,-84.63703155517578,6209.3564453125,soft
19,22,23.12593913078308,1676684370.275197,7900,,,0.6509302258491516,454.0,246.875,7.9375,2.3192503452301025,0.0875203013420105,0.0037320000119507313,-99.3852310180664,7024.32958984375,soft
20,23,23.73682451248169,1676684370.8860824,8000,0.0,200.0,0.6465558409690857,,,,1.978187918663025,0.06799276173114777,0.0037320000119507313,-86.27627563476562,7222.76708984375,soft
21,24,26.022430181503296,1676684373.171688,8500,0.0,200.0,0.6244627833366394,,,,2.2310280799865723,0.058792389929294586,0.0037320000119507313,-81.90467071533203,8199.34375,soft
22,25,27.69139575958252,1676684374.8406537,8900,,,0.6067441701889038,405.0,247.22222900390625,7.361111164093018,2.369767904281616,0.06857147067785263,0.0037320000119507313,-85.9214096069336,8967.62109375,soft
23,26,28.28970098495483,1676684375.438959,9000,0.0,200.0,0.6023697853088379,,,,2.107793092727661,0.08836390823125839,0.0037320000119507313,-97.3550796508789,9151.6484375,soft
24,27,30.639257431030273,1676684377.788515,9500,0.0,200.0,0.5802767276763916,,,,1.968954086303711,0.048256561160087585,0.0037320000119507313,-70.76007080078125,10052.154296875,soft
25,29,32.9418306350708,1676684380.0910883,10000,0.0,200.0,0.5581837296485901,,,,2.188377141952514,0.058471523225307465,0.0037320000119507313,-77.4056396484375,10906.20703125,soft
26,31,38.65750360488891,1676684385.8067615,10900,,,0.518372118473053,331.0,247.7272796630859,13.465909004211426,0.01818089559674263,0.0006723063997924328,0.0037320000119507313,-2.701803207397461,12886.830078125,soft
27,32,39.282015800476074,1676684386.4312737,11000,97.0,200.0,0.5139976739883423,,,,0.013675833120942116,0.0006474067340604961,0.0037320000119507313,-2.0598440170288086,13223.4775390625,soft
28,33,41.584110260009766,1676684388.7333682,11500,97.0,200.0,0.4919046461582184,,,,0.023161496967077255,0.00026408792473375797,0.0037320000119507313,-1.8058099746704104,15121.1083984375,soft
29,34,43.29630661010742,1676684390.4455645,11900,,,0.4741860330104828,316.0,247.9166717529297,20.11458396911621,0.008826954290270805,0.0005688463570550084,0.0037320000119507313,-1.6538143157958984,16926.103515625,soft
30,36,46.25585460662842,1676684393.4051125,12500,97.0,200.0,0.4477185904979706,,,,0.01232580468058586,0.0004054938908666372,0.0037320000119507313,-1.6444740295410156,20119.779296875,soft
31,37,47.98551154136658,1676684395.1347694,12900,,,0.4300000071525574,305.0,248.0769195556641,26.009614944458008,0.02681918442249298,0.0008214708068408072,0.0037320000119507313,-2.721423625946045,22530.30859375,soft
32,38,48.59246635437012,1676684395.7417245,13000,97.0,200.0,0.42562559247016907,,,,0.002413471695035696,0.000660381221678108,0.0037320000119507313,-2.4740939140319824,23180.548828125,soft
33,39,50.99014925956726,1676684398.1394072,13500,97.0,200.0,0.4035325646400452,,,,0.006267013493925333,0.0008276209118776023,0.0037320000119507313,-2.5114006996154785,26585.4765625,soft
34,41,53.37845587730408,1676684400.5277138,14000,97.0,200.0,0.38143953680992126,,,,0.012053065001964567,0.00044756181887350976,0.0037320000119507313,-1.7889103889465332,30294.8828125,soft
35,42,55.75166845321655,1676684402.9009264,14500,97.0,200.0,0.35934650897979736,,,,0.002870981814339757,0.0008151807705871761,0.0037320000119507313,-2.7461585998535156,34294.24609375,soft
36,43,57.51408791542053,1676684404.6633458,14900,,,0.34162789583206177,287.0,248.3333282470703,35.55833435058594,0.010995055548846722,0.0004520336806308478,0.0037320000119507313,-2.2596683502197266,37697.51953125,soft
37,44,58.13783049583435,1676684405.2870884,15000,97.0,200.0,0.33725348114967346,,,,0.003221545135602355,0.0008734242874197662,0.0037320000119507313,-2.8655004501342773,38586.4765625,soft
38,45,60.52024555206299,1676684407.6695037,15500,97.0,200.0,0.31516045331954956,,,,0.00979376584291458,0.00046933681005612016,0.0037320000119507313,-1.7412376403808594,43159.15625,soft
39,46,62.288878440856934,1676684409.4381363,15900,,,0.29744186997413635,281.0,248.4375,39.7265625,0.002093974035233259,0.001251123379915953,0.0037320000119507313,-3.1607394218444824,47001.4375,soft
40,47,62.90806031227112,1676684410.0573182,16000,97.0,200.0,0.29306745529174805,,,,0.010107466019690037,0.0007149556186050177,0.0037320000119507313,-2.330267906188965,47994.6015625,soft
41,48,65.29104828834534,1676684412.4403062,16500,97.0,200.0,0.27097442746162415,,,,0.0008493324276059866,0.0003999605542048812,0.0037320000119507313,-1.5677423477172852,53080.06640625,soft
42,49,67.0529944896698,1676684414.2022524,16900,,,0.25325581431388855,275.0,248.5294189453125,43.58088302612305,0.0013074385933578014,0.0003744014538824558,0.0037320000119507313,-1.3161029815673828,57315.328125,soft
43,51,70.0515661239624,1676684417.200824,17500,97.0,200.0,0.22678837180137632,,,,0.0027295376639813185,0.0008936582016758621,0.0037320000119507313,-2.222108840942383,63949.0078125,soft
44,53,72.53951597213745,1676684419.688774,18000,97.0,200.0,0.20469534397125244,,,,0.0020189329516142607,0.0007912020082585514,0.0037320000119507313,-2.1084046363830566,69714.5,soft
