,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.033773183822632,1676683349.678594,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,7.837752342224121,1676683351.4825733,900,,,0.9602325558662416,431.0,225.0,5.0,,,,,,soft
2,2,8.01984715461731,1676683351.664668,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,8.30598759651184,1676683351.9508083,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,5,8.593846082687378,1676683352.238667,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
5,6,8.874688386917114,1676683352.5195093,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
6,7,8.98711895942688,1676683352.63194,2900,,,0.8718604445457458,895.0,241.6666717529297,15.708333015441896,,,,,,soft
7,8,9.174761533737184,1676683352.8195825,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
8,9,9.454850673675535,1676683353.0996716,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
9,12,10.02915096282959,1676683353.673972,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
10,13,10.1384174823761,1676683353.7832384,4900,,,0.783488392829895,1116.0,245.0,15.175000190734863,,,,,,soft
11,14,10.320069074630736,1676683353.96489,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
12,15,12.820743799209597,1676683356.4655647,5500,0.0,200.0,0.7570209503173828,,,,1.9329911470413208,0.03933023661375046,0.0037320000119507313,-64.91973876953125,2149.608642578125,soft
13,16,14.44390106201172,1676683358.088722,5900,,,0.7393023371696472,678.0,245.8333282470703,23.35416603088379,1.8425496816635132,0.06482374668121338,0.0037320000119507313,-80.970458984375,4201.63427734375,soft
14,18,17.21993112564087,1676683360.864752,6500,0.0,200.0,0.712834894657135,,,,2.047051429748535,0.05914541706442833,0.0037320000119507313,-77.53296661376953,7898.7353515625,soft
15,20,19.42551112174988,1676683363.070332,7000,0.0,200.0,0.6907418370246887,,,,2.123156785964966,0.07613663375377655,0.0037320000119507313,-87.03675079345703,11409.361328125,soft
16,21,21.679306507110596,1676683365.3241274,7500,0.0,200.0,0.6686488389968872,,,,2.1134252548217773,0.061073899269104,0.0037320000119507313,-79.28739929199219,15251.8701171875,soft
17,22,23.323803663253784,1676683366.9686246,7900,,,0.6509302258491516,449.0,246.875,33.46875,2.598635673522949,0.07518915832042694,0.0037320000119507313,-85.85579681396484,18467.326171875,soft
18,23,23.934340476989743,1676683367.5791614,8000,0.0,200.0,0.6465558409690857,,,,2.5722861289978027,0.0771605521440506,0.0037320000119507313,-90.30561065673828,19304.044921875,soft
19,24,26.3281466960907,1676683369.9729676,8500,0.0,200.0,0.6244627833366394,,,,2.468595504760742,0.07610242813825607,0.0037320000119507313,-84.8750228881836,23677.015625,soft
20,25,28.030009508132935,1676683371.6748304,8900,,,0.6067441701889038,399.0,247.22222900390625,39.70833206176758,2.6202659606933594,0.07671605795621872,0.0037320000119507313,-89.06749725341797,27449.326171875,soft
21,26,28.647927045822144,1676683372.292748,9000,0.0,200.0,0.6023697853088379,,,,2.5930733680725098,0.07259548455476761,0.0037320000119507313,-87.58088684082031,28442.03515625,soft
22,28,32.72679615020752,1676683376.371617,9900,,,0.562558114528656,367.0,247.5,43.73749923706055,2.9526712894439697,0.10380172729492188,0.0037320000119507313,-103.94895935058594,37768.95703125,soft
23,29,33.36172151565552,1676683377.0065424,10000,0.0,200.0,0.5581837296485901,,,,2.870479106903076,0.1340854912996292,0.0037320000119507313,-119.46330261230467,38862.39453125,soft
24,31,37.419883251190186,1676683381.0647042,10900,,,0.518372118473053,344.0,247.7272796630859,48.477272033691406,0.04480086266994476,0.013768150471150877,0.0037320000119507313,-27.246585845947266,49191.8671875,soft
25,32,38.02532148361206,1676683381.6701424,11000,97.0,200.0,0.5139976739883423,,,,0.03778785839676857,0.010708914138376713,0.0037320000119507313,-21.533082962036133,50403.80078125,soft
26,34,43.78829717636109,1676683387.433118,11900,,,0.4741860330104828,312.0,247.9166717529297,52.92708206176758,0.02566460892558098,0.008540603332221508,0.0037320000119507313,-15.646832466125488,61740.09765625,soft
27,35,44.41768407821655,1676683388.062505,12000,97.0,200.0,0.4698116183280945,,,,0.02719292975962162,0.006378303747624159,0.0037320000119507313,-12.773998260498049,63063.2734375,soft
28,36,46.77634310722351,1676683390.421164,12500,97.0,200.0,0.4477185904979706,,,,0.020272504538297653,0.010017168708145618,0.0037320000119507313,-18.671955108642575,69781.578125,soft
29,38,49.177045583724976,1676683392.8218665,13000,97.0,200.0,0.42562559247016907,,,,0.019913392141461372,0.007999638095498085,0.0037320000119507313,-14.74989891052246,76694.2421875,soft
30,39,51.5686457157135,1676683395.2134666,13500,97.0,200.0,0.4035325646400452,,,,0.0283688735216856,0.011505665257573128,0.0037320000119507313,-20.634532928466797,83794.828125,soft
31,40,53.354596853256226,1676683396.9994178,13900,,,0.3858139514923096,291.0,248.2142791748047,59.00893020629883,0.018980618566274643,0.009330778382718565,0.0037320000119507313,-17.349319458007812,89601.1796875,soft
32,42,56.42799949645996,1676683400.0728204,14500,97.0,200.0,0.35934650897979736,,,,0.023986950516700745,0.016275297850370407,0.0037320000119507313,-26.654956817626953,98543.9296875,soft
33,43,58.226560831069946,1676683401.8713818,14900,,,0.34162789583206177,283.0,248.3333282470703,62.07500076293945,0.029286732897162437,0.008385693654417992,0.0037320000119507313,-16.383487701416016,104656.265625,soft
