,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,7.683741092681885,447.0,1676681335.470375,900,225.0,19.625,0.9602325558662416,,,,,,,,soft
1,3,8.176082611083984,,1676681335.9627166,1500,,,0.9337651133537292,0.0,200.0,,,,,,soft
2,4,8.27580976486206,729.0,1676681336.0624435,1900,237.5,12.6875,0.9160465002059937,,,,,,,,soft
3,5,8.444564580917358,,1676681336.2311983,2000,,,0.9116721153259276,0.0,200.0,,,,,,soft
4,7,8.821385860443115,921.0,1676681336.6080198,2900,241.6666717529297,16.0,0.8718604445457458,,,,,,,,soft
5,8,8.993021726608276,,1676681336.7796557,3000,,,0.8674860596656799,0.0,200.0,,,,,,soft
6,9,9.257976531982422,,1676681337.0446105,3500,,,0.8453930020332336,0.0,200.0,,,,,,soft
7,10,9.358245849609377,1058.0,1676681337.1448798,3900,243.75,13.84375,0.827674388885498,,,,,,,,soft
8,12,9.80683422088623,,1676681337.5934682,4500,,,0.8012070059776306,0.0,200.0,,,,,,soft
9,13,9.926571607589722,1151.0,1676681337.7132056,4900,245.0,14.800000190734863,0.783488392829895,,,,,,,,soft
10,14,10.112139701843262,,1676681337.8987737,5000,,,0.7791139483451843,0.0,200.0,,,,,,soft
11,15,12.43688988685608,,1676681340.223524,5500,,,0.7570209503173828,0.0,200.0,2.045217275619507,0.04709805920720101,0.0037320000119507313,-69.5355453491211,1789.37744140625,soft
12,17,14.700086116790771,,1676681342.48672,6000,,,0.7349278926849365,0.0,200.0,1.892285108566284,0.059226591140031815,0.0037320000119507313,-81.43927001953125,3491.2734375,soft
13,18,16.85646414756775,,1676681344.643098,6500,,,0.712834894657135,0.0,200.0,1.6650903224945068,0.05120489373803139,0.0037320000119507313,-76.79339599609375,5085.8408203125,soft
14,19,18.45830130577087,539.0,1676681346.2449353,6900,246.42857360839844,11.428571701049805,0.6951162815093994,,,1.8503934144973757,0.05164436250925064,0.0037320000119507313,-73.24120330810547,6293.81787109375,soft
15,20,19.06258225440979,,1676681346.8492162,7000,,,0.6907418370246887,0.0,200.0,2.0818943977355957,0.05043506994843483,0.0037320000119507313,-70.05068969726562,6579.5322265625,soft
16,21,21.31005573272705,,1676681349.0966897,7500,,,0.6686488389968872,0.0,200.0,1.7532256841659546,0.06496457010507584,0.0037320000119507313,-85.41105651855469,7969.3515625,soft
17,22,22.933600902557373,457.0,1676681350.7202349,7900,246.875,10.0,0.6509302258491516,,,2.069166660308838,0.07739408314228058,0.0037320000119507313,-93.6834716796875,9018.814453125,soft
18,23,23.545108795166016,,1676681351.3317428,8000,,,0.6465558409690857,0.0,200.0,2.4869439601898193,0.07420214265584946,0.0037320000119507313,-92.34962463378906,9268.814453125,soft
19,24,25.83935022354126,,1676681353.6259842,8500,,,0.6244627833366394,0.0,200.0,1.934673309326172,0.0336284302175045,0.0037320000119507313,-58.619361877441406,10488.95703125,soft
20,25,27.50378704071045,407.0,1676681355.290421,8900,247.22222900390625,8.88888931274414,0.6067441701889038,,,2.1450984477996826,0.0637388601899147,0.0037320000119507313,-83.04572296142578,11416.6875,soft
21,27,30.39276885986328,,1676681358.1794028,9500,,,0.5802767276763916,0.0,200.0,2.1845970153808594,0.05538759008049965,0.0037320000119507313,-77.69964599609375,12726.3134765625,soft
22,28,32.079920053482056,374.0,1676681359.866554,9900,247.5,8.112500190734863,0.562558114528656,,,2.1984167098999023,0.12662100791931152,0.0037320000119507313,-122.0239715576172,13563.3916015625,soft
23,29,32.709798097610474,,1676681360.496432,10000,,,0.5581837296485901,0.0,200.0,2.3962161540985107,0.0865558311343193,0.0037320000119507313,-98.36823272705078,13766.2041015625,soft
24,30,35.01982355117798,,1676681362.8064575,10500,,,0.5360906720161438,0.0,200.0,0.07576556503772736,0.005057276226580143,0.0037320000119507313,-13.865671157836914,14871.8212890625,soft
25,31,36.73073697090149,350.0,1676681364.517371,10900,247.7272796630859,14.488636016845703,0.518372118473053,,,0.019546527415513992,0.002581332577392459,0.0037320000119507313,-9.970653533935549,16044.509765625,soft
26,32,37.390196561813354,,1676681365.1768303,11000,,,0.5139976739883423,97.0,200.0,0.017210975289344788,0.002100968500599265,0.0037320000119507313,-12.751280784606934,16406.7265625,soft
27,33,41.34816813468933,,1676681369.134802,11500,,,0.4919046461582184,97.0,200.0,0.01467316597700119,0.001722607295960188,0.0037320000119507313,-9.048294067382812,18364.2734375,soft
28,34,43.065136432647705,318.0,1676681370.8517704,11900,247.9166717529297,20.64583396911621,0.4741860330104828,,,0.003301162738353014,0.0014897300861775875,0.0037320000119507313,-9.534431457519531,20197.13671875,soft
29,35,43.683833599090576,,1676681371.4704676,12000,,,0.4698116183280945,97.0,200.0,0.01259391102939844,0.0014822314260527492,0.0037320000119507313,-8.947858810424805,20713.283203125,soft
30,36,46.03552317619324,,1676681373.8221571,12500,,,0.4477185904979706,97.0,200.0,0.00447270181030035,0.0018316626083105805,0.0037320000119507313,-7.831375598907471,23471.0078125,soft
31,37,47.749473333358765,306.0,1676681375.5361073,12900,248.0769195556641,25.903846740722656,0.4300000071525574,,,0.005494529381394386,0.0021569025702774525,0.0037320000119507313,-12.05443000793457,25914.783203125,soft
32,38,48.38207936286926,,1676681376.168713,13000,,,0.42562559247016907,97.0,200.0,0.003131750039756298,0.0006889501819387078,0.0037320000119507313,-5.235998630523682,26562.37890625,soft
33,40,52.48368978500366,296.0,1676681380.2703238,13900,248.2142791748047,29.848215103149418,0.3858139514923096,,,0.0049199494533240795,0.001319672679528594,0.0037320000119507313,-8.252370834350586,32713.56640625,soft
34,41,53.111597537994385,,1676681380.8982315,14000,,,0.38143953680992126,97.0,200.0,0.00392504408955574,0.001046343590132892,0.0037320000119507313,-5.336309909820557,33459.76953125,soft
35,43,57.26709580421448,288.0,1676681385.0537298,14900,248.3333282470703,33.233333587646484,0.34162789583206177,,,0.008414534851908684,0.002482991199940443,0.0037320000119507313,-11.343755722045898,40491.828125,soft
36,45,60.27038908004761,,1676681388.057023,15500,,,0.31516045331954956,97.0,200.0,0.004099949263036251,0.0012680974323302507,0.0037320000119507313,-6.598850727081299,45532.671875,soft
37,46,62.050177812576294,282.0,1676681389.8368118,15900,248.4375,35.0,0.29744186997413635,,,0.012564347125589848,0.0012871682411059735,0.0037320000119507313,-8.033297538757324,49004.1328125,soft
38,47,62.69436693191528,,1676681390.481001,16000,,,0.29306745529174805,97.0,200.0,0.014912028796970844,0.002300024963915348,0.0037320000119507313,-9.692445755004885,49879.1328125,soft
39,48,65.07410550117493,,1676681392.8607397,16500,,,0.27097442746162415,97.0,200.0,0.014844355173408983,0.0021556420251727104,0.0037320000119507313,-8.345071792602539,54378.14453125,soft
40,50,67.50086617469788,,1676681395.2875,17000,,,0.24888139963150024,97.0,200.0,0.004013704601675272,0.0017957092495635152,0.0037320000119507313,-8.893671035766602,59124.46484375,soft
41,51,69.90529870986938,,1676681397.691933,17500,,,0.22678837180137632,97.0,200.0,0.004261909984052181,0.0012240600772202015,0.0037320000119507313,-6.253317832946777,64092.32421875,soft
42,52,71.73733830451965,270.0,1676681399.5239725,17900,248.61111450195312,42.56944274902344,0.2090697735548019,,,0.003353182226419449,0.0016114655882120132,0.0037320000119507313,-8.129093170166016,68222.3984375,soft
43,53,72.38441729545593,,1676681400.1710513,18000,,,0.20469534397125244,97.0,200.0,0.008000603877007961,0.0015039724530652163,0.0037320000119507313,-8.1891508102417,69286.6328125,soft
44,54,74.79076933860779,,1676681402.5774033,18500,,,0.1826023310422897,97.0,200.0,0.0039163678884506226,0.0014813340967521071,0.0037320000119507313,-6.476141452789307,74718.203125,soft
45,55,76.59194922447205,266.0,1676681404.3785832,18900,248.6842041015625,46.28289413452149,0.16488371789455414,,,0.003665732918307185,0.0015111446846276522,0.0037320000119507313,-6.914402961730957,79223.171875,soft
46,56,77.22681498527527,,1676681405.013449,19000,,,0.16050930321216583,97.0,200.0,0.003855607472360134,0.0012560099130496385,0.0037320000119507313,-5.987062931060791,80380.2421875,soft
47,57,79.66380953788757,,1676681407.4504435,19500,,,0.13841627538204193,97.0,200.0,0.0029070288874208927,0.0014585090102627871,0.0037320000119507313,-7.5037946701049805,86267.921875,soft
48,58,81.49689865112305,262.0,1676681409.2835326,19900,248.75,49.66875076293945,0.12069767713546752,,,0.004872677847743034,0.0017667897045612335,0.0037320000119507313,-8.155261039733887,91124.578125,soft
49,60,84.61241459846497,,1676681412.3990486,20500,,,0.09423023462295532,97.0,200.0,0.00042247254168614745,0.0,0.0037320000119507313,0.0,98670.1640625,soft
50,61,86.44611644744873,258.0,1676681414.2327504,20900,248.8095245361328,52.8273811340332,0.07651162892580032,,,0.000214532163226977,0.0,0.0037320000119507313,0.0,103851.0625,soft
51,62,87.09379506111145,,1676681414.880429,21000,,,0.07213720679283142,97.0,200.0,7.228970207506791e-05,0.0,0.0037320000119507313,0.0,105171.75,soft
52,63,89.56837868690491,,1676681417.355013,21500,,,0.05004418641328811,97.0,200.0,6.537292938446626e-05,0.0,0.0037320000119507313,0.0,111862.578125,soft
53,64,91.4184877872467,255.0,1676681419.2051218,21900,248.86363220214844,55.75568008422851,0.05000000074505806,,,0.00034570368006825447,0.0,0.0037320000119507313,0.0,117344.6640625,soft
54,65,92.06946349143982,,1676681419.8560977,22000,,,0.05000000074505806,97.0,200.0,0.0002149118372472003,0.0,0.0037320000119507313,0.0,118738.5546875,soft
55,66,94.53652715682983,,1676681422.3231611,22500,,,0.05000000074505806,97.0,200.0,0.005017650779336691,0.0,0.0037320000119507313,0.0,125792.0234375,soft
56,67,96.36276841163637,252.0,1676681424.1494024,22900,248.9130401611328,58.489131927490234,0.05000000074505806,,,0.008931178599596024,0.0,0.0037320000119507313,0.0,131554.203125,soft
57,69,99.48421597480774,,1676681427.27085,23500,,,0.05000000074505806,97.0,200.0,0.0019638841040432453,0.0,0.0037320000119507313,0.0,140404.515625,soft
58,70,101.32419443130492,249.0,1676681429.1108284,23900,248.9583282470703,60.99479293823242,0.05000000074505806,,,0.00017756632587406784,0.0,0.0037320000119507313,0.0,146425.1875,soft
59,72,104.46570897102356,,1676681432.252343,24500,,,0.05000000074505806,97.0,200.0,0.00039149881922639906,0.0,0.0037320000119507313,0.0,155645.5,soft
60,73,106.28975749015808,247.0,1676681434.0763917,24900,249.0,63.290000915527344,0.05000000074505806,,,0.00010392889089416713,0.0,0.0037320000119507313,0.0,161901.140625,soft
61,74,106.93991708755492,,1676681434.726551,25000,,,0.05000000074505806,97.0,200.0,0.000296124373562634,1.426025846740231e-05,0.0037320000119507313,-0.08393192291259766,163483.390625,soft
62,75,109.4064724445343,,1676681437.1931064,25500,,,0.05000000074505806,97.0,200.0,0.00022541418729815632,0.0,0.0037320000119507313,0.0,171507.765625,soft
63,76,111.24255871772766,245.0,1676681439.0291927,25900,250.0,67.2699966430664,0.05000000074505806,,,0.0005115491803735495,3.1837909773457795e-05,0.0037320000119507313,-0.1254110336303711,178096.515625,soft
64,77,111.88576745986938,,1676681439.6724014,26000,,,0.05000000074505806,97.0,200.0,0.0011032368056476116,0.0,0.0037320000119507313,0.0,179778.265625,soft
65,78,114.35003805160522,,1676681442.136672,26500,,,0.05000000074505806,97.0,200.0,0.000646643282379955,0.0,0.0037320000119507313,0.0,188311.515625,soft
66,79,116.1746256351471,243.0,1676681443.9612596,26900,250.0,71.80999755859375,0.05000000074505806,,,0.00031459447927773,0.0,0.0037320000119507313,0.0,195331.265625,soft
67,81,119.3048655986786,,1676681447.0914996,27500,,,0.05000000074505806,97.0,200.0,0.009975909255445004,0.0,0.0037320000119507313,0.0,206201.140625,soft
68,82,121.14312434196472,241.0,1676681448.9297583,27900,250.0,75.68499755859375,0.05000000074505806,,,0.00044458918273448944,0.0,0.0037320000119507313,0.0,213614.890625,soft
69,83,121.7816677093506,,1676681449.5683017,28000,,,0.05000000074505806,97.0,200.0,0.00026408853591419756,0.0,0.0037320000119507313,0.0,215507.015625,soft
70,84,124.23380160331726,,1676681452.0204356,28500,,,0.05000000074505806,97.0,200.0,0.014693590812385082,0.0,0.0037320000119507313,0.0,225080.890625,soft
71,85,126.05876445770264,240.0,1676681453.8453984,28900,250.0,80.1500015258789,0.05000000074505806,,,0.00011391804582672194,0.0,0.0037320000119507313,0.0,232931.140625,soft
72,86,126.70196962356567,,1676681454.4886036,29000,,,0.05000000074505806,97.0,200.0,0.002484777709469199,0.0,0.0037320000119507313,0.0,234934.890625,soft
73,88,130.9963254928589,238.0,1676681458.7829597,29900,250.0,84.13999938964844,0.05000000074505806,,,6.737834337400272e-05,0.0,0.0037320000119507313,0.0,253354.765625,soft
74,89,131.6460416316986,,1676681459.4326756,30000,,,0.05000000074505806,97.0,200.0,0.00016193489136639982,0.0,0.0037320000119507313,0.0,255458.265625,soft
75,90,134.1556363105774,,1676681461.9422705,30500,,,0.05000000074505806,97.0,200.0,0.00013614463387057185,0.0,0.0037320000119507313,0.0,266101.125,soft
76,91,135.99457263946533,237.0,1676681463.7812066,30900,250.0,88.75499725341797,0.05000000074505806,,,0.00017837551422417164,0.0,0.0037320000119507313,0.0,274809.875,soft
77,92,136.63477730751038,,1676681464.4214113,31000,,,0.05000000074505806,97.0,200.0,0.009320557117462158,0.0,0.0037320000119507313,0.0,277028.75,soft
78,93,139.11167454719543,,1676681466.8983085,31500,,,0.05000000074505806,97.0,200.0,0.00013010177644900978,0.0,0.0037320000119507313,0.0,288247.875,soft
79,94,140.94193172454834,235.0,1676681468.7285657,31900,250.0,93.43499755859376,0.05000000074505806,,,0.00012680845975410193,0.0,0.0037320000119507313,0.0,297424.625,soft
80,96,144.04536533355713,,1676681471.8319993,32500,,,0.05000000074505806,97.0,200.0,0.0006167739629745483,0.0,0.0037320000119507313,0.0,311571.25,soft
81,97,145.87001395225525,234.0,1676681473.656648,32900,250.0,98.1750030517578,0.05000000074505806,,,0.00012305598647799343,0.0,0.0037320000119507313,0.0,321223.25,soft
82,99,149.04275631904602,,1676681476.8293903,33500,,,0.05000000074505806,97.0,200.0,0.00023883485118858516,0.0,0.0037320000119507313,0.0,336079.5,soft
83,100,150.879371881485,233.0,1676681478.6660058,33900,250.0,102.93000030517578,0.05000000074505806,,,0.0003431504883337766,0.0,0.0037320000119507313,0.0,346205.0,soft
84,102,154.0099048614502,,1676681481.7965388,34500,,,0.05000000074505806,97.0,200.0,0.00043969848775304854,0.0,0.0037320000119507313,0.0,361773.75,soft
85,103,155.85424661636353,232.0,1676681483.6408806,34900,250.0,107.62999725341795,0.05000000074505806,,,0.0006362778367474675,0.0,0.0037320000119507313,0.0,372371.5,soft
86,104,156.51982355117798,,1676681484.3064575,35000,,,0.05000000074505806,97.0,200.0,0.011646557599306108,0.0,0.0037320000119507313,0.0,375062.25,soft
87,105,158.98621344566345,,1676681486.7728474,35500,,,0.05000000074505806,97.0,200.0,0.0004434233997017145,0.0,0.0037320000119507313,0.0,388600.75,soft
88,106,160.830228805542,231.0,1676681488.6168628,35900,250.0,109.26499938964844,0.05000000074505806,,,0.005455559119582176,0.0,0.0037320000119507313,0.0,399499.25,soft
89,107,161.48365473747253,,1676681489.2702887,36000,,,0.05000000074505806,97.0,200.0,0.00021574710262939337,0.0,0.0037320000119507313,0.0,402230.875,soft
90,108,163.97055673599243,,1676681491.7571907,36500,,,0.05000000074505806,97.0,200.0,0.00046545438817702234,0.0,0.0037320000119507313,0.0,415937.875,soft
91,110,166.47592568397522,,1676681494.2625597,37000,,,0.05000000074505806,97.0,200.0,7.314850518014282e-05,0.0,0.0037320000119507313,0.0,429718.75,soft
92,112,170.770432472229,229.0,1676681498.5570664,37900,250.0,111.65499877929688,0.05000000074505806,,,0.0007503288215957582,0.0,0.0037320000119507313,0.0,454664.125,soft
93,113,171.43735814094543,,1676681499.223992,38000,,,0.05000000074505806,97.0,200.0,0.000546254450455308,0.0,0.0037320000119507313,0.0,457455.5,soft
94,114,173.90314269065857,,1676681501.689777,38500,,,0.05000000074505806,97.0,200.0,0.00020470340678002685,0.0,0.0037320000119507313,0.0,471472.875,soft
95,115,175.74437999725342,228.0,1676681503.531014,38900,250.0,113.12999725341795,0.05000000074505806,,,0.009907795116305351,0.0,0.0037320000119507313,0.0,482751.125,soft
96,116,176.3954746723175,,1676681504.1821086,39000,,,0.05000000074505806,97.0,200.0,0.0005635449197143316,0.0,0.0037320000119507313,0.0,485579.375,soft
97,117,178.8485929965973,,1676681506.635227,39500,,,0.05000000074505806,97.0,200.0,0.000681638834066689,0.0,0.0037320000119507313,0.0,499765.25,soft
98,118,180.69551277160645,227.0,1676681508.4821467,39900,250.0,114.6750030517578,0.05000000074505806,,,0.009778107516467571,0.0,0.0037320000119507313,0.0,511185.0,soft
99,119,181.3697075843811,,1676681509.1563416,40000,,,0.05000000074505806,97.0,200.0,0.008392922580242157,0.0,0.0037320000119507313,0.0,514051.875,soft
100,121,185.66668701171875,227.0,1676681513.453321,40900,250.0,116.91500091552734,0.05000000074505806,,,0.000100612967798952,0.0,0.0037320000119507313,0.0,540047.5,soft
101,122,186.30908107757568,,1676681514.095715,41000,,,0.05000000074505806,97.0,200.0,0.00019332178635522723,0.0,0.0037320000119507313,0.0,542970.375,soft
102,123,188.7576899528503,,1676681516.544324,41500,,,0.05000000074505806,97.0,200.0,0.00020524190040305257,0.0,0.0037320000119507313,0.0,557600.375,soft
103,124,190.61008977890015,226.0,1676681518.3967235,41900,250.0,117.55999755859376,0.05000000074505806,,,0.00022549903951585293,0.0,0.0037320000119507313,0.0,569333.875,soft
104,125,191.26909136772156,,1676681519.055725,42000,,,0.05000000074505806,97.0,200.0,0.00042080794810317457,0.0,0.0037320000119507313,0.0,572272.875,soft
105,126,193.7874825000763,,1676681521.5741165,42500,,,0.05000000074505806,97.0,200.0,0.011433208361268044,0.0,0.0037320000119507313,0.0,586995.125,soft
106,127,195.64353799819943,225.0,1676681523.430172,42900,250.0,118.16000366210938,0.05000000074505806,,,0.00784864742308855,0.0,0.0037320000119507313,0.0,598798.625,soft
107,128,196.29443669319153,,1676681524.081071,43000,,,0.05000000074505806,97.0,200.0,0.009452586993575096,0.0,0.0037320000119507313,0.0,601752.625,soft
108,129,198.7580080032349,,1676681526.544642,43500,,,0.05000000074505806,97.0,200.0,0.0001719165884424001,0.0,0.0037320000119507313,0.0,616529.625,soft
109,130,200.5983884334564,225.0,1676681528.3850224,43900,250.0,118.3949966430664,0.05000000074505806,,,0.00943093467503786,0.0,0.0037320000119507313,0.0,628362.875,soft
110,131,201.28221440315247,,1676681529.0688484,44000,,,0.05000000074505806,97.0,200.0,0.00016606035933364183,0.0,0.0037320000119507313,0.0,631322.75,soft
111,132,203.74890875816345,,1676681531.5355427,44500,,,0.05000000074505806,97.0,200.0,0.00033934382372535765,0.0,0.0037320000119507313,0.0,646127.125,soft
112,133,205.60081005096436,224.0,1676681533.387444,44900,250.0,118.55999755859376,0.05000000074505806,,,0.0005223763873800635,0.0,0.0037320000119507313,0.0,657978.875,soft
113,134,206.2506980895996,,1676681534.037332,45000,,,0.05000000074505806,97.0,200.0,0.005659621674567461,0.0,0.0037320000119507313,0.0,660942.875,soft
114,135,208.73151516914368,,1676681536.5181491,45500,,,0.05000000074505806,97.0,200.0,0.0002049551549134776,0.0,0.0037320000119507313,0.0,675766.125,soft
115,136,210.5655493736267,224.0,1676681538.352183,45900,250.0,118.66000366210938,0.05000000074505806,,,0.0004419152974151075,0.0,0.0037320000119507313,0.0,687628.875,soft
116,137,211.21998834609985,,1676681539.0066223,46000,,,0.05000000074505806,97.0,200.0,0.024672141298651695,0.0,0.0037320000119507313,0.0,690595.375,soft
117,140,216.19968128204343,,1676681543.9863153,47000,,,0.05000000074505806,97.0,200.0,0.0004666474414989352,0.0,0.0037320000119507313,0.0,720271.875,soft
118,141,218.67773938179016,,1676681546.4643734,47500,,,0.05000000074505806,97.0,200.0,0.0001969465083675459,0.0,0.0037320000119507313,0.0,735113.125,soft
119,142,220.52845406532288,222.0,1676681548.315088,47900,250.0,118.75,0.05000000074505806,,,0.0008561472059227526,0.0,0.0037320000119507313,0.0,746986.125,soft
120,143,221.16988801956177,,1676681548.956522,48000,,,0.05000000074505806,97.0,200.0,0.00033461832208558917,0.0,0.0037320000119507313,0.0,749954.875,soft
121,144,223.65872478485107,,1676681551.4453588,48500,,,0.05000000074505806,97.0,200.0,0.0002578556595835835,0.0,0.0037320000119507313,0.0,764797.875,soft
122,145,225.49735474586487,222.0,1676681553.2839887,48900,250.0,118.73999786376952,0.05000000074505806,,,0.00983691681176424,0.0,0.0037320000119507313,0.0,776670.875,soft
