,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.4786474704742432,1676686562.9703815,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,2,1.3652095794677734,1676686563.8569436,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
2,3,1.7109243869781494,1676686564.2026584,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
3,4,1.7292895317077637,1676686564.2210236,1900,,,0.9160465002059937,1408.0,237.5,11.8125,,,,,,soft
4,6,2.0106616020202637,1676686564.5023956,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
5,7,2.0292718410491943,1676686564.521006,2900,,,0.8718604445457458,1759.0,241.6666717529297,16.25,,,,,,soft
6,8,2.10717511177063,1676686564.5989091,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
7,9,2.203773498535156,1676686564.6955075,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
8,10,2.222532033920288,1676686564.714266,3900,,,0.827674388885498,2117.0,243.75,14.1875,,,,,,soft
9,11,2.3126649856567383,1676686564.804399,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
10,12,2.4224612712860107,1676686564.9141953,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
11,13,2.441318988800049,1676686564.933053,4900,,,0.783488392829895,2377.0,245.0,14.25,,,,,,soft
12,14,2.525383234024048,1676686565.0171173,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
13,15,3.9538381099700928,1676686566.445572,5500,0.0,200.0,0.7570209503173828,,,,4.757174968719482,0.05766187608242035,0.0037320000119507313,-76.00245666503906,1721.7889404296875,soft
14,16,5.217983961105347,1676686567.709718,5900,,,0.7393023371696472,1219.0,245.8333282470703,12.375,5.439085483551025,0.030658185482025143,0.0037320000119507313,-53.450660705566406,3028.8046875,soft
15,17,5.5604941844940186,1676686568.0522282,6000,0.0,200.0,0.7349278926849365,,,,5.3910346031188965,0.03533415123820305,0.0037320000119507313,-59.11107635498047,3338.1796875,soft
16,18,7.1792073249816895,1676686569.6709414,6500,0.0,200.0,0.712834894657135,,,,5.169997692108154,0.03923856467008591,0.0037320000119507313,-63.509979248046875,4836.5068359375,soft
17,19,8.217628002166748,1676686570.709362,6900,,,0.6951162815093994,880.0,246.42857360839844,11.321428298950195,5.312705993652344,0.053940508514642715,0.0037320000119507313,-76.03831481933594,5994.69775390625,soft
18,20,8.391908884048462,1676686570.883643,7000,0.0,200.0,0.6907418370246887,,,,5.069641590118408,0.047074995934963226,0.0037320000119507313,-70.92027282714844,6277.7333984375,soft
19,21,9.960144281387327,1676686572.4518783,7500,0.0,200.0,0.6686488389968872,,,,6.450650215148926,0.12088938057422638,0.0037320000119507313,-117.20804595947266,7654.52294921875,soft
20,22,11.249147891998293,1676686573.740882,7900,,,0.6509302258491516,726.0,246.875,9.90625,5.616446495056152,0.03546082600951195,0.0037320000119507313,-61.27764129638672,8694.146484375,soft
21,23,11.594196557998655,1676686574.0859306,8000,0.0,200.0,0.6465558409690857,,,,5.522718906402588,0.09175888448953629,0.0037320000119507313,-100.0866241455078,8941.802734375,soft
22,24,12.702723026275637,1676686575.194457,8500,0.0,200.0,0.6244627833366394,,,,6.0263752937316895,0.0538448765873909,0.0037320000119507313,-76.57910919189453,10150.5068359375,soft
23,25,13.982269287109377,1676686576.4740033,8900,,,0.6067441701889038,654.0,247.22222900390625,8.875,6.548248291015625,0.06514941900968552,0.0037320000119507313,-84.24800109863281,11069.5400390625,soft
24,28,17.18133020401001,1676686579.6730642,9900,,,0.562558114528656,589.0,247.5,8.225000381469727,6.239137649536133,0.12115884572267532,0.0037320000119507313,-117.01652526855467,13212.8984375,soft
25,30,19.114888429641724,1676686581.6066225,10500,0.0,200.0,0.5360906720161438,,,,0.09658336639404295,0.018111923709511757,0.0037320000119507313,-40.259429931640625,14582.4814453125,soft
26,31,20.387129545211792,1676686582.8788636,10900,,,0.518372118473053,544.0,247.7272796630859,14.386363983154297,0.05847013741731644,0.01237858645617962,0.0037320000119507313,-32.96142578125,15780.806640625,soft
27,32,20.7107834815979,1676686583.2025175,11000,97.0,200.0,0.5139976739883423,,,,0.0677412748336792,0.00805753841996193,0.0037320000119507313,-24.8026180267334,16140.4658203125,soft
28,34,24.00325918197632,1676686586.4949932,11900,,,0.4741860330104828,503.0,247.9166717529297,22.03125,0.03767005354166031,0.0059716347604990005,0.0037320000119507313,-19.58690643310547,20096.4296875,soft
29,35,24.36878800392151,1676686586.860522,12000,97.0,200.0,0.4698116183280945,,,,0.03137722611427307,0.010799298994243143,0.0037320000119507313,-28.054697036743164,20647.2109375,soft
30,36,25.97257709503174,1676686588.4643111,12500,97.0,200.0,0.4477185904979706,,,,0.034097496420145035,0.015198911540210249,0.0037320000119507313,-36.68854522705078,23585.35546875,soft
31,37,27.22600746154785,1676686589.7177415,12900,,,0.4300000071525574,480.0,248.0769195556641,28.30769157409668,0.02362745441496372,0.003993180114775896,0.0037320000119507313,-13.998260498046877,26208.197265625,soft
32,40,30.444766998291016,1676686592.936501,13900,,,0.3858139514923096,462.0,248.2142791748047,33.5625,0.02665658108890057,0.0035607058089226484,0.0037320000119507313,-12.262962341308594,33812.23046875,soft
33,41,30.810720920562744,1676686593.302455,14000,97.0,200.0,0.38143953680992126,,,,0.023662976920604702,0.005581977311521769,0.0037320000119507313,-18.333139419555664,34651.29296875,soft
34,43,33.667338371276855,1676686596.1590724,14900,,,0.34162789583206177,447.0,248.3333282470703,38.41666793823242,0.025713857263326645,0.0033484832383692265,0.0037320000119507313,-10.287458419799805,42669.8125,soft
35,44,34.023606300354004,1676686596.5153403,15000,97.0,200.0,0.33725348114967346,,,,0.018970638513565063,0.007984130643308163,0.0037320000119507313,-23.49152946472168,43630.23046875,soft
36,45,35.631000995635986,1676686598.122735,15500,97.0,200.0,0.31516045331954956,,,,0.02315174788236618,0.007935655303299427,0.0037320000119507313,-23.146146774291992,48557.98828125,soft
37,46,36.877734661102295,1676686599.3694687,15900,,,0.29744186997413635,435.0,248.4375,42.8359375,0.02408835105597973,0.005789824295789003,0.0037320000119507313,-18.187713623046875,52689.81640625,soft
38,47,37.23907208442688,1676686599.730806,16000,97.0,200.0,0.29306745529174805,,,,0.02187240868806839,0.004525210242718458,0.0037320000119507313,-16.092687606811523,53760.71484375,soft
39,48,38.851019620895386,1676686601.3427536,16500,97.0,200.0,0.27097442746162415,,,,0.021611589938402176,0.007950199767947197,0.0037320000119507313,-20.14375114440918,59238.30859375,soft
40,50,40.462647914886475,1676686602.954382,17000,97.0,200.0,0.24888139963150024,,,,0.034657612442970276,0.00917375646531582,0.0037320000119507313,-21.27999687194824,64967.7578125,soft
41,51,42.0763156414032,1676686604.5680497,17500,97.0,200.0,0.22678837180137632,,,,0.02767545729875565,0.005103836301714182,0.0037320000119507313,-16.513179779052734,70937.015625,soft
42,53,43.68745517730713,1676686606.1791892,18000,97.0,200.0,0.20469534397125244,,,,0.019127143546938896,0.00626519275829196,0.0037320000119507313,-17.372303009033203,77123.9765625,soft
43,54,45.30020570755005,1676686607.7919395,18500,97.0,200.0,0.1826023310422897,,,,0.019518930464982983,0.004842922557145357,0.0037320000119507313,-15.98199462890625,83527.8203125,soft
44,55,46.5461061000824,1676686609.03784,18900,,,0.16488371789455414,409.0,248.6842041015625,53.69078826904297,0.03187941759824753,0.005679123103618622,0.0037320000119507313,-16.53006935119629,88794.2421875,soft
45,56,46.9022102355957,1676686609.3939445,19000,97.0,200.0,0.16050930321216583,,,,0.021084679290652275,0.00279995403252542,0.0037320000119507313,-9.498411178588867,90136.515625,soft
46,57,48.52508330345154,1676686611.016817,19500,97.0,200.0,0.13841627538204193,,,,0.0243231114000082,0.007257847581058741,0.0037320000119507313,-18.85954475402832,96938.1953125,soft
47,58,49.788498401641846,1676686612.2802324,19900,,,0.12069767713546752,402.0,248.75,56.70000076293945,0.01602794975042343,0.009485934861004353,0.0037320000119507313,-23.42460060119629,102510.46875,soft
48,59,50.14754557609558,1676686612.6392796,20000,97.0,200.0,0.11632325500249864,,,,0.014132430776953695,0.001983536873012781,0.0037320000119507313,-6.966329574584961,103927.96875,soft
49,60,51.756078243255615,1676686614.2478125,20500,97.0,200.0,0.09423023462295532,,,,0.001564564649015665,0.00016696788952685893,0.0037320000119507313,-1.0097999572753906,111103.0390625,soft
50,61,53.00087356567383,1676686615.4926076,20900,,,0.07651162892580032,397.0,248.8095245361328,59.488094329833984,0.01071317493915558,0.00017183979798574,0.0037320000119507313,-0.9681797027587892,116965.796875,soft
51,62,53.35883545875549,1676686615.8505695,21000,97.0,200.0,0.07213720679283142,,,,0.0020830549765378237,0.00019115934264846143,0.0037320000119507313,-0.8089790344238281,118453.0,soft
52,63,54.97520065307617,1676686617.4669347,21500,97.0,200.0,0.05004418641328811,,,,0.001103797578252852,0.00036491177161224186,0.0037320000119507313,-1.4338951110839844,125970.2421875,soft
53,64,56.230449199676514,1676686618.7221832,21900,,,0.05000000074505806,392.0,248.86363220214844,62.17045593261719,0.001386598451063037,0.0005041466210968792,0.0037320000119507313,-2.3777027130126953,132101.765625,soft
54,65,56.59060597419739,1676686619.08234,22000,97.0,200.0,0.05000000074505806,,,,0.01033327728509903,0.0002564558817539364,0.0037320000119507313,-1.3002815246582031,133656.015625,soft
55,66,58.19387245178223,1676686620.6856065,22500,97.0,200.0,0.05000000074505806,,,,0.00036456884117797017,0.00014792935689911246,0.0037320000119507313,-0.763092041015625,141503.46875,soft
56,67,59.45481824874878,1676686621.9465525,22900,,,0.05000000074505806,387.0,248.9130401611328,64.5815200805664,0.0004174993082415313,5.7471806940156966e-05,0.0037320000119507313,-0.6526470184326172,147886.671875,soft
