,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.0068676471710205,1676683305.922145,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,7.792780876159668,1676683307.708058,900,,,0.9602325558662416,437.0,225.0,7.875,,,,,,soft
2,2,7.969755887985229,1676683307.885033,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,8.242705821990967,1676683308.1579828,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,8.346870183944702,1676683308.2621472,1900,,,0.9160465002059937,726.0,237.5,9.3125,,,,,,soft
5,5,8.52539873123169,1676683308.4406755,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,6,8.804864883422852,1676683308.720142,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
7,8,9.084326267242432,1676683308.9996033,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
8,9,9.36374020576477,1676683309.2790172,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
9,10,9.467987298965454,1676683309.3832643,3900,,,0.827674388885498,1044.0,243.75,14.84375,,,,,,soft
10,12,9.921294689178469,1676683309.8365717,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
11,13,10.026970148086548,1676683309.9422472,4900,,,0.783488392829895,1141.0,245.0,17.524999618530273,,,,,,soft
12,15,12.848243474960327,1676683312.7635205,5500,0.0,200.0,0.7570209503173828,,,,1.670115351676941,0.03568924963474274,0.0037320000119507313,-58.41302108764648,2310.997802734375,soft
13,16,14.44845461845398,1676683314.3637316,5900,,,0.7393023371696472,677.0,245.8333282470703,23.79166603088379,1.707887053489685,0.04629801586270332,0.0037320000119507313,-66.30136108398438,4511.1953125,soft
14,17,15.022249937057495,1676683314.937527,6000,0.0,200.0,0.7349278926849365,,,,1.9505791664123535,0.05048553645610809,0.0037320000119507313,-73.24215698242188,5105.98681640625,soft
15,18,17.07747983932495,1676683316.9927568,6500,0.0,200.0,0.712834894657135,,,,1.9621248245239256,0.054043419659137726,0.0037320000119507313,-67.86486053466797,8235.4169921875,soft
16,19,18.56692123413086,1676683318.4821982,6900,,,0.6951162815093994,537.0,246.42857360839844,30.25,1.8876032829284668,0.07217930257320404,0.0037320000119507313,-83.97265625,11063.4794921875,soft
17,20,19.09939670562744,1676683319.0146737,7000,0.0,200.0,0.6907418370246887,,,,2.1557037830352783,0.04666877165436745,0.0037320000119507313,-67.9363784790039,11819.7294921875,soft
