,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,5.9776270389556885,1676682335.894992,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,7.745199203491211,1676682337.6625645,900,,,0.9602325558662416,438.0,225.0,16.625,,,,,,soft
2,2,7.920332431793213,1676682337.8376975,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,8.193348407745361,1676682338.1107135,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,8.29773211479187,1676682338.2150972,1900,,,0.9160465002059937,729.0,237.5,11.75,,,,,,soft
5,5,8.474342107772827,1676682338.3917072,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,6,8.752442598342896,1676682338.6698077,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
7,7,8.856812715530396,1676682338.7741778,2900,,,0.8718604445457458,916.0,241.6666717529297,13.166666984558104,,,,,,soft
8,8,9.030299425125122,1676682338.9476645,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
9,9,9.30588173866272,1676682339.2232468,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
10,10,9.418808221817017,1676682339.3361733,3900,,,0.827674388885498,1046.0,243.75,17.25,,,,,,soft
11,11,9.594834566116331,1676682339.5121996,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
12,12,9.873017072677612,1676682339.790382,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
13,13,9.987757921218872,1676682339.905123,4900,,,0.783488392829895,1140.0,245.0,16.674999237060547,,,,,,soft
14,14,10.165486097335815,1676682340.0828512,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
15,16,14.12847900390625,1676682344.045844,5900,,,0.7393023371696472,699.0,245.8333282470703,23.4375,1.9531095027923584,0.04519825428724289,0.0037320000119507313,-64.26546478271484,4369.3525390625,soft
16,17,14.708744764328005,1676682344.6261098,6000,0.0,200.0,0.7349278926849365,,,,1.693946123123169,0.07477711886167526,0.0037320000119507313,-88.71568298339844,4955.2900390625,soft
17,18,16.891705989837646,1676682346.809071,6500,0.0,200.0,0.712834894657135,,,,1.993363618850708,0.05351423844695091,0.0037320000119507313,-70.17101287841797,8085.97265625,soft
