,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,4.866525888442993,883.0,1676684137.2874358,900,225.0,19.5,0.9602325558662416,,,,,,,,soft
1,2,4.942126750946045,,1676684137.3630366,1000,,,0.9558581113815308,0.0,200.0,,,,,,soft
2,3,5.044139385223389,,1676684137.4650493,1500,,,0.9337651133537292,0.0,200.0,,,,,,soft
3,4,5.076629877090454,1546.0,1676684137.4975398,1900,237.5,16.75,0.9160465002059937,,,,,,,,soft
4,5,5.149303913116455,,1676684137.5702138,2000,,,0.9116721153259276,0.0,200.0,,,,,,soft
5,6,5.251427173614502,,1676684137.672337,2500,,,0.8895790576934814,0.0,200.0,,,,,,soft
6,7,5.2838053703308105,2019.0,1676684137.7047153,2900,241.6666717529297,21.20833396911621,0.8718604445457458,,,,,,,,soft
7,8,5.356898784637451,,1676684137.777809,3000,,,0.8674860596656799,0.0,200.0,,,,,,soft
8,9,5.458404064178467,,1676684137.879314,3500,,,0.8453930020332336,0.0,200.0,,,,,,soft
9,10,5.490811109542847,2373.0,1676684137.911721,3900,243.75,20.78125,0.827674388885498,,,,,,,,soft
10,11,5.563586950302124,,1676684137.9844968,4000,,,0.8233000040054321,0.0,200.0,,,,,,soft
11,12,5.66540002822876,,1676684138.08631,4500,,,0.8012070059776306,0.0,200.0,,,,,,soft
12,13,5.698132276535034,2648.0,1676684138.1190422,4900,245.0,18.375,0.783488392829895,,,,,,,,soft
13,14,5.775792837142944,,1676684138.1967027,5000,,,0.7791139483451843,0.0,200.0,,,,,,soft
14,15,6.473934650421143,,1676684138.8948443,5500,,,0.7570209503173828,0.0,200.0,1.876227617263794,0.04581230133771896,0.0037320000119507313,-67.41343688964844,2446.01904296875,soft
15,16,6.9307355880737305,1914.0,1676684139.3516457,5900,245.8333282470703,25.29166603088379,0.7393023371696472,,,1.7819865942001345,0.03951539844274521,0.0037320000119507313,-62.863075256347656,4635.4951171875,soft
16,17,7.116516590118408,,1676684139.5374265,6000,,,0.7349278926849365,0.0,200.0,2.022538661956787,0.04967473074793816,0.0037320000119507313,-68.54804992675781,5267.787109375,soft
17,18,7.809873104095459,,1676684140.230783,6500,,,0.712834894657135,0.0,200.0,1.944105863571167,0.05873052403330803,0.0037320000119507313,-77.83564758300781,8554.447265625,soft
18,19,8.295016050338745,1551.0,1676684140.715926,6900,246.42857360839844,30.553571701049805,0.6951162815093994,,,2.1797776222229004,0.08009295910596848,0.0037320000119507313,-93.4084930419922,11408.9345703125,soft
19,20,8.485304117202759,,1676684140.906214,7000,,,0.6907418370246887,0.0,200.0,2.082557678222656,0.07465948909521103,0.0037320000119507313,-87.33439636230469,12172.7734375,soft
20,21,9.144060611724854,,1676684141.5649705,7500,,,0.6686488389968872,0.0,200.0,2.34197735786438,0.05559249967336655,0.0037320000119507313,-71.14997100830078,16150.8974609375,soft
21,22,9.61617374420166,1369.0,1676684142.0370836,7900,246.875,34.703125,0.6509302258491516,,,1.9495083093643188,0.07480383664369583,0.0037320000119507313,-87.73638916015625,19515.38671875,soft
22,23,9.819189071655272,,1676684142.240099,8000,,,0.6465558409690857,0.0,200.0,2.120974063873291,0.08850856125354767,0.0037320000119507313,-98.4256591796875,20382.96484375,soft
