,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.880451679229736,1676682359.7195988,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,4.764087200164795,1676682360.6032343,900,,,0.9602325558662416,907.0,225.0,13.625,,,,,,soft
2,2,4.838412046432495,1676682360.6775591,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,4,4.971480131149292,1676682360.8106272,1900,,,0.9160465002059937,1583.0,237.5,16.5,,,,,,soft
4,5,5.043152570724487,1676682360.8822997,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
5,6,5.143217325210571,1676682360.9823644,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
6,8,5.2474682331085205,1676682361.086615,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
7,9,5.348935842514038,1676682361.188083,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
8,11,5.4541099071502686,1676682361.293257,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
9,12,5.554552316665649,1676682361.3936994,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
10,13,5.587170839309692,1676682361.426318,4900,,,0.783488392829895,2699.0,245.0,14.449999809265137,,,,,,soft
11,14,5.667218208312988,1676682361.5063653,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
12,15,6.344962120056152,1676682362.1841092,5500,0.0,200.0,0.7570209503173828,,,,1.9374233484268188,0.0578371025621891,0.0037320000119507313,-77.47271728515625,1757.9688720703125,soft
13,16,6.804874658584595,1676682362.6440215,5900,,,0.7393023371696472,1945.0,245.8333282470703,12.4375,1.8396819829940796,0.06777811050415039,0.0037320000119507313,-86.54004669189453,3085.291015625,soft
14,17,6.999178886413574,1676682362.838326,6000,0.0,200.0,0.7349278926849365,,,,1.4773149490356443,0.052889272570610046,0.0037320000119507313,-76.43447875976562,3396.228515625,soft
15,18,7.704208612442017,1676682363.5433557,6500,0.0,200.0,0.712834894657135,,,,2.1460490226745605,0.026357244700193405,0.0037320000119507313,-52.387054443359375,4933.21875,soft
16,19,8.175307035446167,1676682364.014454,6900,,,0.6951162815093994,1567.0,246.42857360839844,11.160714149475098,1.861631155014038,0.04615987837314606,0.0037320000119507313,-68.8757095336914,6106.1533203125,soft
17,20,8.363954305648804,1676682364.2031014,7000,0.0,200.0,0.6907418370246887,,,,1.8853766918182373,0.05802715942263603,0.0037320000119507313,-80.58524322509766,6385.17138671875,soft
18,21,9.032721042633057,1676682364.871868,7500,0.0,200.0,0.6686488389968872,,,,2.0981733798980713,0.06524467468261719,0.0037320000119507313,-84.98097229003906,7742.41650390625,soft
19,22,9.500866174697876,1676682365.3400133,7900,,,0.6509302258491516,1379.0,246.875,10.046875,2.257374048233032,0.06667082011699677,0.0037320000119507313,-86.36373138427734,8781.798828125,soft
20,23,9.692555665969849,1676682365.5317028,8000,0.0,200.0,0.6465558409690857,,,,2.2865471839904785,0.061973486095666885,0.0037320000119507313,-83.40534210205078,9032.970703125,soft
21,24,10.359116792678831,1676682366.198264,8500,0.0,200.0,0.6244627833366394,,,,2.553039073944092,0.0972069501876831,0.0037320000119507313,-105.33708190917967,10268.390625,soft
22,25,10.845468759536743,1676682366.684616,8900,,,0.6067441701889038,1258.0,247.22222900390625,9.291666984558104,2.2562501430511475,0.09727803617715836,0.0037320000119507313,-102.9595947265625,11238.16015625,soft
23,27,11.70715880393982,1676682367.546306,9500,0.0,200.0,0.5802767276763916,,,,2.227389097213745,0.05331394821405411,0.0037320000119507313,-76.50404357910156,12720.650390625,soft
24,28,12.201130390167236,1676682368.0402775,9900,,,0.562558114528656,1174.0,247.5,9.774999618530272,2.344960927963257,0.03615841269493103,0.0037320000119507313,-61.20396041870117,13736.40625,soft
25,30,13.05815291404724,1676682368.8973,10500,0.0,200.0,0.5360906720161438,,,,0.07798823714256287,0.004420220386236906,0.0037320000119507313,-12.435758590698242,15317.599609375,soft
26,33,15.348282098770142,1676682371.1874292,11500,97.0,200.0,0.4919046461582184,,,,0.013985689729452131,0.0029001999646425247,0.0037320000119507313,-11.15436553955078,19191.6171875,soft
27,34,15.845296144485474,1676682371.6844432,11900,,,0.4741860330104828,985.0,247.9166717529297,22.4375,0.014833766967058182,0.0020528018940240145,0.0037320000119507313,-8.297525405883789,21222.236328125,soft
28,36,16.735376834869385,1676682372.574524,12500,97.0,200.0,0.4477185904979706,,,,0.008003314957022667,0.002792954444885254,0.0037320000119507313,-9.097505569458008,24745.44140625,soft
29,37,17.25563144683838,1676682373.0947783,12900,,,0.4300000071525574,956.0,248.0769195556641,28.144229888916016,0.015765143558382988,0.002203691750764847,0.0037320000119507313,-7.635225772857666,27366.84375,soft
30,38,17.45305633544922,1676682373.2922034,13000,97.0,200.0,0.42562559247016907,,,,0.005744198337197304,0.002247898606583476,0.0037320000119507313,-9.031061172485352,28070.44921875,soft
31,39,18.17119407653809,1676682374.0103412,13500,97.0,200.0,0.4035325646400452,,,,0.006461857818067074,0.0014423009706661103,0.0037320000119507313,-4.638454437255859,31745.43359375,soft
32,40,18.679585933685303,1676682374.518733,13900,,,0.3858139514923096,932.0,248.2142791748047,33.00893020629883,0.01575423777103424,0.0034120846539735794,0.0037320000119507313,-11.02087688446045,34908.91015625,soft
33,41,18.884072065353394,1676682374.7232192,14000,97.0,200.0,0.38143953680992126,,,,0.009277082048356531,0.0033685064408928156,0.0037320000119507313,-10.731993675231934,35734.1328125,soft
34,42,19.596904516220093,1676682375.4360516,14500,97.0,200.0,0.35934650897979736,,,,0.021372098475694656,0.0021147646475583315,0.0037320000119507313,-7.221276760101318,39966.8046875,soft
35,44,20.348055362701416,1676682376.1872025,15000,97.0,200.0,0.33725348114967346,,,,0.008933992125093937,0.003945749718695879,0.0037320000119507313,-10.787593841552734,44436.421875,soft
36,45,21.07181406021118,1676682376.9109612,15500,97.0,200.0,0.31516045331954956,,,,0.008492819033563137,0.004064593929797411,0.0037320000119507313,-10.876958847045898,49084.02734375,soft
37,46,21.592089891433716,1676682377.431237,15900,,,0.29744186997413635,892.0,248.4375,40.28125,0.018353763967752457,0.003265593433752656,0.0037320000119507313,-8.710782051086426,52979.546875,soft
38,47,21.805797576904297,1676682377.644945,16000,97.0,200.0,0.29306745529174805,,,,0.011090526357293127,0.0054244245402514935,0.0037320000119507313,-13.846421241760254,53986.578125,soft
39,48,22.53765296936035,1676682378.3768,16500,97.0,200.0,0.27097442746162415,,,,0.010293643921613692,0.004904178436845541,0.0037320000119507313,-12.718549728393556,59141.8671875,soft
40,49,23.073931455612183,1676682378.9130783,16900,,,0.25325581431388855,875.0,248.5294189453125,43.985294342041016,0.006453095469623804,0.002525532152503729,0.0037320000119507313,-7.1408843994140625,63423.44140625,soft
41,50,23.278677225112915,1676682379.1178243,17000,97.0,200.0,0.24888139963150024,,,,0.028809405863285065,0.003945665899664164,0.0037320000119507313,-10.32624053955078,64523.07421875,soft
42,51,24.01420831680298,1676682379.8533554,17500,97.0,200.0,0.22678837180137632,,,,0.019431646913290024,0.004172029905021191,0.0037320000119507313,-11.488561630249023,70126.7734375,soft
43,52,24.54525399208069,1676682380.384401,17900,,,0.2090697735548019,861.0,248.61111450195312,47.53472137451172,0.006663544103503227,0.00316275330260396,0.0037320000119507313,-10.162065505981444,74762.171875,soft
44,54,25.54377841949463,1676682381.3829255,18500,97.0,200.0,0.1826023310422897,,,,0.01742151752114296,0.003501627128571272,0.0037320000119507313,-11.545016288757324,81989.703125,soft
45,55,26.090311288833615,1676682381.9294584,18900,,,0.16488371789455414,846.0,248.6842041015625,50.84210586547851,0.007279340177774429,0.002009534509852529,0.0037320000119507313,-5.156954288482666,86964.515625,soft
46,56,26.31240439414978,1676682382.1515515,19000,97.0,200.0,0.16050930321216583,,,,0.011351505294442177,0.00560436537489295,0.0037320000119507313,-15.994579315185549,88235.5625,soft
47,58,27.593574047088623,1676682383.4327211,19900,,,0.12069767713546752,835.0,248.75,53.962501525878906,0.014912039041519163,0.0031831907108426094,0.0037320000119507313,-10.025035858154297,99984.203125,soft
48,59,27.80805397033691,1676682383.647201,20000,97.0,200.0,0.11632325500249864,,,,0.0087203960865736,0.0025727171450853348,0.0037320000119507313,-6.005364418029785,101333.265625,soft
49,61,29.11533522605896,1676682384.9544823,20900,,,0.07651162892580032,824.0,248.8095245361328,57.005950927734375,0.00034762953873723745,1.9745809822779847e-06,0.0037320000119507313,-0.08068656921386719,113771.7734375,soft
50,62,29.33098554611206,1676682385.1701326,21000,97.0,200.0,0.07213720679283142,,,,0.000953039969317615,1.1149507628260837e-07,0.0037320000119507313,-0.007421493530273437,115196.921875,soft
51,66,31.622886419296265,1676682387.4620335,22500,97.0,200.0,0.05000000074505806,,,,0.0002393842296442017,1.970195626199711e-05,0.0037320000119507313,-0.23282814025878903,137350.0,soft
52,67,32.17623734474182,1676682388.0153844,22900,,,0.05000000074505806,806.0,248.9130401611328,62.375,0.0002853510086424649,0.0001321330200880766,0.0037320000119507313,-0.39114952087402344,143506.671875,soft
53,68,32.38261270523071,1676682388.2217598,23000,97.0,200.0,0.05000000074505806,,,,0.0004512261366471648,5.792819501948543e-05,0.0037320000119507313,-0.37947654724121094,145066.046875,soft
54,69,33.140212297439575,1676682388.9793594,23500,97.0,200.0,0.05000000074505806,,,,0.01072748936712742,2.3623811795658867e-09,0.0037320000119507313,-0.0018711090087890625,152933.5625,soft
55,70,33.68924593925476,1676682389.528393,23900,,,0.05000000074505806,798.0,248.9583282470703,64.69791412353516,0.0004519473877735436,2.4760365704423748e-05,0.0037320000119507313,-0.1105966567993164,159329.90625,soft
56,71,33.90004014968872,1676682389.7391872,24000,97.0,200.0,0.05000000074505806,,,,0.010891451500356196,0.00014753158029634506,0.0037320000119507313,-0.39370155334472656,160947.359375,soft
57,72,34.664536476135254,1676682390.5036836,24500,97.0,200.0,0.05000000074505806,,,,0.00027934653917327523,2.8973623557249084e-05,0.0037320000119507313,-0.22391510009765625,169103.5625,soft
58,73,35.22687840461731,1676682391.0660255,24900,,,0.05000000074505806,791.0,249.0,66.90499877929688,0.00011138528498122469,5.859109478478786e-06,0.0037320000119507313,-0.05379962921142578,175725.453125,soft
